Setari{prioritate=5 memorie=7 nrDescarcari=15 ajungeAcasa=false nrIndivizi=2000}
Fisier generat in 2017/12/27 13:18
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
5;2000;30;188;495;183209
3;2000;26;1;2;234329
5;2000;24;60;124;200657
5;2000;18;5;18;224033
3;2000;20;3;23;219518
7;2000;28;1;20;221650
Generatia;Nr indivizi;Viata;Mutatie;Fitness
0;2000;30;5;238191
2;2000;26;3;234329
2;2000;24;5;233001
3;2000;24;5;232891
5;2000;18;5;230804
8;2000;20;3;229936
8;2000;18;5;227756
12;2000;18;5;227007
13;2000;24;5;226667
14;2000;20;3;226179
15;2000;18;5;224964
18;2000;18;5;224033
19;2000;24;5;222847
20;2000;28;7;221650
23;2000;20;3;219518
30;2000;24;5;218956
31;2000;24;5;218905
32;2000;24;5;218540
33;2000;24;5;218248
34;2000;24;5;216850
36;2000;24;5;216272
38;2000;24;5;216248
39;2000;24;5;215122
41;2000;24;5;214636
43;2000;24;5;213856
44;2000;24;5;213523
45;2000;24;5;213296
47;2000;24;5;212948
49;2000;24;5;212193
51;2000;24;5;211901
55;2000;24;5;211523
56;2000;24;5;211342
59;2000;24;5;209631
66;2000;24;5;208793
69;2000;24;5;208614
72;2000;24;5;208329
73;2000;24;5;207723
74;2000;24;5;206735
75;2000;24;5;206616
79;2000;24;5;206526
81;2000;24;5;206403
82;2000;24;5;206347
84;2000;24;5;205895
85;2000;24;5;205386
87;2000;24;5;205256
90;2000;24;5;205046
91;2000;24;5;205000
92;2000;24;5;204313
94;2000;24;5;204134
95;2000;24;5;203967
97;2000;24;5;203739
99;2000;24;5;203620
100;2000;24;5;203521
101;2000;24;5;203356
103;2000;24;5;203338
104;2000;24;5;203220
105;2000;24;5;202880
106;2000;24;5;202598
109;2000;24;5;202595
110;2000;24;5;202406
111;2000;24;5;202314
112;2000;24;5;202273
113;2000;24;5;202100
114;2000;24;5;201935
116;2000;24;5;201803
117;2000;24;5;201745
118;2000;24;5;201214
120;2000;24;5;201169
122;2000;24;5;201092
123;2000;24;5;201055
124;2000;24;5;200657
133;2000;30;5;200438
134;2000;30;5;199831
135;2000;30;5;199174
136;2000;30;5;198895
138;2000;30;5;198772
139;2000;30;5;198428
140;2000;30;5;198169
142;2000;30;5;198022
144;2000;30;5;197939
145;2000;30;5;197725
147;2000;30;5;197256
153;2000;30;5;197061
156;2000;30;5;197031
157;2000;30;5;196959
160;2000;30;5;196890
161;2000;30;5;196665
164;2000;30;5;196656
165;2000;30;5;196596
167;2000;30;5;196466
169;2000;30;5;196248
170;2000;30;5;196201
171;2000;30;5;196019
175;2000;30;5;195993
176;2000;30;5;195955
177;2000;30;5;195901
179;2000;30;5;195863
180;2000;30;5;195807
181;2000;30;5;195742
184;2000;30;5;195400
190;2000;30;5;195219
191;2000;30;5;195200
192;2000;30;5;194964
195;2000;30;5;194715
197;2000;30;5;194713
200;2000;30;5;194492
203;2000;30;5;194456
205;2000;30;5;194254
207;2000;30;5;194151
210;2000;30;5;193758
216;2000;30;5;193630
218;2000;30;5;193309
225;2000;30;5;192830
227;2000;30;5;192790
228;2000;30;5;192754
232;2000;30;5;192700
233;2000;30;5;192547
234;2000;30;5;192512
237;2000;30;5;192431
238;2000;30;5;192425
241;2000;30;5;192396
242;2000;30;5;192189
244;2000;30;5;192115
245;2000;30;5;192113
247;2000;30;5;191962
250;2000;30;5;191919
251;2000;30;5;191829
252;2000;30;5;191813
253;2000;30;5;191801
255;2000;30;5;191794
256;2000;30;5;191674
257;2000;30;5;191557
259;2000;30;5;191522
260;2000;30;5;191508
261;2000;30;5;191211
263;2000;30;5;191186
264;2000;30;5;191158
265;2000;30;5;191133
268;2000;30;5;191036
269;2000;30;5;191030
270;2000;30;5;191027
271;2000;30;5;190985
272;2000;30;5;190833
276;2000;30;5;190689
277;2000;30;5;190669
278;2000;30;5;190469
281;2000;30;5;190424
282;2000;30;5;190364
283;2000;30;5;190363
284;2000;30;5;190286
285;2000;30;5;190245
286;2000;30;5;190204
287;2000;30;5;190109
288;2000;30;5;190070
289;2000;30;5;189830
290;2000;30;5;189792
291;2000;30;5;189682
293;2000;30;5;189670
294;2000;30;5;189257
298;2000;30;5;189117
299;2000;30;5;189006
300;2000;30;5;188662
302;2000;30;5;188662
303;2000;30;5;188640
308;2000;30;5;188598
311;2000;30;5;188571
312;2000;30;5;188310
323;2000;30;5;188289
325;2000;30;5;188055
326;2000;30;5;188053
327;2000;30;5;188028
329;2000;30;5;187882
330;2000;30;5;187880
331;2000;30;5;187779
334;2000;30;5;187635
336;2000;30;5;187579
337;2000;30;5;187498
338;2000;30;5;187434
339;2000;30;5;187419
342;2000;30;5;187417
343;2000;30;5;187350
344;2000;30;5;187330
346;2000;30;5;187229
348;2000;30;5;187226
349;2000;30;5;187182
350;2000;30;5;187167
351;2000;30;5;187165
352;2000;30;5;187120
353;2000;30;5;187118
354;2000;30;5;187036
355;2000;30;5;186984
357;2000;30;5;186981
358;2000;30;5;186899
362;2000;30;5;186833
364;2000;30;5;186797
365;2000;30;5;186794
366;2000;30;5;186739
368;2000;30;5;186721
369;2000;30;5;186675
371;2000;30;5;186652
372;2000;30;5;186609
373;2000;30;5;186573
374;2000;30;5;186559
377;2000;30;5;186360
380;2000;30;5;186302
383;2000;30;5;186300
384;2000;30;5;186171
388;2000;30;5;186170
389;2000;30;5;186120
392;2000;30;5;186049
393;2000;30;5;185989
395;2000;30;5;185874
397;2000;30;5;185855
399;2000;30;5;185765
401;2000;30;5;185741
402;2000;30;5;185739
403;2000;30;5;185610
404;2000;30;5;185558
406;2000;30;5;185492
407;2000;30;5;185321
408;2000;30;5;185319
412;2000;30;5;185311
414;2000;30;5;185109
415;2000;30;5;185101
419;2000;30;5;185055
422;2000;30;5;185046
423;2000;30;5;184962
426;2000;30;5;184943
428;2000;30;5;184898
430;2000;30;5;184841
431;2000;30;5;184661
435;2000;30;5;184639
436;2000;30;5;184575
439;2000;30;5;184541
444;2000;30;5;184491
445;2000;30;5;184446
446;2000;30;5;184265
455;2000;30;5;184262
456;2000;30;5;184238
458;2000;30;5;184127
461;2000;30;5;184033
463;2000;30;5;184017
466;2000;30;5;183812
467;2000;30;5;183787
473;2000;30;5;183741
475;2000;30;5;183716
476;2000;30;5;183610
480;2000;30;5;183542
481;2000;30;5;183539
483;2000;30;5;183467
485;2000;30;5;183460
486;2000;30;5;183445
488;2000;30;5;183432
490;2000;30;5;183400
491;2000;30;5;183399
492;2000;30;5;183392
493;2000;30;5;183236
495;2000;30;5;183209
