Setari{prioritate=5 memorie=7 nrDescarcari=15 ajungeAcasa=false nrIndivizi=2000}
Fisier generat in 2017/12/27 13:41
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
5;2000;24;109;333;190300
7;2000;28;135;497;184629
3;2000;26;3;5;230404
7;2000;22;1;9;227189
5;2000;18;47;479;185210
Generatia;Nr indivizi;Viata;Mutatie;Fitness
0;2000;24;5;237999
0;2000;28;7;236401
1;2000;28;7;235210
2;2000;26;3;234968
2;2000;24;5;234171
2;2000;28;7;232471
4;2000;26;3;231617
5;2000;26;3;230404
6;2000;28;7;229479
7;2000;24;5;228413
8;2000;28;7;228145
9;2000;22;7;227189
9;2000;28;7;225279
13;2000;28;7;224603
16;2000;28;7;223280
17;2000;28;7;222967
18;2000;24;5;220809
23;2000;28;7;219889
26;2000;28;7;219388
28;2000;28;7;218227
31;2000;28;7;217353
33;2000;28;7;216783
37;2000;28;7;216342
39;2000;28;7;216061
39;2000;24;5;215627
40;2000;28;7;215406
41;2000;24;5;215327
43;2000;24;5;214398
46;2000;28;7;214311
49;2000;28;7;212328
53;2000;28;7;211807
56;2000;28;7;210720
60;2000;28;7;210275
63;2000;28;7;210162
64;2000;28;7;209557
65;2000;28;7;209522
66;2000;28;7;209066
67;2000;28;7;208914
69;2000;28;7;208680
70;2000;28;7;208080
72;2000;28;7;208047
73;2000;28;7;206816
76;2000;28;7;206368
78;2000;28;7;205697
82;2000;28;7;205588
83;2000;28;7;205552
84;2000;28;7;205409
86;2000;28;7;205213
87;2000;28;7;205095
89;2000;28;7;204686
92;2000;28;7;204533
93;2000;28;7;204415
94;2000;28;7;204260
95;2000;28;7;204200
96;2000;28;7;204129
97;2000;28;7;203947
98;2000;28;7;203837
99;2000;28;7;203804
102;2000;28;7;203323
108;2000;28;7;203306
109;2000;28;7;203130
110;2000;28;7;203084
111;2000;28;7;202932
111;2000;24;5;202827
114;2000;28;7;202807
115;2000;28;7;202650
117;2000;28;7;202438
115;2000;24;5;202397
118;2000;28;7;202199
118;2000;24;5;202086
121;2000;24;5;201975
124;2000;28;7;201828
126;2000;28;7;201637
125;2000;24;5;201608
128;2000;28;7;201428
128;2000;24;5;201393
132;2000;28;7;201340
130;2000;24;5;201167
133;2000;24;5;201145
136;2000;28;7;201017
134;2000;24;5;200969
135;2000;24;5;200884
137;2000;24;5;200804
138;2000;24;5;200729
141;2000;28;7;200615
140;2000;24;5;200573
142;2000;24;5;200500
144;2000;24;5;200462
147;2000;28;7;200428
145;2000;24;5;200401
146;2000;24;5;200256
150;2000;28;7;200177
148;2000;24;5;199866
149;2000;24;5;199822
150;2000;24;5;199792
151;2000;24;5;199692
152;2000;24;5;199586
153;2000;24;5;199427
155;2000;24;5;199378
157;2000;24;5;199242
158;2000;24;5;199117
160;2000;24;5;199067
161;2000;24;5;199051
167;2000;28;7;198991
164;2000;24;5;198652
171;2000;24;5;198594
172;2000;24;5;198590
173;2000;24;5;198421
177;2000;24;5;198397
178;2000;24;5;198358
179;2000;24;5;198154
183;2000;24;5;198115
184;2000;24;5;197923
185;2000;24;5;197902
187;2000;24;5;197781
189;2000;24;5;197769
193;2000;28;7;197763
192;2000;24;5;197582
198;2000;28;7;197563
199;2000;28;7;197523
200;2000;28;7;197492
196;2000;24;5;197411
197;2000;24;5;197282
204;2000;28;7;197257
200;2000;24;5;197008
201;2000;24;5;197008
203;2000;24;5;196941
204;2000;24;5;196941
205;2000;24;5;196789
206;2000;24;5;196667
208;2000;24;5;196638
209;2000;24;5;196635
210;2000;24;5;196619
211;2000;24;5;196514
212;2000;24;5;196304
216;2000;24;5;196243
217;2000;24;5;195953
219;2000;24;5;195783
222;2000;24;5;195745
223;2000;24;5;195744
224;2000;24;5;195571
226;2000;24;5;195450
228;2000;24;5;195412
233;2000;28;7;195340
236;2000;28;7;195327
231;2000;24;5;195242
238;2000;28;7;195227
233;2000;24;5;195158
240;2000;28;7;195081
235;2000;24;5;194991
237;2000;24;5;194909
244;2000;28;7;194868
240;2000;24;5;194859
241;2000;24;5;194854
247;2000;28;7;194824
248;2000;28;7;194798
249;2000;28;7;194765
250;2000;28;7;194703
251;2000;28;7;194566
252;2000;28;7;194525
247;2000;24;5;194258
252;2000;24;5;194049
253;2000;24;5;193992
255;2000;24;5;193816
257;2000;24;5;193719
258;2000;24;5;193589
260;2000;24;5;193403
261;2000;24;5;193382
268;2000;28;7;193371
264;2000;24;5;193351
265;2000;24;5;193204
