Setari{prioritate=5 memorie=10 nrDescarcari=15 ajungeAcasa=false nrIndivizi=2000}
Fisier generat in 2017/12/28 07:22
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
2000;18;281;940;180052
2000;20;7;53;213175
2000;28;1;0;237757
2000;22;7;78;209982
2000;24;131;563;185503
2000;30;3;19;223503
Generatia;Nr indivizi;Viata;Fitness
0;2000;18;240270
0;2000;20;239917
0;2000;28;237757
1;2000;22;235709
2;2000;18;235087
2;2000;18;232854
3;2000;24;230904
6;2000;30;229920
7;2000;22;229856
9;2000;24;226575
10;2000;18;226346
13;2000;22;226258
14;2000;22;225289
14;2000;20;225028
16;2000;30;224445
15;2000;18;223762
19;2000;30;223503
20;2000;22;222827
19;2000;20;222579
22;2000;18;219187
27;2000;22;218430
34;2000;18;218242
36;2000;18;217961
35;2000;18;215861
37;2000;18;215536
38;2000;20;215286
41;2000;20;215202
46;2000;20;214746
50;2000;18;213777
52;2000;18;213334
53;2000;20;213175
57;2000;18;212941
58;2000;18;212036
62;2000;18;211863
64;2000;18;211466
66;2000;18;210677
68;2000;18;210153
70;2000;18;210070
78;2000;22;209982
79;2000;18;208554
80;2000;18;208333
81;2000;18;208106
82;2000;18;208046
83;2000;18;207583
85;2000;18;207412
86;2000;18;207308
89;2000;18;206629
91;2000;18;206456
94;2000;18;206283
95;2000;18;206015
96;2000;18;205957
97;2000;18;205760
100;2000;18;205184
102;2000;18;205010
105;2000;18;204865
108;2000;18;204760
109;2000;18;204717
110;2000;18;204354
111;2000;18;204280
112;2000;18;204224
117;2000;18;204216
118;2000;18;204076
120;2000;18;203813
125;2000;18;203796
126;2000;18;203788
127;2000;18;203787
128;2000;18;203626
130;2000;18;203585
131;2000;18;203541
132;2000;18;203336
131;2000;24;203195
135;2000;18;203158
134;2000;24;203134
136;2000;18;202986
137;2000;18;202800
138;2000;18;202693
139;2000;18;202517
141;2000;18;202514
142;2000;18;202334
141;2000;24;202263
142;2000;24;201947
144;2000;24;201933
146;2000;24;201684
152;2000;18;201435
151;2000;24;201225
152;2000;24;201108
153;2000;24;200675
156;2000;24;200662
157;2000;24;200384
161;2000;24;200179
163;2000;24;200146
164;2000;24;200066
166;2000;24;200002
169;2000;24;199643
173;2000;24;199596
175;2000;24;199590
176;2000;24;199449
178;2000;24;199401
179;2000;24;199335
180;2000;24;199207
182;2000;24;199199
184;2000;24;199100
186;2000;24;199063
190;2000;24;198994
193;2000;24;198964
194;2000;24;198850
196;2000;24;198596
199;2000;24;198519
202;2000;24;198482
203;2000;24;198336
206;2000;24;198239
207;2000;24;198218
211;2000;24;197688
213;2000;24;197475
214;2000;24;197270
219;2000;24;197190
220;2000;24;197115
221;2000;24;197095
222;2000;24;196958
223;2000;24;196848
227;2000;24;196623
229;2000;24;196468
233;2000;24;196443
235;2000;24;196305
236;2000;24;196287
237;2000;24;196168
238;2000;24;196019
239;2000;24;195984
241;2000;24;195909
242;2000;24;195810
243;2000;24;195717
244;2000;24;195645
245;2000;24;195577
247;2000;24;195576
249;2000;24;195535
251;2000;24;195221
253;2000;24;195072
254;2000;24;195028
256;2000;24;195002
259;2000;24;194914
261;2000;24;194821
263;2000;24;194691
264;2000;24;194495
268;2000;24;194402
274;2000;24;194294
275;2000;24;194275
276;2000;24;194269
277;2000;24;194045
281;2000;24;194044
282;2000;24;194030
283;2000;24;193861
284;2000;24;193836
286;2000;24;193705
287;2000;24;193571
289;2000;24;193479
293;2000;24;193324
294;2000;24;193297
295;2000;24;193237
296;2000;24;193168
297;2000;24;193153
299;2000;24;193028
300;2000;24;192978
301;2000;24;192946
302;2000;24;192875
305;2000;24;192815
307;2000;24;192743
308;2000;24;192696
314;2000;24;192610
317;2000;24;192579
318;2000;24;192165
321;2000;24;192158
326;2000;24;192151
327;2000;24;191959
330;2000;24;191956
332;2000;24;191846
337;2000;24;191570
348;2000;24;191544
350;2000;24;191475
351;2000;24;191436
352;2000;24;191392
354;2000;24;191172
360;2000;24;191155
363;2000;24;191054
365;2000;24;191050
366;2000;24;190961
368;2000;24;190895
370;2000;24;190894
371;2000;24;190809
372;2000;24;190787
375;2000;18;190733
376;2000;18;190668
376;2000;24;190550
379;2000;24;190520
380;2000;18;190478
381;2000;24;190425
383;2000;24;190376
387;2000;18;190197
389;2000;18;190179
392;2000;18;190158
393;2000;18;189941
397;2000;24;189926
399;2000;18;189763
400;2000;24;189760
401;2000;18;189750
401;2000;24;189544
407;2000;18;189510
408;2000;18;189403
413;2000;18;189336
415;2000;18;189094
423;2000;18;189031
428;2000;18;188997
429;2000;18;188938
431;2000;18;188914
435;2000;18;188753
436;2000;18;188667
439;2000;18;188596
441;2000;18;188550
443;2000;18;188500
445;2000;18;188454
446;2000;18;188402
447;2000;18;188336
448;2000;18;188309
449;2000;18;188244
452;2000;18;188231
453;2000;18;187994
456;2000;18;187895
457;2000;18;187782
460;2000;18;187765
461;2000;18;187731
463;2000;18;187650
464;2000;18;187605
465;2000;18;187574
468;2000;18;187557
469;2000;18;187531
470;2000;18;187513
471;2000;18;187506
472;2000;18;187490
473;2000;18;187439
476;2000;18;187395
479;2000;18;187316
480;2000;18;187303
482;2000;18;187282
483;2000;18;187271
484;2000;18;187215
485;2000;18;187174
486;2000;18;187131
489;2000;18;187081
493;2000;18;187022
494;2000;18;186928
499;2000;18;186907
502;2000;18;186879
504;2000;18;186778
505;2000;18;186652
508;2000;18;186631
509;2000;18;186604
510;2000;18;186572
512;2000;18;186479
514;2000;18;186387
524;2000;18;186367
525;2000;18;186346
530;2000;24;186315
529;2000;18;186264
