Setari{prioritate=5 memorie=3 nrDescarcari=15 ajungeAcasa=false nrIndivizi=3000}
Fisier generat in 2017/12/28 09:46
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
3000;20;46;73;202561
3000;16;57;130;196744
3000;12;6;23;219724
Generatia;Nr indivizi;Viata;Fitness
2;3000;20;244800
2;3000;16;242058
3;3000;12;240213
4;3000;20;238962
4;3000;12;238377
5;3000;20;235213
5;3000;12;234455
6;3000;20;234111
7;3000;20;231448
8;3000;16;231240
9;3000;20;228287
11;3000;20;227261
12;3000;20;226067
14;3000;20;224676
15;3000;20;223102
17;3000;20;222818
18;3000;12;222778
19;3000;12;221346
20;3000;20;220048
22;3000;20;219875
23;3000;12;219724
23;3000;16;216424
26;3000;16;216226
27;3000;16;215997
28;3000;16;215530
29;3000;16;214880
30;3000;16;214357
31;3000;20;213430
34;3000;20;213221
35;3000;20;213154
36;3000;20;212859
37;3000;20;212378
38;3000;20;211707
39;3000;20;210373
42;3000;20;210074
43;3000;20;209951
42;3000;16;209385
44;3000;20;209270
43;3000;16;209104
45;3000;20;208795
46;3000;20;208602
47;3000;20;207828
48;3000;20;207500
50;3000;20;207146
51;3000;20;206460
52;3000;20;206344
53;3000;20;205718
54;3000;20;205531
55;3000;20;205410
56;3000;20;204871
58;3000;20;204579
59;3000;20;204395
60;3000;20;204265
61;3000;20;203850
62;3000;20;203661
64;3000;20;203575
65;3000;20;203201
67;3000;20;203172
68;3000;20;203158
69;3000;20;202761
72;3000;20;202659
73;3000;20;202561
71;3000;16;202100
73;3000;16;201589
75;3000;16;201319
76;3000;16;201265
77;3000;16;200840
78;3000;16;200830
79;3000;16;200607
81;3000;16;200221
84;3000;16;200043
86;3000;16;199780
89;3000;16;199666
90;3000;16;199515
91;3000;16;199452
92;3000;16;199277
93;3000;16;199251
94;3000;16;199140
95;3000;16;199108
96;3000;16;198966
97;3000;16;198741
99;3000;16;198518
100;3000;16;198394
101;3000;16;198150
102;3000;16;198091
103;3000;16;197831
104;3000;16;197726
105;3000;16;197651
107;3000;16;197463
108;3000;16;197346
109;3000;16;197290
110;3000;16;197222
111;3000;16;197196
112;3000;16;197135
113;3000;16;197094
114;3000;16;197053
115;3000;16;197037
117;3000;16;196926
118;3000;16;196844
120;3000;16;196833
121;3000;16;196826
122;3000;16;196805
123;3000;16;196783
124;3000;16;196776
125;3000;16;196766
126;3000;16;196757
127;3000;16;196755
128;3000;16;196750
130;3000;16;196744
