main.SetariDialog[dialog0,893,478,490x328,invalid,hidden,layout=java.awt.BorderLayout,APPLICATION_MODAL,title=,defaultCloseOperation=DISPOSE_ON_CLOSE,rootPane=javax.swing.JRootPane[,8,31,474x289,invalid,layout=javax.swing.JRootPane$RootLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.synth.SynthBorder@6e6ab1a6,flags=16777673,maximumSize=,minimumSize=,preferredSize=],rootPaneCheckingEnabled=true]
Fisier generat in 2017/12/28 12:16
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
1000;20;158;498;189106
1000;12;4;7;234471
1000;16;12;24;217196
1000;24;2;11;228691
Generatia;Nr indivizi;Viata;Fitness
1;1000;20;250000
2;1000;12;241986
3;1000;12;240960
3;1000;16;239856
4;1000;12;238686
4;1000;16;237049
5;1000;16;235970
7;1000;12;234471
7;1000;16;233511
8;1000;16;231046
8;1000;24;230708
10;1000;16;229225
11;1000;24;228691
12;1000;16;226538
13;1000;16;225980
13;1000;20;224775
14;1000;16;224166
15;1000;16;222639
16;1000;16;221582
17;1000;20;221284
19;1000;20;220536
20;1000;20;218259
21;1000;20;217677
23;1000;20;217532
24;1000;16;217196
27;1000;20;216574
28;1000;20;215954
29;1000;20;214146
31;1000;20;213066
32;1000;20;212255
33;1000;20;211462
34;1000;20;210788
35;1000;20;210591
36;1000;20;209985
37;1000;20;209001
39;1000;20;208884
40;1000;20;208763
41;1000;20;208431
43;1000;20;207942
44;1000;20;207579
46;1000;20;207267
48;1000;20;207055
49;1000;20;206791
51;1000;20;206654
52;1000;20;206476
53;1000;20;206208
54;1000;20;205632
58;1000;20;205135
61;1000;20;205088
62;1000;20;204592
63;1000;20;204527
64;1000;20;204369
65;1000;20;204199
67;1000;20;204087
69;1000;20;203963
70;1000;20;203755
72;1000;20;202970
76;1000;20;202864
77;1000;20;202748
78;1000;20;202661
79;1000;20;202612
80;1000;20;202515
81;1000;20;202313
84;1000;20;202247
86;1000;20;202184
87;1000;20;202108
88;1000;20;202052
90;1000;20;201878
93;1000;20;201750
94;1000;20;201335
96;1000;20;201328
97;1000;20;200751
100;1000;20;200480
101;1000;20;200470
102;1000;20;199990
103;1000;20;199952
105;1000;20;199831
106;1000;20;199758
109;1000;20;199394
110;1000;20;199253
111;1000;20;199140
112;1000;20;199022
113;1000;20;198894
114;1000;20;198838
116;1000;20;198699
117;1000;20;198672
119;1000;20;198626
120;1000;20;198587
121;1000;20;198306
123;1000;20;198027
125;1000;20;197791
126;1000;20;197787
129;1000;20;197375
130;1000;20;197267
132;1000;20;197232
133;1000;20;197133
135;1000;20;197086
136;1000;20;197025
137;1000;20;196664
140;1000;20;196642
141;1000;20;196455
144;1000;20;196362
147;1000;20;196351
148;1000;20;196317
149;1000;20;196213
153;1000;20;196095
155;1000;20;195932
170;1000;20;195674
173;1000;20;195541
182;1000;20;195305
183;1000;20;195099
186;1000;20;195036
191;1000;20;194884
192;1000;20;194833
195;1000;20;194682
197;1000;20;194681
204;1000;20;194457
206;1000;20;194394
214;1000;20;194090
218;1000;20;194078
230;1000;20;193769
236;1000;20;193617
237;1000;20;193603
242;1000;20;193553
244;1000;20;193551
252;1000;20;193487
255;1000;20;193179
257;1000;20;193056
275;1000;20;192962
282;1000;20;192791
285;1000;20;192621
291;1000;20;192365
298;1000;20;192314
302;1000;20;192226
303;1000;20;192216
306;1000;20;192208
307;1000;20;192165
316;1000;20;192148
332;1000;20;192099
333;1000;20;192012
338;1000;20;191990
340;1000;20;191926
341;1000;20;191854
357;1000;20;191687
358;1000;20;191531
360;1000;20;191442
362;1000;20;191392
363;1000;20;191275
364;1000;20;191173
369;1000;20;191016
381;1000;20;190979
383;1000;20;190973
384;1000;20;190623
386;1000;20;190587
388;1000;20;190535
391;1000;20;190437
392;1000;20;190391
393;1000;20;190385
394;1000;20;190369
395;1000;20;190304
399;1000;20;190163
401;1000;20;190130
405;1000;20;190104
429;1000;20;190100
430;1000;20;190071
431;1000;20;189971
433;1000;20;189891
434;1000;20;189758
438;1000;20;189600
448;1000;20;189445
450;1000;20;189421
451;1000;20;189416
454;1000;20;189300
455;1000;20;189238
496;1000;20;189218
498;1000;20;189106
