Setari{prioritate=5 memorie=7 nrDescarcari=15 ajungeAcasa=false nrIndivizi=1000}
Fisier generat in 2018/01/24 09:56
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
3000;28;2;1;186134
3000;36;192;397;142769
3000;12;114;705;138270
3000;32;8;149;154408
3000;20;1;9;181921
3000;16;40;119;157529
3000;24;106;1026;134058
Generatia;Nr indivizi;Viata;Fitness
0;3000;28;187063
0;3000;36;186541
1;3000;28;186134
1;3000;12;185285
2;3000;32;184092
3;3000;32;184084
3;3000;12;183293
6;3000;32;182614
7;3000;32;182323
9;3000;20;181921
9;3000;12;181785
9;3000;32;181752
10;3000;12;180920
12;3000;12;180051
13;3000;12;179862
14;3000;12;179396
15;3000;12;179285
16;3000;12;178433
17;3000;12;178267
18;3000;12;177636
19;3000;12;177016
22;3000;12;175806
23;3000;12;175644
25;3000;12;175581
26;3000;12;175006
27;3000;12;174973
28;3000;12;173489
31;3000;12;173229
33;3000;12;172488
35;3000;12;172130
36;3000;12;171920
37;3000;12;171897
36;3000;16;171833
38;3000;12;171734
39;3000;12;171160
41;3000;12;170639
41;3000;16;170420
42;3000;16;170268
43;3000;16;170031
45;3000;12;169873
44;3000;16;169577
45;3000;16;169513
47;3000;12;169330
48;3000;12;169238
47;3000;16;169211
49;3000;12;168660
51;3000;12;168641
52;3000;12;168400
53;3000;12;168027
54;3000;12;167659
55;3000;12;167217
58;3000;12;166993
57;3000;16;166978
59;3000;12;166878
58;3000;16;166514
59;3000;16;166363
61;3000;12;166361
60;3000;16;165832
61;3000;16;165457
62;3000;16;165225
63;3000;16;165204
64;3000;16;164948
65;3000;16;164891
66;3000;16;164496
68;3000;16;164352
69;3000;16;164318
70;3000;16;164151
69;3000;36;163960
71;3000;16;163707
72;3000;16;163444
73;3000;16;163147
76;3000;16;162992
77;3000;16;162918
78;3000;16;162692
80;3000;16;162340
81;3000;16;162289
82;3000;16;161948
83;3000;36;161809
85;3000;16;161670
86;3000;16;161492
87;3000;16;161336
88;3000;16;161203
89;3000;16;161181
87;3000;36;161089
88;3000;36;161017
91;3000;16;160806
92;3000;16;160782
93;3000;16;160736
91;3000;36;160499
94;3000;16;160480
95;3000;16;160292
93;3000;36;160029
95;3000;36;159883
96;3000;36;159586
98;3000;36;159428
99;3000;36;159339
100;3000;36;159202
102;3000;36;159098
103;3000;36;158915
104;3000;36;158884
105;3000;36;158662
106;3000;36;158483
107;3000;36;158248
110;3000;36;158198
111;3000;36;157973
113;3000;36;157752
114;3000;36;157608
115;3000;36;157604
119;3000;16;157529
116;3000;36;157310
117;3000;36;157281
118;3000;36;157123
119;3000;36;157011
120;3000;36;156868
121;3000;36;156775
122;3000;36;156549
123;3000;36;156396
124;3000;36;156290
125;3000;36;156213
126;3000;36;155968
129;3000;36;155745
131;3000;36;155643
132;3000;36;155532
133;3000;36;155461
134;3000;36;155328
136;3000;36;155312
137;3000;36;155196
138;3000;36;155157
142;3000;32;154596
144;3000;32;154413
145;3000;36;154410
149;3000;32;154408
146;3000;36;154086
149;3000;36;153854
151;3000;36;153777
152;3000;36;153635
153;3000;36;153538
154;3000;36;153386
156;3000;36;153284
157;3000;36;153237
158;3000;36;153171
159;3000;36;153145
160;3000;36;153077
161;3000;36;153003
162;3000;36;152937
163;3000;36;152861
164;3000;36;152762
165;3000;36;152664
166;3000;36;152576
168;3000;36;152445
171;3000;36;152419
172;3000;36;152164
174;3000;36;152063
175;3000;36;151850
176;3000;36;151630
178;3000;36;151611
179;3000;36;151472
180;3000;36;151424
181;3000;36;151367
184;3000;36;151249
185;3000;36;151225
186;3000;36;151181
187;3000;36;151138
188;3000;36;151089
189;3000;36;151037
190;3000;36;150948
191;3000;36;150808
193;3000;36;150723
195;3000;36;150620
197;3000;36;150612
199;3000;36;150555
200;3000;36;150510
202;3000;36;150251
203;3000;36;150247
204;3000;36;150153
206;3000;36;150050
209;3000;36;150030
210;3000;36;149942
211;3000;36;149871
212;3000;36;149837
213;3000;36;149801
214;3000;36;149782
215;3000;36;149688
216;3000;36;149666
217;3000;36;149536
220;3000;36;149395
221;3000;36;149337
223;3000;36;149183
225;3000;36;149148
226;3000;36;149073
227;3000;36;148842
229;3000;36;148840
230;3000;36;148530
233;3000;36;148203
236;3000;36;148147
237;3000;36;148036
239;3000;36;148007
240;3000;36;147920
242;3000;36;147918
245;3000;36;147904
247;3000;36;147889
250;3000;36;147852
252;3000;36;147777
257;3000;36;147648
259;3000;36;147525
265;3000;36;147463
266;3000;36;147422
267;3000;36;147371
269;3000;36;147308
271;3000;36;147289
272;3000;36;147170
273;3000;36;147118
274;3000;36;147109
275;3000;36;147094
276;3000;36;147002
278;3000;36;146963
279;3000;36;146917
280;3000;36;146900
281;3000;36;146811
282;3000;36;146811
283;3000;36;146781
284;3000;36;146773
285;3000;36;146623
287;3000;36;146566
288;3000;36;146507
289;3000;36;146506
291;3000;36;146462
292;3000;36;146360
293;3000;36;146321
294;3000;36;146283
298;3000;36;146225
299;3000;36;146130
303;3000;36;146105
305;3000;36;146008
308;3000;36;145856
309;3000;36;145761
312;3000;36;145745
314;3000;36;145654
315;3000;36;145651
316;3000;36;145633
317;3000;36;145596
318;3000;36;145545
320;3000;36;145515
321;3000;36;145497
322;3000;36;145460
323;3000;36;145434
325;3000;36;145417
326;3000;36;145370
327;3000;36;145349
328;3000;36;145336
330;3000;36;145226
332;3000;36;145098
333;3000;36;145013
334;3000;36;144899
338;3000;36;144808
339;3000;36;144781
340;3000;36;144772
357;3000;12;144726
344;3000;36;144708
361;3000;12;144705
346;3000;36;144606
347;3000;36;144561
348;3000;36;144529
350;3000;36;144449
352;3000;36;144274
354;3000;36;144257
355;3000;36;144082
360;3000;36;144034
361;3000;36;144030
364;3000;36;143922
367;3000;36;143907
369;3000;36;143855
371;3000;36;143791
373;3000;36;143740
374;3000;36;143724
375;3000;36;143680
376;3000;36;143672
377;3000;36;143595
396;3000;12;143464
398;3000;12;143401
382;3000;36;143395
400;3000;12;143357
384;3000;36;143334
401;3000;12;143245
403;3000;12;143232
404;3000;12;143156
392;3000;36;143094
412;3000;12;142810
396;3000;36;142782
397;3000;36;142769
415;3000;12;142753
417;3000;12;142407
418;3000;12;142402
425;3000;12;142332
430;3000;12;142329
431;3000;12;142282
432;3000;12;142275
440;3000;12;142238
444;3000;12;142197
447;3000;12;142190
448;3000;12;142126
452;3000;12;142119
459;3000;12;142105
462;3000;12;142065
474;3000;12;141934
479;3000;12;141848
480;3000;12;141847
485;3000;12;141752
494;3000;12;141617
504;3000;12;141563
505;3000;12;141510
509;3000;12;141487
512;3000;12;141450
513;3000;12;141427
515;3000;12;141399
516;3000;12;141317
517;3000;12;141247
518;3000;12;141068
522;3000;12;140958
525;3000;12;140944
528;3000;12;140934
530;3000;12;140782
533;3000;12;140769
534;3000;12;140758
537;3000;12;140597
538;3000;12;140595
539;3000;12;140549
542;3000;12;140519
544;3000;12;140466
546;3000;12;140444
557;3000;12;140370
567;3000;12;140323
574;3000;12;140293
578;3000;24;140281
578;3000;12;140273
581;3000;12;140230
584;3000;24;140063
592;3000;24;139990
596;3000;24;139952
598;3000;24;139893
599;3000;12;139856
602;3000;24;139768
603;3000;12;139737
605;3000;12;139710
607;3000;24;139665
606;3000;12;139564
610;3000;12;139460
612;3000;12;139418
622;3000;12;139361
625;3000;12;139333
628;3000;12;139316
631;3000;12;139231
633;3000;12;139185
642;3000;12;139166
645;3000;24;139130
648;3000;24;139123
650;3000;24;139121
649;3000;12;139119
650;3000;12;139093
653;3000;24;139071
653;3000;12;139047
655;3000;12;139046
662;3000;24;138845
664;3000;24;138845
671;3000;24;138839
677;3000;12;138821
678;3000;12;138816
680;3000;12;138814
685;3000;24;138801
684;3000;12;138682
686;3000;12;138680
696;3000;24;138652
698;3000;24;138491
700;3000;24;138388
704;3000;24;138311
705;3000;12;138270
709;3000;24;138207
710;3000;24;138203
711;3000;24;138113
712;3000;24;138105
714;3000;24;138076
715;3000;24;137858
716;3000;24;137815
717;3000;24;137719
719;3000;24;137692
720;3000;24;137668
721;3000;24;137635
723;3000;24;137606
724;3000;24;137586
725;3000;24;137427
727;3000;24;137343
742;3000;24;137293
746;3000;24;137173
749;3000;24;137169
751;3000;24;137038
752;3000;24;137033
754;3000;24;136988
761;3000;24;136933
779;3000;24;136896
780;3000;24;136836
785;3000;24;136782
790;3000;24;136773
800;3000;24;136742
802;3000;24;136704
805;3000;24;136650
812;3000;24;136594
813;3000;24;136505
815;3000;24;136406
818;3000;24;136404
819;3000;24;136262
822;3000;24;136149
825;3000;24;136019
827;3000;24;135942
830;3000;24;135891
832;3000;24;135884
834;3000;24;135834
835;3000;24;135832
841;3000;24;135745
842;3000;24;135711
844;3000;24;135700
846;3000;24;135624
847;3000;24;135579
854;3000;24;135527
862;3000;24;135481
866;3000;24;135449
867;3000;24;135441
868;3000;24;135403
869;3000;24;135395
879;3000;24;135380
880;3000;24;135376
883;3000;24;135312
884;3000;24;135235
887;3000;24;135234
894;3000;24;135194
896;3000;24;135140
900;3000;24;135106
913;3000;24;135075
920;3000;24;135046
930;3000;24;135036
942;3000;24;134976
945;3000;24;134929
947;3000;24;134880
949;3000;24;134868
952;3000;24;134821
953;3000;24;134799
958;3000;24;134679
960;3000;24;134654
961;3000;24;134611
964;3000;24;134579
968;3000;24;134576
974;3000;24;134515
981;3000;24;134499
982;3000;24;134402
986;3000;24;134386
992;3000;24;134378
996;3000;24;134353
1008;3000;24;134317
1010;3000;24;134304
1016;3000;24;134271
1021;3000;24;134239
1022;3000;24;134188
1024;3000;24;134155
1026;3000;24;134058
