Setari{prioritate=5 memorie=4 nrDescarcari=15 ajungeAcasa=false nrIndivizi=1000}
Fisier generat in 2018/01/30 20:31
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
2000;16;5;18;229840
2000;24;8;36;222593
2000;20;10;42;222137
2000;12;1;10;234243
Generatia;Nr indivizi;Viata;Fitness
1;2000;16;252160
2;2000;16;247261
3;2000;24;247198
3;2000;20;243768
4;2000;20;241720
5;2000;24;241134
5;2000;20;237194
7;2000;20;236777
10;2000;24;234463
10;2000;12;234243
11;2000;24;233014
12;2000;24;232809
13;2000;16;232132
13;2000;20;231519
15;2000;20;231098
16;2000;24;230598
17;2000;16;230399
18;2000;16;229840
19;2000;20;225001
23;2000;20;224222
29;2000;20;223848
32;2000;24;223752
36;2000;24;222593
42;2000;20;222137
