Setari{prioritate=9 memorie=2 nrDescarcari=15 ajungeAcasa=false nrIndivizi=1000}
Fisier generat in 2018/01/31 17:32
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
2000;12;262;1208;134961
2000;16;142;231;150483
Generatia;Nr indivizi;Viata;Fitness
0;2000;12;185708
2;2000;12;185280
2;2000;16;183344
4;2000;16;183238
6;2000;12;183091
7;2000;16;182984
8;2000;12;182759
9;2000;12;181751
9;2000;16;181307
10;2000;16;179953
12;2000;16;179771
13;2000;16;179201
14;2000;12;179076
15;2000;12;178680
16;2000;16;178392
17;2000;16;178302
17;2000;12;177892
19;2000;16;177389
19;2000;12;177066
22;2000;16;176400
22;2000;12;175255
26;2000;12;175032
29;2000;16;174783
30;2000;16;174396
31;2000;12;173970
32;2000;12;173768
34;2000;12;172900
36;2000;12;172366
38;2000;12;172341
41;2000;16;171868
39;2000;12;171661
42;2000;16;171499
40;2000;12;171441
43;2000;16;171251
41;2000;12;170982
42;2000;12;170651
43;2000;12;170619
46;2000;16;170259
47;2000;16;170129
45;2000;12;169917
48;2000;16;169657
49;2000;16;169312
47;2000;12;169084
52;2000;16;168698
51;2000;12;168640
54;2000;16;168212
55;2000;16;168062
57;2000;16;168022
58;2000;16;167802
56;2000;12;167535
57;2000;12;167493
60;2000;16;167240
62;2000;16;167213
60;2000;12;167024
61;2000;12;166165
67;2000;16;166158
68;2000;16;166109
66;2000;12;166034
69;2000;16;165869
71;2000;16;165561
72;2000;16;165460
73;2000;16;165048
74;2000;16;164784
75;2000;16;164298
76;2000;16;164063
77;2000;16;163927
78;2000;16;163503
80;2000;16;163134
81;2000;16;162732
82;2000;16;162585
83;2000;16;162247
84;2000;16;162172
85;2000;16;162121
86;2000;16;161776
87;2000;16;161453
88;2000;16;161257
89;2000;16;160747
91;2000;16;160350
92;2000;16;160348
93;2000;16;160275
94;2000;16;159801
96;2000;16;159611
97;2000;16;159475
98;2000;16;159325
99;2000;16;159300
100;2000;16;159087
101;2000;16;159002
102;2000;16;158861
103;2000;16;158807
105;2000;16;158735
106;2000;16;158714
107;2000;16;158590
108;2000;16;158510
109;2000;16;158461
110;2000;16;158249
112;2000;16;157965
114;2000;16;157747
116;2000;16;157555
117;2000;16;157507
118;2000;16;157328
119;2000;16;157184
121;2000;16;157106
122;2000;16;157083
123;2000;16;157014
124;2000;16;157008
125;2000;16;156828
128;2000;16;156686
131;2000;16;156655
132;2000;16;156556
133;2000;16;156525
134;2000;16;156516
135;2000;16;156438
136;2000;16;156273
138;2000;16;156126
139;2000;16;156019
140;2000;16;155918
143;2000;16;155767
144;2000;16;155762
145;2000;16;155602
147;2000;16;155168
150;2000;16;154770
152;2000;16;154588
155;2000;16;154468
157;2000;16;154416
158;2000;16;154322
161;2000;16;154178
163;2000;16;154046
164;2000;16;154035
166;2000;16;153964
167;2000;16;153800
168;2000;16;153555
170;2000;16;153512
172;2000;16;153463
173;2000;16;153436
175;2000;16;153237
177;2000;16;153232
178;2000;16;153198
179;2000;16;153123
180;2000;16;153090
181;2000;16;152934
183;2000;16;152880
185;2000;16;152862
187;2000;16;152853
188;2000;16;152708
190;2000;16;152464
191;2000;16;152442
194;2000;16;152430
195;2000;16;152343
196;2000;16;152089
201;2000;16;152054
202;2000;16;151911
203;2000;16;151753
204;2000;16;151549
207;2000;16;151478
208;2000;16;151478
211;2000;16;151443
212;2000;16;151355
213;2000;16;151314
214;2000;16;151222
216;2000;16;151151
217;2000;16;151116
219;2000;16;151062
220;2000;16;150983
221;2000;16;150880
223;2000;16;150786
224;2000;16;150752
225;2000;16;150709
226;2000;16;150636
227;2000;16;150600
227;2000;12;150580
229;2000;16;150566
228;2000;12;150484
231;2000;16;150483
230;2000;12;150395
231;2000;12;150096
234;2000;12;149917
235;2000;12;149869
236;2000;12;149786
237;2000;12;149640
238;2000;12;149624
239;2000;12;149500
240;2000;12;149468
241;2000;12;149452
242;2000;12;149424
243;2000;12;149393
244;2000;12;149335
245;2000;12;149188
247;2000;12;149183
248;2000;12;149175
249;2000;12;149116
250;2000;12;149041
251;2000;12;148927
253;2000;12;148865
255;2000;12;148758
256;2000;12;148757
257;2000;12;148674
258;2000;12;148542
259;2000;12;148476
260;2000;12;148318
263;2000;12;148094
264;2000;12;148060
265;2000;12;148020
266;2000;12;147873
269;2000;12;147835
270;2000;12;147776
271;2000;12;147696
273;2000;12;147635
274;2000;12;147419
279;2000;12;147353
281;2000;12;147228
282;2000;12;147157
284;2000;12;147148
286;2000;12;147020
288;2000;12;147013
292;2000;12;146884
293;2000;12;146808
294;2000;12;146801
295;2000;12;146796
297;2000;12;146733
298;2000;12;146583
300;2000;12;146536
301;2000;12;146382
306;2000;12;146373
307;2000;12;146347
308;2000;12;146331
310;2000;12;146279
314;2000;12;146179
316;2000;12;146128
318;2000;12;146066
319;2000;12;145776
323;2000;12;145774
326;2000;12;145738
329;2000;12;145735
331;2000;12;145702
332;2000;12;145683
333;2000;12;145526
334;2000;12;145478
336;2000;12;145476
340;2000;12;145269
342;2000;12;145266
343;2000;12;145165
347;2000;12;145112
349;2000;12;144718
352;2000;12;144666
356;2000;12;144521
357;2000;12;144436
359;2000;12;144434
360;2000;12;144262
362;2000;12;144143
365;2000;12;144025
367;2000;12;143902
370;2000;12;143836
372;2000;12;143698
373;2000;12;143664
375;2000;12;143646
378;2000;12;143646
380;2000;12;143599
381;2000;12;143599
384;2000;12;143528
385;2000;12;143409
393;2000;12;143392
394;2000;12;143383
397;2000;12;143198
398;2000;12;143195
401;2000;12;143016
403;2000;12;142999
405;2000;12;142802
432;2000;12;142753
433;2000;12;142617
439;2000;12;142537
443;2000;12;142535
444;2000;12;142474
447;2000;12;142273
450;2000;12;142221
452;2000;12;142161
454;2000;12;142109
459;2000;12;141977
460;2000;12;141933
461;2000;12;141923
467;2000;12;141763
468;2000;12;141686
470;2000;12;141667
472;2000;12;141654
473;2000;12;141621
478;2000;12;141608
479;2000;12;141589
524;2000;12;141562
525;2000;12;141524
526;2000;12;141500
527;2000;12;141342
530;2000;12;141191
531;2000;12;141171
532;2000;12;141149
534;2000;12;140926
536;2000;12;140919
538;2000;12;140749
540;2000;12;140683
541;2000;12;140638
544;2000;12;140578
549;2000;12;140478
552;2000;12;140370
554;2000;12;140292
555;2000;12;140258
558;2000;12;140180
561;2000;12;140172
564;2000;12;140158
565;2000;12;140076
569;2000;12;140068
573;2000;12;140011
576;2000;12;140003
588;2000;12;139999
590;2000;12;139993
600;2000;12;139980
604;2000;12;139951
606;2000;12;139947
610;2000;12;139886
627;2000;12;139880
630;2000;12;139857
633;2000;12;139846
635;2000;12;139801
638;2000;12;139757
641;2000;12;139679
645;2000;12;139635
649;2000;12;139618
674;2000;12;139512
682;2000;12;139437
687;2000;12;139404
691;2000;12;139371
