Setari{prioritate=9 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=1000}
Fisier generat in 2018/02/03 16:35
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
3000;12;576;1224;131487
Generatia;Nr indivizi;Viata;Fitness
0;3000;12;181706
1;3000;12;181021
2;3000;12;180937
3;3000;12;179328
5;3000;12;178875
6;3000;12;178286
8;3000;12;177559
9;3000;12;176872
10;3000;12;176872
11;3000;12;176796
12;3000;12;176275
14;3000;12;175893
15;3000;12;175047
17;3000;12;174548
18;3000;12;174413
19;3000;12;173984
20;3000;12;173461
21;3000;12;173120
22;3000;12;172285
24;3000;12;172285
25;3000;12;171909
26;3000;12;171091
29;3000;12;170904
30;3000;12;170036
31;3000;12;169884
32;3000;12;169884
33;3000;12;169240
34;3000;12;168697
35;3000;12;168574
36;3000;12;168375
37;3000;12;167747
38;3000;12;167545
39;3000;12;166893
41;3000;12;166181
42;3000;12;165443
45;3000;12;165227
46;3000;12;164936
47;3000;12;164795
48;3000;12;164255
50;3000;12;163812
51;3000;12;163749
52;3000;12;163388
53;3000;12;163380
54;3000;12;162705
55;3000;12;162577
56;3000;12;161955
57;3000;12;161955
58;3000;12;161859
59;3000;12;161558
60;3000;12;161470
61;3000;12;161128
63;3000;12;160984
64;3000;12;160602
65;3000;12;160602
66;3000;12;160375
67;3000;12;160284
68;3000;12;160234
69;3000;12;159827
71;3000;12;159588
72;3000;12;159588
73;3000;12;159456
74;3000;12;159286
75;3000;12;159259
76;3000;12;159036
78;3000;12;158828
79;3000;12;158578
80;3000;12;158351
81;3000;12;158127
82;3000;12;158107
83;3000;12;158056
84;3000;12;157812
85;3000;12;157770
86;3000;12;157499
87;3000;12;157068
88;3000;12;156875
89;3000;12;156695
91;3000;12;156437
92;3000;12;156308
93;3000;12;156291
94;3000;12;156232
95;3000;12;155948
96;3000;12;155828
98;3000;12;155797
99;3000;12;155715
100;3000;12;155577
101;3000;12;155385
103;3000;12;155121
104;3000;12;155054
105;3000;12;154965
106;3000;12;154770
107;3000;12;154770
108;3000;12;154703
109;3000;12;154652
110;3000;12;154508
111;3000;12;154050
112;3000;12;153904
113;3000;12;153885
114;3000;12;153810
115;3000;12;153562
116;3000;12;153375
117;3000;12;153359
118;3000;12;153237
119;3000;12;153150
120;3000;12;153032
122;3000;12;152975
123;3000;12;152943
124;3000;12;152827
125;3000;12;152827
126;3000;12;152596
127;3000;12;152596
128;3000;12;152478
129;3000;12;152389
130;3000;12;152192
131;3000;12;151908
132;3000;12;151808
133;3000;12;151808
134;3000;12;151788
135;3000;12;151607
136;3000;12;151553
137;3000;12;151491
138;3000;12;151397
139;3000;12;151374
140;3000;12;151289
141;3000;12;151118
142;3000;12;151064
144;3000;12;150859
145;3000;12;150685
147;3000;12;150566
148;3000;12;150566
150;3000;12;150546
152;3000;12;150323
153;3000;12;150323
154;3000;12;150282
155;3000;12;150282
156;3000;12;150250
157;3000;12;150209
158;3000;12;150131
159;3000;12;150131
160;3000;12;150131
161;3000;12;149880
162;3000;12;149835
163;3000;12;149819
164;3000;12;149819
165;3000;12;149636
167;3000;12;149563
168;3000;12;149563
169;3000;12;149563
170;3000;12;149464
171;3000;12;149407
172;3000;12;149350
173;3000;12;149205
175;3000;12;149172
176;3000;12;149164
177;3000;12;149085
178;3000;12;148993
179;3000;12;148918
180;3000;12;148791
181;3000;12;148656
182;3000;12;148656
184;3000;12;148656
185;3000;12;148623
186;3000;12;148245
187;3000;12;148245
188;3000;12;148213
189;3000;12;148179
190;3000;12;148124
191;3000;12;148009
192;3000;12;148009
193;3000;12;147896
195;3000;12;147896
196;3000;12;147779
197;3000;12;147764
199;3000;12;147764
200;3000;12;147673
201;3000;12;147569
203;3000;12;147556
204;3000;12;147444
205;3000;12;147407
206;3000;12;147192
207;3000;12;147192
208;3000;12;147008
209;3000;12;146956
210;3000;12;146956
212;3000;12;146804
213;3000;12;146631
215;3000;12;146631
216;3000;12;146392
218;3000;12;146392
220;3000;12;146362
221;3000;12;146308
222;3000;12;146204
223;3000;12;146200
224;3000;12;146053
226;3000;12;145992
227;3000;12;145991
228;3000;12;145809
229;3000;12;145809
230;3000;12;145770
231;3000;12;145602
232;3000;12;145602
233;3000;12;145491
234;3000;12;145491
235;3000;12;145451
237;3000;12;145351
238;3000;12;145284
240;3000;12;145244
241;3000;12;145209
242;3000;12;145060
243;3000;12;144798
245;3000;12;144758
246;3000;12;144715
248;3000;12;144711
250;3000;12;144365
251;3000;12;144330
252;3000;12;144330
254;3000;12;144169
256;3000;12;144139
257;3000;12;144043
258;3000;12;143969
259;3000;12;143939
260;3000;12;143907
261;3000;12;143894
262;3000;12;143824
263;3000;12;143797
264;3000;12;143757
265;3000;12;143702
266;3000;12;143702
267;3000;12;143662
268;3000;12;143662
269;3000;12;143613
271;3000;12;143575
272;3000;12;143479
274;3000;12;143407
277;3000;12;143067
279;3000;12;143008
280;3000;12;143004
281;3000;12;142945
282;3000;12;142907
284;3000;12;142866
285;3000;12;142794
286;3000;12;142716
287;3000;12;142716
288;3000;12;142630
289;3000;12;142516
290;3000;12;142430
291;3000;12;142430
292;3000;12;142396
293;3000;12;142378
294;3000;12;142309
296;3000;12;142207
297;3000;12;142173
298;3000;12;142127
299;3000;12;142076
300;3000;12;141992
301;3000;12;141909
302;3000;12;141909
303;3000;12;141657
304;3000;12;141595
305;3000;12;141522
306;3000;12;141503
307;3000;12;141499
308;3000;12;141457
309;3000;12;141409
310;3000;12;141337
311;3000;12;141318
312;3000;12;141127
313;3000;12;141019
314;3000;12;140770
315;3000;12;140757
316;3000;12;140757
317;3000;12;140543
318;3000;12;140463
319;3000;12;140441
320;3000;12;140439
321;3000;12;140416
322;3000;12;140409
323;3000;12;140384
324;3000;12;140374
325;3000;12;140372
326;3000;12;140349
327;3000;12;140349
328;3000;12;140235
329;3000;12;140210
330;3000;12;140153
331;3000;12;140129
332;3000;12;140015
333;3000;12;139890
334;3000;12;139890
335;3000;12;139862
336;3000;12;139862
337;3000;12;139778
338;3000;12;139771
339;3000;12;139746
340;3000;12;139659
341;3000;12;139655
342;3000;12;139655
343;3000;12;139623
345;3000;12;139532
346;3000;12;139498
347;3000;12;139498
348;3000;12;139498
352;3000;12;139469
355;3000;12;139458
356;3000;12;139308
357;3000;12;139308
358;3000;12;139255
360;3000;12;139243
363;3000;12;139217
364;3000;12;139216
365;3000;12;139178
366;3000;12;139023
368;3000;12;138994
370;3000;12;138985
371;3000;12;138985
372;3000;12;138888
374;3000;12;138877
375;3000;12;138787
377;3000;12;138787
383;3000;12;138730
384;3000;12;138730
387;3000;12;138343
390;3000;12;138295
391;3000;12;138295
393;3000;12;138198
396;3000;12;138150
397;3000;12;138150
402;3000;12;138150
411;3000;12;138136
413;3000;12;138091
414;3000;12;138091
420;3000;12;138091
421;3000;12;138090
423;3000;12;138047
425;3000;12;138011
426;3000;12;138011
427;3000;12;137996
428;3000;12;137976
430;3000;12;137952
431;3000;12;137952
432;3000;12;137935
433;3000;12;137932
434;3000;12;137915
437;3000;12;137915
439;3000;12;137845
440;3000;12;137845
442;3000;12;137845
445;3000;12;137809
