Setari{prioritate=9 memorie=10 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/04 18:01
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;28;1;0;183691
100;20;3;3;181260
100;32;87;141;160978
200;20;1;79;164686
400;20;1;113;160909
200;28;16;167;158795
200;32;7;235;158221
800;20;35;206;153061
400;28;7;291;153283
Generatia;Nr indivizi;Viata;Fitness
0;100;28;183691
0;100;20;181764
2;100;20;181744
3;100;20;181260
3;100;32;179291
6;100;32;178886
7;100;32;178436
9;100;32;178192
11;100;32;177211
13;100;32;176715
14;100;32;176401
16;100;32;176361
17;100;32;176200
18;100;32;175473
19;100;32;175234
20;100;32;174602
22;100;32;174310
24;100;32;173659
29;100;32;173414
34;100;32;173124
36;100;32;172574
38;100;32;172291
43;100;32;172188
44;100;32;172144
45;100;32;171832
46;100;32;171660
48;100;32;171598
49;100;32;171508
50;100;32;171331
51;100;32;170845
52;100;32;170715
53;100;32;170509
54;100;32;170265
55;100;32;170028
58;100;32;169472
60;100;32;169036
63;100;32;168927
64;100;32;168926
65;100;32;168722
66;100;32;168673
67;100;32;168543
68;100;32;168403
69;100;32;168193
71;100;32;168079
72;100;32;168076
73;100;32;167876
75;100;32;167620
76;100;32;167608
78;100;32;167431
80;100;32;167387
82;100;32;167260
83;100;32;167230
85;100;32;166593
86;100;32;166463
87;100;32;166462
88;100;32;166451
89;100;32;165995
90;100;32;165909
91;100;32;165885
93;100;32;165859
94;100;32;165745
95;100;32;165686
98;100;32;165463
99;100;32;165415
100;100;32;165265
101;100;32;165264
102;100;32;165238
103;100;32;165124
104;100;32;165110
105;100;32;165058
106;100;32;165003
107;100;32;164837
108;100;32;164835
109;100;32;164731
79;200;20;164686
113;100;32;164621
114;100;32;164130
115;100;32;164036
116;100;32;163752
119;100;32;163318
122;100;32;163016
124;100;32;162789
126;100;32;162622
127;100;32;162520
128;100;32;162420
129;100;32;162244
130;100;32;162112
134;100;32;161896
135;100;32;161728
137;100;32;161649
140;100;32;161375
141;100;32;160978
113;400;20;160909
121;200;28;160661
123;200;28;160541
125;200;28;160539
126;200;28;160371
127;200;28;160305
128;200;28;160218
129;200;28;160029
130;200;28;160010
131;200;28;159564
133;200;28;159553
134;200;28;159541
135;200;28;159473
146;200;28;159296
156;200;28;159185
160;200;28;159045
218;200;32;158843
167;200;28;158795
225;200;32;158586
141;800;20;158585
228;200;32;158583
229;200;32;158393
230;200;32;158282
234;200;32;158271
235;200;32;158221
144;800;20;158124
146;800;20;157789
148;800;20;157526
149;800;20;157464
150;800;20;157239
152;800;20;157200
153;800;20;157068
154;800;20;156889
156;800;20;156620
157;800;20;156563
159;800;20;156441
160;800;20;156296
161;800;20;156166
162;800;20;156142
164;800;20;155703
166;800;20;155606
167;800;20;155533
168;800;20;155483
169;800;20;155420
170;800;20;155133
172;800;20;155113
173;800;20;154795
176;800;20;154511
178;800;20;154498
180;800;20;154445
181;800;20;154172
182;800;20;153924
185;800;20;153761
187;800;20;153756
189;800;20;153721
191;800;20;153659
192;800;20;153641
269;400;28;153602
270;400;28;153517
198;800;20;153458
282;400;28;153420
284;400;28;153413
286;400;28;153380
290;400;28;153328
291;400;28;153283
206;800;20;153061
