Setari{prioritate=9 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/04 18:33
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;12;95;209;161639
200;12;26;321;158622
400;12;198;899;143618
800;12;11;966;143029
1600;12;47;1124;140670
Generatia;Nr indivizi;Viata;Fitness
0;100;12;184812
1;100;12;183126
2;100;12;181588
6;100;12;180339
7;100;12;180191
8;100;12;179929
9;100;12;179200
10;100;12;178858
11;100;12;178239
12;100;12;177949
15;100;12;177785
16;100;12;177754
17;100;12;177643
18;100;12;177069
19;100;12;176592
21;100;12;176342
22;100;12;176323
23;100;12;175886
24;100;12;175779
25;100;12;175762
26;100;12;175288
29;100;12;174883
33;100;12;174515
35;100;12;174405
36;100;12;173786
40;100;12;173783
41;100;12;173363
42;100;12;173067
46;100;12;172631
47;100;12;172346
49;100;12;171962
50;100;12;171859
52;100;12;171698
53;100;12;171694
54;100;12;171558
55;100;12;171459
56;100;12;171279
57;100;12;170867
59;100;12;170593
60;100;12;170421
61;100;12;170204
62;100;12;169796
65;100;12;169503
66;100;12;169239
68;100;12;169022
69;100;12;168722
71;100;12;168386
74;100;12;168320
76;100;12;168158
78;100;12;167770
89;100;12;167724
91;100;12;167594
96;100;12;167336
97;100;12;167286
100;100;12;167146
101;100;12;167085
102;100;12;167066
103;100;12;166994
104;100;12;166650
106;100;12;166512
108;100;12;166256
111;100;12;166215
119;100;12;166070
125;100;12;165940
126;100;12;165647
127;100;12;165437
128;100;12;165387
129;100;12;165318
130;100;12;165211
131;100;12;165142
132;100;12;165115
135;100;12;164743
137;100;12;164598
142;100;12;164511
144;100;12;164384
145;100;12;164184
146;100;12;164134
152;100;12;164096
153;100;12;164084
157;100;12;164046
167;100;12;163941
174;100;12;163725
176;100;12;163619
181;100;12;163597
183;100;12;163540
191;100;12;163522
194;100;12;163401
195;100;12;162957
196;100;12;162466
198;100;12;162443
199;100;12;162437
200;100;12;162261
201;100;12;161965
206;100;12;161709
209;100;12;161639
233;200;12;161509
237;200;12;161343
238;200;12;161264
241;200;12;161226
242;200;12;161045
244;200;12;160981
245;200;12;160726
247;200;12;160590
258;200;12;160560
259;200;12;160540
260;200;12;160502
263;200;12;160472
269;200;12;160238
271;200;12;160106
285;200;12;160087
287;200;12;159686
289;200;12;159610
294;200;12;159397
299;200;12;159350
302;200;12;159072
304;200;12;159025
306;200;12;158940
311;200;12;158868
316;200;12;158668
319;200;12;158626
321;200;12;158622
344;400;12;158491
347;400;12;158277
352;400;12;158274
353;400;12;158163
356;400;12;158121
358;400;12;158098
359;400;12;157837
363;400;12;157748
365;400;12;157706
366;400;12;157703
367;400;12;157627
375;400;12;157453
378;400;12;157131
383;400;12;157077
389;400;12;156998
390;400;12;156991
391;400;12;156876
393;400;12;156862
395;400;12;156785
396;400;12;156768
397;400;12;156668
398;400;12;156612
399;400;12;156574
400;400;12;156457
402;400;12;156379
404;400;12;156249
408;400;12;156052
415;400;12;155991
417;400;12;155769
424;400;12;155690
426;400;12;155503
430;400;12;155401
432;400;12;155371
433;400;12;155097
438;400;12;154949
439;400;12;154836
441;400;12;154747
442;400;12;154591
444;400;12;154551
445;400;12;154484
446;400;12;154387
448;400;12;154287
452;400;12;154202
453;400;12;154199
454;400;12;154074
458;400;12;154032
459;400;12;153791
460;400;12;153787
463;400;12;153587
464;400;12;153538
465;400;12;153522
466;400;12;153510
467;400;12;153395
468;400;12;153198
470;400;12;153091
473;400;12;152976
479;400;12;152929
482;400;12;152865
484;400;12;152813
486;400;12;152766
487;400;12;152662
491;400;12;152456
495;400;12;152428
498;400;12;152348
500;400;12;152346
501;400;12;152231
502;400;12;152088
503;400;12;152007
505;400;12;151907
508;400;12;151783
512;400;12;151621
516;400;12;151483
521;400;12;151332
522;400;12;151272
524;400;12;151159
525;400;12;151128
529;400;12;151101
530;400;12;151056
531;400;12;150998
532;400;12;150957
533;400;12;150751
534;400;12;150750
537;400;12;150609
539;400;12;150558
541;400;12;150557
542;400;12;150526
543;400;12;150497
544;400;12;150479
545;400;12;150452
549;400;12;150443
551;400;12;150439
552;400;12;150431
555;400;12;150395
565;400;12;150231
571;400;12;150155
574;400;12;150132
577;400;12;150075
579;400;12;150035
580;400;12;150026
581;400;12;149861
583;400;12;149843
584;400;12;149737
585;400;12;149671
587;400;12;149657
588;400;12;149643
590;400;12;149510
591;400;12;149342
593;400;12;149247
596;400;12;149178
597;400;12;149135
598;400;12;148965
603;400;12;148957
604;400;12;148866
609;400;12;148771
610;400;12;148752
612;400;12;148622
614;400;12;148602
617;400;12;148396
621;400;12;148257
624;400;12;148205
625;400;12;147768
634;400;12;147738
636;400;12;147736
637;400;12;147704
640;400;12;147684
646;400;12;147671
648;400;12;147589
663;400;12;147555
670;400;12;147481
672;400;12;147453
674;400;12;147449
676;400;12;147446
681;400;12;147354
687;400;12;147291
689;400;12;147228
690;400;12;147164
692;400;12;147074
693;400;12;147010
696;400;12;146915
707;400;12;146873
711;400;12;146853
713;400;12;146835
717;400;12;146750
722;400;12;146725
726;400;12;146704
730;400;12;146677
733;400;12;146642
735;400;12;146637
736;400;12;146628
740;400;12;146544
743;400;12;146533
744;400;12;146468
746;400;12;146434
747;400;12;146306
750;400;12;146251
753;400;12;146049
755;400;12;145965
763;400;12;145874
768;400;12;145847
769;400;12;145807
774;400;12;145660
777;400;12;145633
779;400;12;145336
781;400;12;145308
788;400;12;145224
794;400;12;145159
795;400;12;145136
799;400;12;145128
805;400;12;145072
809;400;12;145060
811;400;12;145005
815;400;12;144962
817;400;12;144906
819;400;12;144893
820;400;12;144887
822;400;12;144844
823;400;12;144827
825;400;12;144821
827;400;12;144779
834;400;12;144712
842;400;12;144707
848;400;12;144468
855;400;12;144465
859;400;12;144452
863;400;12;144443
865;400;12;144427
868;400;12;144294
871;400;12;144061
873;400;12;144041
874;400;12;144035
875;400;12;144031
877;400;12;144028
882;400;12;143967
885;400;12;143876
891;400;12;143826
892;400;12;143771
895;400;12;143763
899;400;12;143618
928;800;12;143523
934;800;12;143513
935;800;12;143480
940;800;12;143403
941;800;12;143301
