Setari{prioritate=9 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/04 19:53
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;104;388;165562
150;20;21;506;163112
125;20;21;625;159462
104;20;2;628;159250
156;20;1;653;159180
234;20;17;733;157679
351;20;21;842;155720
292;20;4;851;155549
438;20;21;960;153943
547;20;10;1034;153012
820;20;21;1134;151321
683;20;21;1296;149513
569;20;11;1369;148170
853;20;21;1435;147511
710;20;16;1494;146441
1065;20;1;1523;146386
1597;20;4;1578;146033
2395;20;3;1610;145919
Generatia;Nr indivizi;Viata;Fitness
1;100;20;186625
4;100;20;186359
7;100;20;186075
10;100;20;185886
11;100;20;185505
12;100;20;184461
13;100;20;184061
15;100;20;184053
17;100;20;183584
18;100;20;183207
19;100;20;182810
20;100;20;182570
21;100;20;182429
22;100;20;181776
23;100;20;181531
24;100;20;181526
25;100;20;181313
27;100;20;180653
28;100;20;179799
33;100;20;179675
34;100;20;179429
36;100;20;179331
38;100;20;179224
39;100;20;179215
41;100;20;178894
44;100;20;178200
46;100;20;177823
48;100;20;177538
49;100;20;177455
52;100;20;177182
57;100;20;177152
65;100;20;177023
71;100;20;176994
72;100;20;176895
74;100;20;176448
78;100;20;176271
80;100;20;176043
84;100;20;175940
87;100;20;175855
91;100;20;175043
93;100;20;174957
96;100;20;174828
98;100;20;174804
99;100;20;174742
100;100;20;174555
114;100;20;173842
116;100;20;173798
119;100;20;173716
121;100;20;173666
124;100;20;173628
125;100;20;173537
127;100;20;173505
136;100;20;173111
145;100;20;172628
146;100;20;172567
150;100;20;172564
157;100;20;172498
167;100;20;172236
171;100;20;172225
172;100;20;172219
174;100;20;171500
182;100;20;171460
184;100;20;171325
185;100;20;171189
199;100;20;170999
200;100;20;170614
214;100;20;170576
226;100;20;170505
227;100;20;170450
228;100;20;170167
231;100;20;170097
233;100;20;169979
246;100;20;169698
255;100;20;169370
256;100;20;169345
271;100;20;169337
273;100;20;169092
276;100;20;168775
277;100;20;168570
278;100;20;168424
280;100;20;168337
282;100;20;168320
286;100;20;168310
291;100;20;168283
297;100;20;168263
300;100;20;167824
305;100;20;167643
322;100;20;167198
323;100;20;167117
325;100;20;167035
326;100;20;166911
333;100;20;166718
334;100;20;166674
348;100;20;166670
354;100;20;166561
360;100;20;166482
362;100;20;166084
364;100;20;166005
365;100;20;165858
367;100;20;165813
374;100;20;165797
379;100;20;165645
385;100;20;165613
388;100;20;165562
419;150;20;165469
423;150;20;164976
431;150;20;164664
439;150;20;164610
446;150;20;164555
448;150;20;164444
451;150;20;164407
455;150;20;164394
458;150;20;164274
460;150;20;164151
470;150;20;164068
473;150;20;163745
476;150;20;163616
477;150;20;163578
483;150;20;163574
486;150;20;163544
489;150;20;163509
492;150;20;163393
497;150;20;163296
503;150;20;163217
506;150;20;163112
507;125;20;162930
512;125;20;162434
513;125;20;162382
515;125;20;162372
524;125;20;162334
534;125;20;162002
540;125;20;161880
544;125;20;161873
545;125;20;161617
548;125;20;161610
549;125;20;161490
553;125;20;161186
554;125;20;160990
575;125;20;160967
580;125;20;160752
585;125;20;160090
603;125;20;160038
604;125;20;159724
619;125;20;159523
621;125;20;159507
625;125;20;159462
626;104;20;159340
628;104;20;159250
653;156;20;159180
686;234;20;159104
689;234;20;159008
690;234;20;158962
692;234;20;158946
693;234;20;158864
695;234;20;158812
698;234;20;158779
699;234;20;158744
702;234;20;158700
708;234;20;158682
712;234;20;158665
714;234;20;158660
717;234;20;158044
722;234;20;157873
727;234;20;157844
729;234;20;157720
733;234;20;157679
766;351;20;157555
769;351;20;157285
778;351;20;156463
779;351;20;156436
783;351;20;156383
784;351;20;156373
785;351;20;156334
786;351;20;156281
787;351;20;156270
799;351;20;156228
803;351;20;156131
806;351;20;156090
811;351;20;156053
814;351;20;156042
815;351;20;156005
817;351;20;155935
818;351;20;155898
829;351;20;155812
836;351;20;155733
838;351;20;155725
842;351;20;155720
846;292;20;155700
848;292;20;155691
850;292;20;155562
851;292;20;155549
873;438;20;155365
875;438;20;155229
879;438;20;155191
886;438;20;155158
888;438;20;155066
889;438;20;155000
890;438;20;154993
892;438;20;154894
893;438;20;154866
894;438;20;154802
895;438;20;154800
896;438;20;154519
902;438;20;154363
905;438;20;154319
912;438;20;154225
915;438;20;154195
918;438;20;154189
921;438;20;154160
931;438;20;154034
950;438;20;153950
960;438;20;153943
986;547;20;153876
990;547;20;153862
992;547;20;153399
1000;547;20;153397
1010;547;20;153391
1011;547;20;153268
1012;547;20;153095
1017;547;20;153036
1032;547;20;153023
1034;547;20;153012
1061;820;20;152955
1062;820;20;152740
1070;820;20;152694
1071;820;20;152504
1077;820;20;152459
1082;820;20;152421
1087;820;20;152388
1092;820;20;152281
1096;820;20;152212
1100;820;20;152100
1101;820;20;152052
1102;820;20;152043
1103;820;20;152032
1104;820;20;151845
1106;820;20;151777
1109;820;20;151689
1111;820;20;151642
1114;820;20;151592
1116;820;20;151545
1133;820;20;151342
1134;820;20;151321
1137;683;20;151219
1142;683;20;150873
1153;683;20;150851
1167;683;20;150777
1168;683;20;150712
1187;683;20;150644
1191;683;20;150548
1195;683;20;150503
1200;683;20;150419
1203;683;20;150330
1207;683;20;150198
1215;683;20;150086
1217;683;20;150009
1224;683;20;149832
1244;683;20;149778
1254;683;20;149743
1256;683;20;149721
1265;683;20;149544
1267;683;20;149543
1286;683;20;149529
1296;683;20;149513
1314;569;20;149409
1316;569;20;149299
1327;569;20;149175
1329;569;20;148829
1334;569;20;148758
1339;569;20;148754
1352;569;20;148650
1362;569;20;148604
1364;569;20;148301
1368;569;20;148262
1369;569;20;148170
1394;853;20;148150
1395;853;20;148137
1396;853;20;148125
1397;853;20;148032
1398;853;20;148012
1399;853;20;148008
1400;853;20;148004
1401;853;20;147992
1402;853;20;147904
1405;853;20;147829
1410;853;20;147817
1412;853;20;147779
1413;853;20;147713
1415;853;20;147702
1417;853;20;147680
1420;853;20;147673
1421;853;20;147641
1423;853;20;147602
1426;853;20;147563
1434;853;20;147559
1435;853;20;147511
1438;710;20;147467
1440;710;20;147411
1442;710;20;147353
1448;710;20;147265
1449;710;20;147259
1450;710;20;147246
1458;710;20;147068
1466;710;20;147010
1468;710;20;147002
1469;710;20;146960
1470;710;20;146920
1472;710;20;146596
1474;710;20;146582
1476;710;20;146559
1490;710;20;146504
1494;710;20;146441
1523;1065;20;146386
1551;1597;20;146377
1556;1597;20;146268
1560;1597;20;146152
1578;1597;20;146033
1606;2395;20;146023
1607;2395;20;146002
1610;2395;20;145919
