Setari{prioritate=9 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/04 20:59
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;57;174;168938
110;20;31;240;159875
99;20;264;1107;137627
108;20;1;1138;137581
141;20;31;1350;136325
128;20;31;1443;135356
116;20;31;1603;134091
105;20;3;1624;133965
126;20;6;1703;133759
138;20;1;1731;133744
182;20;31;1936;132662
165;20;32;2161;131226
150;20;2;2136;131229
181;20;28;2337;130474
199;20;1;2369;130464
218;20;13;2456;129984
460;20;31;2720;129259
418;20;21;2787;128359
504;20;31;2966;127633
458;20;31;3098;126975
416;20;31;3275;125850
378;20;31;3402;125139
343;20;5;3447;125044
377;20;1;3470;125040
500;20;4;3574;124997
605;20;32;3808;124173
550;20;4;3781;124177
731;20;2;3867;124159
972;20;31;4052;123717
883;20;8;4091;123501
971;20;2;4122;123460
1291;20;31;4304;122665
1173;20;8;4337;122473
Generatia;Nr indivizi;Viata;Fitness
0;100;20;188967
1;100;20;187381
2;100;20;187353
3;100;20;186915
4;100;20;185556
5;100;20;185050
8;100;20;184719
9;100;20;183714
10;100;20;183004
12;100;20;183000
15;100;20;181928
17;100;20;181794
19;100;20;181661
20;100;20;180605
21;100;20;180455
22;100;20;179787
26;100;20;179242
27;100;20;178906
33;100;20;178381
38;100;20;178118
41;100;20;178068
43;100;20;177899
45;100;20;176716
50;100;20;176594
53;100;20;176298
56;100;20;175796
58;100;20;175660
61;100;20;175580
63;100;20;175518
64;100;20;175373
69;100;20;175360
70;100;20;175235
72;100;20;174880
77;100;20;174702
79;100;20;174316
80;100;20;173685
89;100;20;173680
92;100;20;172937
94;100;20;172887
98;100;20;172209
107;100;20;172207
108;100;20;172108
112;100;20;171919
113;100;20;171811
117;100;20;171803
119;100;20;171773
120;100;20;171126
135;100;20;171057
142;100;20;170866
147;100;20;170602
151;100;20;170462
154;100;20;170371
162;100;20;170193
164;100;20;170181
165;100;20;169717
170;100;20;169071
174;100;20;168938
200;110;20;168936
201;110;20;168441
202;110;20;168166
203;110;20;167976
204;110;20;167886
205;110;20;167392
206;110;20;167322
207;110;20;166831
208;110;20;166282
211;110;20;165890
212;110;20;165601
214;110;20;165287
215;110;20;164693
216;110;20;164619
217;110;20;164209
218;110;20;164105
219;110;20;163516
221;110;20;162913
222;110;20;162643
224;110;20;162366
226;110;20;162210
227;110;20;162117
228;110;20;161875
230;110;20;161663
231;110;20;161443
232;110;20;161049
235;110;20;160618
236;110;20;160511
238;110;20;160347
239;110;20;160108
240;110;20;159875
242;99;20;159623
243;99;20;159246
244;99;20;159004
247;99;20;158902
248;99;20;158754
250;99;20;158440
251;99;20;158089
253;99;20;157872
256;99;20;157533
258;99;20;157047
260;99;20;157030
261;99;20;157018
262;99;20;156635
265;99;20;156617
266;99;20;156352
267;99;20;156191
268;99;20;156139
269;99;20;156128
270;99;20;155960
273;99;20;155821
275;99;20;155539
276;99;20;155326
278;99;20;155227
279;99;20;155015
281;99;20;154971
283;99;20;154816
284;99;20;154634
288;99;20;154494
290;99;20;154469
291;99;20;154382
294;99;20;154313
295;99;20;154276
297;99;20;154002
300;99;20;153723
302;99;20;153719
304;99;20;153638
307;99;20;153520
308;99;20;153504
309;99;20;153297
313;99;20;153005
316;99;20;152886
317;99;20;152786
319;99;20;152727
320;99;20;152703
321;99;20;152684
322;99;20;152626
323;99;20;152428
324;99;20;152417
325;99;20;152341
326;99;20;152279
328;99;20;152095
331;99;20;151978
332;99;20;151905
333;99;20;151857
334;99;20;151844
335;99;20;151733
336;99;20;151530
340;99;20;151389
341;99;20;151350
342;99;20;151267
343;99;20;151124
345;99;20;151047
346;99;20;150761
349;99;20;150736
350;99;20;150690
351;99;20;150442
352;99;20;150399
354;99;20;150384
355;99;20;150338
356;99;20;150279
358;99;20;149919
361;99;20;149909
362;99;20;149830
363;99;20;149810
364;99;20;149799
365;99;20;149709
367;99;20;149690
368;99;20;149666
369;99;20;149617
371;99;20;149579
372;99;20;149574
373;99;20;149538
377;99;20;149534
380;99;20;149530
383;99;20;149453
386;99;20;149436
396;99;20;149409
398;99;20;149185
400;99;20;149158
401;99;20;149007
403;99;20;148950
404;99;20;148908
405;99;20;148802
408;99;20;148757
409;99;20;148716
410;99;20;148699
411;99;20;148278
415;99;20;148101
416;99;20;148008
418;99;20;147920
421;99;20;147819
424;99;20;147675
429;99;20;147649
432;99;20;147526
437;99;20;147476
445;99;20;147370
450;99;20;147251
454;99;20;147113
457;99;20;146954
462;99;20;146917
465;99;20;146830
467;99;20;146822
469;99;20;146759
474;99;20;146482
476;99;20;146419
477;99;20;146291
481;99;20;146142
482;99;20;145996
483;99;20;145948
487;99;20;145858
489;99;20;145784
492;99;20;145751
493;99;20;145735
494;99;20;145646
497;99;20;145597
498;99;20;145567
502;99;20;145518
504;99;20;145515
508;99;20;145466
509;99;20;145398
510;99;20;145329
516;99;20;145248
520;99;20;145042
524;99;20;145041
526;99;20;145024
529;99;20;145023
530;99;20;144985
539;99;20;144953
542;99;20;144873
546;99;20;144868
547;99;20;144754
550;99;20;144728
551;99;20;144522
554;99;20;144513
556;99;20;144377
559;99;20;144325
560;99;20;144267
561;99;20;144174
564;99;20;144169
565;99;20;144043
569;99;20;144032
570;99;20;143921
573;99;20;143890
575;99;20;143803
583;99;20;143800
589;99;20;143791
593;99;20;143769
599;99;20;143758
601;99;20;143714
602;99;20;143682
605;99;20;143666
607;99;20;143594
608;99;20;143579
611;99;20;143559
613;99;20;143489
614;99;20;143439
623;99;20;143356
624;99;20;143309
628;99;20;143226
630;99;20;143210
637;99;20;143141
638;99;20;143026
640;99;20;143003
642;99;20;142949
644;99;20;142759
647;99;20;142683
649;99;20;142549
662;99;20;142507
666;99;20;142345
672;99;20;142340
675;99;20;142332
677;99;20;142301
680;99;20;142299
681;99;20;142288
688;99;20;142198
698;99;20;142194
701;99;20;142183
705;99;20;142179
707;99;20;141931
708;99;20;141919
709;99;20;141915
718;99;20;141887
720;99;20;141816
723;99;20;141659
728;99;20;141620
737;99;20;141616
741;99;20;141533
742;99;20;141465
746;99;20;141373
755;99;20;141307
758;99;20;141174
765;99;20;141152
767;99;20;140940
770;99;20;140918
771;99;20;140806
774;99;20;140790
775;99;20;140781
780;99;20;140743
789;99;20;140655
794;99;20;140652
795;99;20;140586
799;99;20;140463
802;99;20;140353
806;99;20;140296
816;99;20;140204
819;99;20;140169
825;99;20;140109
826;99;20;140067
830;99;20;140045
831;99;20;140020
832;99;20;139953
834;99;20;139948
835;99;20;139874
838;99;20;139835
853;99;20;139735
866;99;20;139702
870;99;20;139683
871;99;20;139631
884;99;20;139552
900;99;20;139538
904;99;20;139534
919;99;20;139506
920;99;20;139443
924;99;20;139389
930;99;20;139291
939;99;20;139239
940;99;20;139188
944;99;20;139168
950;99;20;139153
952;99;20;139088
953;99;20;139042
972;99;20;138853
974;99;20;138739
975;99;20;138677
977;99;20;138603
984;99;20;138586
986;99;20;138569
1003;99;20;138435
1019;99;20;138344
1025;99;20;138287
1041;99;20;138229
1042;99;20;138226
1046;99;20;138188
1047;99;20;138169
1052;99;20;138110
1056;99;20;138104
1059;99;20;138085
1060;99;20;138036
1078;99;20;137978
1079;99;20;137925
1082;99;20;137821
1090;99;20;137807
1103;99;20;137702
1107;99;20;137627
1138;108;20;137581
1221;141;20;137553
1223;141;20;137529
1229;141;20;137450
1235;141;20;137437
1249;141;20;137388
1251;141;20;137342
1255;141;20;137319
1261;141;20;137235
1266;141;20;137228
1272;141;20;137223
1273;141;20;137155
1275;141;20;137148
1278;141;20;137147
1281;141;20;136927
1286;141;20;136880
1288;141;20;136759
1293;141;20;136719
1298;141;20;136701
1300;141;20;136699
1301;141;20;136607
1304;141;20;136590
1306;141;20;136587
1308;141;20;136570
1319;141;20;136544
1324;141;20;136532
1325;141;20;136500
1329;141;20;136488
1330;141;20;136355
1343;141;20;136341
1346;141;20;136329
1350;141;20;136325
1351;128;20;136306
1355;128;20;136303
1359;128;20;136247
1362;128;20;136191
1364;128;20;136107
1368;128;20;136053
1373;128;20;136042
1375;128;20;136031
1376;128;20;135987
1379;128;20;135984
1380;128;20;135962
1381;128;20;135951
1382;128;20;135927
1384;128;20;135923
1386;128;20;135897
1387;128;20;135876
1390;128;20;135839
1394;128;20;135834
1397;128;20;135802
1402;128;20;135759
1407;128;20;135573
1408;128;20;135562
1420;128;20;135541
1424;128;20;135506
1426;128;20;135497
1427;128;20;135485
1429;128;20;135441
1431;128;20;135427
1436;128;20;135403
1441;128;20;135388
1443;128;20;135356
1445;116;20;135341
1447;116;20;135329
1457;116;20;135318
1460;116;20;135268
1465;116;20;135215
1466;116;20;135189
1469;116;20;135134
1470;116;20;135066
1472;116;20;135055
1476;116;20;135031
1484;116;20;135001
1486;116;20;134917
1490;116;20;134887
1491;116;20;134872
1492;116;20;134842
1506;116;20;134787
1515;116;20;134705
1521;116;20;134693
1523;116;20;134617
1527;116;20;134612
1539;116;20;134587
1542;116;20;134529
1546;116;20;134498
1562;116;20;134361
