Setari{prioritate=9 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/04 21:25
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;354;739;135712
110;20;1;767;135673
212;20;31;1012;134536
192;20;31;1113;132828
174;20;31;1265;131664
158;20;9;1305;131486
173;20;1;1338;131453
190;20;20;1468;130670
209;20;1;1491;130602
229;20;31;1685;129765
208;20;14;1780;129197
302;20;31;2032;128173
274;20;13;2129;127621
301;20;1;2152;127619
331;20;27;2329;124906
364;20;1;2353;124902
400;20;14;2463;124377
440;20;1;2492;124371
532;20;1;2542;124362
585;20;4;2579;124239
707;20;5;2641;124144
Generatia;Nr indivizi;Viata;Fitness
0;100;20;186931
1;100;20;186105
2;100;20;185844
3;100;20;185135
4;100;20;184359
5;100;20;183954
6;100;20;183094
7;100;20;182740
8;100;20;181786
9;100;20;181407
10;100;20;180768
11;100;20;179969
13;100;20;179142
14;100;20;178068
16;100;20;177419
17;100;20;176752
18;100;20;176432
19;100;20;175910
20;100;20;175621
21;100;20;175076
22;100;20;174450
24;100;20;174250
25;100;20;174060
26;100;20;173403
28;100;20;173089
29;100;20;172773
30;100;20;172353
31;100;20;171752
33;100;20;171528
34;100;20;171021
35;100;20;170864
36;100;20;169644
38;100;20;169574
39;100;20;169494
40;100;20;169203
41;100;20;168963
42;100;20;168377
44;100;20;168161
45;100;20;167840
46;100;20;167257
48;100;20;166903
49;100;20;166832
50;100;20;166599
51;100;20;166395
52;100;20;166084
53;100;20;166062
54;100;20;165583
56;100;20;165485
57;100;20;164444
59;100;20;164026
61;100;20;164003
62;100;20;163993
63;100;20;163859
64;100;20;163677
66;100;20;163652
67;100;20;163272
68;100;20;162824
70;100;20;162656
71;100;20;162566
72;100;20;162542
73;100;20;162537
74;100;20;162136
76;100;20;162124
77;100;20;162007
78;100;20;161721
79;100;20;161532
81;100;20;161455
82;100;20;161230
83;100;20;161154
84;100;20;161029
85;100;20;160988
86;100;20;160631
88;100;20;160437
92;100;20;160093
93;100;20;160044
94;100;20;159943
95;100;20;159762
96;100;20;159733
97;100;20;159567
99;100;20;159217
100;100;20;158986
102;100;20;158813
103;100;20;158752
104;100;20;158393
106;100;20;158321
107;100;20;158169
110;100;20;158153
111;100;20;158100
112;100;20;157679
115;100;20;157463
117;100;20;157455
119;100;20;157370
120;100;20;157141
121;100;20;157105
123;100;20;156822
124;100;20;156713
126;100;20;156692
127;100;20;156660
128;100;20;156574
129;100;20;156502
130;100;20;156137
133;100;20;155836
136;100;20;155754
137;100;20;155746
138;100;20;155561
140;100;20;155167
144;100;20;155018
145;100;20;154965
146;100;20;154918
149;100;20;154758
151;100;20;154664
152;100;20;154651
153;100;20;154540
154;100;20;154501
155;100;20;154397
159;100;20;154354
160;100;20;154232
161;100;20;154208
162;100;20;154156
163;100;20;154151
164;100;20;153954
165;100;20;153921
168;100;20;153827
169;100;20;153589
172;100;20;153537
173;100;20;153486
174;100;20;153299
175;100;20;153100
178;100;20;152955
179;100;20;152932
180;100;20;152857
182;100;20;152811
183;100;20;152467
186;100;20;152411
187;100;20;152210
189;100;20;152179
190;100;20;152090
191;100;20;151845
193;100;20;151731
194;100;20;151716
195;100;20;151702
196;100;20;151581
198;100;20;151535
199;100;20;151493
202;100;20;151313
205;100;20;151298
206;100;20;151136
207;100;20;150850
210;100;20;150845
211;100;20;150838
213;100;20;150767
214;100;20;150647
215;100;20;150590
216;100;20;150555
217;100;20;150414
219;100;20;150099
220;100;20;149907
224;100;20;149868
225;100;20;149858
226;100;20;149752
228;100;20;149693
232;100;20;149603
234;100;20;149437
240;100;20;149432
241;100;20;149326
242;100;20;149260
244;100;20;149239
245;100;20;149130
246;100;20;148995
247;100;20;148928
248;100;20;148900
249;100;20;148889
250;100;20;148839
251;100;20;148654
253;100;20;148598
255;100;20;148594
256;100;20;148522
257;100;20;148511
258;100;20;148407
259;100;20;148270
260;100;20;148166
261;100;20;148154
263;100;20;148019
266;100;20;147943
267;100;20;147912
268;100;20;147833
270;100;20;147760
271;100;20;147738
272;100;20;147693
274;100;20;147620
275;100;20;147513
278;100;20;147505
279;100;20;147353
281;100;20;147271
282;100;20;147256
283;100;20;147192
284;100;20;147093
285;100;20;147071
286;100;20;146894
288;100;20;146786
290;100;20;146731
293;100;20;146699
294;100;20;146683
295;100;20;146533
296;100;20;146412
298;100;20;146313
299;100;20;146117
300;100;20;146064
303;100;20;145959
305;100;20;145919
306;100;20;145855
307;100;20;145815
313;100;20;145801
319;100;20;145547
323;100;20;145502
324;100;20;145351
328;100;20;145306
336;100;20;145264
337;100;20;145195
339;100;20;145119
342;100;20;145009
343;100;20;144948
346;100;20;144940
349;100;20;144909
351;100;20;144700
352;100;20;144697
355;100;20;144524
360;100;20;144315
362;100;20;144295
364;100;20;144294
365;100;20;144288
366;100;20;144241
367;100;20;144174
369;100;20;143972
372;100;20;143956
373;100;20;143880
374;100;20;143815
375;100;20;143785
377;100;20;143737
378;100;20;143648
387;100;20;143621
390;100;20;143473
393;100;20;143448
394;100;20;143416
396;100;20;143361
398;100;20;143333
399;100;20;143297
400;100;20;143107
402;100;20;142947
404;100;20;142892
406;100;20;142822
407;100;20;142820
409;100;20;142813
410;100;20;142804
412;100;20;142744
416;100;20;142727
435;100;20;142690
439;100;20;142627
440;100;20;142542
442;100;20;142503
443;100;20;142491
444;100;20;142441
445;100;20;142320
447;100;20;142240
449;100;20;142091
450;100;20;142066
451;100;20;142035
454;100;20;142019
458;100;20;141858
462;100;20;141824
463;100;20;141668
464;100;20;141510
470;100;20;141446
473;100;20;141437
477;100;20;141427
478;100;20;141336
482;100;20;141326
483;100;20;141248
492;100;20;141228
494;100;20;141212
495;100;20;141070
499;100;20;141054
503;100;20;140938
506;100;20;140915
513;100;20;140846
514;100;20;140709
519;100;20;140622
521;100;20;140352
524;100;20;140174
526;100;20;140113
529;100;20;139935
532;100;20;139898
536;100;20;139631
540;100;20;139617
541;100;20;139586
546;100;20;139506
549;100;20;139500
550;100;20;139472
551;100;20;139432
554;100;20;139398
555;100;20;139343
556;100;20;139272
558;100;20;139188
559;100;20;139144
560;100;20;139120
562;100;20;139085
565;100;20;138930
568;100;20;138862
571;100;20;138860
572;100;20;138741
573;100;20;138561
576;100;20;138542
579;100;20;138346
583;100;20;138345
584;100;20;138274
589;100;20;138257
590;100;20;138202
595;100;20;138074
598;100;20;138056
600;100;20;137950
606;100;20;137869
613;100;20;137848
624;100;20;137833
627;100;20;137795
628;100;20;137737
630;100;20;137653
631;100;20;137469
633;100;20;137376
634;100;20;137289
637;100;20;137011
639;100;20;136931
645;100;20;136920
653;100;20;136905
659;100;20;136817
662;100;20;136721
663;100;20;136625
667;100;20;136610
669;100;20;136515
676;100;20;136432
682;100;20;136285
685;100;20;136248
688;100;20;136244
689;100;20;136202
691;100;20;136198
693;100;20;136121
695;100;20;136086
703;100;20;136025
707;100;20;136016
711;100;20;136013
716;100;20;135940
717;100;20;135901
732;100;20;135834
735;100;20;135764
739;100;20;135712
767;110;20;135673
929;212;20;135602
930;212;20;135592
931;212;20;135556
932;212;20;135449
934;212;20;135415
936;212;20;135403
937;212;20;135331
941;212;20;135309
942;212;20;135285
949;212;20;135270
950;212;20;135147
955;212;20;135121
967;212;20;135106
968;212;20;135102
972;212;20;135101
976;212;20;135087
977;212;20;135065
978;212;20;135027
982;212;20;135000
983;212;20;134995
984;212;20;134990
986;212;20;134959
990;212;20;134954
993;212;20;134903
995;212;20;134861
996;212;20;134856
998;212;20;134748
1002;212;20;134650
1004;212;20;134615
1008;212;20;134559
1012;212;20;134536
1016;192;20;134477
1031;192;20;134471
1035;192;20;134464
1036;192;20;134444
1040;192;20;134436
1045;192;20;134418
1046;192;20;133929
1051;192;20;133910
1052;192;20;133825
1056;192;20;133777
1061;192;20;133770
1062;192;20;133761
1063;192;20;133756
1066;192;20;133740
1067;192;20;133640
1070;192;20;133593
1072;192;20;133524
1073;192;20;133488
1075;192;20;133473
1079;192;20;133408
1082;192;20;133399
1084;192;20;133383
1085;192;20;133377
1086;192;20;133255
1089;192;20;133230
1090;192;20;133123
1093;192;20;133099
1095;192;20;133055
1100;192;20;132954
1106;192;20;132846
1113;192;20;132828
1115;174;20;132818
1117;174;20;132812
1119;174;20;132716
1125;174;20;132690
1126;174;20;132666
1131;174;20;132631
1137;174;20;132619
1141;174;20;132586
1145;174;20;132573
1147;174;20;132570
1148;174;20;132501
1156;174;20;132412
1169;174;20;132361
1178;174;20;132111
1179;174;20;132093
1194;174;20;132082
1202;174;20;132027
1203;174;20;132025
1208;174;20;132015
1209;174;20;131993
1212;174;20;131880
1215;174;20;131849
1220;174;20;131840
1225;174;20;131779
1233;174;20;131756
1237;174;20;131730
1246;174;20;131708
1258;174;20;131686
1260;174;20;131685
1263;174;20;131678
1265;174;20;131664
1268;158;20;131615
1271;158;20;131600
1273;158;20;131591
1275;158;20;131566
1280;158;20;131535
1283;158;20;131522
1292;158;20;131513
1304;158;20;131490
1305;158;20;131486
1338;173;20;131453
1361;190;20;131445
1362;190;20;131422
1365;190;20;131311
1369;190;20;131287
1370;190;20;131279
1384;190;20;131270
1392;190;20;131172
1397;190;20;131170
1401;190;20;131157
1403;190;20;131107
1405;190;20;131092
1409;190;20;130936
1413;190;20;130891
1423;190;20;130826
1431;190;20;130789
1433;190;20;130788
1448;190;20;130784
1459;190;20;130735
1465;190;20;130679
1468;190;20;130670
1491;209;20;130602
1514;229;20;130507
1519;229;20;130466
1524;229;20;130455
1525;229;20;130445
1532;229;20;130421
1536;229;20;130397
1538;229;20;130378
1540;229;20;130373
1550;229;20;130326
1551;229;20;130296
1556;229;20;130270
1559;229;20;130266
1562;229;20;130240
1563;229;20;130234
1567;229;20;130204
1577;229;20;130166
1584;229;20;130163
1591;229;20;130121
1595;229;20;130056
1600;229;20;130038
1616;229;20;130035
1617;229;20;129979
1622;229;20;129976
1627;229;20;129957
1632;229;20;129925
1637;229;20;129906
1647;229;20;129876
1654;229;20;129839
1670;229;20;129832
1680;229;20;129788
1685;229;20;129765
1688;208;20;129762
1690;208;20;129740
1692;208;20;129697
1705;208;20;129675
1707;208;20;129663
1712;208;20;129640
1715;208;20;129637
1723;208;20;129585
1726;208;20;129583
1728;208;20;129554
1740;208;20;129422
1760;208;20;129414
1768;208;20;129404
1780;208;20;129197
1869;302;20;129150
1887;302;20;129122
1888;302;20;129100
1895;302;20;129095
1902;302;20;129090
1906;302;20;129066
1911;302;20;129035
1915;302;20;129011
1918;302;20;129005
1931;302;20;128984
1936;302;20;128906
1941;302;20;128884
1943;302;20;128875
1945;302;20;128866
1946;302;20;128819
1948;302;20;128799
1968;302;20;128694
1969;302;20;128687
1975;302;20;128680
1977;302;20;128633
1978;302;20;128591
1979;302;20;128519
1982;302;20;128477
1986;302;20;128434
1995;302;20;128414
2000;302;20;128374
2016;302;20;128347
2024;302;20;128343
2027;302;20;128262
2029;302;20;128187
2032;302;20;128173
2033;274;20;128096
2039;274;20;128089
2055;274;20;128041
2062;274;20;128021
2067;274;20;128006
2072;274;20;127990
2076;274;20;127917
2086;274;20;127722
2100;274;20;127709
2107;274;20;127703
2113;274;20;127678
2117;274;20;127630
2129;274;20;127621
2152;301;20;127619
2176;331;20;127593
2181;331;20;127568
2182;331;20;127565
