Setari{prioritate=3 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/05 13:59
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
150;20;51;53;132011
136;20;41;99;125073
204;20;10;110;123555
185;20;51;174;117938
168;20;17;199;116364
252;20;34;248;114150
229;20;39;297;112045
343;20;12;317;111337
311;20;48;398;109680
466;20;3;402;109597
423;20;51;488;108037
384;20;6;494;107674
576;20;45;573;106440
523;20;13;599;105173
784;20;38;670;104049
712;20;9;698;103886
1068;20;40;799;102844
1602;20;2;803;102789
1456;20;45;897;101563
2184;20;6;911;101426
1985;20;41;997;100452
2977;20;10;1022;100301
2706;20;32;1097;99872
4059;20;19;1132;99677
3689;20;10;1156;99411
Generatia;Nr indivizi;Viata;Fitness
0;150;20;154436
1;150;20;150745
3;150;20;149563
4;150;20;148847
5;150;20;147859
6;150;20;147231
7;150;20;146864
8;150;20;145981
9;150;20;145496
10;150;20;144700
11;150;20;144539
12;150;20;143626
13;150;20;143499
14;150;20;142955
15;150;20;142941
16;150;20;142641
17;150;20;142283
18;150;20;141994
19;150;20;141580
20;150;20;140819
21;150;20;140647
22;150;20;140535
23;150;20;139690
24;150;20;139678
25;150;20;139556
26;150;20;138722
27;150;20;138716
28;150;20;138129
29;150;20;137817
30;150;20;137592
31;150;20;137386
32;150;20;137069
33;150;20;136872
34;150;20;136104
35;150;20;135828
36;150;20;135440
37;150;20;135270
39;150;20;134959
40;150;20;134715
41;150;20;134661
42;150;20;134449
43;150;20;133985
44;150;20;133941
45;150;20;133635
46;150;20;133525
47;150;20;133403
48;150;20;133352
49;150;20;132975
51;150;20;132585
52;150;20;132332
53;150;20;132011
54;136;20;131913
55;136;20;131511
56;136;20;131289
57;136;20;131039
58;136;20;130945
59;136;20;130698
60;136;20;130455
61;136;20;130234
62;136;20;130119
63;136;20;130015
64;136;20;129825
65;136;20;129701
66;136;20;129488
67;136;20;129275
68;136;20;129034
69;136;20;128574
71;136;20;128328
73;136;20;128210
74;136;20;128056
75;136;20;127745
77;136;20;127665
78;136;20;127503
80;136;20;127288
81;136;20;127269
