Setari{prioritate=6 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/05 19:25
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;167;199;135000
170;20;1;200;134948
154;20;51;278;131572
140;20;51;377;129688
127;20;7;398;129213
215;20;44;484;126620
195;20;50;598;124638
331;20;1;603;124635
300;20;51;707;122300
272;20;34;792;121403
462;20;17;844;120756
419;20;51;954;119119
380;20;12;995;118693
646;20;39;1088;118040
587;20;26;1192;117441
Generatia;Nr indivizi;Viata;Fitness
0;100;20;174033
1;100;20;171496
2;100;20;169925
3;100;20;169724
5;100;20;168259
6;100;20;167624
7;100;20;166735
8;100;20;166134
9;100;20;165762
10;100;20;164711
11;100;20;164580
12;100;20;163508
13;100;20;163365
14;100;20;162725
15;100;20;162203
16;100;20;161901
17;100;20;161028
18;100;20;160602
19;100;20;160087
20;100;20;159524
21;100;20;159378
22;100;20;158906
23;100;20;158493
24;100;20;158006
25;100;20;157232
26;100;20;156992
27;100;20;156360
28;100;20;156068
29;100;20;155797
30;100;20;155431
31;100;20;154809
32;100;20;154784
33;100;20;154562
34;100;20;154411
35;100;20;154239
36;100;20;153865
37;100;20;153336
39;100;20;153167
41;100;20;152878
42;100;20;152760
43;100;20;152619
44;100;20;152084
46;100;20;151993
47;100;20;151729
48;100;20;151569
49;100;20;151215
50;100;20;150568
52;100;20;150380
53;100;20;150204
54;100;20;150140
55;100;20;150044
56;100;20;149949
57;100;20;149442
59;100;20;149346
60;100;20;148977
62;100;20;148781
63;100;20;148777
64;100;20;147795
65;100;20;147777
66;100;20;147618
67;100;20;147448
68;100;20;147146
70;100;20;146775
73;100;20;146691
74;100;20;146416
75;100;20;146208
77;100;20;146117
78;100;20;146111
79;100;20;145860
80;100;20;145391
81;100;20;145266
82;100;20;144933
83;100;20;144870
84;100;20;144767
85;100;20;144503
86;100;20;144354
87;100;20;144326
88;100;20;144116
89;100;20;144029
90;100;20;143576
93;100;20;143519
94;100;20;143045
96;100;20;142971
97;100;20;142920
98;100;20;142835
99;100;20;142805
100;100;20;142623
101;100;20;142527
102;100;20;142467
104;100;20;142435
105;100;20;142164
106;100;20;142079
107;100;20;142057
108;100;20;141846
109;100;20;141828
110;100;20;141635
111;100;20;141367
113;100;20;141252
114;100;20;141165
115;100;20;141143
116;100;20;141059
117;100;20;140973
118;100;20;140944
119;100;20;140862
120;100;20;140792
121;100;20;140684
122;100;20;140566
123;100;20;140388
124;100;20;140272
125;100;20;140166
126;100;20;140075
127;100;20;139975
128;100;20;139852
129;100;20;139652
130;100;20;139631
131;100;20;139478
132;100;20;139438
133;100;20;139428
134;100;20;139263
135;100;20;139140
136;100;20;139100
137;100;20;138899
139;100;20;138843
140;100;20;138804
141;100;20;138389
142;100;20;138352
143;100;20;138239
144;100;20;138075
145;100;20;138055
146;100;20;137996
147;100;20;137927
148;100;20;137826
149;100;20;137747
150;100;20;137737
151;100;20;137618
152;100;20;137586
153;100;20;137383
155;100;20;137302
156;100;20;137168
157;100;20;137120
158;100;20;136877
159;100;20;136683
162;100;20;136440
164;100;20;136371
167;100;20;136302
168;100;20;136278
170;100;20;136252
171;100;20;136222
172;100;20;136203
173;100;20;136170
174;100;20;136077
175;100;20;136026
177;100;20;135981
178;100;20;135873
179;100;20;135855
183;100;20;135809
186;100;20;135621
189;100;20;135532
191;100;20;135476
192;100;20;135387
193;100;20;135327
194;100;20;135304
195;100;20;135295
196;100;20;135219
197;100;20;135181
198;100;20;135080
199;100;20;135000
200;170;20;134948
201;154;20;134871
202;154;20;134834
203;154;20;134783
204;154;20;134761
205;154;20;134720
206;154;20;134498
208;154;20;134432
210;154;20;134145
211;154;20;134116
213;154;20;134010
214;154;20;133981
215;154;20;133971
216;154;20;133908
218;154;20;133847
219;154;20;133765
222;154;20;133679
224;154;20;133569
228;154;20;133510
229;154;20;133483
230;154;20;133444
231;154;20;133355
232;154;20;133332
233;154;20;133295
236;154;20;133242
237;154;20;133193
238;154;20;133135
239;154;20;133102
241;154;20;132974
242;154;20;132948
243;154;20;132815
244;154;20;132768
245;154;20;132657
247;154;20;132563
248;154;20;132430
252;154;20;132403
255;154;20;132399
258;154;20;132268
261;154;20;132267
262;154;20;132075
264;154;20;132071
265;154;20;132012
266;154;20;131941
268;154;20;131878
269;154;20;131877
270;154;20;131789
272;154;20;131788
273;154;20;131729
274;154;20;131718
275;154;20;131675
277;154;20;131605
278;154;20;131572
279;140;20;131562
282;140;20;131547
283;140;20;131546
284;140;20;131520
285;140;20;131506
286;140;20;131469
287;140;20;131465
288;140;20;131460
289;140;20;131421
290;140;20;131394
291;140;20;131346
292;140;20;131324
293;140;20;131322
294;140;20;131307
295;140;20;131277
296;140;20;131270
301;140;20;131240
305;140;20;131222
307;140;20;131192
310;140;20;131149
312;140;20;131136
313;140;20;131013
315;140;20;131000
317;140;20;130956
319;140;20;130894
320;140;20;130855
323;140;20;130827
324;140;20;130743
326;140;20;130706
329;140;20;130665
331;140;20;130652
332;140;20;130593
334;140;20;130580
336;140;20;130577
