Setari{prioritate=6 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=100}
Fisier generat in 2018/02/05 21:37
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;160;197;119560
170;20;1;200;119503
154;20;51;296;116242
140;20;51;377;113536
127;20;8;396;113393
215;20;43;491;111732
195;20;38;597;110312
331;20;13;626;110012
300;20;51;724;108440
272;20;25;799;107506
462;20;26;865;106817
419;20;45;998;105767
712;20;6;1010;105670
647;20;51;1146;104376
588;20;20;1199;103748
999;20;31;1266;102886
908;20;45;1399;102177
1543;20;6;1418;102061
1402;20;51;1537;101014
1274;20;24;1599;100551
2165;20;27;1654;100168
1968;20;51;1782;99489
1789;20;4;1799;99438
3041;20;47;1918;98886
2764;20;28;1999;98292
4698;20;23;2052;98049
4270;20;51;2169;96844
3881;20;11;2199;96787
6597;20;3;2205;96732
Generatia;Nr indivizi;Viata;Fitness
1;100;20;154556
2;100;20;153978
3;100;20;152559
4;100;20;151496
5;100;20;150484
6;100;20;148315
7;100;20;147607
9;100;20;146805
10;100;20;146417
11;100;20;145467
12;100;20;145112
13;100;20;144404
14;100;20;144241
15;100;20;143663
16;100;20;143021
17;100;20;142745
18;100;20;142579
19;100;20;142007
20;100;20;141648
21;100;20;141195
22;100;20;140571
24;100;20;140416
25;100;20;140079
26;100;20;139847
27;100;20;139698
28;100;20;139258
29;100;20;139160
30;100;20;138769
31;100;20;138662
32;100;20;138157
33;100;20;138087
34;100;20;137857
35;100;20;137591
36;100;20;137085
38;100;20;136776
39;100;20;136251
40;100;20;135977
41;100;20;135923
42;100;20;135815
43;100;20;135386
45;100;20;134642
46;100;20;134293
47;100;20;134110
48;100;20;134057
49;100;20;133781
50;100;20;133728
51;100;20;133590
52;100;20;133398
53;100;20;133093
54;100;20;132902
55;100;20;132765
56;100;20;132432
57;100;20;132365
58;100;20;132077
59;100;20;132002
60;100;20;131726
61;100;20;131547
62;100;20;131431
63;100;20;131332
64;100;20;131155
65;100;20;131074
66;100;20;130810
68;100;20;130502
69;100;20;130273
70;100;20;130073
71;100;20;129946
72;100;20;129805
73;100;20;129626
74;100;20;129481
