Setari{prioritate=6 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=400}
Fisier generat in 2018/02/06 18:08
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
400;20;811;3892;97423
576;20;7;3876;97657
480;20;5;3877;97541
829;20;4;3295;98427
691;20;1;1864;100998
1716;20;2;3194;98654
826;20;2;3068;98790
1192;20;1;2368;99913
478;20;1;2373;99906
5000;20;4;3735;97798
2008;20;2;3540;98038
670;20;3;3546;98032
4267;20;1;2685;99421
2962;20;1;2687;99408
2468;20;1;2688;99404
1427;20;2;3375;98257
1189;20;2;3376;98233
990;20;1;2693;99360
825;20;2;3469;98073
687;20;2;3470;98054
476;20;1;2697;99328
994;20;2;3138;98691
558;20;1;3037;98813
1430;20;2;3686;97837
397;20;1;3072;98787
479;20;1;3142;98668
396;20;1;3203;98647
575;20;1;3297;98399
5120;20;1;3368;98312
4266;20;1;3369;98292
1713;20;1;3374;98268
3556;20;2;3925;97410
2469;20;1;3463;98080
991;20;1;3468;98074
1673;20;1;3541;98033
477;20;1;3692;97816
3471;20;1;3737;97766
2410;20;1;3739;97750
2964;20;1;3771;97745
1428;20;1;3930;97387
Generatia;Nr indivizi;Viata;Fitness
0;400;20;152904
1;400;20;151838
2;400;20;151438
3;400;20;150871
4;400;20;149824
5;400;20;149027
6;400;20;148690
7;400;20;147817
8;400;20;147337
9;400;20;146595
10;400;20;145882
11;400;20;145747
12;400;20;145218
13;400;20;144068
14;400;20;143916
15;400;20;143449
16;400;20;142750
17;400;20;142668
18;400;20;141952
19;400;20;141315
20;400;20;140433
21;400;20;140296
22;400;20;139331
23;400;20;138902
24;400;20;138172
25;400;20;138105
27;400;20;137813
28;400;20;137104
29;400;20;136937
30;400;20;136726
31;400;20;136459
32;400;20;136207
33;400;20;135804
34;400;20;135796
35;400;20;135212
36;400;20;135100
37;400;20;134905
38;400;20;134481
39;400;20;134236
40;400;20;133785
41;400;20;133712
42;400;20;133166
43;400;20;132739
45;400;20;132628
46;400;20;132459
47;400;20;132295
48;400;20;132086
50;400;20;131555
52;400;20;131295
54;400;20;131059
55;400;20;130980
56;400;20;130766
57;400;20;130545
58;400;20;130379
59;400;20;130187
60;400;20;129960
61;400;20;129845
62;400;20;129627
63;400;20;129537
64;400;20;129334
65;400;20;129148
66;400;20;129119
67;400;20;128851
68;400;20;128516
70;400;20;128287
71;400;20;128163
72;400;20;128099
73;400;20;127943
74;400;20;127473
76;400;20;127128
78;400;20;126995
79;400;20;126504
80;400;20;126488
81;400;20;126184
82;400;20;125996
83;400;20;125846
84;400;20;125588
85;400;20;125310
86;400;20;125242
87;400;20;125171
88;400;20;124973
89;400;20;124862
90;400;20;124762
91;400;20;124658
92;400;20;124475
93;400;20;124387
94;400;20;124130
96;400;20;123943
97;400;20;123851
98;400;20;123649
99;400;20;123646
101;400;20;123482
102;400;20;123390
104;400;20;123184
105;400;20;123178
106;400;20;123168
107;400;20;123063
108;400;20;122987
109;400;20;122825
110;400;20;122740
111;400;20;122531
114;400;20;122476
115;400;20;122424
116;400;20;122302
117;400;20;122286
118;400;20;122193
119;400;20;121977
120;400;20;121903
121;400;20;121825
122;400;20;121765
124;400;20;121661
126;400;20;121622
127;400;20;121576
128;400;20;121571
129;400;20;121251
130;400;20;121052
132;400;20;121037
133;400;20;120911
