Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false nrIndivizi=252}
Fisier generat in 2018/02/06 18:43
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
252;20;671;3542;96850
251;20;5;3400;97029
2229;20;4;3052;97263
745;20;2;2498;98299
516;20;4;3094;97239
430;20;2;3019;97274
248;20;3;3384;97040
362;20;1;1397;101483
5000;20;5;3458;97016
4166;20;2;2237;98895
1673;20;1;1497;101161
1394;20;6;3465;96980
1161;20;5;3466;96973
670;20;3;2774;97543
223;20;3;2780;97507
434;20;1;1761;100403
748;20;3;2901;97404
300;20;2;2285;98780
2674;20;3;3085;97262
1546;20;1;1838;99828
1073;20;2;2559;98181
894;20;1;1841;99806
624;20;4;2975;97338
897;20;2;3181;97152
299;20;1;1899;99709
5541;20;2;3218;97149
1854;20;1;1942;99540
1072;20;3;3227;97090
893;20;3;3015;97297
1291;20;3;3336;97061
620;20;6;3017;97277
358;20;5;3020;97266
4618;20;2;2864;97481
1287;20;2;2871;97442
3471;20;5;3460;97007
558;20;3;3154;97164
465;20;3;3471;96965
322;20;1;2251;98845
1549;20;2;2494;98310
1857;20;1;2392;98393
1074;20;1;2395;98392
2228;20;1;2555;98190
298;20;2;3383;97041
967;20;2;3151;97167
805;20;2;3468;96967
4609;20;1;2816;97498
515;20;1;2828;97493
3206;20;1;2866;97477
2671;20;1;2867;97446
1076;20;2;3376;97045
746;20;1;2931;97376
3208;20;1;3008;97332
2227;20;1;3010;97302
744;20;1;3016;97288
1856;20;1;3087;97248
1288;20;1;3089;97242
4617;20;1;3219;97127
1545;20;1;3225;97124
1858;20;1;3258;97078
520;20;1;3282;97076
621;20;1;3379;97043
2410;20;1;3462;96990
Generatia;Nr indivizi;Viata;Fitness
1;252;20;154604
2;252;20;152242
3;252;20;151256
4;252;20;150790
5;252;20;149249
6;252;20;149189
7;252;20;148927
8;252;20;147608
9;252;20;147408
10;252;20;146677
11;252;20;145555
12;252;20;145101
13;252;20;144736
14;252;20;144297
15;252;20;143768
16;252;20;143348
17;252;20;143224
18;252;20;142418
19;252;20;141883
20;252;20;141878
21;252;20;141319
22;252;20;141302
23;252;20;139928
26;252;20;138834
27;252;20;138645
28;252;20;138169
29;252;20;137969
30;252;20;137571
31;252;20;137176
32;252;20;137098
33;252;20;136830
34;252;20;136553
35;252;20;136430
36;252;20;135880
37;252;20;135721
38;252;20;135413
39;252;20;135304
40;252;20;135076
41;252;20;134758
42;252;20;134618
43;252;20;134235
44;252;20;134032
45;252;20;133921
46;252;20;133613
47;252;20;133338
48;252;20;133201
49;252;20;132461
51;252;20;131933
52;252;20;131923
53;252;20;131786
54;252;20;131673
55;252;20;131239
57;252;20;131044
58;252;20;130731
59;252;20;130264
62;252;20;130070
63;252;20;129914
64;252;20;129582
65;252;20;129313
67;252;20;129161
68;252;20;128788
69;252;20;128600
70;252;20;128421
71;252;20;128198
72;252;20;127878
74;252;20;127723
75;252;20;127534
76;252;20;127309
77;252;20;127263
78;252;20;127155
79;252;20;126839
80;252;20;126680
81;252;20;126578
82;252;20;126372
83;252;20;126262
84;252;20;126131
85;252;20;126083
86;252;20;125905
87;252;20;125745
89;252;20;125521
90;252;20;125514
91;252;20;125233
92;252;20;125002
94;252;20;124699
95;252;20;124689
96;252;20;124562
98;252;20;124301
99;252;20;124129
100;252;20;124071
101;252;20;123928
102;252;20;123742
103;252;20;123568
104;252;20;123452
105;252;20;123373
106;252;20;123278
107;252;20;123262
108;252;20;122901
110;252;20;122797
111;252;20;122700
112;252;20;122481
114;252;20;122253
