Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false}
Fisier generat in 2018/02/10 09:23
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
363;40;1;1;169748
330;40;1;2;167762
300;40;1;3;166719
272;40;1;4;165457
247;40;1;5;164429
224;40;1;6;163300
203;40;1;7;162377
184;40;1;8;161891
200;40;542;999;110114
727;40;8;800;111124
660;40;6;901;110582
600;40;9;1002;110111
545;40;8;903;110580
495;40;9;904;110579
449;40;5;705;112512
408;40;8;1006;110100
370;40;9;1007;110091
305;40;6;609;113421
277;40;7;1010;110047
251;40;5;611;113411
228;40;7;1012;110014
207;40;7;913;110571
188;40;4;614;113379
336;40;5;1008;110079
240;40;118;1752;107641
872;40;3;1600;107806
792;40;2;1301;108577
593;40;2;1404;108150
539;40;3;1605;107797
444;40;3;1507;107958
301;40;3;1511;107928
248;40;2;1313;108551
653;40;2;1503;107971
489;40;3;1406;108146
403;40;1;1208;108896
719;40;1;1302;108567
332;40;3;1510;107940
526;40;2;1646;107750
625;40;1;1564;107913
387;40;1;1569;107874
239;40;1;1574;107868
225;40;1;1614;107794
683;40;1;1647;107717
568;40;1;1670;107683
263;40;2;1743;107666
757;40;4;1781;107631
312;40;1;1773;107637
Generatia;Nr indivizi;Viata;Fitness
1;363;40;169748
2;330;40;167762
3;300;40;166719
4;272;40;165457
5;247;40;164429
6;224;40;163300
7;203;40;162377
8;184;40;161891
9;200;40;161293
10;200;40;160576
11;200;40;159832
12;200;40;158947
13;200;40;158650
14;200;40;157925
15;200;40;157049
17;200;40;155923
18;200;40;155758
19;200;40;155035
20;200;40;154493
21;200;40;154018
22;200;40;153731
23;200;40;153424
24;200;40;152976
25;200;40;151954
26;200;40;151919
27;200;40;151391
28;200;40;150818
29;200;40;150648
30;200;40;150429
31;200;40;150043
32;200;40;149449
33;200;40;149278
34;200;40;148907
35;200;40;148066
36;200;40;147849
37;200;40;147218
38;200;40;147021
39;200;40;146813
40;200;40;146236
41;200;40;145987
42;200;40;145788
43;200;40;145497
44;200;40;145353
45;200;40;144847
46;200;40;144489
47;200;40;144243
48;200;40;143901
49;200;40;143675
50;200;40;143276
51;200;40;143143
52;200;40;142963
53;200;40;142511
54;200;40;142358
55;200;40;142254
56;200;40;141926
57;200;40;141644
58;200;40;141594
59;200;40;141293
60;200;40;141021
61;200;40;140994
62;200;40;140806
63;200;40;140561
64;200;40;140504
65;200;40;140291
66;200;40;140090
67;200;40;139837
68;200;40;139654
69;200;40;139451
70;200;40;139275
71;200;40;139054
72;200;40;138917
73;200;40;138664
74;200;40;138543
75;200;40;138314
76;200;40;138156
77;200;40;137971
78;200;40;137759
79;200;40;137557
80;200;40;137293
81;200;40;137160
82;200;40;137002
83;200;40;136843
84;200;40;136673
85;200;40;136504
87;200;40;136403
88;200;40;136324
