Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false}
Fisier generat in 2018/02/10 14:52
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
181;40;1;1;172903
149;40;1;3;168714
135;40;1;4;166325
122;40;1;5;166025
110;40;1;6;164239
99;40;1;7;163914
100;40;228;299;122398
363;40;2;200;126828
330;40;2;201;126827
300;40;2;202;126721
272;40;2;203;126633
247;40;2;204;126418
224;40;1;105;134095
203;40;2;206;126356
184;40;2;207;126268
167;40;2;208;126238
151;40;2;209;126171
137;40;2;210;126046
124;40;2;211;125963
112;40;2;212;125951
101;40;2;213;125900
91;40;2;214;125800
Generatia;Nr indivizi;Viata;Fitness
1;181;40;172903
3;149;40;168714
4;135;40;166325
5;122;40;166025
6;110;40;164239
7;99;40;163914
8;100;40;162367
9;100;40;161622
10;100;40;161407
11;100;40;160452
12;100;40;159977
13;100;40;158516
14;100;40;157756
15;100;40;157391
17;100;40;157102
18;100;40;156735
19;100;40;156436
20;100;40;156018
21;100;40;155304
22;100;40;154609
23;100;40;154261
24;100;40;153912
25;100;40;153203
26;100;40;152853
27;100;40;152479
28;100;40;152229
29;100;40;151419
31;100;40;150744
33;100;40;150194
34;100;40;149710
35;100;40;148983
36;100;40;148883
37;100;40;148554
38;100;40;148385
39;100;40;148036
40;100;40;147539
41;100;40;147398
42;100;40;147226
43;100;40;147108
44;100;40;146877
45;100;40;146787
46;100;40;146350
47;100;40;146065
48;100;40;145465
50;100;40;145301
51;100;40;145126
52;100;40;144991
53;100;40;144339
55;100;40;144016
56;100;40;143923
57;100;40;143821
58;100;40;143573
59;100;40;143350
60;100;40;142960
61;100;40;142634
62;100;40;142438
63;100;40;142181
64;100;40;141616
65;100;40;141469
66;100;40;141431
67;100;40;141195
68;100;40;141068
69;100;40;140694
70;100;40;140664
71;100;40;140421
72;100;40;140311
73;100;40;140164
74;100;40;139968
75;100;40;139370
76;100;40;139260
77;100;40;138873
78;100;40;138768
79;100;40;138455
80;100;40;138263
81;100;40;138198
82;100;40;138127
83;100;40;137828
84;100;40;137799
85;100;40;137696
86;100;40;137178
87;100;40;137163
88;100;40;137027
89;100;40;136913
90;100;40;136905
91;100;40;136708
92;100;40;136512
93;100;40;136365
94;100;40;136179
95;100;40;135926
97;100;40;135719
98;100;40;135129
99;100;40;135123
100;363;40;134867
101;330;40;134421
102;300;40;134387
103;272;40;134200
104;247;40;134191
105;224;40;134095
106;203;40;133936
107;184;40;133905
108;167;40;133751
109;151;40;133623
110;137;40;133327
111;124;40;133222
112;112;40;133187
113;101;40;133077
114;91;40;133019
115;100;40;132910
116;100;40;132871
117;100;40;132810
118;100;40;132690
119;100;40;132667
120;100;40;132583
121;100;40;132507
122;100;40;132452
123;100;40;132340
124;100;40;132226
125;100;40;132067
127;100;40;131933
128;100;40;131829
129;100;40;131685
130;100;40;131623
132;100;40;131484
133;100;40;131452
134;100;40;131429
135;100;40;131194
137;100;40;131072
139;100;40;131028
140;100;40;130831
141;100;40;130751
142;100;40;130653
143;100;40;130627
144;100;40;130510
146;100;40;130381
147;100;40;130360
148;100;40;130287
149;100;40;130224
151;100;40;130158
152;100;40;130042
153;100;40;129955
155;100;40;129908
157;100;40;129761
158;100;40;129715
159;100;40;129676
160;100;40;129536
161;100;40;129497
163;100;40;129400
164;100;40;129349
165;100;40;129121
166;100;40;129056
167;100;40;128828
169;100;40;128782
170;100;40;128687
171;100;40;128670
172;100;40;128637
173;100;40;128558
174;100;40;128516
175;100;40;128441
176;100;40;128298
177;100;40;128240
178;100;40;128150
179;100;40;128110
180;100;40;128032
181;100;40;127957
182;100;40;127880
184;100;40;127848
185;100;40;127802
186;100;40;127735
187;100;40;127718
188;100;40;127656
189;100;40;127535
190;100;40;127481
192;100;40;127410
193;100;40;127314
194;100;40;127264
195;100;40;127103
196;100;40;127091
197;100;40;127068
198;100;40;127011
199;100;40;126871
200;363;40;126828
201;330;40;126827
202;300;40;126721
203;272;40;126633
204;247;40;126418
206;203;40;126356
207;184;40;126268
208;167;40;126238
209;151;40;126171
210;137;40;126046
211;124;40;125963
212;112;40;125951
213;101;40;125900
214;91;40;125800
215;100;40;125795
216;100;40;125612
218;100;40;125572
219;100;40;125568
220;100;40;125537
221;100;40;125495
222;100;40;125391
223;100;40;125371
224;100;40;125323
225;100;40;125279
226;100;40;125255
227;100;40;125231
228;100;40;125183
229;100;40;125170
230;100;40;125069
232;100;40;125010
233;100;40;124936
234;100;40;124894
235;100;40;124875
236;100;40;124770
237;100;40;124725
238;100;40;124643
241;100;40;124556
243;100;40;124475
244;100;40;124409
246;100;40;124368
247;100;40;124318
248;100;40;124294
249;100;40;124214
250;100;40;124179
251;100;40;124053
252;100;40;124047
253;100;40;124032
254;100;40;123935
255;100;40;123890
256;100;40;123863
257;100;40;123788
258;100;40;123772
259;100;40;123563
261;100;40;123526
264;100;40;123440
266;100;40;123411
267;100;40;123373
268;100;40;123308
269;100;40;123240
270;100;40;123165
271;100;40;123137
273;100;40;123130
274;100;40;123075
275;100;40;123059
276;100;40;123017
278;100;40;122985
279;100;40;122921
281;100;40;122886
282;100;40;122876
283;100;40;122803
284;100;40;122770
286;100;40;122708
287;100;40;122700
288;100;40;122673
289;100;40;122663
291;100;40;122545
293;100;40;122535
294;100;40;122529
295;100;40;122518
296;100;40;122500
297;100;40;122495
298;100;40;122484
299;100;40;122398
