Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false}
Fisier generat in 2018/02/11 13:29
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;40;281;499;119436
363;40;4;500;119315
330;40;2;201;128976
300;40;1;102;137846
272;40;3;403;121251
247;40;3;504;119288
224;40;3;505;119272
203;40;3;406;121180
184;40;3;407;121144
151;40;4;509;119212
137;40;4;510;119185
124;40;3;411;121078
112;40;4;512;119163
101;40;3;413;121018
91;40;3;414;121009
167;40;3;508;119258
505;40;1;300;124745
459;40;1;301;124723
417;40;1;302;124644
379;40;1;303;124575
344;40;1;304;124522
312;40;1;305;124457
283;40;1;306;124440
257;40;1;307;124369
233;40;1;308;124273
211;40;1;309;124201
191;40;1;310;124077
173;40;1;311;124075
157;40;1;312;123983
142;40;1;313;123966
129;40;1;314;123893
117;40;1;315;123808
96;40;1;317;123774
260;40;4;561;118598
214;40;2;543;118914
160;40;3;546;118848
145;40;5;567;118549
131;40;4;568;118494
119;40;3;569;118476
108;40;4;570;118409
98;40;2;470;120094
338;40;2;441;120600
307;40;2;442;120570
279;40;1;423;120841
253;40;1;424;120786
189;40;2;447;120479
155;40;2;449;120471
140;40;1;430;120702
127;40;2;451;120413
115;40;2;452;120385
94;40;1;434;120667
229;40;1;445;120537
208;40;1;446;120533
104;40;1;453;120380
194;40;2;544;118862
439;40;1;482;120033
362;40;1;484;119979
271;40;1;487;119771
223;40;1;489;119670
183;40;1;491;119634
166;40;1;492;119578
136;40;1;494;119521
111;40;1;496;119470
110;40;16;559;118619
286;40;3;560;118612
236;40;3;562;118579
176;40;2;565;118566
Generatia;Nr indivizi;Viata;Fitness
2;100;40;174360
3;100;40;171068
4;100;40;170219
5;100;40;169567
6;100;40;169049
7;100;40;167942
8;100;40;167187
9;100;40;166011
10;100;40;165515
11;100;40;164740
12;100;40;164019
13;100;40;163596
14;100;40;163096
15;100;40;162562
16;100;40;162003
17;100;40;161299
18;100;40;160935
19;100;40;160275
20;100;40;159974
21;100;40;159290
22;100;40;159038
23;100;40;158463
24;100;40;158272
25;100;40;157744
26;100;40;157327
27;100;40;156955
28;100;40;156758
29;100;40;156096
30;100;40;155745
31;100;40;155297
32;100;40;155120
33;100;40;154816
34;100;40;154469
35;100;40;154038
37;100;40;153451
38;100;40;153164
39;100;40;152666
40;100;40;152256
41;100;40;151722
42;100;40;151420
43;100;40;150911
44;100;40;150487
45;100;40;150086
46;100;40;149873
47;100;40;149631
48;100;40;149377
49;100;40;148843
50;100;40;148581
51;100;40;148467
52;100;40;148258
53;100;40;148024
54;100;40;147624
55;100;40;147334
56;100;40;146979
57;100;40;146454
58;100;40;146336
59;100;40;145672
60;100;40;145479
61;100;40;145279
62;100;40;145125
63;100;40;144986
64;100;40;144858
65;100;40;144622
66;100;40;144160
67;100;40;144107
68;100;40;143878
69;100;40;143586
70;100;40;143569
71;100;40;143272
72;100;40;143117
73;100;40;142608
74;100;40;142488
75;100;40;142171
76;100;40;142167
77;100;40;142006
78;100;40;141856
79;100;40;141697
80;100;40;141543
81;100;40;141305
83;100;40;141080
84;100;40;140769
86;100;40;140634
87;100;40;140467
88;100;40;140445
89;100;40;140343
90;100;40;140202
91;100;40;140085
92;100;40;139771
93;100;40;139652
94;100;40;139400
95;100;40;139228
96;100;40;138972
97;100;40;138910
98;100;40;138500
100;363;40;138237
101;330;40;138134
102;300;40;137846
103;272;40;137664
104;247;40;137510
105;224;40;137149
106;203;40;137038
107;184;40;136831
109;151;40;136793
110;137;40;136573
111;124;40;136505
112;112;40;136413
113;101;40;136308
114;91;40;136065
115;100;40;136002
116;100;40;135852
117;100;40;135681
118;100;40;135536
119;100;40;135442
120;100;40;135331
121;100;40;135262
122;100;40;135133
123;100;40;135031
124;100;40;135007
125;100;40;134927
126;100;40;134791
127;100;40;134738
128;100;40;134625
129;100;40;134567
130;100;40;134510
131;100;40;134394
132;100;40;134327
133;100;40;134268
134;100;40;134148
135;100;40;134045
136;100;40;133839
137;100;40;133802
138;100;40;133724
139;100;40;133649
140;100;40;133480
141;100;40;133477
142;100;40;133281
144;100;40;133184
145;100;40;133154
146;100;40;133092
147;100;40;133058
148;100;40;132981
149;100;40;132834
150;100;40;132788
151;100;40;132742
152;100;40;132474
154;100;40;132386
155;100;40;132339
156;100;40;132306
157;100;40;132251
158;100;40;132214
159;100;40;132035
162;100;40;131863
163;100;40;131683
165;100;40;131561
168;100;40;131467
169;100;40;131358
170;100;40;131236
172;100;40;131166
173;100;40;131013
174;100;40;130765
176;100;40;130750
177;100;40;130536
178;100;40;130482
179;100;40;130410
180;100;40;130346
181;100;40;130327
182;100;40;130281
183;100;40;130146
185;100;40;130000
186;100;40;129930
188;100;40;129788
190;100;40;129778
191;100;40;129633
192;100;40;129581
194;100;40;129516
195;100;40;129429
197;100;40;129367
198;100;40;129354
199;100;40;129186
200;363;40;129120
201;330;40;128976
203;272;40;128895
206;203;40;128856
207;184;40;128833
208;167;40;128789
209;151;40;128770
210;137;40;128736
211;124;40;128720
212;112;40;128688
213;101;40;128651
214;91;40;128580
215;100;40;128574
216;100;40;128565
217;100;40;128489
219;100;40;128474
220;100;40;128324
222;100;40;128293
223;100;40;128221
225;100;40;128024
226;100;40;127966
228;100;40;127877
229;100;40;127863
230;100;40;127856
231;100;40;127774
232;100;40;127739
233;100;40;127714
234;100;40;127678
235;100;40;127591
236;100;40;127575
237;100;40;127536
238;100;40;127399
239;100;40;127396
240;100;40;127343
241;100;40;127268
243;100;40;127101
245;100;40;127065
246;100;40;127012
247;100;40;126874
249;100;40;126799
251;100;40;126788
252;100;40;126696
254;100;40;126670
255;100;40;126658
257;100;40;126584
259;100;40;126508
260;100;40;126484
262;100;40;126440
263;100;40;126214
265;100;40;126042
266;100;40;125988
267;100;40;125953
268;100;40;125826
269;100;40;125766
271;100;40;125666
272;100;40;125660
273;100;40;125608
274;100;40;125603
275;100;40;125486
276;100;40;125445
277;100;40;125431
278;100;40;125338
279;100;40;125261
281;100;40;125146
284;100;40;125063
289;100;40;125016
291;100;40;124969
292;100;40;124949
295;100;40;124893
296;100;40;124874
297;100;40;124868
298;100;40;124852
299;100;40;124772
300;505;40;124745
301;459;40;124723
302;417;40;124644
303;379;40;124575
304;344;40;124522
305;312;40;124457
306;283;40;124440
307;257;40;124369
308;233;40;124273
309;211;40;124201
310;191;40;124077
311;173;40;124075
312;157;40;123983
313;142;40;123966
314;129;40;123893
315;117;40;123808
317;96;40;123774
318;100;40;123751
320;100;40;123732
321;100;40;123565
324;100;40;123536
325;100;40;123432
328;100;40;123339
330;100;40;123290
332;100;40;123191
334;100;40;123131
335;100;40;122967
336;100;40;122966
337;100;40;122960
338;100;40;122938
340;100;40;122849
343;100;40;122724
345;100;40;122700
346;100;40;122658
349;100;40;122602
351;100;40;122575
352;100;40;122546
353;100;40;122525
354;100;40;122522
355;100;40;122441
358;100;40;122417
359;100;40;122301
360;260;40;122214
362;214;40;122146
365;160;40;122120
366;145;40;122113
367;131;40;122095
368;119;40;122070
369;108;40;122055
370;98;40;122045
371;100;40;121992
373;100;40;121968
374;100;40;121842
377;100;40;121800
378;100;40;121784
380;100;40;121659
381;100;40;121598
382;100;40;121583
387;100;40;121553
390;100;40;121530
393;100;40;121443
396;100;40;121377
397;100;40;121368
398;100;40;121351
400;363;40;121267
403;272;40;121251
404;247;40;121215
405;224;40;121201
406;203;40;121180
407;184;40;121144
408;167;40;121130
409;151;40;121110
410;137;40;121090
411;124;40;121078
412;112;40;121034
413;101;40;121018
414;91;40;121009
416;100;40;121002
418;100;40;120987
419;100;40;120938
421;338;40;120863
422;307;40;120852
423;279;40;120841
424;253;40;120786
427;189;40;120770
429;155;40;120718
430;140;40;120702
431;127;40;120695
432;115;40;120679
434;94;40;120667
435;100;40;120661
436;100;40;120650
437;100;40;120633
441;338;40;120600
442;307;40;120570
445;229;40;120537
446;208;40;120533
447;189;40;120479
449;155;40;120471
451;127;40;120413
452;115;40;120385
453;104;40;120380
457;100;40;120356
459;100;40;120339
460;260;40;120260
463;194;40;120208
466;145;40;120163
467;131;40;120145
470;98;40;120094
471;100;40;120075
473;100;40;120073
474;100;40;120068
476;100;40;120066
479;100;40;120056
482;439;40;120033
484;362;40;119979
487;271;40;119771
489;223;40;119670
491;183;40;119634
492;166;40;119578
494;136;40;119521
496;111;40;119470
497;100;40;119455
498;100;40;119451
499;100;40;119436
500;363;40;119315
504;247;40;119288
505;224;40;119272
508;167;40;119258
509;151;40;119212
510;137;40;119185
512;112;40;119163
515;110;40;119149
518;110;40;119147
519;110;40;119086
520;286;40;119084
522;236;40;119069
525;176;40;119064
526;160;40;119062
527;145;40;119044
530;108;40;119031
531;110;40;119026
532;110;40;119017
534;110;40;119006
536;110;40;118997
537;110;40;118950
539;110;40;118940
540;286;40;118933
541;260;40;118925
542;236;40;118920
543;214;40;118914
544;194;40;118862
546;160;40;118848
547;145;40;118834
548;131;40;118823
549;119;40;118805
550;108;40;118785
