Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false}
Fisier generat in 2018/02/13 16:14
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
1818;40;1;1;164469
1652;40;1;2;164395
1364;40;1;4;164118
1240;40;1;5;163703
1127;40;1;6;163283
1024;40;1;7;161933
930;40;1;8;161492
1000;40;63;349;138569
2020;40;34;482;136971
1669;40;2;182;142364
1517;40;6;417;137693
1379;40;8;454;137142
1139;40;9;488;136955
1035;40;5;344;138615
940;40;4;422;137619
2536;40;2;444;137599
1836;40;2;338;138873
1253;40;4;383;138166
2042;40;2;330;139145
1730;40;1;478;137046
2249;40;1;479;137015
2626;40;47;994;130300
2170;40;4;965;130703
1972;40;6;927;131623
1792;40;12;967;130681
1480;40;7;930;131064
2093;40;1;547;136074
1629;40;8;968;130561
1345;40;6;970;130467
1222;40;5;932;131059
1009;40;1;570;135451
1100;40;3;862;132269
2789;40;3;884;132258
1110;40;2;859;132292
3070;40;2;843;132788
2992;40;1;697;134248
2387;40;3;925;131671
3413;40;10;1085;129449
2819;40;2;1087;129416
2562;40;2;1088;129403
2329;40;3;1089;129398
2420;40;7;1090;129298
Generatia;Nr indivizi;Viata;Fitness
1;1818;40;164469
2;1652;40;164395
4;1364;40;164118
5;1240;40;163703
6;1127;40;163283
7;1024;40;161933
8;930;40;161492
14;1000;40;159885
15;1000;40;159502
17;1000;40;158723
18;1000;40;157716
19;1000;40;157669
20;1000;40;157125
22;1000;40;156568
23;1000;40;155419
24;1000;40;155332
25;1000;40;154101
28;1000;40;153857
29;1000;40;153420
30;1000;40;153084
31;1000;40;152689
32;1000;40;152445
33;1000;40;152348
34;1000;40;151795
35;1000;40;151501
36;1000;40;151251
37;1000;40;151115
38;1000;40;150925
39;1000;40;150714
40;1000;40;150572
41;1000;40;150293
42;1000;40;149732
43;1000;40;149706
44;1000;40;149574
45;1000;40;149544
46;1000;40;149379
47;1000;40;149303
48;1000;40;149251
49;1000;40;149143
51;1000;40;149055
52;1000;40;149034
53;1000;40;148978
55;1000;40;148939
116;2020;40;148478
118;2020;40;148445
121;2020;40;148292
122;2020;40;148212
124;1669;40;148108
125;1517;40;146977
126;1379;40;146694
128;1139;40;146379
129;1035;40;146116
130;940;40;145379
131;1000;40;145307
132;1000;40;145120
134;1000;40;144959
135;1000;40;144449
136;1000;40;144391
137;1000;40;144164
138;1000;40;144064
139;1000;40;143711
141;1000;40;143366
142;1000;40;143301
143;1000;40;143197
144;1000;40;143171
145;1000;40;143085
146;1000;40;143045
147;1000;40;142963
148;1000;40;142898
149;1000;40;142773
152;1000;40;142723
174;2536;40;142646
175;2020;40;142555
176;2020;40;142466
180;2020;40;142425
181;1836;40;142403
182;1669;40;142364
183;1517;40;142279
184;1379;40;142157
185;1253;40;142011
186;1139;40;141839
187;1035;40;141713
188;940;40;141592
189;1000;40;141527
190;1000;40;141503
191;1000;40;141426
194;1000;40;141356
195;1000;40;141310
197;1000;40;141303
220;2020;40;141158
225;2020;40;141129
227;2020;40;141088
229;2020;40;140668
232;1517;40;140596
233;1379;40;140431
235;1139;40;140361
236;1035;40;140278
237;940;40;140262
260;2042;40;140210
261;2020;40;139798
267;2020;40;139746
268;2020;40;139675
272;1379;40;139659
274;1139;40;139656
297;2020;40;139621
298;2020;40;139472
299;2020;40;139451
300;2020;40;139446
303;1517;40;139426
304;1379;40;139391
305;1253;40;139219
306;1139;40;139186
307;1035;40;139182
330;2042;40;139145
333;2020;40;139107
336;2020;40;139105
337;2020;40;139086
338;1836;40;138873
342;1253;40;138701
343;1139;40;138650
344;1035;40;138615
346;1000;40;138612
347;1000;40;138578
349;1000;40;138569
372;2020;40;138550
374;2020;40;138400
377;2020;40;138387
378;2020;40;138368
381;1517;40;138341
382;1379;40;138185
383;1253;40;138166
405;2020;40;138036
409;2020;40;137974
413;2020;40;137822
414;2020;40;137757
417;1517;40;137693
418;1379;40;137662
420;1139;40;137625
422;940;40;137619
444;2536;40;137599
445;2020;40;137525
446;2020;40;137373
450;2020;40;137279
454;1379;40;137142
456;1139;40;137058
478;1730;40;137046
479;2249;40;137015
480;2020;40;137004
482;2020;40;136971
488;1139;40;136955
511;2626;40;136916
512;2626;40;136851
513;2626;40;136722
519;2626;40;136679
521;2170;40;136652
522;1972;40;136579
523;1792;40;136386
525;1480;40;136269
547;2093;40;136074
556;2626;40;136029
559;2626;40;136016
560;2626;40;135857
564;1792;40;135812
565;1629;40;135671
566;1480;40;135561
567;1345;40;135531
568;1222;40;135487
570;1009;40;135451
572;1100;40;135376
594;2789;40;135354
595;2626;40;135353
596;2626;40;135316
597;2626;40;135100
622;2626;40;135098
625;2626;40;135051
628;2626;40;134946
630;2626;40;134919
632;2170;40;134845
633;1972;40;134812
634;1792;40;134662
635;1629;40;134649
636;1480;40;134637
637;1345;40;134544
639;1110;40;134489
641;1100;40;134476
663;3070;40;134454
664;2626;40;134417
665;2626;40;134406
666;2626;40;134344
670;1792;40;134338
671;1629;40;134305
672;1480;40;134299
674;1222;40;134293
697;2992;40;134248
698;2626;40;134190
703;2626;40;134127
705;2626;40;134070
708;1972;40;134007
709;1792;40;133944
710;1629;40;133810
713;1222;40;133752
737;2626;40;133528
744;2626;40;133464
746;2626;40;133414
748;2626;40;133394
749;2387;40;133330
750;2170;40;133303
751;1972;40;133243
752;1792;40;133223
774;2789;40;133220
776;2626;40;133214
778;2626;40;133176
779;2626;40;133163
783;1792;40;133149
784;1629;40;133097
806;2626;40;133084
808;2626;40;133081
809;2626;40;133035
813;2626;40;132882
817;1792;40;132848
819;1480;40;132836
821;1222;40;132829
843;3070;40;132788
845;2626;40;132771
847;2626;40;132718
850;2626;40;132704
851;2387;40;132677
854;1792;40;132593
855;1629;40;132523
856;1480;40;132477
857;1345;40;132465
859;1110;40;132292
862;1100;40;132269
884;2789;40;132258
885;2626;40;132225
886;2626;40;132221
889;2626;40;132178
892;1972;40;132125
893;1792;40;132045
896;1345;40;132006
919;2626;40;132001
920;2626;40;131917
923;2626;40;131698
924;2626;40;131697
925;2387;40;131671
927;1972;40;131623
928;1792;40;131421
929;1629;40;131065
930;1480;40;131064
931;1345;40;131060
932;1222;40;131059
956;2626;40;130921
961;2626;40;130891
962;2626;40;130884
963;2626;40;130841
965;2170;40;130703
967;1792;40;130681
968;1629;40;130561
970;1345;40;130467
993;2626;40;130348
994;2626;40;130300
1003;3413;40;130221
1004;3413;40;130194
1006;2819;40;130167
1007;2562;40;130159
1008;2329;40;130105
1010;2420;40;130055
1011;2420;40;130053
1012;2420;40;129988
1013;2420;40;129984
1038;3413;40;129972
1039;3413;40;129891
1046;3413;40;129841
1047;3413;40;129779
1051;2329;40;129729
1053;2420;40;129656
1054;2420;40;129581
1077;3413;40;129530
1079;3413;40;129504
1083;3413;40;129454
1085;3413;40;129449
1087;2819;40;129416
1088;2562;40;129403
1089;2329;40;129398
1090;2420;40;129298
