Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/02/22 16:38
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;5;1;6;276770
151;5;1;7;273443
137;5;1;8;269145
91;5;1;12;264869
100;5;699;3713;186407
181;5;36;2360;189791
164;5;28;3301;187327
149;5;24;3592;186672
110;5;24;2905;188234
122;5;21;2844;188413
135;5;25;2393;189757
99;5;32;3596;186670
130;5;8;3508;186944
219;5;7;3213;187480
369;5;11;3512;186932
479;5;8;3475;186966
622;5;11;3514;186871
500;5;132;3985;185920
454;5;12;3950;185968
412;5;14;3987;185917
340;5;18;3898;186085
309;5;16;3855;186113
254;5;10;3345;187178
230;5;10;3993;185911
209;5;11;3347;187151
189;5;13;3860;186110
171;5;7;2720;188718
115;5;8;2958;188110
374;5;14;3853;186123
280;5;14;3801;186195
140;5;4;3575;186675
127;5;3;3125;187573
193;5;1;2043;190872
325;5;1;2045;190839
155;5;7;3906;186082
94;5;2;2679;188869
284;5;7;3511;186934
143;5;2;2926;188228
185;5;2;3777;186323
526;5;1;2191;190302
104;5;4;3354;187146
169;5;5;3509;186938
260;5;3;3020;188019
439;5;2;3022;188004
345;5;3;3378;187129
338;5;2;3021;188017
448;5;1;2789;188523
266;5;1;3057;187894
158;5;1;3375;187143
582;5;1;3380;187126
646;5;2;3739;186392
128;5;1;3617;186659
362;5;2;3931;186023
396;5;1;3663;186522
295;5;1;3736;186405
383;5;1;3737;186394
235;5;1;3881;186108
514;5;2;3974;185958
305;5;1;3972;185963
Generatia;Nr indivizi;Viata;Fitness
6;167;5;276770
7;151;5;273443
8;137;5;269145
12;91;5;264869
13;100;5;264136
14;100;5;262666
15;100;5;262654
16;100;5;262459
17;100;5;262070
18;100;5;260924
19;100;5;260369
20;100;5;259112
21;100;5;259068
22;100;5;258391
23;100;5;257955
24;100;5;257833
25;100;5;257018
26;100;5;256938
27;100;5;256541
28;100;5;256105
29;100;5;256068
30;100;5;255945
31;100;5;255128
32;100;5;254985
33;100;5;254360
34;100;5;254166
35;100;5;252890
37;100;5;252382
38;100;5;252104
39;100;5;251965
40;100;5;251888
41;100;5;251139
42;100;5;250921
43;100;5;250434
44;100;5;250272
45;100;5;250088
46;100;5;249629
47;100;5;249250
48;100;5;249103
49;100;5;248603
50;100;5;248396
51;100;5;248094
52;100;5;248090
53;100;5;247886
55;100;5;247516
56;100;5;247339
57;100;5;247263
58;100;5;247066
59;100;5;246777
60;100;5;246555
61;100;5;246424
63;100;5;246128
64;100;5;245746
65;100;5;245541
66;100;5;244966
67;100;5;244769
68;100;5;244481
69;100;5;243917
71;100;5;243593
72;100;5;242866
73;100;5;242711
74;100;5;242533
75;100;5;242222
76;100;5;241957
77;100;5;241726
78;100;5;241453
79;100;5;241327
80;100;5;241204
81;100;5;240602
82;100;5;240185
83;100;5;239631
85;100;5;239498
86;100;5;239164
87;100;5;238864
88;100;5;238740
89;100;5;238355
90;100;5;238271
91;100;5;237709
93;100;5;237128
94;100;5;237125
95;100;5;236700
96;100;5;236683
97;100;5;236563
98;100;5;236249
99;100;5;236010
100;100;5;235568
101;100;5;235523
102;100;5;235420
103;100;5;235139
104;100;5;234740
105;100;5;234633
106;100;5;234623
