Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/02/22 17:38
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;730;5654;182251
181;20;18;2610;190014
149;20;21;4222;184209
135;20;25;4163;184495
110;20;25;3245;187620
164;20;29;3261;187619
99;20;18;2406;190785
122;20;24;3717;185868
169;20;9;7174;180282
219;20;9;7121;180394
479;20;12;7071;180450
622;20;12;7179;180260
500;20;389;7672;180057
454;20;16;5920;182013
412;20;21;7141;180367
374;20;16;7197;180232
340;20;20;7143;180363
309;20;23;4783;183200
171;20;11;4204;184216
127;20;4;3089;188160
115;20;7;6916;180506
104;20;4;2677;189765
158;20;1;1925;193287
205;20;2;3316;187540
345;20;2;6148;181657
582;20;3;7010;180480
254;20;18;7201;180230
230;20;17;6731;180733
209;20;11;6984;180481
189;20;12;4615;183474
155;20;10;4520;183715
140;20;6;7152;180286
276;20;3;3973;185212
280;20;19;7045;180452
94;20;3;4686;183408
213;20;3;5942;182000
465;20;4;4995;182867
604;20;1;2296;191192
284;20;8;6194;181534
130;20;7;4100;184632
240;20;2;2868;189085
526;20;3;4061;184868
369;20;12;6863;180513
383;20;1;3167;187837
646;20;3;4189;184459
338;20;1;3361;187234
439;20;3;6822;180652
185;20;2;4057;184873
448;20;1;3722;185859
396;20;3;4543;183714
295;20;1;4016;185037
497;20;2;4188;184465
175;20;2;4804;183176
227;20;1;4185;184467
306;20;2;6455;181129
215;20;1;4709;183293
516;20;1;5042;182839
570;20;1;6043;181769
236;20;1;6076;181743
397;20;1;6456;181126
Generatia;Nr indivizi;Viata;Fitness
19;100;20;264510
20;100;20;261596
21;100;20;260959
22;100;20;259113
23;100;20;257165
24;100;20;257084
25;100;20;256129
26;100;20;255290
27;100;20;254582
28;100;20;254352
29;100;20;254073
30;100;20;252206
33;100;20;251883
34;100;20;251480
35;100;20;251468
36;100;20;250802
37;100;20;249904
38;100;20;249560
39;100;20;248983
41;100;20;248569
42;100;20;248022
43;100;20;247299
45;100;20;247049
46;100;20;246522
47;100;20;246194
48;100;20;246123
49;100;20;245272
50;100;20;245061
51;100;20;244577
52;100;20;244206
53;100;20;244062
54;100;20;243591
55;100;20;243027
57;100;20;242784
58;100;20;242616
59;100;20;242076
60;100;20;241920
61;100;20;241629
62;100;20;241496
63;100;20;241124
64;100;20;240432
65;100;20;240409
66;100;20;240078
67;100;20;239575
68;100;20;239562
69;100;20;239498
70;100;20;239125
71;100;20;238557
73;100;20;238344
74;100;20;238114
76;100;20;237988
77;100;20;237434
78;100;20;237349
79;100;20;236647
80;100;20;236095
82;100;20;236012
83;100;20;235836
84;100;20;235522
86;100;20;235239
87;100;20;234972
88;100;20;234895
89;100;20;234638
90;100;20;234565
91;100;20;233817
92;100;20;233795
93;100;20;233562
94;100;20;233468
95;100;20;233076
96;100;20;232721
98;100;20;232198
100;100;20;231895
102;100;20;231661
103;100;20;231520
104;100;20;231480
105;100;20;231094
107;100;20;230947
108;100;20;230890
109;100;20;230570
110;100;20;230497
111;100;20;230495
112;100;20;230388
113;100;20;230085
114;100;20;230083
115;100;20;229914
116;100;20;229813
117;100;20;229627
118;100;20;229383
119;100;20;229252
120;100;20;228928
121;100;20;228733
122;100;20;228598
124;100;20;228177
125;100;20;228024
127;100;20;227948
128;100;20;227862
129;100;20;227618
130;100;20;227259
131;100;20;227096
133;100;20;227014
134;100;20;226940
135;100;20;226813
136;100;20;226746
137;100;20;226684
138;100;20;226590
139;100;20;226430
140;100;20;225969
143;100;20;225909
144;100;20;225720
145;100;20;225697
146;100;20;225463
149;100;20;225350
150;100;20;225286
151;100;20;225118
152;100;20;225076
154;100;20;224994
155;100;20;224752
156;100;20;224608
157;100;20;224546
159;100;20;224511
160;100;20;224421
161;100;20;224176
162;100;20;224080
163;100;20;224076
164;100;20;223931
166;100;20;223506
168;100;20;223084
171;100;20;222942
172;100;20;222710
175;100;20;222583
176;100;20;222498
177;100;20;222341
179;100;20;222330
180;100;20;222256
181;100;20;222166
182;100;20;222046
183;100;20;221913
184;100;20;221876
185;100;20;221702
186;100;20;221613
187;100;20;221384
188;100;20;221290
190;100;20;221231
191;100;20;221104
192;100;20;221053
193;100;20;220853
195;100;20;220648
196;100;20;220466
197;100;20;220416
198;100;20;220376
200;100;20;220322
201;100;20;220301
202;100;20;220291
203;100;20;220263
204;100;20;220208
205;100;20;219821
207;100;20;219738
209;100;20;219728
210;100;20;219669
211;100;20;219657
212;100;20;219619
213;100;20;219523
215;100;20;219460
216;100;20;219410
217;100;20;219365
218;100;20;219286
219;100;20;219178
221;100;20;219119
224;100;20;219037
226;100;20;219016
227;100;20;218956
228;100;20;218945
229;100;20;218815
231;100;20;218689
232;100;20;218575
234;100;20;218506
236;100;20;218422
239;100;20;218411
240;100;20;218400
241;100;20;218381
242;100;20;218199
245;100;20;218164
246;100;20;218070
247;100;20;218056
248;100;20;218031
249;100;20;217935
250;100;20;217833
251;100;20;217762
252;100;20;217696
254;100;20;217612
255;100;20;217169
258;100;20;217149
259;100;20;216971
261;100;20;216850
262;100;20;216828
264;100;20;216788
267;100;20;216641
270;100;20;216602
272;100;20;216512
273;100;20;216370
275;100;20;216305
276;100;20;216097
278;100;20;216027
279;100;20;216000
280;100;20;215914
281;100;20;215912
282;100;20;215837
283;100;20;215798
284;100;20;215702
287;100;20;215619
289;100;20;215604
292;100;20;215514
294;100;20;215457
297;100;20;215441
298;100;20;215413
299;100;20;215333
301;100;20;215205
302;100;20;215071
303;100;20;215056
304;100;20;215018
305;100;20;214915
306;100;20;214882
307;100;20;214866
309;100;20;214799
310;100;20;214788
313;100;20;214704
316;100;20;214478
319;100;20;214456
320;100;20;214431
323;100;20;214207
325;100;20;213847
328;100;20;213839
330;100;20;213717
331;100;20;213546
332;100;20;213380
334;100;20;213372
335;100;20;213171
338;100;20;213075
339;100;20;213014
341;100;20;212960
342;100;20;212901
343;100;20;212895
344;100;20;212759
346;100;20;212674
348;100;20;212566
351;100;20;212478
352;100;20;212422
354;100;20;212355
356;100;20;212337
357;100;20;212080
359;100;20;211939
360;100;20;211895
361;100;20;211877
363;100;20;211838
364;100;20;211760
365;100;20;211708
367;100;20;211670
368;100;20;211608
369;100;20;211578
370;100;20;211539
371;100;20;211463
372;100;20;211416
373;100;20;211397
374;100;20;211247
377;100;20;211176
378;100;20;211045
379;100;20;211024
380;100;20;211011
381;100;20;210965
383;100;20;210815
386;100;20;210637
388;100;20;210591
390;100;20;210550
391;100;20;210495
392;100;20;210317
393;100;20;210315
394;100;20;210281
395;100;20;210248
396;100;20;210247
398;100;20;210242
399;100;20;210226
400;100;20;210188
403;100;20;210075
405;100;20;209834
407;100;20;209802
410;100;20;209746
412;100;20;209731
413;100;20;209675
414;100;20;209628
416;100;20;209615
417;100;20;209553
418;100;20;209514
419;100;20;209501
421;100;20;209496
422;100;20;209494
423;100;20;209449
424;100;20;209436
426;100;20;209392
427;100;20;209390
430;100;20;209386
431;100;20;209372
432;100;20;209361
433;100;20;209354
435;100;20;209338
436;100;20;209291
440;100;20;209259
442;100;20;209247
444;100;20;209209
445;100;20;209187
447;100;20;209154
448;100;20;209130
450;100;20;209048
452;100;20;209039
453;100;20;208957
455;100;20;208925
456;100;20;208922
457;100;20;208903
458;100;20;208889
460;100;20;208868
464;100;20;208769
467;100;20;208583
470;181;20;208505
472;149;20;208473
473;135;20;208443
475;110;20;208403
478;100;20;208384
479;100;20;208382
480;100;20;208336
481;100;20;208324
484;100;20;208313
485;100;20;207943
488;100;20;207935
489;100;20;207897
490;100;20;207870
492;100;20;207864
493;100;20;207856
494;100;20;207827
495;100;20;207814
496;100;20;207781
497;100;20;207777
498;100;20;207773
499;100;20;207640
501;100;20;207291
504;100;20;207283
507;100;20;207221
508;100;20;207160
510;100;20;207094
511;100;20;207005
512;100;20;207001
513;100;20;206954
514;100;20;206927
516;100;20;206893
517;100;20;206862
518;100;20;206823
519;100;20;206815
520;100;20;206755
521;100;20;206704
523;100;20;206601
524;100;20;206566
525;100;20;206517
526;100;20;206484
528;100;20;206353
531;100;20;206270
532;100;20;206238
533;100;20;206186
537;100;20;206178
538;100;20;206175
542;100;20;206137
545;100;20;206108
547;100;20;206100
548;100;20;206047
549;100;20;205980
550;100;20;205969
555;100;20;205920
556;100;20;205896
558;100;20;205855
560;181;20;205746
563;135;20;205704
565;110;20;205663
567;100;20;205621
569;100;20;205583
570;100;20;205555
571;100;20;205475
574;100;20;205472
576;100;20;205456
577;100;20;205393
578;100;20;205374
579;100;20;205330
580;100;20;205311
581;100;20;205245
582;100;20;205208
585;100;20;205182
589;100;20;205064
592;100;20;204620
597;100;20;204524
598;100;20;204486
599;100;20;204449
603;100;20;204405
605;100;20;204376
606;100;20;204356
607;100;20;204327
611;100;20;204112
615;100;20;203965
618;100;20;203949
