Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/02/28 13:28
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;270945
151;20;1;7;269807
137;20;1;8;267544
124;20;1;9;266040
112;20;1;10;263899
101;20;1;11;263575
100;20;199;973;189419
181;20;7;900;190356
149;20;4;992;189401
135;20;3;593;193356
99;20;5;996;189394
110;20;3;966;189491
164;20;4;901;190350
122;20;3;904;190343
200;20;11;960;189703
193;20;1;953;190013
143;20;1;1018;189283
240;20;1;1020;189269
220;20;2;1022;189184
Generatia;Nr indivizi;Viata;Fitness
6;167;20;270945
7;151;20;269807
8;137;20;267544
9;124;20;266040
10;112;20;263899
11;101;20;263575
13;100;20;263311
14;100;20;260944
15;100;20;260591
16;100;20;260362
17;100;20;259673
18;100;20;259090
19;100;20;257712
20;100;20;233498
28;100;20;233454
29;100;20;233296
30;100;20;227511
39;100;20;227484
40;100;20;222640
49;100;20;222513
50;100;20;218711
58;100;20;218518
60;100;20;215874
65;100;20;215846
70;100;20;213510
76;100;20;213429
77;100;20;213063
78;100;20;213046
79;100;20;212810
80;100;20;211451
90;100;20;210176
100;100;20;208500
109;100;20;208487
110;100;20;207056
118;100;20;207052
120;100;20;206081
130;100;20;205046
137;100;20;205026
138;100;20;205007
140;100;20;204253
147;100;20;204217
150;100;20;203762
160;100;20;202879
170;100;20;202183
172;100;20;202163
175;100;20;202161
180;100;20;201683
187;100;20;201680
188;100;20;201676
190;100;20;201543
192;100;20;201522
193;100;20;201520
194;100;20;201448
195;100;20;201376
197;100;20;201373
198;100;20;201369
199;100;20;201332
200;100;20;201180
201;100;20;201156
206;100;20;201098
210;100;20;200438
212;100;20;200432
213;100;20;200423
215;100;20;200379
217;100;20;200370
220;100;20;200069
230;100;20;199820
240;100;20;199291
248;100;20;199283
250;100;20;198873
260;100;20;198780
266;100;20;198710
268;100;20;198699
270;100;20;198590
278;100;20;198464
280;100;20;198272
290;100;20;198020
291;100;20;197785
299;100;20;197760
309;100;20;197759
310;100;20;197706
312;100;20;197642
313;100;20;197627
314;100;20;197618
316;100;20;197607
317;100;20;197556
320;100;20;197528
325;100;20;197526
326;100;20;197521
330;100;20;197248
340;100;20;197012
341;100;20;197009
344;100;20;196864
345;100;20;196860
349;100;20;196855
360;181;20;196318
362;149;20;196303
363;135;20;196300
366;99;20;196212
367;100;20;196204
368;100;20;196173
370;100;20;195948
380;100;20;195902
382;100;20;195837
384;100;20;195824
385;100;20;195800
387;100;20;195765
389;100;20;195722
391;100;20;195702
393;100;20;195698
397;100;20;195690
402;149;20;195685
407;100;20;195681
410;100;20;195563
420;100;20;195400
430;100;20;195376
440;100;20;195238
443;100;20;195236
446;100;20;195210
458;100;20;195208
460;181;20;195130
463;135;20;195102
465;110;20;195093
468;100;20;195044
470;100;20;194622
476;100;20;194610
477;100;20;194557
480;100;20;194544
485;100;20;194530
487;100;20;194527
488;100;20;194499
489;100;20;194490
490;100;20;194434
500;100;20;194194
505;100;20;194187
507;100;20;194178
508;100;20;194173
510;100;20;194167
512;100;20;194162
513;100;20;194158
515;100;20;194152
525;100;20;194127
530;181;20;193935
536;99;20;193918
537;100;20;193899
539;100;20;193874
543;100;20;193844
544;100;20;193839
545;100;20;193808
546;100;20;193783
550;100;20;193724
560;100;20;193651
566;100;20;193581
570;100;20;193529
573;100;20;193515
576;100;20;193481
577;100;20;193457
584;100;20;193454
586;100;20;193437
590;181;20;193425
591;164;20;193368
593;135;20;193356
594;122;20;193345
596;99;20;193332
600;100;20;193239
604;100;20;193155
609;100;20;193150
612;100;20;193143
614;100;20;193138
626;100;20;193123
637;100;20;193117
640;100;20;193049
643;100;20;193037
650;100;20;193001
651;100;20;192996
653;100;20;192994
657;100;20;192911
660;181;20;192903
661;164;20;192847
665;110;20;192820
667;100;20;192815
668;100;20;192808
669;100;20;192785
671;100;20;192771
686;100;20;192739
700;100;20;192693
702;100;20;192691
706;100;20;192649
707;100;20;192592
710;100;20;192514
715;100;20;192452
717;100;20;192410
718;100;20;192408
720;100;20;192304
722;100;20;192077
725;100;20;192076
731;100;20;192057
738;100;20;192026
760;200;20;191916
762;200;20;191866
764;200;20;191852
765;200;20;191797
766;200;20;191790
767;200;20;191741
768;181;20;191711
769;164;20;191698
770;149;20;191050
790;100;20;191039
797;100;20;191018
800;100;20;191002
801;100;20;190987
810;100;20;190891
815;100;20;190879
820;100;20;190866
821;100;20;190850
822;100;20;190837
824;100;20;190792
826;100;20;190782
833;100;20;190759
849;100;20;190756
854;122;20;190753
870;100;20;190673
880;100;20;190649
887;100;20;190610
900;181;20;190356
901;164;20;190350
904;122;20;190343
906;99;20;190311
910;100;20;190293
911;100;20;190248
912;100;20;190235
915;100;20;190208
916;100;20;190195
919;100;20;190122
931;100;20;190114
953;193;20;190013
955;200;20;189997
956;200;20;189926
958;200;20;189896
959;200;20;189894
960;200;20;189703
966;110;20;189491
970;100;20;189489
973;100;20;189419
992;149;20;189401
996;99;20;189394
1018;143;20;189283
1020;240;20;189269
1021;220;20;189247
1022;220;20;189184
