Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/02/28 13:41
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
151;20;1;7;270569
137;20;1;8;268566
124;20;1;9;266454
112;20;1;10;265577
91;20;1;12;264359
100;20;215;987;191038
181;20;13;980;191146
164;20;3;951;191234
149;20;3;982;191073
110;20;13;1034;190755
99;20;2;956;191221
122;20;5;984;191043
135;20;1;693;192478
199;20;1;1040;190737
Generatia;Nr indivizi;Viata;Fitness
7;151;20;270569
8;137;20;268566
9;124;20;266454
10;112;20;265577
12;91;20;264359
13;100;20;263170
14;100;20;262614
15;100;20;262377
17;100;20;261277
18;100;20;260242
19;100;20;259515
20;100;20;228276
26;100;20;228148
28;100;20;227878
29;100;20;227758
30;100;20;222474
40;100;20;218169
48;100;20;218142
50;100;20;214991
60;100;20;212531
70;100;20;210560
75;100;20;210393
79;100;20;210364
80;100;20;209512
90;100;20;208312
100;100;20;206573
110;100;20;205267
120;100;20;204376
129;100;20;204364
130;100;20;203152
140;100;20;202414
146;100;20;202387
150;100;20;202239
153;100;20;202212
155;100;20;202205
156;100;20;202191
157;100;20;202184
158;100;20;202142
159;100;20;202116
160;100;20;202092
162;100;20;202084
163;100;20;202050
165;100;20;202009
166;100;20;201998
170;100;20;201691
180;100;20;201030
182;100;20;201019
189;100;20;201012
190;100;20;200832
191;100;20;200821
194;100;20;200790
199;100;20;200785
200;100;20;200508
203;100;20;200497
209;100;20;200487
210;100;20;199905
220;100;20;199845
223;100;20;199783
225;100;20;199759
228;100;20;199750
230;100;20;199660
240;100;20;199274
243;100;20;199204
245;100;20;199137
246;100;20;199131
249;100;20;199095
250;100;20;198738
259;100;20;198685
260;100;20;198555
261;100;20;198498
264;100;20;198461
265;100;20;198455
267;100;20;198448
268;100;20;198427
270;100;20;198420
271;100;20;198414
273;100;20;198405
274;100;20;198392
275;100;20;198353
280;181;20;198123
281;164;20;198096
290;100;20;197999
300;100;20;197654
310;100;20;197487
320;100;20;197403
324;100;20;197402
327;100;20;197359
330;181;20;197329
332;149;20;197251
335;110;20;197240
336;99;20;197228
337;100;20;197159
339;100;20;197157
341;100;20;197146
342;100;20;197125
350;100;20;197109
360;100;20;196731
370;100;20;196501
371;100;20;196452
378;100;20;196412
380;100;20;196325
383;100;20;196275
389;100;20;196172
390;100;20;196143
391;100;20;196135
392;100;20;196020
393;100;20;196017
394;100;20;195962
395;100;20;195923
402;100;20;195915
404;100;20;195912
406;100;20;195879
409;100;20;195833
410;100;20;195624
413;100;20;195386
421;100;20;195378
423;100;20;195371
428;100;20;195367
435;100;20;195356
439;100;20;195319
440;181;20;195205
449;100;20;195167
450;100;20;195012
460;100;20;194699
470;100;20;194639
474;100;20;194613
480;100;20;194549
485;100;20;194543
486;100;20;194538
487;100;20;194522
488;100;20;194485
490;100;20;194474
491;100;20;194463
492;100;20;194458
495;100;20;194453
499;100;20;194444
500;181;20;194282
505;110;20;194252
509;100;20;194201
510;100;20;194164
512;100;20;194083
515;100;20;194036
519;100;20;194031
520;100;20;194013
530;100;20;193883
540;100;20;193772
550;100;20;193727
560;100;20;193688
566;100;20;193682
569;100;20;193676
570;100;20;193385
572;100;20;193331
575;100;20;193319
576;100;20;193295
577;100;20;193277
578;100;20;193235
579;100;20;193211
580;100;20;193199
582;100;20;193197
595;100;20;193194
600;181;20;193186
604;122;20;193139
610;100;20;193043
617;100;20;193026
620;100;20;192952
630;100;20;192859
639;100;20;192843
640;100;20;192717
647;100;20;192711
650;100;20;192679
657;100;20;192677
660;181;20;192645
662;149;20;192643
670;100;20;192587
674;100;20;192585
680;100;20;192574
681;100;20;192573
690;181;20;192480
693;135;20;192478
697;100;20;192460
702;100;20;192450
709;100;20;192420
720;181;20;192332
730;100;20;192237
737;100;20;192233
739;100;20;192231
740;100;20;192160
745;100;20;192148
750;100;20;192146
756;100;20;192142
758;100;20;192135
760;100;20;192080
762;100;20;192066
764;100;20;192055
770;100;20;192052
771;100;20;192038
773;100;20;192010
791;164;20;191936
800;181;20;191929
804;122;20;191904
808;100;20;191902
815;100;20;191894
830;181;20;191845
837;100;20;191821
840;100;20;191786
847;100;20;191768
850;100;20;191761
851;100;20;191757
852;100;20;191747
853;100;20;191745
854;100;20;191720
855;100;20;191713
860;100;20;191663
862;100;20;191658
866;100;20;191657
875;100;20;191637
880;181;20;191633
884;122;20;191612
887;100;20;191563
890;100;20;191468
891;100;20;191456
895;100;20;191445
896;100;20;191444
897;100;20;191441
898;100;20;191439
900;100;20;191366
903;100;20;191364
905;100;20;191363
908;100;20;191352
910;100;20;191349
911;100;20;191338
912;100;20;191327
914;100;20;191326
920;100;20;191308
922;100;20;191306
928;100;20;191286
931;100;20;191281
940;100;20;191275
950;181;20;191236
951;164;20;191234
954;122;20;191225
956;99;20;191221
960;100;20;191213
962;100;20;191198
964;100;20;191194
975;110;20;191190
980;181;20;191146
982;149;20;191073
984;122;20;191043
987;100;20;191038
995;110;20;191033
1000;110;20;191021
1003;110;20;191018
1004;110;20;191016
1007;110;20;191006
1010;110;20;190836
1011;110;20;190827
1014;110;20;190817
1030;110;20;190756
1034;110;20;190755
1040;199;20;190737
