Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/03/02 13:47
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
137;20;1;8;255577
124;20;1;9;253740
112;20;1;10;252142
100;20;87;147;218560
Generatia;Nr indivizi;Viata;Fitness
8;137;20;255577
9;124;20;253740
10;112;20;252142
13;100;20;251783
15;100;20;251429
21;100;20;247858
27;100;20;247847
28;100;20;247069
30;100;20;246873
31;100;20;245475
33;100;20;245222
34;100;20;244734
35;100;20;242739
36;100;20;242636
38;100;20;242203
39;100;20;240011
41;100;20;238920
46;100;20;237963
49;100;20;237928
51;100;20;237728
52;100;20;237122
54;100;20;236264
59;100;20;236240
60;100;20;235704
61;100;20;235046
63;100;20;233978
64;100;20;233661
65;100;20;233243
67;100;20;233179
68;100;20;232615
69;100;20;232478
70;100;20;232315
71;100;20;232114
72;100;20;231653
74;100;20;231529
75;100;20;231274
76;100;20;230983
78;100;20;230723
79;100;20;230095
80;100;20;229617
82;100;20;229485
83;100;20;229291
85;100;20;228112
88;100;20;228024
90;100;20;227759
91;100;20;227621
92;100;20;227380
93;100;20;227032
94;100;20;226789
95;100;20;226178
96;100;20;226096
97;100;20;225981
98;100;20;225739
99;100;20;225178
101;100;20;225159
102;100;20;225114
103;100;20;225007
104;100;20;224678
105;100;20;224531
106;100;20;224156
107;100;20;223620
111;100;20;223464
114;100;20;223202
115;100;20;222931
116;100;20;222887
117;100;20;222598
118;100;20;222375
119;100;20;222003
121;100;20;221938
123;100;20;221702
124;100;20;221671
125;100;20;221459
126;100;20;221243
127;100;20;220992
128;100;20;220687
129;100;20;220430
131;100;20;220200
132;100;20;219847
133;100;20;219814
134;100;20;219716
135;100;20;219607
136;100;20;219499
137;100;20;219397
138;100;20;219247
140;100;20;218859
142;100;20;218847
143;100;20;218668
145;100;20;218660
146;100;20;218574
147;100;20;218560
