Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/03/02 14:16
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;264956
167;20;1;6;260803
151;20;1;7;257625
137;20;1;8;253203
100;20;22;43;237335
Generatia;Nr indivizi;Viata;Fitness
5;184;20;264956
6;167;20;260803
7;151;20;257625
8;137;20;253203
14;100;20;253198
15;100;20;250541
17;100;20;247006
20;100;20;246955
22;100;20;246771
24;100;20;245531
25;100;20;244696
26;100;20;243751
27;100;20;243362
28;100;20;243013
29;100;20;241892
31;100;20;241519
32;100;20;241285
34;100;20;240529
36;100;20;240024
37;100;20;239620
38;100;20;239257
39;100;20;239118
40;100;20;238488
41;100;20;237975
42;100;20;237964
43;100;20;237335
