Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/03/02 14:28
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;264856
167;20;1;6;259650
151;20;1;7;258276
137;20;1;8;256975
124;20;1;9;255109
101;20;1;11;254545
91;20;1;12;253511
100;20;53;94;224558
Generatia;Nr indivizi;Viata;Fitness
5;184;20;264856
6;167;20;259650
7;151;20;258276
8;137;20;256975
9;124;20;255109
11;101;20;254545
12;91;20;253511
13;100;20;253352
14;100;20;252791
15;100;20;252308
16;100;20;250603
18;100;20;249228
20;100;20;249006
21;100;20;248681
22;100;20;247361
23;100;20;245193
26;100;20;244648
27;100;20;243015
29;100;20;241506
30;100;20;241435
33;100;20;241191
34;100;20;240993
35;100;20;239343
37;100;20;239042
38;100;20;238576
39;100;20;237745
40;100;20;236516
43;100;20;236193
45;100;20;235573
46;100;20;235137
47;100;20;234906
49;100;20;234398
51;100;20;234017
52;100;20;233817
53;100;20;233631
54;100;20;232969
56;100;20;232586
57;100;20;231752
60;100;20;231378
61;100;20;230925
63;100;20;230500
66;100;20;229720
70;100;20;229590
71;100;20;229463
72;100;20;229265
73;100;20;228910
74;100;20;228183
76;100;20;227854
77;100;20;227213
78;100;20;227098
80;100;20;226792
81;100;20;226734
82;100;20;226500
85;100;20;225989
87;100;20;225761
89;100;20;225301
91;100;20;225179
92;100;20;225118
93;100;20;224870
94;100;20;224558
