Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/03/02 16:09
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;265585
151;20;1;7;261822
137;20;1;8;256977
124;20;1;9;256258
112;20;1;10;254871
91;20;1;12;253753
100;20;40;81;229901
Generatia;Nr indivizi;Viata;Fitness
6;167;20;265585
7;151;20;261822
8;137;20;256977
9;124;20;256258
10;112;20;254871
12;91;20;253753
13;100;20;252005
19;100;20;251741
21;100;20;249198
22;100;20;249174
23;100;20;244773
32;100;20;244473
34;100;20;243076
35;100;20;241615
36;100;20;241531
38;100;20;241223
39;100;20;240712
40;100;20;240536
42;100;20;240506
43;100;20;240066
44;100;20;237869
46;100;20;237071
48;100;20;236850
50;100;20;236523
51;100;20;236398
52;100;20;236143
53;100;20;235893
54;100;20;235667
55;100;20;235352
56;100;20;235060
58;100;20;234760
60;100;20;233984
61;100;20;233973
63;100;20;233675
64;100;20;233583
65;100;20;233241
67;100;20;232670
70;100;20;232292
71;100;20;232181
72;100;20;231786
73;100;20;231447
76;100;20;231225
77;100;20;231027
78;100;20;230548
79;100;20;230388
81;100;20;229901
