Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/03/02 18:26
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;268244
167;20;1;6;261132
151;20;1;7;256644
137;20;1;8;256217
124;20;1;9;256199
112;20;1;10;258859
101;20;1;11;256899
91;20;1;12;256173
100;20;617;999;194324
120;20;338;1990;188210
156;20;1;1862;189326
202;20;1;1863;189276
262;20;1;1864;189221
340;20;1;1865;189196
442;20;1;1866;189157
574;20;1;1867;189077
521;20;1;1868;189060
429;20;1;1870;188997
290;20;4;3530;183899
263;20;7;3484;183975
217;20;6;3486;183962
197;20;4;3487;183961
162;20;8;3489;183952
147;20;1;1881;188786
133;20;1;1882;188765
144;20;202;2990;185844
187;20;2;2772;186378
243;20;2;2773;186362
531;20;2;2776;186336
690;20;2;2777;186329
576;20;3;2778;186302
355;20;1;2475;186936
292;20;2;2785;186249
265;20;2;2786;186245
240;20;2;2787;186214
218;20;1;2480;186888
409;20;1;2775;186340
475;20;1;2780;186253
179;20;4;3416;184089
172;20;31;3566;183881
223;20;10;3588;183871
289;20;6;3513;183926
487;20;8;3591;183868
633;20;5;3468;184010
822;20;5;3401;184126
691;20;16;3521;183912
628;20;5;3350;184219
570;20;4;3404;184119
518;20;4;3524;183904
470;20;3;3353;184206
427;20;4;3479;183978
375;20;7;3590;183871
388;20;4;3480;183978
352;20;4;3289;184484
239;20;6;3485;183968
320;20;2;3410;184093
Generatia;Nr indivizi;Viata;Fitness
5;184;20;268244
6;167;20;261132
7;151;20;256644
8;137;20;256217
9;124;20;256199
10;112;20;258859
11;101;20;256899
12;91;20;256173
13;100;20;254309
19;100;20;253529
20;100;20;254522
21;100;20;253747
23;100;20;252420
24;100;20;251255
26;100;20;250711
27;100;20;249832
30;100;20;250281
32;100;20;249126
33;100;20;248699
34;100;20;248602
35;100;20;248289
36;100;20;246854
37;100;20;246643
38;100;20;245599
39;100;20;245194
40;100;20;244994
42;100;20;243417
45;100;20;242351
46;100;20;241230
50;100;20;241815
54;100;20;240844
55;100;20;240694
58;100;20;240205
60;100;20;240072
61;100;20;238077
64;100;20;237798
65;100;20;237430
66;100;20;237182
67;100;20;236900
68;100;20;236711
69;100;20;236204
70;100;20;237213
71;100;20;235640
75;100;20;235556
76;100;20;235096
78;100;20;234434
79;100;20;233537
80;100;20;234661
81;100;20;232925
83;100;20;232266
85;100;20;231452
86;100;20;231442
87;100;20;231318
88;100;20;230481
89;100;20;229692
90;100;20;229950
92;100;20;229428
93;100;20;228722
94;100;20;228141
97;100;20;227673
98;100;20;227394
100;100;20;227099
102;100;20;226851
103;100;20;226577
104;100;20;226124
105;100;20;224679
107;100;20;224400
109;100;20;224138
110;100;20;224169
111;100;20;224150
112;100;20;223174
113;100;20;223144
115;100;20;223011
116;100;20;222889
117;100;20;222446
118;100;20;222092
120;100;20;221345
123;100;20;220878
125;100;20;220547
129;100;20;220307
130;100;20;220499
131;100;20;220441
132;100;20;220275
133;100;20;219634
135;100;20;219572
136;100;20;219478
137;100;20;219232
138;100;20;219116
139;100;20;218848
140;100;20;219146
141;100;20;218798
142;100;20;218713
143;100;20;218438
144;100;20;218412
145;100;20;218263
146;100;20;218111
147;100;20;217941
148;100;20;217646
150;100;20;217627
151;100;20;217273
153;100;20;217183
154;100;20;217159
155;100;20;216860
156;100;20;216858
157;100;20;216546
158;100;20;216510
159;100;20;216486
160;100;20;216209
162;100;20;216158
164;100;20;215701
167;100;20;215692
168;100;20;215411
170;100;20;215411
171;100;20;215292
172;100;20;215115
174;100;20;215104
175;100;20;215014
176;100;20;214833
177;100;20;214818
178;100;20;214721
179;100;20;214403
180;100;20;214495
181;100;20;214240
184;100;20;213982
187;100;20;213771
189;100;20;213734
190;100;20;213687
191;100;20;213649
192;100;20;213565
195;100;20;213439
196;100;20;213416
197;100;20;213139
198;100;20;213119
200;100;20;212960
201;100;20;212924
203;100;20;212791
204;100;20;212690
205;100;20;212497
207;100;20;212446
208;100;20;212421
209;100;20;212305
210;100;20;212122
211;100;20;211693
212;100;20;211642
213;100;20;211551
214;100;20;211383
216;100;20;211358
217;100;20;211134
219;100;20;210943
220;100;20;210895
223;100;20;210887
225;100;20;210795
227;100;20;210644
229;100;20;210600
230;100;20;210560
