Setari{prioritate=5 memorie=1 nrDescarcari=17 ajungeAcasa=false}
Fisier generat in 2018/12/24 14:26
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;266164
167;20;1;6;263362
151;20;1;7;258273
137;20;2;810;189039
91;20;1;12;254557
100;20;164;999;187888
181;20;3;750;190897
135;20;1;353;194524
122;20;2;674;191198
99;20;2;756;190885
149;20;2;1040;187338
130;20;2;872;188838
219;20;2;874;188779
369;20;2;876;188769
479;20;2;877;188754
400;20;4;884;188445
363;20;1;800;189093
224;20;1;890;188044
164;20;1;981;187909
283;20;1;1021;187827
477;20;1;1023;187803
480;20;12;1150;184661
436;20;1;1029;187628
396;20;1;1030;187368
120;20;1;1050;187223
156;20;1;1072;187138
262;20;1;1074;187104
574;20;1;1077;187056
269;20;1;1090;186624
Generatia;Nr indivizi;Viata;Fitness
5;184;20;266164
6;167;20;263362
7;151;20;258273
8;137;20;254830
12;91;20;254557
15;100;20;253693
16;100;20;251440
17;100;20;250574
18;100;20;250219
19;100;20;248712
20;100;20;228384
30;100;20;224334
40;100;20;216643
50;100;20;213555
60;100;20;211430
70;100;20;208905
80;100;20;207756
90;100;20;206498
100;100;20;205528
110;100;20;204454
120;100;20;204161
130;100;20;203360
140;100;20;202676
150;100;20;201970
160;100;20;201287
170;100;20;200526
180;100;20;200176
190;100;20;199518
200;100;20;198711
210;100;20;197795
220;100;20;197303
230;100;20;197233
236;100;20;197226
238;100;20;197210
239;100;20;197081
240;100;20;196987
248;100;20;196909
250;100;20;196838
259;100;20;196806
260;100;20;196533
270;100;20;196275
280;100;20;195854
290;100;20;195802
300;100;20;195381
310;100;20;195138
320;100;20;195099
325;100;20;195072
327;100;20;195057
329;100;20;194898
332;100;20;194883
334;100;20;194858
335;100;20;194772
336;100;20;194757
338;100;20;194722
342;100;20;194717
350;181;20;194533
353;135;20;194524
354;122;20;194464
359;100;20;194455
360;100;20;194344
370;100;20;194165
380;100;20;193845
390;100;20;193794
400;100;20;193753
410;100;20;193719
420;100;20;193499
430;100;20;193445
437;100;20;193443
440;100;20;193126
450;100;20;193020
459;100;20;192901
460;100;20;192892
461;100;20;192839
463;100;20;192837
466;100;20;192821
467;100;20;192776
469;100;20;192768
472;100;20;192733
476;100;20;192687
478;100;20;192674
480;100;20;192629
490;100;20;192627
491;100;20;192561
494;100;20;192530
495;100;20;192499
497;100;20;192456
498;100;20;192374
499;100;20;192319
510;100;20;192105
518;100;20;192090
521;100;20;192088
522;100;20;192080
523;100;20;192061
524;100;20;192058
537;100;20;192055
538;100;20;191961
540;100;20;191958
542;100;20;191925
543;100;20;191920
546;100;20;191875
547;100;20;191837
553;100;20;191816
558;100;20;191814
559;100;20;191775
563;100;20;191773
572;100;20;191749
576;100;20;191742
578;100;20;191717
579;100;20;191708
586;99;20;191654
587;100;20;191602
589;100;20;191599
591;100;20;191596
595;100;20;191594
597;100;20;191587
599;100;20;191585
600;100;20;191564
601;100;20;191563
607;100;20;191554
608;100;20;191539
611;100;20;191531
613;100;20;191438
614;100;20;191432
615;100;20;191423
623;100;20;191421
624;100;20;191415
627;100;20;191408
628;100;20;191351
630;181;20;191344
639;100;20;191343
642;100;20;191337
652;100;20;191305
658;100;20;191282
661;100;20;191258
662;100;20;191239
664;100;20;191235
666;100;20;191230
667;100;20;191226
669;100;20;191206
674;122;20;191198
677;100;20;191197
678;100;20;191193
683;100;20;191187
696;100;20;191150
699;100;20;191146
710;100;20;191075
719;100;20;191057
723;100;20;191056
725;100;20;191038
726;100;20;191017
727;100;20;190997
739;100;20;190945
740;100;20;190934
747;100;20;190915
748;100;20;190908
750;181;20;190897
752;149;20;190896
756;99;20;190885
768;100;20;190879
790;130;20;190776
792;219;20;190645
794;369;20;190643
795;479;20;190590
796;400;20;190390
799;400;20;190370
800;363;20;189093
810;137;20;189039
820;100;20;189011
829;100;20;189006
830;100;20;188971
840;100;20;188883
850;100;20;188868
872;130;20;188838
874;219;20;188779
876;369;20;188769
877;479;20;188754
880;400;20;188448
884;400;20;188445
890;224;20;188044
900;100;20;188031
919;100;20;188030
920;100;20;188018
923;100;20;188016
927;100;20;187991
929;100;20;187982
944;100;20;187980
948;100;20;187974
949;100;20;187969
953;100;20;187963
966;100;20;187950
976;100;20;187916
981;164;20;187909
991;100;20;187897
999;100;20;187888
1021;283;20;187827
1023;477;20;187803
1025;480;20;187777
1026;480;20;187776
1027;480;20;187714
1028;480;20;187652
1029;436;20;187628
1030;396;20;187368
1040;149;20;187338
1050;120;20;187223
1072;156;20;187138
1074;262;20;187104
1077;574;20;187056
1079;480;20;187054
1080;480;20;186883
1084;480;20;186829
1090;269;20;186624
1120;480;20;186541
1129;480;20;186524
1130;480;20;185978
1140;480;20;185528
1150;480;20;184661
