Setari{prioritate=5 memorie=1 nrDescarcari=15 ajungeAcasa=false}
Fisier generat in 2018/12/24 14:42
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;268702
151;20;1;7;258677
112;20;1;10;257871
101;20;1;11;257103
91;20;1;12;255839
100;20;150;998;189289
181;20;4;2006;184880
149;20;5;1558;187631
99;20;3;766;190133
164;20;5;2007;184878
135;20;3;763;190170
110;20;4;1880;185795
122;20;2;884;189520
120;20;149;1943;185659
218;20;7;1960;185635
198;20;10;1961;185633
162;20;3;1593;187293
133;20;4;1265;188619
179;20;3;1482;188056
147;20;3;1444;188126
156;20;2;1983;185564
262;20;2;1985;185445
340;20;1;1543;187916
442;20;1;1544;187900
574;20;1;1545;187864
480;20;8;1996;185195
396;20;3;1998;185150
326;20;2;2000;184930
312;20;1;1860;186552
405;20;1;1861;186495
526;20;1;1862;186442
436;20;1;1866;186352
296;20;1;1870;185824
144;20;5;2090;184417
208;20;1;2056;184847
270;20;1;2057;184821
351;20;1;2058;184818
456;20;1;2059;184811
592;20;1;2060;184698
576;20;3;2120;184343
355;20;1;2070;184420
315;20;1;2114;184413
531;20;1;2116;184382
Generatia;Nr indivizi;Viata;Fitness
6;167;20;268702
7;151;20;258677
10;112;20;257871
11;101;20;257103
12;91;20;255839
13;100;20;255832
14;100;20;254771
16;100;20;252073
20;100;20;227439
30;100;20;222988
40;100;20;213320
50;100;20;210850
60;100;20;208992
70;100;20;207705
80;100;20;205849
90;100;20;205220
100;100;20;203637
110;100;20;202908
118;100;20;202906
120;100;20;201907
130;100;20;201345
140;100;20;200871
150;100;20;200637
160;100;20;200073
170;100;20;199252
180;100;20;198593
190;100;20;198208
200;100;20;197782
210;100;20;197476
220;100;20;196867
230;100;20;196138
240;100;20;195710
250;100;20;195328
260;100;20;195074
270;100;20;194781
280;100;20;194464
290;100;20;194230
300;100;20;193754
310;100;20;193596
320;100;20;193223
330;100;20;193178
340;100;20;193095
350;100;20;192803
370;100;20;192597
380;100;20;192450
390;100;20;192408
400;100;20;192300
410;100;20;192192
420;100;20;192095
430;100;20;191995
440;100;20;191787
445;100;20;191773
446;100;20;191760
450;100;20;191627
459;100;20;191619
460;100;20;191523
464;100;20;191520
466;100;20;191488
467;100;20;191483
468;100;20;191457
470;100;20;191408
480;100;20;191383
490;100;20;191378
492;100;20;191269
503;100;20;191265
506;100;20;191257
507;100;20;191251
510;100;20;191183
518;100;20;191154
520;100;20;191117
525;100;20;191083
527;100;20;191078
528;100;20;191066
529;100;20;191060
530;100;20;191040
531;100;20;191026
536;100;20;191024
538;100;20;191022
539;100;20;190987
540;181;20;190985
542;149;20;190983
546;99;20;190958
548;100;20;190956
549;100;20;190954
550;100;20;190941
552;100;20;190912
553;100;20;190910
554;100;20;190897
556;100;20;190887
557;100;20;190885
558;100;20;190883
571;164;20;190881
580;100;20;190877
583;100;20;190875
596;100;20;190863
600;100;20;190856
608;100;20;190812
613;100;20;190794
615;100;20;190753
617;100;20;190735
623;135;20;190721
639;100;20;190705
641;100;20;190687
642;100;20;190659
644;100;20;190644
649;100;20;190617
657;100;20;190611
658;100;20;190610
659;100;20;190604
669;100;20;190596
683;100;20;190591
686;100;20;190585
687;100;20;190574
693;135;20;190498
709;100;20;190493
710;100;20;190487
713;100;20;190456
715;100;20;190445
718;100;20;190366
721;164;20;190343
722;149;20;190334
726;99;20;190321
728;100;20;190279
738;100;20;190247
747;100;20;190245
751;100;20;190231
753;100;20;190229
755;100;20;190223
760;181;20;190215
762;149;20;190199
763;135;20;190170
766;99;20;190133
768;100;20;190125
772;100;20;190115
774;100;20;190112
789;100;20;190059
801;100;20;190038
802;100;20;189938
815;100;20;189899
819;100;20;189888
825;110;20;189886
