Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/17 21:11
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;272678
167;20;1;6;269220
151;20;1;7;259618
112;20;1;10;258840
100;20;587;996;195792
181;20;7;960;196199
164;20;6;961;196117
149;20;9;922;196535
122;20;4;924;196528
99;20;4;926;196484
110;20;4;925;196486
135;20;3;703;199467
120;20;232;1979;190444
198;20;9;1571;191923
179;20;8;1742;191151
147;20;6;1804;191004
218;20;11;1950;190504
162;20;5;1983;190434
133;20;4;1685;191484
187;20;1;2005;190368
243;20;1;2006;190327
315;20;1;2007;190269
531;20;1;2009;190249
690;20;1;2010;190234
576;20;1;2011;190185
523;20;1;2012;190155
475;20;1;2013;190142
431;20;1;2014;190140
391;20;1;2015;190026
292;20;1;2018;189989
Generatia;Nr indivizi;Viata;Fitness
5;184;20;272678
6;167;20;269220
7;151;20;259618
10;112;20;258840
13;100;20;258178
14;100;20;257454
15;100;20;256217
16;100;20;256213
17;100;20;255639
18;100;20;253810
23;100;20;253014
24;100;20;251262
25;100;20;250683
27;100;20;250035
28;100;20;249755
29;100;20;249635
30;100;20;248196
32;100;20;247551
33;100;20;247437
34;100;20;246328
35;100;20;246105
36;100;20;245982
37;100;20;244202
38;100;20;243909
40;100;20;243586
41;100;20;243427
42;100;20;242616
43;100;20;242465
44;100;20;242111
45;100;20;242108
46;100;20;241329
47;100;20;241303
49;100;20;241150
50;100;20;240128
51;100;20;240001
53;100;20;239850
54;100;20;239542
55;100;20;239278
56;100;20;239102
57;100;20;238532
58;100;20;237428
63;100;20;237133
65;100;20;236357
66;100;20;236232
67;100;20;236136
68;100;20;235860
69;100;20;235279
70;100;20;235136
73;100;20;234626
74;100;20;234158
75;100;20;233781
76;100;20;233545
77;100;20;233382
78;100;20;232885
79;100;20;232420
80;100;20;232292
81;100;20;232087
82;100;20;231969
83;100;20;231499
84;100;20;230973
86;100;20;230675
87;100;20;230506
88;100;20;230203
90;100;20;229814
93;100;20;229755
94;100;20;229153
95;100;20;229077
96;100;20;229016
97;100;20;228600
99;100;20;228239
100;100;20;228225
101;100;20;227842
102;100;20;227818
103;100;20;227494
105;100;20;227390
106;100;20;226883
107;100;20;226729
108;100;20;226356
109;100;20;226240
110;100;20;226040
111;100;20;225851
112;100;20;225645
113;100;20;225512
114;100;20;225191
115;100;20;225018
118;100;20;224477
119;100;20;224034
121;100;20;223919
122;100;20;223586
123;100;20;223346
124;100;20;223107
126;100;20;222760
127;100;20;222717
129;100;20;222321
130;100;20;222060
131;100;20;222038
132;100;20;221783
133;100;20;221477
134;100;20;221382
135;100;20;221197
136;100;20;221135
137;100;20;220941
138;100;20;220763
139;100;20;220667
140;100;20;220526
141;100;20;220451
142;100;20;220263
143;100;20;219995
144;100;20;219840
145;100;20;219687
147;100;20;219435
148;100;20;219297
149;100;20;218983
151;100;20;218941
152;100;20;218887
153;100;20;218750
154;100;20;218560
156;100;20;218281
157;100;20;218268
158;100;20;218104
159;100;20;217777
160;100;20;217704
162;100;20;217527
163;100;20;217371
165;100;20;217061
166;100;20;217059
167;100;20;216835
168;100;20;216800
169;100;20;216778
170;100;20;216777
171;100;20;216589
172;100;20;216399
173;100;20;216221
174;100;20;216164
175;100;20;215820
178;100;20;215633
180;100;20;215587
181;100;20;215528
182;100;20;215161
183;100;20;215158
184;100;20;215049
185;100;20;214815
186;100;20;214715
187;100;20;214713
188;100;20;214557
189;100;20;214470
190;100;20;214433
191;100;20;214375
192;100;20;214195
193;100;20;214022
194;100;20;213894
195;100;20;213841
196;100;20;213745
198;100;20;213546
200;100;20;213457
201;100;20;213443
202;100;20;213408
203;100;20;213288
204;100;20;213086
205;100;20;213070
206;100;20;212970
207;100;20;212869
208;100;20;212785
209;100;20;212734
210;100;20;212664
211;100;20;212501
212;100;20;212418
214;100;20;212411
215;100;20;212260
216;100;20;212203
217;100;20;212133
219;100;20;212052
220;100;20;211951
221;100;20;211909
222;100;20;211888
223;100;20;211806
224;100;20;211800
225;100;20;211779
226;100;20;211689
229;100;20;211634
230;100;20;211455
231;100;20;211426
232;100;20;211353
233;100;20;211274
235;100;20;211202
236;100;20;211195
238;100;20;211142
239;100;20;211069
241;100;20;210953
242;100;20;210799
243;100;20;210707
244;100;20;210663
245;100;20;210587
246;100;20;210225
247;100;20;209872
251;100;20;209818
253;100;20;209729
254;100;20;209317
255;100;20;209267
256;100;20;209236
257;100;20;209120
259;100;20;209111
261;100;20;209074
262;100;20;208959
264;100;20;208896
265;100;20;208865
266;100;20;208844
267;100;20;208750
268;100;20;208725
269;100;20;208624
272;100;20;208622
273;100;20;208603
274;100;20;208595
275;100;20;208540
276;100;20;208510
278;100;20;208446
279;100;20;208301
281;100;20;208272
282;100;20;208207
283;100;20;208185
284;100;20;208109
285;100;20;208054
287;100;20;208052
289;100;20;208023
290;100;20;207997
291;100;20;207911
292;100;20;207898
295;100;20;207818
296;100;20;207807
299;100;20;207804
300;100;20;207765
301;100;20;207644
303;100;20;207633
305;100;20;207480
307;100;20;207440
308;100;20;207335
312;100;20;207322
315;100;20;207254
316;100;20;207217
317;100;20;207178
321;100;20;207174
322;100;20;207155
324;100;20;207151
325;100;20;207118
326;100;20;207107
327;100;20;206859
328;100;20;206789
331;100;20;206634
333;100;20;206622
334;100;20;206549
338;100;20;206520
339;100;20;206489
340;100;20;206454
341;100;20;206430
342;100;20;206376
346;100;20;206321
347;100;20;206304
348;100;20;206289
349;100;20;206279
350;181;20;206244
351;164;20;206221
352;149;20;206189
354;122;20;206112
362;100;20;206105
363;100;20;206099
364;100;20;205800
365;100;20;205793
367;100;20;205786
368;100;20;205748
369;100;20;205704
370;100;20;205686
372;100;20;205591
374;100;20;205569
375;100;20;205543
376;100;20;205513
379;100;20;205505
380;100;20;205487
381;100;20;205483
382;100;20;205458
383;100;20;205436
386;100;20;205416
387;100;20;205397
388;100;20;205321
389;100;20;205318
390;181;20;205279
392;149;20;205248
394;122;20;205172
396;99;20;205122
400;100;20;205114
401;100;20;205108
402;100;20;205034
404;100;20;204956
406;100;20;204885
407;100;20;204806
408;100;20;204803
409;100;20;204733
410;100;20;204730
411;100;20;204693
412;100;20;204650
413;100;20;204631
414;100;20;204578
417;100;20;204566
418;100;20;204546
420;100;20;204524
422;100;20;204505
423;100;20;204463
424;100;20;204443
426;100;20;204392
427;100;20;204354
431;100;20;204350
432;100;20;204329
433;100;20;204281
434;100;20;204199
435;100;20;204134
436;100;20;204130
439;100;20;204099
440;100;20;204061
441;100;20;204029
442;100;20;203993
443;100;20;203980
445;100;20;203925
446;100;20;203913
449;100;20;203822
450;100;20;203522
451;100;20;203496
452;100;20;203480
453;100;20;203396
454;100;20;203380
456;100;20;203347
457;100;20;203312
458;100;20;203282
459;100;20;203246
460;100;20;203162
461;100;20;203120
462;100;20;203080
463;100;20;202991
464;100;20;202918
465;100;20;202889
467;100;20;202847
468;100;20;202842
470;100;20;202808
471;100;20;202771
472;100;20;202737
474;100;20;202722
475;100;20;202667
477;100;20;202553
480;100;20;202488
481;100;20;202485
482;100;20;202451
486;100;20;202408
488;100;20;202340
489;100;20;202310
490;100;20;202308
492;100;20;202285
493;100;20;202253
494;100;20;202162
495;100;20;202160
496;100;20;202143
498;100;20;202135
499;100;20;202115
500;100;20;202045
501;100;20;202043
502;100;20;202020
505;100;20;202006
508;100;20;201999
510;100;20;201990
511;100;20;201986
513;100;20;201981
515;100;20;201935
516;100;20;201893
518;100;20;201890
520;100;20;201865
521;100;20;201859
523;100;20;201858
525;100;20;201828
526;100;20;201826
527;100;20;201802
530;181;20;201752
531;164;20;201731
535;110;20;201729
537;100;20;201718
538;100;20;201705
539;100;20;201683
540;100;20;201671
541;100;20;201612
542;100;20;201580
543;100;20;201521
546;100;20;201508
550;100;20;201500
557;100;20;201476
559;100;20;201449
561;100;20;201425
565;100;20;201416
567;100;20;201366
571;100;20;201346
573;100;20;201342
574;100;20;201318
576;100;20;201295
578;100;20;201236
579;100;20;201231
580;100;20;201212
582;100;20;201166
584;100;20;201152
585;100;20;201134
586;100;20;201087
587;100;20;201086
588;100;20;201073
589;100;20;201042
590;181;20;201028
593;135;20;201013
601;100;20;200989
602;100;20;200974
604;100;20;200949
606;100;20;200947
607;100;20;200905
608;100;20;200877
612;100;20;200819
616;100;20;200812
617;100;20;200810
619;100;20;200776
620;100;20;200768
621;100;20;200767
624;100;20;200703
629;100;20;200619
632;100;20;200609
638;100;20;200605
639;100;20;200579
641;100;20;200561
642;100;20;200557
644;100;20;200551
646;100;20;200532
647;100;20;200455
649;100;20;200412
652;149;20;200398
653;135;20;200389
657;100;20;200380
659;100;20;200362
661;100;20;200352
662;100;20;200343
663;100;20;200338
664;100;20;200319
666;100;20;200297
667;100;20;200287
669;100;20;200277
670;100;20;200184
673;100;20;200165
675;100;20;200159
676;100;20;200149
677;100;20;200124
678;100;20;199969
679;100;20;199899
681;100;20;199858
682;100;20;199663
693;100;20;199643
695;100;20;199615
698;100;20;199595
699;100;20;199591
701;164;20;199567
702;149;20;199528
703;135;20;199467
705;110;20;199465
707;100;20;199462
708;100;20;199459
709;100;20;199457
710;100;20;199452
712;100;20;199368
713;100;20;199352
714;100;20;199348
715;100;20;199343
716;100;20;199336
717;100;20;199334
718;100;20;199239
719;100;20;199235
720;100;20;199234
721;100;20;199222
722;100;20;199119
724;100;20;199117
726;100;20;199114
727;100;20;199063
728;100;20;199061
729;100;20;199022
730;100;20;199013
731;100;20;199010
732;100;20;198979
733;100;20;198974
734;100;20;198966
735;100;20;198944
736;100;20;198927
737;100;20;198898
739;100;20;198857
740;181;20;198818
742;149;20;198814
745;110;20;198791
747;100;20;198779
748;100;20;198730
750;100;20;198676
751;100;20;198672
752;100;20;198664
753;100;20;198573
755;100;20;198497
757;100;20;198485
761;100;20;198451
763;100;20;198448
764;100;20;198429
765;100;20;198395
769;100;20;198391
772;149;20;198386
776;99;20;198383
778;100;20;198378
780;100;20;198372
781;100;20;198354
782;100;20;198335
783;100;20;198307
785;100;20;198296
786;100;20;198287
790;100;20;198286
794;100;20;198263
795;100;20;198262
796;100;20;198243
797;100;20;198219
799;100;20;198167
800;181;20;198156
801;164;20;198069
802;149;20;198021
806;99;20;198011
810;100;20;198006
811;100;20;197904
812;100;20;197872
815;100;20;197748
816;100;20;197719
818;100;20;197716
819;100;20;197714
820;100;20;197654
823;100;20;197575
825;100;20;197487
826;100;20;197484
828;100;20;197447
829;100;20;197445
832;100;20;197437
834;100;20;197435
835;100;20;197431
836;100;20;197390
837;100;20;197368
840;100;20;197367
841;100;20;197352
842;100;20;197344
843;100;20;197289
844;100;20;197253
845;100;20;197225
846;100;20;197204
850;100;20;197154
851;100;20;197146
852;100;20;197135
855;100;20;197124
857;100;20;197097
859;100;20;197086
861;100;20;197082
865;100;20;197026
866;100;20;197025
871;164;20;197020
872;149;20;196991
874;122;20;196986
878;100;20;196963
879;100;20;196933
881;100;20;196912
882;100;20;196887
886;100;20;196885
887;100;20;196883
888;100;20;196879
889;100;20;196819
891;100;20;196811
894;100;20;196807
896;100;20;196805
897;100;20;196785
898;100;20;196748
900;100;20;196730
901;100;20;196717
902;100;20;196703
903;100;20;196697
904;100;20;196667
905;100;20;196612
908;100;20;196609
909;100;20;196597
912;100;20;196581
913;100;20;196577
914;100;20;196573
915;100;20;196572
917;100;20;196545
918;100;20;196541
919;100;20;196537
