Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 15:52
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;267255
151;20;1;7;262200
137;20;1;8;259823
112;20;1;10;257852
101;20;1;11;255912
100;20;543;998;195543
181;20;5;860;196604
164;20;4;991;195641
149;20;3;992;195629
122;20;4;994;195594
110;20;6;995;195552
99;20;3;596;199933
135;20;2;773;197814
120;20;1;1000;195532
240;20;389;1999;188699
396;20;2;1771;189560
359;20;2;1772;189519
296;20;2;1984;188775
436;20;1;1770;189571
221;20;2;1987;188761
269;20;1;1985;188773
Generatia;Nr indivizi;Viata;Fitness
6;167;20;267255
7;151;20;262200
8;137;20;259823
10;112;20;257852
11;101;20;255912
13;100;20;255267
15;100;20;254184
17;100;20;252896
22;100;20;252765
23;100;20;252586
24;100;20;252002
25;100;20;250786
26;100;20;249954
28;100;20;249027
29;100;20;246898
31;100;20;245331
33;100;20;244186
38;100;20;243945
39;100;20;242680
40;100;20;242108
41;100;20;241187
42;100;20;240894
43;100;20;239748
45;100;20;239635
46;100;20;239353
47;100;20;238475
48;100;20;238412
49;100;20;237944
50;100;20;236634
53;100;20;236613
54;100;20;236317
55;100;20;236005
56;100;20;235316
57;100;20;235172
58;100;20;234995
59;100;20;234049
61;100;20;234046
62;100;20;233224
64;100;20;232796
65;100;20;232400
67;100;20;232220
68;100;20;231913
69;100;20;231840
70;100;20;231235
71;100;20;230808
73;100;20;230594
74;100;20;230245
75;100;20;229744
77;100;20;229458
78;100;20;229070
80;100;20;228250
83;100;20;227445
84;100;20;226918
88;100;20;226862
89;100;20;226688
90;100;20;226327
91;100;20;226270
92;100;20;225731
94;100;20;225582
95;100;20;225224
97;100;20;224772
98;100;20;224369
99;100;20;223838
100;100;20;223750
101;100;20;223720
102;100;20;223658
103;100;20;223436
105;100;20;223396
106;100;20;223140
108;100;20;223064
109;100;20;222920
110;100;20;222795
111;100;20;222062
114;100;20;221795
115;100;20;221466
116;100;20;221394
117;100;20;221232
118;100;20;221051
119;100;20;220859
120;100;20;220430
123;100;20;219924
124;100;20;219645
125;100;20;219202
127;100;20;219159
129;100;20;218930
131;100;20;218865
132;100;20;218760
133;100;20;218494
135;100;20;218254
136;100;20;218206
137;100;20;217755
138;100;20;217693
139;100;20;217569
140;100;20;217455
141;100;20;217288
142;100;20;217145
143;100;20;217091
144;100;20;216833
146;100;20;216826
147;100;20;216770
148;100;20;216605
149;100;20;216510
151;100;20;216413
152;100;20;216383
153;100;20;216286
154;100;20;216230
155;100;20;216089
156;100;20;215928
157;100;20;215901
158;100;20;215864
159;100;20;215813
160;100;20;215750
161;100;20;215613
162;100;20;215601
164;100;20;215570
165;100;20;215475
166;100;20;215461
167;100;20;215420
168;100;20;215345
169;100;20;215197
170;100;20;215073
171;100;20;215066
172;100;20;214999
173;100;20;214841
174;100;20;214455
175;100;20;214436
176;100;20;214401
177;100;20;214286
178;100;20;214272
179;100;20;214044
180;100;20;213804
181;100;20;213803
182;100;20;213610
184;100;20;213467
185;100;20;213274
187;100;20;213186
188;100;20;212974
190;100;20;212907
191;100;20;212833
192;100;20;212752
193;100;20;212623
194;100;20;212512
195;100;20;212474
196;100;20;212376
197;100;20;212364
198;100;20;212328
199;100;20;212247
201;100;20;212205
202;100;20;212079
203;100;20;212023
204;100;20;211938
205;100;20;211586
206;100;20;211554
207;100;20;211505
208;100;20;211337
209;100;20;211250
210;100;20;210913
211;100;20;210890
212;100;20;210832
214;100;20;210805
215;100;20;210784
216;100;20;210701
217;100;20;210568
218;100;20;210482
219;100;20;210467
220;100;20;210381
221;100;20;210287
222;100;20;210213
223;100;20;210023
224;100;20;209932
225;100;20;209774
226;100;20;209732
228;100;20;209548
230;100;20;209510
231;100;20;209493
232;100;20;209487
233;100;20;209432
234;100;20;209360
235;100;20;209246
236;100;20;209227
237;100;20;209147
238;100;20;209027
239;100;20;208955
240;100;20;208906
241;100;20;208895
242;100;20;208889
243;100;20;208835
245;100;20;208751
246;100;20;208666
247;100;20;208604
249;100;20;208587
250;100;20;208499
251;100;20;208470
252;100;20;208415
253;100;20;208373
255;100;20;208364
256;100;20;208325
258;100;20;208284
259;100;20;208237
260;100;20;208226
261;100;20;208069
263;100;20;208064
265;100;20;207972
266;100;20;207901
269;100;20;207895
270;100;20;207861
271;100;20;207764
272;100;20;207754
273;100;20;207743
275;100;20;207635
276;100;20;207608
277;100;20;207388
278;100;20;207338
279;100;20;207194
280;100;20;207178
282;100;20;206988
283;100;20;206980
284;100;20;206934
285;100;20;206881
286;100;20;206842
288;100;20;206822
289;100;20;206797
290;100;20;206774
291;100;20;206748
292;100;20;206613
293;100;20;206558
295;100;20;206508
297;100;20;206431
300;100;20;206425
302;100;20;206367
303;100;20;206361
305;100;20;206329
306;100;20;206288
307;100;20;206282
308;100;20;206258
309;100;20;206220
310;100;20;206199
312;100;20;206192
313;100;20;206162
314;100;20;206109
317;100;20;205798
320;100;20;205687
321;100;20;205684
322;100;20;205651
324;100;20;205649
326;100;20;205608
327;100;20;205553
328;100;20;205512
329;100;20;205510
330;100;20;205503
331;100;20;205501
332;100;20;205458
333;100;20;205444
335;100;20;205399
336;100;20;205384
338;100;20;205343
340;100;20;205296
342;100;20;205257
343;100;20;205240
344;100;20;205201
345;100;20;205195
346;100;20;205155
347;100;20;205005
348;100;20;204967
350;100;20;204880
351;100;20;204839
352;100;20;204832
353;100;20;204771
355;100;20;204717
356;100;20;204676
357;100;20;204623
358;100;20;204551
359;100;20;204549
360;100;20;204490
362;100;20;204451
363;100;20;204441
364;100;20;204385
365;100;20;204348
366;100;20;204299
367;100;20;204250
369;100;20;204239
371;100;20;204194
372;100;20;204191
373;100;20;204166
374;100;20;204140
376;100;20;204046
377;100;20;204015
378;100;20;203988
