Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:04
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;273483
151;20;1;7;261972
137;20;1;8;258633
101;20;1;11;257563
91;20;1;12;257249
100;20;489;992;194735
181;20;8;1000;194724
164;20;6;961;195274
135;20;5;963;195261
99;20;3;716;198147
122;20;3;714;198158
110;20;3;965;195235
149;20;1;712;198169
240;20;387;1995;187238
359;20;1;1142;193632
269;20;1;1855;188157
244;20;1;1856;188095
Generatia;Nr indivizi;Viata;Fitness
6;167;20;273483
7;151;20;261972
8;137;20;258633
11;101;20;257563
12;91;20;257249
15;100;20;256334
17;100;20;253550
18;100;20;252570
21;100;20;251341
24;100;20;251093
25;100;20;249042
27;100;20;248773
28;100;20;247872
29;100;20;247201
30;100;20;244517
35;100;20;244134
37;100;20;243465
38;100;20;242327
39;100;20;242138
40;100;20;241102
41;100;20;240419
42;100;20;240107
43;100;20;239851
44;100;20;237504
48;100;20;237110
50;100;20;236127
52;100;20;234755
55;100;20;234633
56;100;20;234238
57;100;20;234113
58;100;20;233829
59;100;20;233335
60;100;20;232819
61;100;20;232744
62;100;20;232543
63;100;20;232372
64;100;20;231787
65;100;20;231739
66;100;20;231318
67;100;20;230683
69;100;20;230673
70;100;20;230508
71;100;20;230307
72;100;20;229911
73;100;20;229279
74;100;20;228995
75;100;20;228774
76;100;20;228540
77;100;20;228055
79;100;20;227749
81;100;20;227455
82;100;20;227003
84;100;20;226985
85;100;20;226689
86;100;20;226323
88;100;20;226193
89;100;20;225996
90;100;20;225545
91;100;20;225300
93;100;20;225106
94;100;20;224888
95;100;20;224799
96;100;20;224216
97;100;20;224108
98;100;20;223775
100;100;20;223480
101;100;20;223199
102;100;20;223026
103;100;20;222848
104;100;20;222579
105;100;20;222378
106;100;20;221915
107;100;20;221875
108;100;20;221555
109;100;20;221447
110;100;20;221223
111;100;20;221087
112;100;20;221054
113;100;20;220674
114;100;20;220489
115;100;20;219996
117;100;20;219834
118;100;20;219687
119;100;20;219284
121;100;20;219162
123;100;20;218996
124;100;20;218887
125;100;20;218755
126;100;20;218662
127;100;20;218496
128;100;20;218397
129;100;20;218364
130;100;20;217906
132;100;20;217829
133;100;20;217649
134;100;20;217381
135;100;20;216902
136;100;20;216827
138;100;20;216729
139;100;20;216653
140;100;20;216445
141;100;20;216362
142;100;20;216356
143;100;20;216115
144;100;20;216075
145;100;20;215912
146;100;20;215813
147;100;20;215809
148;100;20;215591
149;100;20;215565
150;100;20;215235
152;100;20;215233
153;100;20;215092
154;100;20;214837
155;100;20;214742
156;100;20;214598
157;100;20;214591
158;100;20;214358
160;100;20;214314
161;100;20;214145
162;100;20;214051
163;100;20;213898
164;100;20;213817
165;100;20;213606
166;100;20;213564
167;100;20;213446
168;100;20;213400
169;100;20;213203
170;100;20;213142
171;100;20;212989
172;100;20;212808
174;100;20;212606
175;100;20;212487
176;100;20;212425
177;100;20;212116
178;100;20;212098
179;100;20;211939
180;100;20;211603
181;100;20;211563
183;100;20;211511
184;100;20;211405
185;100;20;211385
186;100;20;211359
187;100;20;211238
188;100;20;211197
189;100;20;211085
190;100;20;210996
191;100;20;210958
192;100;20;210931
193;100;20;210826
195;100;20;210797
197;100;20;210783
198;100;20;210665
199;100;20;210442
201;100;20;210429
202;100;20;210372
203;100;20;210341
204;100;20;209991
205;100;20;209751
206;100;20;209647
207;100;20;209625
208;100;20;209517
209;100;20;209495
210;100;20;209453
211;100;20;208966
212;100;20;208803
213;100;20;208756
214;100;20;208694
215;100;20;208565
217;100;20;208561
218;100;20;208497
219;100;20;208470
220;100;20;208390
221;100;20;208302
222;100;20;208265
223;100;20;208164
225;100;20;208079
226;100;20;207955
228;100;20;207950
229;100;20;207624
230;100;20;207551
231;100;20;207454
232;100;20;207423
233;100;20;207417
234;100;20;207361
235;100;20;207350
236;100;20;207286
237;100;20;207245
239;100;20;207218
241;100;20;207141
245;100;20;207113
247;100;20;206985
249;100;20;206957
250;100;20;206927
253;100;20;206913
256;100;20;206879
257;100;20;206846
259;100;20;206753
260;100;20;206736
261;100;20;206673
263;100;20;206666
264;100;20;206571
265;100;20;206539
266;100;20;206513
