Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:12
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;264002
137;20;1;8;260345
112;20;1;10;260254
101;20;1;11;258598
100;20;549;995;193254
181;20;10;940;193876
164;20;7;911;194177
149;20;6;982;193324
135;20;9;873;194816
122;20;5;944;193871
110;20;7;945;193868
99;20;7;986;193297
240;20;331;1983;186301
436;20;4;1800;186720
396;20;2;1741;186904
359;20;3;1742;186902
244;20;3;1886;186459
269;20;2;1745;186865
221;20;3;1887;186449
312;20;1;1529;188086
405;20;1;1530;188043
526;20;1;1531;188024
887;20;1;1533;187993
1153;20;1;1534;187991
960;20;1;1535;187953
792;20;1;1537;187863
719;20;1;1538;187824
653;20;1;1539;187816
539;20;1;1541;187788
444;20;1;1543;187767
403;20;1;1544;187744
366;20;1;1545;187707
332;20;1;1546;187685
301;20;1;1547;187674
273;20;1;1548;187618
248;20;1;1549;187523
326;20;1;1683;187174
296;20;1;1684;187173
Generatia;Nr indivizi;Viata;Fitness
6;167;20;264002
8;137;20;260345
10;112;20;260254
11;101;20;258598
13;100;20;256705
15;100;20;256260
16;100;20;255084
18;100;20;253841
23;100;20;252779
26;100;20;249865
32;100;20;248688
33;100;20;247893
34;100;20;246310
37;100;20;243995
39;100;20;243140
41;100;20;242924
42;100;20;242200
43;100;20;241855
44;100;20;241570
45;100;20;241409
46;100;20;237847
51;100;20;237298
55;100;20;236964
57;100;20;236785
59;100;20;236321
61;100;20;235433
62;100;20;235056
64;100;20;234379
65;100;20;233964
66;100;20;233809
67;100;20;233614
68;100;20;233295
69;100;20;233184
70;100;20;232505
72;100;20;231715
73;100;20;231275
74;100;20;230613
76;100;20;229965
77;100;20;229498
78;100;20;229367
80;100;20;228605
81;100;20;228526
82;100;20;228485
83;100;20;228333
84;100;20;227708
85;100;20;227349
87;100;20;227245
88;100;20;227112
89;100;20;226560
90;100;20;226278
91;100;20;226265
93;100;20;225745
95;100;20;225542
96;100;20;225496
97;100;20;225308
98;100;20;224908
99;100;20;224302
100;100;20;224084
101;100;20;223687
102;100;20;223577
103;100;20;223114
104;100;20;222911
105;100;20;222847
106;100;20;222382
107;100;20;222221
108;100;20;222083
109;100;20;221993
110;100;20;221829
111;100;20;221672
112;100;20;221397
113;100;20;221201
114;100;20;220975
115;100;20;220940
116;100;20;220743
117;100;20;220319
118;100;20;220275
119;100;20;220161
120;100;20;219850
121;100;20;219700
122;100;20;219186
124;100;20;219087
125;100;20;219043
126;100;20;218930
127;100;20;218886
128;100;20;218696
129;100;20;218429
130;100;20;218263
131;100;20;218205
132;100;20;218070
133;100;20;217995
134;100;20;217881
135;100;20;217710
136;100;20;217502
137;100;20;217373
138;100;20;217198
139;100;20;217125
141;100;20;217058
142;100;20;216849
143;100;20;216786
144;100;20;216559
145;100;20;216527
146;100;20;216257
147;100;20;216166
148;100;20;215947
150;100;20;215735
151;100;20;215690
152;100;20;215542
154;100;20;215213
155;100;20;215157
156;100;20;215131
157;100;20;214979
158;100;20;214930
159;100;20;214830
160;100;20;214786
161;100;20;214671
162;100;20;214617
163;100;20;214596
164;100;20;214426
165;100;20;214328
166;100;20;214201
167;100;20;214098
168;100;20;214043
169;100;20;213901
170;100;20;213755
171;100;20;213694
172;100;20;213647
173;100;20;213602
174;100;20;213489
175;100;20;213399
176;100;20;213364
177;100;20;213207
178;100;20;212998
179;100;20;212863
181;100;20;212764
182;100;20;212692
183;100;20;212603
184;100;20;212473
185;100;20;212413
186;100;20;212380
187;100;20;212213
188;100;20;212164
189;100;20;211939
190;100;20;211914
191;100;20;211802
192;100;20;211776
193;100;20;211687
194;100;20;211680
195;100;20;211636
196;100;20;211564
197;100;20;211460
199;100;20;211362
200;100;20;211310
201;100;20;211275
202;100;20;211177
203;100;20;211065
204;100;20;211006
205;100;20;210897
206;100;20;210895
207;100;20;210797
208;100;20;210661
209;100;20;210659
210;100;20;210570
211;100;20;210432
212;100;20;210350
213;100;20;210245
214;100;20;210235
215;100;20;210085
216;100;20;210003
217;100;20;209896
218;100;20;209877
219;100;20;209791
220;100;20;209702
221;100;20;209655
222;100;20;209554
223;100;20;209514
224;100;20;209429
225;100;20;209321
226;100;20;209248
227;100;20;209180
228;100;20;209177
229;100;20;208762
230;100;20;208703
232;100;20;208581
233;100;20;208510
234;100;20;208507
235;100;20;208397
236;100;20;208294
237;100;20;208242
238;100;20;208152
239;100;20;208065
241;100;20;208044
242;100;20;208038
243;100;20;208011
245;100;20;207994
246;100;20;207985
248;100;20;207960
249;100;20;207919
250;181;20;207834
251;164;20;207773
252;149;20;207727
253;135;20;207703
254;122;20;207700
255;110;20;207669
256;99;20;207620
258;100;20;207575
261;100;20;207544
263;100;20;207512
264;100;20;207507
265;100;20;207463
266;100;20;207126
267;100;20;207014
268;100;20;206956
269;100;20;206911
270;100;20;206810
271;100;20;206778
272;100;20;206705
274;100;20;206674
275;100;20;206669
276;100;20;206589
277;100;20;206477
278;100;20;206437
279;100;20;206409
280;100;20;206367
281;100;20;206311
282;100;20;206297
284;100;20;206216
285;100;20;206107
287;100;20;206027
289;100;20;206013
290;100;20;205974
291;100;20;205928
292;100;20;205927
293;100;20;205836
294;100;20;205815
295;100;20;205810
296;100;20;205724
298;100;20;205721
299;100;20;205636
300;100;20;205630
301;100;20;205592
302;100;20;205498
303;100;20;205487
304;100;20;205410
305;100;20;205398
306;100;20;205357
307;100;20;205332
308;100;20;205322
309;100;20;205158
310;100;20;205097
312;100;20;204988
313;100;20;204963
314;100;20;204791
315;100;20;204746
316;100;20;204608
318;100;20;204522
319;100;20;204501
321;100;20;204490
322;100;20;204469
323;100;20;204385
324;100;20;204292
325;100;20;204211
326;100;20;204193
327;100;20;204161
328;100;20;204053
329;100;20;204039
330;100;20;204003
331;100;20;204001
332;100;20;203955
334;100;20;203926
335;100;20;203881
336;100;20;203872
337;100;20;203837
338;100;20;203805
339;100;20;203789
340;100;20;203769
342;100;20;203746
343;100;20;203689
344;100;20;203482
345;100;20;203459
346;100;20;203410
347;100;20;203362
349;100;20;203354
351;100;20;203337
353;100;20;203329
356;100;20;203279
357;100;20;203277
358;100;20;203271
359;100;20;203261
360;100;20;203254
361;100;20;203201
362;100;20;203184
364;100;20;203016
365;100;20;202713
366;100;20;202416
367;100;20;202270
368;100;20;202226
369;100;20;202219
370;100;20;202156
371;100;20;202045
373;100;20;202026
374;100;20;202014
375;100;20;201995
376;100;20;201877
378;100;20;201816
379;100;20;201787
381;100;20;201769
384;100;20;201671
388;100;20;201593
393;100;20;201479
394;100;20;201476
395;100;20;201468
396;100;20;201458
397;100;20;201433
399;100;20;201290
400;100;20;201263
401;100;20;201245
402;100;20;201244
403;100;20;201238
404;100;20;201185
406;100;20;201181
407;100;20;201153
408;100;20;201151
409;100;20;201132
410;181;20;201102
411;164;20;201092
412;149;20;201088
413;135;20;201003
415;110;20;200986
417;100;20;200971
419;100;20;200900
421;100;20;200890
422;100;20;200819
423;100;20;200755
424;100;20;200678
427;100;20;200646
428;100;20;200613
429;100;20;200579
430;100;20;200509
431;100;20;200491
432;100;20;200486
433;100;20;200461
434;100;20;200440
435;100;20;200428
436;100;20;200422
437;100;20;200412
438;100;20;200394
439;100;20;200385
440;100;20;200373
441;100;20;200368
442;100;20;200319
443;100;20;200300
444;100;20;200285
445;100;20;200249
447;100;20;200179
448;100;20;200178
450;100;20;200160
451;100;20;200150
452;100;20;200129
453;100;20;200128
454;100;20;200120
455;100;20;200118
456;100;20;200053
457;100;20;200049
459;100;20;200043
460;181;20;200001
462;149;20;199982
463;135;20;199941
465;110;20;199940
466;99;20;199905
468;100;20;199864
469;100;20;199840
470;100;20;199790
472;100;20;199773
473;100;20;199758
475;100;20;199725
476;100;20;199720
477;100;20;199716
478;100;20;199704
480;100;20;199699
482;100;20;199689
483;100;20;199669
484;100;20;199629
486;100;20;199594
487;100;20;199568
489;100;20;199545
490;181;20;199511
493;135;20;199405
495;110;20;199344
497;100;20;199331
498;100;20;199327
501;100;20;199325
502;100;20;199316
503;100;20;199284
504;100;20;199219
505;100;20;199205
506;100;20;199156
509;100;20;199155
510;100;20;199123
511;100;20;199070
512;100;20;199060
513;100;20;199037
514;100;20;199007
515;100;20;199005
517;100;20;198968
518;100;20;198863
521;100;20;198861
522;100;20;198856
523;100;20;198853
524;100;20;198848
525;100;20;198801
528;100;20;198760
530;181;20;198704
539;100;20;198646
543;100;20;198642
544;100;20;198621
545;100;20;198617
546;100;20;198570
549;100;20;198545
551;100;20;198473
553;100;20;198401
556;100;20;198386
557;100;20;198281
559;100;20;198254
562;100;20;198245
563;100;20;198231
564;100;20;198224
565;100;20;198214
566;100;20;198165
568;100;20;198116
570;100;20;198058
572;100;20;198030
573;100;20;198026
574;100;20;197937
575;100;20;197860
577;100;20;197801
585;100;20;197799
588;100;20;197733
593;135;20;197731
594;122;20;197698
600;100;20;197696
603;100;20;197695
604;100;20;197662
607;100;20;197661
608;100;20;197659
609;100;20;197647
612;100;20;197569
613;100;20;197567
616;100;20;197505
618;100;20;197502
621;100;20;197488
623;100;20;197473
626;100;20;197470
630;100;20;197428
631;100;20;197321
632;100;20;197312
633;100;20;197205
636;100;20;197196
638;100;20;197187
641;100;20;197161
642;100;20;197115
643;100;20;197082
644;100;20;197023
645;100;20;196997
646;100;20;196951
647;100;20;196942
648;100;20;196935
649;100;20;196926
650;181;20;196911
652;149;20;196882
653;135;20;196853
654;122;20;196831
656;99;20;196815
662;100;20;196806
663;100;20;196786
664;100;20;196751
665;100;20;196742
668;100;20;196727
669;100;20;196708
670;100;20;196699
673;100;20;196693
674;100;20;196675
677;100;20;196658
680;100;20;196649
681;100;20;196600
683;100;20;196585
685;100;20;196577
688;100;20;196558
693;135;20;196555
698;100;20;196547
703;100;20;196518
710;100;20;196246
717;100;20;196218
719;100;20;196203
720;181;20;196201
721;164;20;196158
726;99;20;196016
727;100;20;195987
730;100;20;195979
732;100;20;195935
734;100;20;195873
738;100;20;195829
740;100;20;195807
743;100;20;195801
746;100;20;195799
747;100;20;195792
753;100;20;195782
755;100;20;195775
759;100;20;195774
761;164;20;195773
763;135;20;195765
765;110;20;195764
766;99;20;195762
767;100;20;195748
770;100;20;195700
773;100;20;195698
774;100;20;195638
775;100;20;195628
776;100;20;195622
777;100;20;195617
778;100;20;195615
779;100;20;195608
780;100;20;195603
781;100;20;195562
782;100;20;195550
783;100;20;195548
787;100;20;195544
789;100;20;195543
793;100;20;195502
800;181;20;195459
801;164;20;195449
809;100;20;195446
