Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:17
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
151;20;1;7;268966
137;20;1;8;264973
124;20;1;9;262144
112;20;1;10;260349
101;20;1;11;258483
100;20;562;999;193928
181;20;10;980;194005
135;20;6;953;194170
110;20;5;955;194159
99;20;6;886;194841
149;20;2;552;198514
122;20;5;954;194166
164;20;3;921;194391
240;20;355;1992;186245
359;20;4;1972;186730
296;20;2;1574;189289
244;20;3;1806;187979
221;20;2;1617;189177
269;20;3;1725;188266
396;20;3;1611;189202
326;20;2;1973;186597
436;20;4;1970;186751
312;20;1;1878;187863
405;20;1;1879;187792
526;20;1;1880;187778
683;20;1;1881;187697
1153;20;1;1883;187510
960;20;1;1884;187452
719;20;1;1887;187431
653;20;1;1888;187310
403;20;1;1893;187289
366;20;1;1894;187287
332;20;1;1895;187273
301;20;1;1896;187248
273;20;1;1897;187207
Generatia;Nr indivizi;Viata;Fitness
7;151;20;268966
8;137;20;264973
9;124;20;262144
10;112;20;260349
11;101;20;258483
13;100;20;256647
14;100;20;256398
16;100;20;253078
19;100;20;252703
21;100;20;251546
24;100;20;251304
26;100;20;251253
27;100;20;250705
28;100;20;250430
29;100;20;249450
32;100;20;248329
35;100;20;248247
36;100;20;246038
38;100;20;245676
39;100;20;244949
42;100;20;243865
48;100;20;243551
49;100;20;242001
51;100;20;240629
55;100;20;239558
60;100;20;238609
61;100;20;238279
62;100;20;237003
63;100;20;236931
64;100;20;236318
65;100;20;236053
66;100;20;235721
67;100;20;234493
69;100;20;234045
70;100;20;233303
71;100;20;233298
73;100;20;233099
74;100;20;232228
77;100;20;231480
79;100;20;230865
81;100;20;230859
82;100;20;230810
83;100;20;230315
84;100;20;229830
87;100;20;229640
88;100;20;228820
90;100;20;228815
91;100;20;228691
92;100;20;228106
93;100;20;228070
94;100;20;227867
95;100;20;227706
96;100;20;227510
97;100;20;227234
98;100;20;227149
99;100;20;227050
100;100;20;226674
101;100;20;226324
102;100;20;226182
103;100;20;226010
104;100;20;225849
106;100;20;225354
108;100;20;224665
109;100;20;224483
110;100;20;224324
111;100;20;224012
112;100;20;223901
113;100;20;223493
114;100;20;222956
116;100;20;222585
117;100;20;222574
119;100;20;222344
