Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:23
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;264811
167;20;1;6;263737
151;20;1;7;260091
124;20;1;9;259886
112;20;1;10;258836
101;20;1;11;258568
91;20;1;12;257331
100;20;564;998;192314
181;20;11;980;192506
122;20;8;924;193074
99;20;4;806;193769
149;20;6;892;193366
110;20;6;895;193282
164;20;3;831;193650
135;20;5;983;192497
120;20;1;1000;192313
240;20;335;1998;185685
436;20;3;1950;185814
359;20;3;1722;186816
244;20;1;1336;189366
326;20;2;1953;185782
296;20;1;1724;186755
396;20;1;1951;185810
Generatia;Nr indivizi;Viata;Fitness
5;184;20;264811
6;167;20;263737
7;151;20;260091
9;124;20;259886
10;112;20;258836
11;101;20;258568
12;91;20;257331
13;100;20;256171
15;100;20;255665
16;100;20;254563
18;100;20;254426
19;100;20;252642
21;100;20;251951
22;100;20;251427
23;100;20;250210
24;100;20;249483
26;100;20;248551
27;100;20;247735
29;100;20;246947
30;100;20;245151
31;100;20;244673
32;100;20;243453
34;100;20;242803
35;100;20;241487
36;100;20;241295
38;100;20;239730
41;100;20;238991
43;100;20;237999
46;100;20;237798
47;100;20;237275
48;100;20;236985
49;100;20;236549
50;100;20;236478
51;100;20;235687
52;100;20;235519
53;100;20;234687
54;100;20;234305
55;100;20;234005
56;100;20;233329
57;100;20;232851
58;100;20;232160
59;100;20;231698
60;100;20;231614
61;100;20;231143
62;100;20;230793
64;100;20;230236
65;100;20;230038
66;100;20;229049
69;100;20;228713
70;100;20;228402
71;100;20;227885
73;100;20;227477
75;100;20;227084
76;100;20;226984
77;100;20;226803
78;100;20;226625
79;100;20;226416
80;100;20;226126
81;100;20;225917
82;100;20;225468
84;100;20;225214
85;100;20;224782
87;100;20;224577
88;100;20;224209
90;100;20;224049
91;100;20;223582
92;100;20;223543
93;100;20;223146
96;100;20;222752
98;100;20;222721
99;100;20;222276
100;100;20;222247
101;100;20;222026
102;100;20;221969
105;100;20;221966
106;100;20;221771
107;100;20;221637
108;100;20;221507
109;100;20;220939
110;100;20;220916
111;100;20;220746
112;100;20;220672
114;100;20;220255
115;100;20;219914
118;100;20;219577
119;100;20;219384
120;100;20;219197
121;100;20;219155
122;100;20;218869
123;100;20;218718
124;100;20;218604
125;100;20;218429
126;100;20;218251
127;100;20;217781
128;100;20;217734
129;100;20;217731
130;100;20;217450
131;100;20;217301
132;100;20;216989
133;100;20;216955
134;100;20;216850
135;100;20;216718
136;100;20;216397
137;100;20;216327
138;100;20;216181
139;100;20;216136
140;100;20;216001
141;100;20;215857
142;100;20;215390
144;100;20;215210
145;100;20;215193
146;100;20;215145
147;100;20;214620
148;100;20;214596
149;100;20;214471
150;100;20;214445
151;100;20;214160
153;100;20;214143
154;100;20;214107
155;100;20;214050
156;100;20;213859
157;100;20;213836
158;100;20;213829
159;100;20;213648
160;100;20;213576
161;100;20;213385
162;100;20;213310
164;100;20;213287
165;100;20;213157
166;100;20;213116
167;100;20;213029
168;100;20;212871
169;100;20;212782
170;100;20;212564
171;100;20;212432
172;100;20;212199
173;100;20;212088
174;100;20;211957
175;100;20;211901
176;100;20;211758
177;100;20;211633
178;100;20;211557
179;100;20;211497
180;100;20;211486
181;100;20;211456
182;100;20;211397
183;100;20;211300
184;100;20;211272
185;100;20;211161
186;100;20;211098
187;100;20;210963
188;100;20;210854
189;100;20;210808
190;100;20;210730
191;100;20;210703
192;100;20;209984
193;100;20;209866
194;100;20;209829
195;100;20;209761
196;100;20;209587
197;100;20;209552
198;100;20;209458
199;100;20;209346
200;100;20;209301
201;100;20;209256
202;100;20;209226
203;100;20;209207
204;100;20;209121
205;100;20;209084
206;100;20;209063
207;100;20;208972
208;100;20;208954
209;100;20;208906
210;100;20;208878
211;100;20;208839
212;100;20;208818
213;100;20;208762
214;100;20;208735
215;100;20;208598
216;100;20;208371
218;100;20;208228
219;100;20;208209
220;100;20;207916
221;100;20;207875
222;100;20;207853
223;100;20;207836
224;100;20;207809
225;100;20;207801
226;100;20;207601
228;100;20;207593
229;100;20;207527
230;100;20;207484
231;100;20;207395
232;100;20;207347
233;100;20;207314
235;100;20;207271
236;100;20;207234
237;100;20;207165
238;100;20;207146
239;100;20;207084
240;100;20;207003
242;100;20;206783
243;100;20;206527
244;100;20;206466
245;100;20;206453
246;100;20;206429
247;100;20;206424
249;100;20;206400
250;100;20;206192
252;100;20;206091
253;100;20;206001
254;100;20;205880
255;100;20;205776
257;100;20;205693
258;100;20;205676
259;100;20;205601
260;100;20;205512
261;100;20;205318
264;100;20;205240
265;100;20;205190
267;100;20;205166
268;100;20;205124
270;100;20;205090
271;100;20;205062
273;100;20;204981
276;100;20;204953
277;100;20;204912
280;100;20;204887
282;100;20;204838
283;100;20;204779
284;100;20;204759
285;100;20;204733
286;100;20;204625
288;100;20;204588
289;100;20;204550
290;100;20;204510
291;100;20;204482
293;100;20;204408
294;100;20;204407
295;100;20;204369
299;100;20;204341
300;100;20;204325
301;100;20;204230
302;100;20;203843
303;100;20;203756
304;100;20;203731
306;100;20;203710
307;100;20;203661
308;100;20;203574
309;100;20;203526
310;100;20;203414
311;100;20;203404
312;100;20;203382
313;100;20;203372
314;100;20;203336
315;100;20;203317
316;100;20;203211
317;100;20;203177
318;100;20;203145
319;100;20;203070
321;100;20;203060
322;100;20;202933
325;100;20;202886
326;100;20;202864
327;100;20;202784
328;100;20;202782
329;100;20;202737
330;100;20;202734
331;100;20;202590
332;100;20;202525
333;100;20;202455
334;100;20;202388
335;100;20;202329
336;100;20;202309
337;100;20;202210
338;100;20;202172
339;100;20;202163
341;100;20;202120
342;100;20;202107
344;100;20;202044
345;100;20;202002
346;100;20;201982
347;100;20;201971
348;100;20;201929
349;100;20;201866
351;100;20;201859
352;100;20;201856
354;100;20;201772
355;100;20;201714
356;100;20;201689
360;100;20;201672
361;100;20;201669
363;100;20;201642
364;100;20;201634
373;100;20;201574
374;100;20;201532
375;100;20;201490
378;100;20;201469
379;100;20;201444
380;181;20;201422
384;122;20;201396
386;99;20;201354
391;100;20;201337
392;100;20;201293
393;100;20;201273
394;100;20;201241
395;100;20;200929
396;100;20;200869
397;100;20;200840
398;100;20;200780
399;100;20;200779
400;100;20;200700
401;100;20;200619
402;100;20;200592
403;100;20;200557
404;100;20;200540
405;100;20;200533
406;100;20;200507
407;100;20;200490
413;100;20;200449
417;100;20;200445
419;100;20;200404
420;181;20;200286
426;99;20;200279
427;100;20;200213
429;100;20;200189
431;100;20;200055
433;100;20;199951
434;100;20;199925
435;100;20;199864
436;100;20;199838
437;100;20;199829
438;100;20;199811
439;100;20;199799
442;100;20;199786
443;100;20;199720
445;100;20;199718
447;100;20;199695
448;100;20;199661
449;100;20;199635
450;181;20;199607
452;149;20;199504
455;110;20;199502
456;99;20;199498
457;100;20;199481
458;100;20;199472
460;100;20;199369
463;100;20;199350
465;100;20;199341
467;100;20;199321
468;100;20;199299
469;100;20;199283
471;100;20;199280
472;100;20;199227
476;100;20;199225
477;100;20;199216
478;100;20;199188
479;100;20;199158
482;100;20;199152
483;100;20;199124
484;100;20;199052
486;100;20;198974
487;100;20;198952
488;100;20;198950
489;100;20;198917
490;100;20;198843
491;100;20;198783
492;100;20;198779
493;100;20;198776
494;100;20;198654
496;100;20;198597
497;100;20;198558
498;100;20;198497
501;100;20;198471
503;100;20;198328
504;100;20;198325
506;100;20;198279
507;100;20;198266
509;100;20;198163
510;100;20;198114
511;100;20;198021
514;100;20;197927
517;100;20;197917
518;100;20;197780
519;100;20;197725
520;100;20;197669
521;100;20;197664
524;100;20;197652
526;100;20;197621
530;100;20;197611
531;100;20;197602
532;100;20;197540
534;100;20;197530
535;100;20;197522
536;100;20;197517
537;100;20;197492
538;100;20;197480
539;100;20;197453
540;100;20;197403
544;100;20;197360
549;100;20;197308
550;100;20;197289
551;100;20;197201
555;100;20;197179
556;100;20;197151
559;100;20;197097
560;100;20;197092
561;100;20;197027
562;100;20;197020
563;100;20;196966
564;100;20;196964
565;100;20;196951
567;100;20;196948
568;100;20;196942
569;100;20;196908
570;181;20;196818
571;164;20;196780
572;149;20;196773
574;122;20;196770
575;110;20;196693
577;100;20;196689
579;100;20;196686
580;100;20;196649
581;100;20;196569
584;100;20;196511
585;100;20;196493
586;100;20;196489
588;100;20;196473
589;100;20;196466
590;100;20;196450
591;100;20;196443
592;100;20;196395
593;100;20;196364
594;100;20;196348
595;100;20;196345
596;100;20;196340
597;100;20;196313
598;100;20;196308
599;100;20;196276
604;122;20;196262
605;110;20;196258
607;100;20;196254
608;100;20;196253
611;100;20;196230
612;100;20;196212
613;100;20;196190
614;100;20;196182
615;100;20;196175
616;100;20;196163
628;100;20;196131
630;181;20;196103
631;164;20;196066
633;135;20;196034
634;122;20;195967
639;100;20;195909
642;100;20;195894
644;100;20;195836
648;100;20;195819
649;100;20;195775
653;100;20;195753
654;100;20;195643
656;100;20;195622
657;100;20;195594
659;100;20;195572
660;100;20;195562
661;100;20;195541
662;100;20;195529
663;100;20;195462
665;100;20;195428
669;100;20;195308
673;100;20;195241
674;100;20;195172
678;100;20;195107
683;100;20;195102
684;100;20;195065
686;100;20;195048
688;100;20;195028
689;100;20;195011
690;100;20;195006
691;100;20;194961
692;100;20;194953
693;100;20;194931
694;100;20;194895
695;100;20;194844
696;100;20;194824
698;100;20;194808
699;100;20;194803
707;100;20;194800
708;100;20;194782
709;100;20;194780
710;100;20;194767
711;100;20;194756
712;100;20;194753
713;100;20;194746
715;100;20;194716
717;100;20;194709
718;100;20;194692
719;100;20;194684
722;100;20;194675
723;100;20;194666
724;100;20;194655
725;100;20;194644
730;181;20;194632
732;149;20;194624
737;100;20;194622
738;100;20;194538
739;100;20;194528
740;100;20;194503
741;100;20;194494
743;100;20;194470
744;100;20;194469
745;100;20;194418
746;100;20;194280
747;100;20;194264
749;100;20;194254
750;100;20;194245
759;100;20;194218
765;100;20;194209
769;100;20;194170
770;181;20;194140
772;149;20;194132
775;110;20;194063
778;100;20;194039
779;100;20;193970
780;100;20;193950
786;100;20;193938
787;100;20;193917
788;100;20;193906
794;100;20;193903
797;100;20;193811
799;100;20;193809
800;181;20;193802
803;135;20;193800
804;122;20;193788
805;110;20;193780
806;99;20;193769
807;100;20;193759
810;100;20;193750
811;100;20;193738
812;100;20;193735
814;100;20;193734
821;100;20;193664
826;100;20;193661
829;100;20;193657
830;181;20;193655
831;164;20;193650
833;135;20;193648
834;122;20;193638
842;100;20;193630
845;100;20;193624
846;100;20;193622
850;100;20;193620
