Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:41
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
151;20;1;7;268131
137;20;1;8;265871
124;20;1;9;262876
112;20;1;10;261127
101;20;1;11;258900
91;20;1;12;256828
100;20;514;989;194189
181;20;9;990;194150
149;20;6;912;194964
122;20;5;994;194124
110;20;3;505;200279
99;20;8;996;194115
164;20;12;991;194128
135;20;5;963;194528
120;20;1;1000;194036
240;20;353;1993;188269
436;20;5;1900;188577
396;20;5;1751;189013
359;20;4;1752;189010
326;20;6;1813;188826
269;20;3;1755;189000
244;20;4;1906;188547
221;20;1;1597;189632
296;20;1;1754;189007
Generatia;Nr indivizi;Viata;Fitness
7;151;20;268131
8;137;20;265871
9;124;20;262876
10;112;20;261127
11;101;20;258900
12;91;20;256828
14;100;20;256751
17;100;20;254693
18;100;20;252561
21;100;20;251399
22;100;20;250175
25;100;20;249476
28;100;20;248637
29;100;20;248223
31;100;20;247841
34;100;20;247061
35;100;20;246251
36;100;20;245041
37;100;20;244065
39;100;20;243920
40;100;20;243351
41;100;20;242889
42;100;20;240358
46;100;20;240329
47;100;20;239453
48;100;20;237993
51;100;20;237871
52;100;20;237088
53;100;20;236655
59;100;20;235761
61;100;20;234567
62;100;20;234140
64;100;20;233823
65;100;20;233777
66;100;20;233687
67;100;20;232128
68;100;20;231909
69;100;20;231829
71;100;20;231671
72;100;20;230020
77;100;20;229815
79;100;20;229030
81;100;20;228473
82;100;20;227833
84;100;20;227188
86;100;20;226996
87;100;20;226906
88;100;20;226638
89;100;20;226298
92;100;20;225943
93;100;20;225265
95;100;20;224984
96;100;20;224735
97;100;20;224651
98;100;20;224496
99;100;20;224370
100;100;20;224211
101;100;20;223774
102;100;20;223745
103;100;20;223696
104;100;20;223087
107;100;20;222990
108;100;20;222572
109;100;20;221982
113;100;20;221598
115;100;20;221462
116;100;20;220991
117;100;20;220946
119;100;20;220931
120;100;20;220503
122;100;20;220361
124;100;20;220235
125;100;20;220067
127;100;20;219715
130;100;20;219671
131;100;20;219628
132;100;20;219450
133;100;20;219302
134;100;20;219203
135;100;20;219011
136;100;20;218893
137;100;20;218750
138;100;20;218546
139;100;20;218334
140;100;20;217853
143;100;20;217549
144;100;20;217544
146;100;20;217417
147;100;20;217407
148;100;20;217291
149;100;20;217230
151;100;20;217138
152;100;20;217007
153;100;20;216681
154;100;20;216522
156;100;20;216386
158;100;20;216330
159;100;20;216292
160;100;20;216279
162;100;20;216197
163;100;20;216023
164;100;20;215916
165;100;20;215872
166;100;20;215668
