Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 16:50
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
184;20;1;5;273814
167;20;1;6;266727
151;20;1;7;261012
137;20;1;8;260310
112;20;1;10;259865
101;20;1;11;256263
100;20;548;997;195507
181;20;6;990;195725
164;20;4;991;195624
149;20;5;992;195615
122;20;3;994;195556
99;20;4;996;195510
135;20;6;963;195931
110;20;1;785;197797
120;20;1;1000;195470
240;20;417;1999;187277
244;20;1;1506;190131
436;20;1;1630;189328
359;20;1;1632;189326
326;20;1;1633;189312
Generatia;Nr indivizi;Viata;Fitness
5;184;20;273814
6;167;20;266727
7;151;20;261012
8;137;20;260310
10;112;20;259865
11;101;20;256263
15;100;20;254401
16;100;20;253674
19;100;20;252457
21;100;20;251798
23;100;20;250709
24;100;20;248974
26;100;20;248450
28;100;20;247536
29;100;20;245960
30;100;20;245188
34;100;20;243742
35;100;20;242591
38;100;20;241695
40;100;20;241437
43;100;20;241273
44;100;20;239356
45;100;20;239102
47;100;20;238365
49;100;20;237976
50;100;20;237491
52;100;20;236444
54;100;20;236244
55;100;20;235849
56;100;20;235812
57;100;20;235451
58;100;20;235369
59;100;20;235212
60;100;20;234545
61;100;20;233974
62;100;20;233855
63;100;20;232973
64;100;20;232705
65;100;20;232448
66;100;20;231904
68;100;20;231376
69;100;20;231351
70;100;20;230938
71;100;20;230526
72;100;20;230436
73;100;20;230090
75;100;20;229837
76;100;20;229690
77;100;20;229303
78;100;20;229174
79;100;20;229047
80;100;20;228930
81;100;20;228856
82;100;20;228583
83;100;20;228058
84;100;20;228047
87;100;20;227817
88;100;20;227781
90;100;20;227362
92;100;20;227255
93;100;20;227235
94;100;20;226885
95;100;20;226774
96;100;20;226625
97;100;20;226527
99;100;20;226317
100;100;20;225970
102;100;20;225757
103;100;20;225576
104;100;20;225070
107;100;20;224969
108;100;20;224861
109;100;20;224733
110;100;20;224676
111;100;20;224553
112;100;20;224351
113;100;20;224136
114;100;20;224133
115;100;20;223984
116;100;20;223822
117;100;20;223530
118;100;20;223174
122;100;20;222888
123;100;20;222766
124;100;20;222580
126;100;20;222574
127;100;20;222476
128;100;20;222132
129;100;20;222044
130;100;20;221988
131;100;20;221832
132;100;20;221791
133;100;20;221473
134;100;20;221443
135;100;20;221408
136;100;20;221148
137;100;20;221090
138;100;20;220989
139;100;20;220788
140;100;20;220736
141;100;20;220562
142;100;20;220382
143;100;20;220311
146;100;20;220249
147;100;20;220213
148;100;20;220067
149;100;20;219991
150;100;20;219794
151;100;20;219752
152;100;20;219668
153;100;20;219357
154;100;20;219193
155;100;20;219000
157;100;20;218979
158;100;20;218910
159;100;20;218888
160;100;20;218741
161;100;20;218627
162;100;20;218414
163;100;20;218389
164;100;20;218387
165;100;20;218308
166;100;20;218290
167;100;20;218240
168;100;20;218113
169;100;20;218018
170;100;20;217925
171;100;20;217799
172;100;20;217551
173;100;20;217354
174;100;20;217213
175;100;20;216869
179;100;20;216669
180;100;20;216499
181;100;20;216442
182;100;20;216258
184;100;20;216206
185;100;20;216190
186;100;20;216074
187;100;20;215891
188;100;20;215773
189;100;20;215733
190;100;20;215556
191;100;20;215486
193;100;20;215253
195;100;20;215248
196;100;20;215212
197;100;20;214956
199;100;20;214927
200;100;20;214876
201;100;20;214760
202;100;20;214729
203;100;20;214585
204;100;20;214462
207;100;20;214409
208;100;20;214373
209;100;20;214358
210;100;20;214321
211;100;20;214289
212;100;20;214214
213;100;20;214193
215;100;20;214096
216;100;20;214047
217;100;20;214015
218;100;20;214012
220;100;20;213903
221;100;20;213596
222;100;20;213483
223;100;20;213479
224;100;20;213414
225;100;20;213398
226;100;20;213204
227;100;20;213128
228;100;20;212970
229;100;20;212960
230;100;20;212892
231;100;20;212871
232;100;20;212814
233;100;20;212762
234;100;20;212749
236;100;20;212624
237;100;20;212546
239;100;20;212470
240;100;20;212395
241;100;20;212380
243;100;20;212375
244;100;20;212365
245;100;20;212273
246;100;20;212250
247;100;20;212249
248;100;20;212184
249;100;20;212150
250;100;20;212145
251;100;20;212048
252;100;20;211994
253;100;20;211990
254;100;20;211939
255;100;20;211864
256;100;20;211700
258;100;20;211570
260;100;20;211506
262;100;20;211489
263;100;20;211232
264;100;20;211100
265;100;20;210978
267;100;20;210840
268;100;20;210823
269;100;20;210639
272;100;20;210485
273;100;20;210413
274;100;20;210365
275;100;20;210304
276;100;20;210260
277;100;20;210169
278;100;20;210079
281;100;20;210046
283;100;20;209985
285;100;20;209929
286;100;20;209828
287;100;20;209772
289;100;20;209724
290;100;20;209681
291;100;20;209615
292;100;20;209607
294;100;20;209575
295;100;20;209443
296;100;20;209429
297;100;20;209281
300;100;20;209242
302;100;20;209220
303;100;20;208989
304;100;20;208975
305;100;20;208921
306;100;20;208910
307;100;20;208844
308;100;20;208762
309;100;20;208666
311;100;20;208633
312;100;20;208586
313;100;20;208554
315;100;20;208522
316;100;20;208343
317;100;20;208334
318;100;20;208264
319;100;20;208241
320;100;20;208220
322;100;20;208078
328;100;20;207987
329;100;20;207985
330;100;20;207961
331;100;20;207925
334;100;20;207883
335;100;20;207853
336;100;20;207651
337;100;20;207604
338;100;20;207569
339;100;20;207480
343;100;20;207255
346;100;20;207093
349;100;20;207015
350;100;20;206910
352;100;20;206908
353;100;20;206899
354;100;20;206831
355;100;20;206830
356;100;20;206801
357;100;20;206792
358;100;20;206761
359;100;20;206675
360;100;20;206612
361;100;20;206597
363;100;20;206560
364;100;20;206535
365;100;20;206484
366;100;20;206451
367;100;20;206370
368;100;20;206365
370;100;20;206323
371;100;20;206258
373;100;20;206253
374;100;20;206236
375;100;20;206231
376;100;20;205943
377;100;20;205874
379;100;20;205631
381;100;20;205618
383;100;20;205590
384;100;20;205555
385;100;20;205522
387;100;20;205497
388;100;20;205482
389;100;20;205452
390;100;20;205430
392;100;20;205229
394;100;20;205197
395;100;20;205170
396;100;20;205134
399;100;20;205132
400;100;20;205092
402;100;20;205034
404;100;20;205031
405;100;20;205006
406;100;20;204984
408;100;20;204797
409;100;20;204791
410;100;20;204770
412;100;20;204749
413;100;20;204702
414;100;20;204700
416;100;20;204658
418;100;20;204596
422;100;20;204554
424;100;20;204531
426;100;20;204493
428;100;20;204492
429;100;20;204454
432;100;20;204436
433;100;20;204396
436;100;20;204383
437;100;20;204312
439;100;20;204294
442;100;20;204243
444;100;20;204199
445;100;20;204147
447;100;20;204130
448;100;20;204101
449;100;20;203917
451;100;20;203889
452;100;20;203878
454;100;20;203866
455;100;20;203845
456;100;20;203834
457;100;20;203822
458;100;20;203816
459;100;20;203794
461;100;20;203773
462;100;20;203762
464;100;20;203748
465;100;20;203725
466;100;20;203700
468;100;20;203652
470;100;20;203647
472;100;20;203645
473;100;20;203598
474;100;20;203577
475;100;20;203544
476;100;20;203506
477;100;20;203496
479;100;20;203487
480;100;20;203468
483;100;20;203417
484;100;20;203362
485;100;20;203302
486;100;20;203107
487;100;20;203045
488;100;20;203035
490;100;20;202972
492;100;20;202962
494;100;20;202835
495;100;20;202834
496;100;20;202832
498;100;20;202724
501;100;20;202694
503;100;20;202658
505;100;20;202630
507;100;20;202628
508;100;20;202594
510;100;20;202576
518;100;20;202561
519;100;20;202506
520;181;20;202385
529;100;20;202364
530;100;20;202268
532;100;20;202230
537;100;20;202229
538;100;20;202163
540;100;20;202100
544;100;20;202051
546;100;20;202050
547;100;20;202045
548;100;20;202018
550;100;20;202016
551;100;20;201967
552;100;20;201919
553;100;20;201894
554;100;20;201875
558;100;20;201847
559;100;20;201835
561;164;20;201812
562;149;20;201807
564;122;20;201802
568;100;20;201798
570;100;20;201784
571;100;20;201736
572;100;20;201717
573;100;20;201708
574;100;20;201692
575;100;20;201673
576;100;20;201658
577;100;20;201651
578;100;20;201493
582;100;20;201438
584;100;20;201437
587;100;20;201401
588;100;20;201392
589;100;20;201305
590;100;20;201270
591;100;20;201245
592;100;20;201244
594;100;20;201208
597;100;20;201183
602;100;20;201117
604;100;20;201111
606;100;20;201058
607;100;20;201026
608;100;20;200954
609;100;20;200945
610;181;20;200933
611;164;20;200831
616;99;20;200776
619;100;20;200772
622;100;20;200688
625;100;20;200676
626;100;20;200598
628;100;20;200594
629;100;20;200546
631;100;20;200499
635;100;20;200420
636;100;20;200405
638;100;20;200332
639;100;20;200290
641;100;20;200277
642;100;20;200270
643;100;20;200266
644;100;20;200210
645;100;20;200163
647;100;20;200138
652;100;20;200133
655;100;20;200121
656;100;20;200109
658;100;20;200062
659;100;20;200052
661;100;20;200034
662;100;20;200031
663;100;20;199978
664;100;20;199966
665;100;20;199932
666;100;20;199931
670;100;20;199922
674;100;20;199797
675;100;20;199795
679;100;20;199739
681;100;20;199716
682;100;20;199672
684;100;20;199649
685;100;20;199580
686;100;20;199513
690;100;20;199499
