Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 17:00
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;271103
151;20;1;7;263237
137;20;1;8;263198
124;20;1;9;258366
112;20;1;10;257957
101;20;1;11;257299
100;20;561;999;193503
181;20;10;970;193653
164;20;4;971;193640
149;20;7;942;193754
135;20;4;973;193630
122;20;4;944;193749
99;20;5;946;193744
110;20;3;975;193620
120;20;1;1000;193462
240;20;404;1998;185408
436;20;2;1900;186169
296;20;1;1674;186954
221;20;2;1907;186048
396;20;1;1821;186308
359;20;1;1902;186168
326;20;1;1903;186066
269;20;1;1905;186058
244;20;1;1906;186056
312;20;1;1949;185957
405;20;1;1950;185942
526;20;1;1951;185937
683;20;1;1952;185850
887;20;1;1953;185834
1153;20;1;1954;185825
1048;20;1;1955;185818
865;20;1;1957;185770
786;20;1;1958;185764
714;20;1;1959;185761
649;20;1;1960;185753
590;20;1;1961;185706
442;20;1;1964;185657
364;20;1;1966;185612
300;20;1;1968;185564
247;20;1;1970;185555
224;20;1;1971;185513
Generatia;Nr indivizi;Viata;Fitness
6;167;20;271103
7;151;20;263237
8;137;20;263198
9;124;20;258366
10;112;20;257957
11;101;20;257299
14;100;20;256131
16;100;20;253234
17;100;20;251102
22;100;20;250526
24;100;20;250378
25;100;20;249912
26;100;20;249560
27;100;20;248972
28;100;20;248069
31;100;20;247929
32;100;20;247282
34;100;20;246473
35;100;20;245572
36;100;20;245034
37;100;20;244989
38;100;20;243724
39;100;20;243206
41;100;20;243001
42;100;20;242450
43;100;20;241742
44;100;20;241169
45;100;20;241122
46;100;20;240801
47;100;20;240377
48;100;20;240167
49;100;20;239892
50;100;20;239857
51;100;20;239076
52;100;20;238765
53;100;20;238625
54;100;20;237537
56;100;20;237337
57;100;20;237173
59;100;20;236892
60;100;20;236761
61;100;20;236630
62;100;20;235803
63;100;20;235626
64;100;20;235281
65;100;20;235163
66;100;20;234862
67;100;20;234741
68;100;20;234065
70;100;20;233966
71;100;20;233681
72;100;20;233177
73;100;20;233037
74;100;20;232995
75;100;20;232380
76;100;20;232095
78;100;20;232049
79;100;20;231792
80;100;20;231731
81;100;20;231425
82;100;20;231375
83;100;20;231358
84;100;20;231162
85;100;20;230602
87;100;20;230582
88;100;20;230384
89;100;20;230001
90;100;20;229537
91;100;20;229386
92;100;20;229143
93;100;20;228679
96;100;20;228464
97;100;20;228310
98;100;20;228296
99;100;20;228170
100;100;20;227951
101;100;20;227206
103;100;20;227202
105;100;20;226845
107;100;20;226658
108;100;20;226485
109;100;20;226210
110;100;20;226145
111;100;20;225952
112;100;20;225805
113;100;20;225568
115;100;20;225117
116;100;20;225006
117;100;20;225000
118;100;20;224488
119;100;20;224294
120;100;20;224199
121;100;20;223899
123;100;20;223814
124;100;20;223801
125;100;20;223403
126;100;20;223131
128;100;20;222927
129;100;20;222769
130;100;20;222580
131;100;20;222578
132;100;20;222337
133;100;20;222195
134;100;20;221876
137;100;20;221825
138;100;20;221527
139;100;20;221463
140;100;20;221240
141;100;20;221054
142;100;20;221026
143;100;20;220763
144;100;20;220738
145;100;20;220529
146;100;20;220371
147;100;20;220201
149;100;20;219955
150;100;20;219852
151;100;20;219779
152;100;20;219692
153;100;20;219632
154;100;20;219617
155;100;20;219560
156;100;20;219551
157;100;20;219468
158;100;20;219340
159;100;20;219299
160;100;20;219198
161;100;20;219000
163;100;20;218936
164;100;20;218852
165;100;20;218811
166;100;20;218784
167;100;20;218648
168;100;20;218521
170;100;20;218413
171;100;20;218379
172;100;20;218267
173;100;20;218097
174;100;20;217821
175;100;20;217637
176;100;20;217586
177;100;20;217556
178;100;20;217539
179;100;20;217432
180;100;20;217346
181;100;20;216904
182;100;20;216680
184;100;20;216508
186;100;20;216404
187;100;20;216344
188;100;20;215977
190;100;20;215902
191;100;20;215840
192;100;20;215754
193;100;20;215560
194;100;20;215537
196;100;20;215443
197;100;20;215397
198;100;20;215353
199;100;20;215239
200;100;20;215081
202;100;20;214844
203;100;20;214782
205;100;20;214696
207;100;20;214639
208;100;20;214508
209;100;20;214446
210;100;20;214360
211;100;20;214335
212;100;20;214310
213;100;20;214120
214;100;20;214072
215;100;20;214012
216;100;20;213850
217;100;20;213720
219;100;20;213596
220;100;20;213530
221;100;20;213408
222;100;20;213396
223;100;20;213218
226;100;20;213174
228;100;20;213069
229;100;20;212975
230;100;20;212827
231;100;20;212790
232;100;20;212682
234;100;20;212413
236;100;20;212315
237;100;20;212239
238;100;20;212124
239;100;20;212108
240;100;20;211937
242;100;20;211935
243;100;20;211792
244;100;20;211780
245;100;20;211758
247;100;20;211726
248;100;20;211513
249;100;20;211497
250;100;20;211492
251;100;20;211317
252;100;20;211249
253;100;20;211085
255;100;20;210913
256;100;20;210908
257;100;20;210778
258;100;20;210734
260;100;20;210661
261;100;20;210589
262;100;20;210497
263;100;20;210468
264;100;20;210153
266;100;20;210115
267;100;20;210060
268;100;20;209953
270;100;20;209900
271;100;20;209867
272;100;20;209830
273;100;20;209827
274;100;20;209740
275;100;20;209738
276;100;20;209702
277;100;20;209670
278;100;20;209660
279;100;20;209573
281;100;20;209422
283;100;20;209410
284;100;20;209342
285;100;20;209288
286;100;20;209223
287;100;20;209197
288;100;20;209107
289;100;20;209100
290;100;20;209086
291;100;20;209031
292;100;20;208977
293;100;20;208818
294;100;20;208702
295;100;20;208608
297;100;20;208580
298;100;20;208523
299;100;20;208495
300;100;20;208494
301;100;20;208372
302;100;20;208311
304;100;20;208300
305;100;20;208248
306;100;20;208241
307;100;20;208099
308;100;20;208077
309;100;20;207980
310;100;20;207768
311;100;20;207610
312;100;20;207558
313;100;20;207514
315;100;20;207465
316;100;20;207249
317;100;20;207179
318;100;20;206984
319;100;20;206854
320;100;20;206753
321;100;20;206736
322;100;20;206725
323;100;20;206675
324;100;20;206534
325;100;20;206524
326;100;20;206488
327;100;20;206449
329;100;20;206329
330;100;20;206289
331;100;20;205993
332;100;20;205790
334;100;20;205739
335;100;20;205682
336;100;20;205640
337;100;20;205569
339;100;20;205531
340;100;20;205495
342;100;20;205340
343;100;20;205294
345;100;20;205271
346;100;20;205128
348;100;20;204995
349;100;20;204871
352;100;20;204812
353;100;20;204732
354;100;20;204716
355;100;20;204698
357;100;20;204677
358;100;20;204625
360;100;20;204569
361;100;20;204568
362;100;20;204560
363;100;20;204537
365;100;20;204418
366;100;20;204386
367;100;20;204366
368;100;20;204208
369;100;20;204204
370;100;20;204125
371;100;20;204109
372;100;20;203992
373;100;20;203887
374;100;20;203806
375;100;20;203805
376;100;20;203769
377;100;20;203751
379;100;20;203680
380;100;20;203628
381;100;20;203481
382;100;20;203428
383;100;20;203397
384;100;20;203354
385;100;20;203292
387;100;20;203243
388;100;20;203236
389;100;20;203225
390;100;20;203205
391;100;20;203170
393;100;20;203124
394;100;20;203105
395;100;20;202958
396;100;20;202877
397;100;20;202875
398;100;20;202842
399;100;20;202792
400;100;20;202565
402;100;20;202526
403;100;20;202511
404;100;20;202504
405;100;20;202468
407;100;20;202458
408;100;20;202450
409;100;20;202423
412;100;20;202398
413;100;20;202385
414;100;20;202352
415;100;20;202228
416;100;20;202176
418;100;20;202136
420;100;20;202081
421;100;20;202045
422;100;20;202030
423;100;20;202020
424;100;20;201989
425;100;20;201963
426;100;20;201952
427;100;20;201773
428;100;20;201747
429;100;20;201731
430;100;20;201708
432;100;20;201692
433;100;20;201583
434;100;20;201572
435;100;20;201505
438;100;20;201483
439;100;20;201466
440;181;20;201428
441;164;20;201396
442;149;20;201385
443;135;20;201362
444;122;20;201356
446;99;20;201319
447;100;20;201307
448;100;20;201281
449;100;20;201269
450;100;20;201262
451;100;20;201238
452;100;20;201232
454;100;20;201220
455;100;20;201196
456;100;20;201178
457;100;20;201171
459;100;20;201159
460;100;20;201123
464;100;20;201114
465;100;20;201112
466;100;20;201016
468;100;20;200998
470;181;20;200972
473;135;20;200970
479;100;20;200929
482;100;20;200892
483;100;20;200851
484;100;20;200823
485;100;20;200786
489;100;20;200689
491;100;20;200677
492;100;20;200636
493;100;20;200539
494;100;20;200407
495;100;20;200387
498;100;20;200373
500;100;20;200361
501;100;20;200262
504;100;20;200236
506;100;20;200222
508;100;20;200216
509;100;20;200202
510;181;20;200154
514;122;20;200115
520;100;20;200089
522;100;20;200075
523;100;20;200025
525;100;20;199994
527;100;20;199984
530;100;20;199972
531;100;20;199962
533;100;20;199829
536;100;20;199824
537;100;20;199806
539;100;20;199802
540;100;20;199783
542;100;20;199778
543;100;20;199774
544;100;20;199753
547;100;20;199740
548;100;20;199734
551;100;20;199665
554;100;20;199654
555;100;20;199580
557;100;20;199523
560;181;20;199495
568;100;20;199486
570;100;20;199452
571;100;20;199417
573;100;20;199413
574;100;20;199398
575;100;20;199371
579;100;20;199111
582;100;20;199099
584;100;20;199070
586;100;20;199068
587;100;20;199023
588;100;20;198969
589;100;20;198957
590;100;20;198936
592;100;20;198903
593;100;20;198872
595;100;20;198866
596;100;20;198795
598;100;20;198739
603;100;20;198726
609;100;20;198714
610;100;20;198653
612;100;20;198640
615;100;20;198479
618;100;20;198449
619;100;20;198427
620;181;20;198397
622;149;20;198355
626;99;20;198223
631;100;20;198217
633;100;20;198212
635;100;20;198197
640;100;20;197759
643;100;20;197729
645;100;20;197711
647;100;20;197683
648;100;20;197599
652;100;20;197561
653;100;20;197537
654;100;20;197482
656;100;20;197481
659;100;20;197474
663;100;20;197455
668;100;20;197454
669;100;20;197438
670;181;20;197418
671;164;20;197280
674;122;20;197147
678;100;20;197138
681;100;20;197116
683;100;20;197107
685;100;20;197095
686;100;20;197037
688;100;20;197016
691;100;20;197013
694;100;20;197007
695;100;20;196940
696;100;20;196921
697;100;20;196912
698;100;20;196821
700;100;20;196815
701;100;20;196813
703;100;20;196799
705;100;20;196798
706;100;20;196726
707;100;20;196699
710;100;20;196661
711;100;20;196553
712;100;20;196534
714;100;20;196493
719;100;20;196487
720;100;20;196482
721;100;20;196409
723;100;20;196404
726;100;20;196301
727;100;20;196295
730;100;20;196277
731;100;20;196269
732;100;20;196263
735;100;20;196198
740;100;20;196172
743;100;20;196114
745;100;20;196030
749;100;20;196015
750;181;20;196010
752;149;20;195963
756;99;20;195957
757;100;20;195922
761;100;20;195904
762;100;20;195894
763;100;20;195888
764;100;20;195881
766;100;20;195806
767;100;20;195759
768;100;20;195720
770;100;20;195692
773;100;20;195687
774;100;20;195641
776;100;20;195637
777;100;20;195632
779;100;20;195628
780;100;20;195601
781;100;20;195596
782;100;20;195595
783;100;20;195574
784;100;20;195566
785;100;20;195540
786;100;20;195538
793;100;20;195408
794;100;20;195326
796;100;20;195298
797;100;20;195291
800;100;20;195236
802;100;20;195215
804;100;20;195187
806;100;20;195171
810;181;20;195159
812;149;20;195105
815;110;20;195081
818;100;20;195058
819;100;20;195050
822;100;20;194937
830;100;20;194913
839;100;20;194889
843;135;20;194863
850;100;20;194858
851;100;20;194734
852;100;20;194698
855;100;20;194636
859;100;20;194585
862;100;20;194466
864;100;20;194440
865;100;20;194437
866;100;20;194410
874;100;20;194376
878;100;20;194369
879;100;20;194345
881;164;20;194344
882;149;20;194332
885;110;20;194323
886;99;20;194322
889;100;20;194273
892;100;20;194272
896;100;20;194176
901;100;20;194130
904;100;20;194120
906;100;20;194107
907;100;20;194087
908;100;20;194076
909;100;20;194029
912;149;20;194019
919;100;20;193924
922;100;20;193905
923;100;20;193895
924;100;20;193892
926;100;20;193875
927;100;20;193859
936;100;20;193793
939;100;20;193784
940;181;20;193763
942;149;20;193754
944;122;20;193749
946;99;20;193744
947;100;20;193739
951;100;20;193722
952;100;20;193692
953;100;20;193687
963;100;20;193681
968;100;20;193667
970;181;20;193653
971;164;20;193640
973;135;20;193630
975;110;20;193620
981;100;20;193590
982;100;20;193587
983;100;20;193584
984;100;20;193580
987;100;20;193548
990;100;20;193542
993;100;20;193510
999;100;20;193503
1000;120;20;193462
1001;240;20;193442
1002;240;20;193436
1003;240;20;193395
1004;240;20;193382
1006;240;20;193370
1010;240;20;193364
1011;240;20;193362
1012;240;20;193360
1013;240;20;193347
1014;240;20;193335
1015;240;20;193330
1018;240;20;193322
1021;240;20;193262
1022;240;20;193254
1023;240;20;193228
1024;240;20;193223
1025;240;20;193215
1027;240;20;193120
1028;240;20;193113
1029;240;20;193107
1030;240;20;192868
1031;240;20;192858
1032;240;20;192716
1033;240;20;192713
1034;240;20;192708
1035;240;20;192702
1037;240;20;192686
1038;240;20;192678
1040;240;20;192671
1042;240;20;192660
1043;240;20;192653
1045;240;20;192648
1046;240;20;192642
1047;240;20;192627
1049;240;20;192614
1050;240;20;192597
1051;240;20;192591
1056;240;20;192565
1058;240;20;192556
1059;240;20;192518
1060;240;20;192477
1063;240;20;192457
1065;240;20;192444
1066;240;20;192434
1067;240;20;192384
1068;240;20;192379
1069;240;20;192335
1070;240;20;192326
1071;240;20;192321
1074;240;20;192307
1075;240;20;192280
1076;240;20;192257
1077;240;20;192249
1078;240;20;192222
1079;240;20;192198
1080;240;20;192166
1081;240;20;192158
1082;240;20;192148
1083;240;20;192140
1084;240;20;192011
1086;240;20;191979
1088;240;20;191966
1089;240;20;191951
1090;240;20;191948
1091;240;20;191908
1093;240;20;191889
1096;240;20;191850
1097;240;20;191841
1098;240;20;191821
1100;240;20;191802
1101;240;20;191771
1103;240;20;191758
1104;240;20;191748
1106;240;20;191726
1107;240;20;191723
1108;240;20;191713
1109;240;20;191706
1110;240;20;191698
1111;240;20;191690
1113;240;20;191680
1114;240;20;191633
1115;240;20;191629
1116;240;20;191615
1117;240;20;191547
1122;240;20;191544
1124;240;20;191536
1127;240;20;191532
1131;240;20;191507
1132;240;20;191479
1138;240;20;191461
1139;240;20;191453
1140;240;20;191450
1142;240;20;191420
1143;240;20;191419
1144;240;20;191387
1146;240;20;191360
1148;240;20;191332
1152;240;20;191327
1153;240;20;191313
1154;240;20;191312
1155;240;20;191303
1158;240;20;191281
1159;240;20;191277
1160;240;20;191264
1161;240;20;191251
1162;240;20;191227
1163;240;20;191196
1164;240;20;191173
1165;240;20;191062
1166;240;20;191043
1168;240;20;191012
1170;240;20;191003
1171;240;20;190982
1173;240;20;190951
1174;240;20;190943
1176;240;20;190941
1178;240;20;190940
1179;240;20;190931
1183;240;20;190879
1185;240;20;190871
1187;240;20;190863
1192;240;20;190860
1193;240;20;190809
1194;240;20;190800
1199;240;20;190790
1200;240;20;190740
1203;240;20;190729
1212;240;20;190726
1219;240;20;190721
1222;240;20;190714
1224;240;20;190569
1225;240;20;190560
1229;240;20;190554
1231;240;20;190523
1235;240;20;190515
1236;240;20;190509
1237;240;20;190489
1241;240;20;190472
1243;240;20;190451
1245;240;20;190449
1247;240;20;190425
1249;240;20;190422
1250;240;20;190419
1251;240;20;190387
1253;240;20;190373
1256;240;20;190366
1257;240;20;190352
1259;240;20;190340
1260;240;20;190339
1261;240;20;190325
1266;240;20;190323
1267;240;20;190314
1268;240;20;190286
1272;240;20;190282
1273;240;20;190280
1274;240;20;190275
1275;240;20;190243
1276;240;20;190219
1277;240;20;190217
1278;240;20;190198
1280;240;20;190191
1282;240;20;190184
1283;240;20;190146
1287;240;20;190108
1290;240;20;190105
1291;240;20;190077
1292;240;20;190074
1294;240;20;190059
1295;240;20;190044
1297;240;20;190017
1298;240;20;190007
1299;240;20;190004
1300;240;20;190001
1301;240;20;189993
1302;240;20;189969
1304;240;20;189835
1305;240;20;189821
1307;240;20;189814
1308;240;20;189801
1310;240;20;189790
1312;240;20;189774
1315;240;20;189741
1316;240;20;189736
1317;240;20;189713
1322;240;20;189710
1323;240;20;189668
1324;240;20;189661
1326;240;20;189658
1328;240;20;189536
1329;240;20;189533
1330;240;20;189481
1332;240;20;189468
1333;240;20;189399
1335;240;20;189347
1339;240;20;189342
1342;240;20;189323
1343;240;20;189239
1345;240;20;189212
1346;240;20;189211
1347;240;20;189206
1349;240;20;189192
1352;240;20;189165
1356;240;20;189146
1363;240;20;189084
1366;240;20;189075
1367;240;20;189072
1368;240;20;189059
1369;240;20;189026
1370;240;20;189014
1376;240;20;189005
1381;240;20;188971
1382;240;20;188969
1383;240;20;188962
1390;240;20;188957
1391;240;20;188949
1392;240;20;188938
1393;240;20;188881
1397;240;20;188880
1398;240;20;188857
1400;240;20;188832
1402;240;20;188821
1403;240;20;188819
1404;240;20;188800
1405;240;20;188795
1406;240;20;188780
1407;240;20;188764
1409;240;20;188761
1411;240;20;188746
1412;240;20;188694
1416;240;20;188692
1419;240;20;188678
1421;240;20;188671
1422;240;20;188644
1424;240;20;188630
1427;240;20;188621
1428;240;20;188605
1444;240;20;188582
1445;240;20;188572
1449;240;20;188557
1454;240;20;188548
1456;240;20;188533
1458;240;20;188473
1460;240;20;188465
1465;240;20;188458
1467;240;20;188424
1469;240;20;188422
1470;240;20;188417
1472;240;20;188409
1474;240;20;188402
1475;240;20;188398
1483;240;20;188395
1484;240;20;188382
1487;240;20;188363
1488;240;20;188361
1490;240;20;188346
1492;240;20;188342
1494;240;20;188316
1496;240;20;188312
1500;240;20;188274
1502;240;20;188244
1505;240;20;188219
1508;240;20;188216
1509;240;20;188191
1511;240;20;188143
1512;240;20;188116
1516;240;20;188102
1521;240;20;188099
1524;240;20;188090
1526;240;20;188087
1527;240;20;188083
1528;240;20;188058
1529;240;20;188047
1531;240;20;188046
1532;240;20;188038
1533;240;20;188027
1536;240;20;188018
1537;240;20;188015
1538;240;20;188009
1539;240;20;187998
1541;240;20;187995
1542;240;20;187993
1548;240;20;187960
1551;240;20;187939
1553;240;20;187884
1554;240;20;187851
1555;240;20;187847
1556;240;20;187791
1557;240;20;187770
1562;240;20;187714
1567;240;20;187701
1571;240;20;187680
1576;240;20;187658
1577;240;20;187640
1578;240;20;187630
1579;240;20;187593
1581;240;20;187540
1583;240;20;187526
1584;240;20;187516
1585;240;20;187503
1586;240;20;187490
1587;240;20;187416
1589;240;20;187399
1592;240;20;187325
1599;240;20;187322
1603;240;20;187321
1605;240;20;187312
1606;240;20;187276
1609;240;20;187271
1611;240;20;187270
1612;240;20;187235
1613;240;20;187233
1614;240;20;187218
1618;240;20;187217
1621;240;20;187212
1622;240;20;187209
1624;240;20;187208
1626;240;20;187204
1627;240;20;187203
1629;240;20;187194
1630;240;20;187184
1633;240;20;187179
1634;240;20;187176
1635;240;20;187171
1638;240;20;187157
