Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 17:06
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;267327
151;20;1;7;262341
137;20;1;8;257405
100;20;205;999;190384
181;20;6;870;190709
164;20;5;991;190423
135;20;9;903;190673
122;20;4;834;190931
99;20;4;716;191887
149;20;4;992;190420
110;20;7;995;190392
120;20;1;1000;190358
240;20;229;1980;185585
296;20;1;1064;189752
269;20;1;1065;189748
436;20;2;1960;185637
396;20;3;1961;185634
312;20;1;1852;186471
405;20;1;1853;186442
526;20;1;1854;186435
683;20;1;1855;186388
1153;20;1;1857;186360
960;20;1;1859;186348
872;20;1;1860;185869
332;20;1;1870;185852
Generatia;Nr indivizi;Viata;Fitness
6;167;20;267327
7;151;20;262341
8;137;20;257405
13;100;20;257319
16;100;20;256988
17;100;20;255231
19;100;20;255228
20;100;20;231680
30;100;20;210122
40;100;20;207622
49;100;20;207557
50;100;20;205542
60;100;20;204406
70;100;20;203715
80;100;20;203327
90;100;20;202488
100;100;20;201775
110;100;20;200538
120;100;20;199904
130;100;20;199544
140;100;20;198826
146;100;20;198814
148;100;20;198735
150;100;20;198504
160;100;20;197991
170;100;20;197717
180;100;20;197576
187;100;20;197552
188;100;20;197529
189;100;20;197485
190;100;20;197169
196;100;20;197134
197;100;20;197002
200;100;20;196997
202;100;20;196981
203;100;20;196956
204;100;20;196945
205;100;20;196935
207;100;20;196905
208;100;20;196890
210;181;20;196883
211;164;20;196874
213;135;20;196847
214;122;20;196761
218;100;20;196753
223;100;20;196749
224;100;20;196715
226;100;20;196703
228;100;20;196699
229;100;20;196692
230;100;20;196553
240;100;20;196396
250;100;20;196244
260;100;20;196164
270;100;20;196109
280;100;20;195972
290;100;20;195667
300;100;20;195626
310;100;20;195474
320;100;20;195384
327;100;20;195355
328;100;20;195321
330;100;20;195267
335;100;20;195250
336;100;20;195229
338;100;20;195176
339;100;20;195006
345;100;20;194945
346;100;20;194915
349;100;20;194854
353;135;20;194813
358;100;20;194799
363;100;20;194723
364;100;20;194696
367;100;20;194675
368;100;20;194615
369;100;20;194571
370;100;20;194555
372;100;20;194543
375;100;20;194542
377;100;20;194538
383;135;20;194520
386;99;20;194517
387;100;20;194509
388;100;20;194487
391;100;20;194484
392;100;20;194438
393;100;20;194317
394;100;20;194149
398;100;20;194145
399;100;20;194142
406;100;20;194139
407;100;20;194117
408;100;20;194091
416;99;20;194090
422;100;20;194087
425;100;20;194084
426;100;20;194072
428;100;20;194061
430;100;20;193999
433;100;20;193996
435;100;20;193911
440;181;20;193857
447;100;20;193825
450;100;20;193722
460;100;20;193434
470;100;20;193313
480;100;20;193300
490;100;20;193155
500;100;20;193154
505;100;20;193135
509;100;20;192934
511;100;20;192914
512;100;20;192908
513;100;20;192892
515;100;20;192888
516;100;20;192887
517;100;20;192876
518;100;20;192870
520;100;20;192865
527;100;20;192863
530;181;20;192812
531;164;20;192777
533;135;20;192751
544;100;20;192726
545;100;20;192721
547;100;20;192656
555;100;20;192624
561;100;20;192609
567;100;20;192601
572;149;20;192584
573;135;20;192568
574;122;20;192544
576;99;20;192535
577;100;20;192529
578;100;20;192522
582;100;20;192484
583;100;20;192472
587;100;20;192471
591;100;20;192413
596;100;20;192374
602;149;20;192347
603;135;20;192337
605;110;20;192294
607;100;20;192285
623;100;20;192237
627;100;20;192214
631;164;20;192205
633;135;20;192200
635;110;20;192192
637;100;20;192188
639;100;20;192180
641;100;20;192150
646;100;20;192145
656;100;20;192140
658;100;20;192130
663;135;20;192121
665;110;20;192111
671;100;20;192094
672;100;20;192087
673;100;20;192079
675;100;20;192033
676;100;20;192016
677;100;20;192009
679;100;20;192000
683;100;20;191991
685;100;20;191988
691;100;20;191979
696;100;20;191977
701;100;20;191903
710;181;20;191900
714;122;20;191891
716;99;20;191887
717;100;20;191883
719;100;20;191874
721;100;20;191865
725;100;20;191845
726;100;20;191827
728;100;20;191804
733;100;20;191781
734;100;20;191775
755;100;20;191771
756;100;20;191752
760;100;20;191674
765;100;20;191594
768;100;20;191592
770;100;20;191563
791;100;20;191559
793;100;20;191541
794;100;20;191420
795;100;20;191371
797;100;20;191340
798;100;20;191316
800;100;20;191285
804;100;20;191267
805;100;20;191262
806;100;20;191240
807;100;20;191213
809;100;20;191208
810;100;20;191184
811;100;20;191182
815;100;20;191177
816;100;20;191175
822;100;20;191167
824;100;20;191131
828;100;20;191069
830;181;20;191062
831;164;20;190939
834;122;20;190931
835;110;20;190778
841;100;20;190775
850;100;20;190769
856;100;20;190757
865;100;20;190756
867;100;20;190745
869;100;20;190720
870;181;20;190709
875;110;20;190708
883;100;20;190700
885;100;20;190696
888;100;20;190683
899;100;20;190679
903;135;20;190673
905;110;20;190669
916;100;20;190667
917;100;20;190622
919;100;20;190621
920;100;20;190612
921;100;20;190608
942;149;20;190601
947;100;20;190600
950;100;20;190582
952;100;20;190580
954;100;20;190537
956;100;20;190527
957;100;20;190521
959;100;20;190494
960;100;20;190476
968;100;20;190470
972;100;20;190461
977;100;20;190425
991;164;20;190423
992;149;20;190420
995;110;20;190392
997;100;20;190390
998;100;20;190386
999;100;20;190384
1000;120;20;190358
1001;240;20;190352
1007;240;20;190345
1009;240;20;190342
1010;240;20;190206
1012;240;20;190168
1017;240;20;190157
1018;240;20;190124
1019;240;20;190107
1020;240;20;190064
1022;240;20;190054
1024;240;20;190032
1027;240;20;189996
1031;240;20;189946
1036;240;20;189927
1041;240;20;189834
1046;240;20;189816
1054;240;20;189809
1055;240;20;189804
1056;240;20;189758
1059;240;20;189754
1064;296;20;189752
1065;269;20;189748
1068;240;20;189744
1073;240;20;189735
1074;240;20;189719
1075;240;20;189716
1077;240;20;189712
1080;240;20;189710
1082;240;20;189695
1083;240;20;189681
1085;240;20;189663
1086;240;20;189617
1087;240;20;189597
1089;240;20;189578
1090;240;20;189576
1096;240;20;189573
1097;240;20;189570
1100;240;20;189568
1102;240;20;189567
1105;240;20;189559
1108;240;20;189557
1109;240;20;189555
1112;240;20;189552
1119;240;20;189549
1121;240;20;189541
1123;240;20;189539
1127;240;20;189535
1130;240;20;189525
1133;240;20;189523
1136;240;20;189511
1137;240;20;189510
1138;240;20;189508
1141;240;20;189496
1143;240;20;189495
1146;240;20;189485
1147;240;20;189462
1148;240;20;189460
1152;240;20;189444
1159;240;20;189420
1163;240;20;189351
1166;240;20;189327
1170;240;20;189304
1172;240;20;189302
1173;240;20;189301
1175;240;20;189294
1176;240;20;189284
1178;240;20;189279
1179;240;20;189276
1180;240;20;189266
1181;240;20;189260
1182;240;20;189219
1184;240;20;189179
1186;240;20;189176
1187;240;20;189160
1188;240;20;189119
1191;240;20;189112
1193;240;20;189101
1199;240;20;189079
1202;240;20;189047
1205;240;20;189041
1206;240;20;189009
1208;240;20;189006
1214;240;20;188997
1218;240;20;188993
1219;240;20;188988
1225;240;20;188979
1227;240;20;188930
1229;240;20;188923
1231;240;20;188909
1235;240;20;188906
1239;240;20;188904
1243;240;20;188896
1247;240;20;188870
1250;240;20;188859
1252;240;20;188854
1255;240;20;188796
1256;240;20;188780
1260;240;20;188761
1262;240;20;188759
1263;240;20;188745
1269;240;20;188741
1273;240;20;188707
1274;240;20;188704
1286;240;20;188684
1287;240;20;188619
1288;240;20;188600
1291;240;20;188597
1295;240;20;188596
1296;240;20;188594
1297;240;20;188592
1298;240;20;188579
1300;240;20;188575
1302;240;20;188564
1304;240;20;188561
1311;240;20;188550
1317;240;20;188548
1336;240;20;188507
1338;240;20;188501
1348;240;20;188496
1355;240;20;188487
1357;240;20;188475
1361;240;20;188467
1369;240;20;188455
1380;240;20;188420
1389;240;20;188397
1390;240;20;188381
1394;240;20;188246
1395;240;20;188245
1397;240;20;188188
1402;240;20;188167
1412;240;20;188158
1416;240;20;188153
1417;240;20;188140
1418;240;20;188096
1430;436;20;188089
1431;396;20;188065
