Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 17:26
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
151;20;1;7;260244
124;20;1;9;259815
112;20;2;920;189525
101;20;1;11;257178
91;20;1;12;252388
100;20;205;990;189311
181;20;5;960;189380
149;20;3;642;191338
122;20;4;814;190442
164;20;5;961;189378
135;20;4;813;190470
99;20;3;966;189373
130;20;1;900;190164
169;20;1;901;190139
219;20;1;902;190128
284;20;1;903;190033
479;20;1;905;189967
400;20;1;907;189956
330;20;1;909;189934
300;20;1;910;189656
240;20;251;1999;185328
359;20;3;1652;186183
269;20;1;1095;188966
244;20;2;1656;186180
396;20;4;1951;185405
326;20;1;1123;188850
296;20;2;1174;188651
Generatia;Nr indivizi;Viata;Fitness
7;151;20;260244
9;124;20;259815
10;112;20;259800
11;101;20;257178
12;91;20;252388
15;100;20;252139
16;100;20;251837
17;100;20;251562
19;100;20;249640
20;100;20;234423
30;100;20;222808
40;100;20;216879
50;100;20;211522
60;100;20;207768
70;100;20;206362
80;100;20;205781
90;100;20;204896
100;100;20;204203
110;100;20;203787
120;100;20;203103
130;100;20;202234
140;100;20;201569
150;100;20;201184
158;100;20;201116
160;100;20;200928
163;100;20;200817
170;100;20;200411
180;100;20;199776
188;100;20;199634
190;100;20;199149
200;100;20;198743
202;100;20;198720
206;100;20;198710
210;100;20;198184
220;100;20;197649
227;100;20;197596
228;100;20;197535
230;100;20;196890
240;100;20;196737
241;100;20;196728
243;100;20;196551
245;100;20;196547
246;100;20;196534
247;100;20;196518
248;100;20;196479
249;100;20;196432
250;100;20;196430
251;100;20;196416
252;100;20;196412
253;100;20;196382
254;100;20;196374
255;100;20;196365
256;100;20;196338
257;100;20;196312
258;100;20;196307
259;100;20;196304
260;100;20;196257
264;100;20;196202
266;100;20;196183
270;181;20;196118
272;149;20;196103
274;122;20;196089
277;100;20;196052
280;100;20;196023
281;100;20;195998
284;100;20;195970
285;100;20;195960
287;100;20;195958
291;100;20;195936
292;100;20;195932
293;100;20;195924
295;100;20;195912
296;100;20;195910
298;100;20;195887
299;100;20;195885
300;100;20;195775
310;100;20;195634
320;100;20;195378
330;100;20;195079
340;100;20;194866
350;100;20;194471
360;100;20;194104
370;100;20;194075
380;100;20;193928
390;100;20;193724
400;100;20;193415
410;100;20;193295
420;100;20;193210
427;100;20;193200
430;100;20;193177
435;100;20;193151
438;100;20;193068
442;100;20;193058
443;100;20;193038
445;100;20;193024
448;100;20;193009
450;100;20;193007
451;100;20;192955
453;100;20;192953
454;100;20;192926
455;100;20;192820
457;100;20;192793
463;100;20;192751
464;100;20;192741
467;100;20;192688
470;100;20;192650
471;100;20;192640
474;100;20;192618
475;100;20;192615
482;100;20;192579
488;100;20;192578
489;100;20;192565
490;181;20;192556
491;164;20;192525
492;149;20;192515
501;100;20;192462
510;100;20;192282
516;100;20;192261
522;100;20;192241
528;100;20;192222
529;100;20;192212
533;100;20;192208
534;100;20;192207
536;100;20;192191
538;100;20;192190
540;100;20;192005
541;100;20;191997
546;100;20;191976
549;100;20;191880
550;100;20;191860
555;100;20;191849
559;100;20;191832
565;100;20;191762
568;100;20;191754
577;100;20;191725
579;100;20;191711
583;100;20;191669
595;100;20;191658
596;100;20;191649
598;100;20;191544
599;100;20;191525
601;164;20;191500
611;100;20;191484
613;100;20;191479
614;100;20;191478
616;100;20;191477
617;100;20;191476
618;100;20;191468
619;100;20;191467
620;100;20;191447
622;100;20;191438
623;100;20;191422
624;100;20;191411
627;100;20;191389
628;100;20;191362
638;100;20;191357
641;164;20;191344
642;149;20;191338
643;135;20;191292
644;122;20;191277
649;100;20;191263
650;100;20;191218
654;100;20;191186
658;100;20;191161
660;100;20;191150
661;100;20;191142
663;100;20;191125
665;100;20;191106
670;100;20;191092
672;100;20;191087
673;100;20;191080
676;100;20;191064
677;100;20;191060
678;100;20;191053
697;100;20;191028
703;100;20;191024
705;100;20;191020
709;100;20;191015
712;100;20;191005
713;100;20;191000
716;100;20;190907
720;100;20;190828
722;100;20;190821
723;100;20;190816
726;100;20;190808
730;100;20;190802
731;100;20;190782
732;100;20;190769
733;100;20;190767
734;100;20;190761
736;100;20;190737
737;100;20;190731
747;100;20;190713
749;100;20;190702
753;135;20;190701
754;122;20;190690
756;99;20;190688
761;100;20;190655
763;100;20;190600
766;100;20;190567
777;100;20;190565
780;181;20;190559
783;135;20;190515
793;100;20;190511
805;100;20;190506
811;164;20;190484
813;135;20;190470
814;122;20;190442
816;99;20;190421
833;100;20;190364
836;100;20;190361
840;181;20;190317
851;100;20;190262
854;100;20;190259
858;100;20;190249
866;100;20;190244
876;100;20;190188
878;100;20;190187
900;130;20;190164
901;169;20;190139
902;219;20;190128
903;284;20;190033
905;479;20;189967
907;400;20;189956
909;330;20;189934
910;300;20;189656
920;112;20;189525
932;100;20;189467
940;100;20;189456
941;100;20;189423
942;100;20;189421
943;100;20;189408
950;100;20;189395
955;100;20;189389
959;100;20;189383
960;181;20;189380
961;164;20;189378
966;99;20;189373
973;100;20;189368
977;100;20;189366
986;100;20;189361
987;100;20;189350
990;100;20;189311
1006;240;20;189295
1007;240;20;189247
1009;240;20;189236
1010;240;20;189198
1011;240;20;189181
1015;240;20;189174
1016;240;20;189172
1017;240;20;189164
1022;240;20;189162
1033;240;20;189161
1037;240;20;189153
1050;240;20;189106
1053;240;20;189098
1057;240;20;189081
1061;240;20;189069
1066;240;20;189061
1067;240;20;189014
1072;240;20;189002
1073;240;20;188994
1075;240;20;188988
1076;240;20;188981
1079;240;20;188977
1080;240;20;188975
1082;240;20;188972
1092;359;20;188967
1095;269;20;188966
1096;244;20;188963
1102;240;20;188956
1103;240;20;188941
1107;240;20;188934
1108;240;20;188921
1109;240;20;188886
1111;240;20;188879
1112;240;20;188862
1121;396;20;188857
1123;326;20;188850
1124;296;20;188849
1129;240;20;188832
1132;240;20;188828
1133;240;20;188796
1134;240;20;188710
1136;240;20;188706
1137;240;20;188700
1138;240;20;188689
1139;240;20;188681
1141;240;20;188677
1142;240;20;188676
1144;240;20;188675
1146;240;20;188673
1149;240;20;188671
1150;240;20;188669
1154;240;20;188666
1162;240;20;188659
1169;240;20;188657
1171;396;20;188654
1174;296;20;188651
1180;240;20;188590
1190;240;20;188455
1200;240;20;188381
1210;240;20;188293
1220;240;20;188178
1227;240;20;188149
1229;240;20;188108
1231;240;20;188104
1232;240;20;188079
1233;240;20;188075
1234;240;20;188073
1235;240;20;188036
1237;240;20;188034
1239;240;20;188022
1244;240;20;188017
1250;240;20;187948
1261;240;20;187938
1264;240;20;187933
1265;240;20;187931
1268;240;20;187927
1272;240;20;187922
1273;240;20;187916
1275;240;20;187899
1276;240;20;187895
1278;240;20;187842
1279;240;20;187832
1281;240;20;187814
1282;240;20;187752
1284;240;20;187741
1290;240;20;187735
1292;240;20;187732
1293;240;20;187719
1295;240;20;187715
1296;240;20;187711
1299;240;20;187697
1300;240;20;187694
1303;240;20;187682
1305;240;20;187586
