Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 17:39
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;274825
151;20;1;7;262411
137;20;1;8;259648
124;20;1;9;259012
112;20;1;10;258176
100;20;204;995;190945
181;20;7;890;191645
164;20;4;831;191956
149;20;4;892;191639
135;20;5;893;191506
122;20;7;864;191663
99;20;4;866;191656
110;20;3;705;192466
240;20;207;1993;187232
359;20;1;1062;190821
326;20;1;1063;190816
296;20;1;1064;190813
269;20;1;1065;190806
312;20;2;1830;188026
405;20;2;1831;187995
526;20;2;1832;187978
683;20;2;1833;187925
960;20;3;1836;187859
489;20;1;1597;188420
444;20;1;1598;188405
403;20;1;1599;188403
366;20;1;1600;188375
221;20;1;1777;188124
1153;20;1;1835;187910
872;20;1;1837;187846
792;20;1;1838;187795
653;20;1;1840;187695
248;20;1;1850;187694
225;20;1;1851;187687
Generatia;Nr indivizi;Viata;Fitness
6;167;20;274825
7;151;20;262411
8;137;20;259648
9;124;20;259012
10;112;20;258176
13;100;20;258054
14;100;20;257349
15;100;20;257308
16;100;20;255720
17;100;20;255124
20;100;20;230116
30;100;20;218247
40;100;20;213414
50;100;20;210825
60;100;20;209575
70;100;20;208137
80;100;20;206464
90;100;20;205601
100;100;20;205100
110;100;20;204457
120;100;20;203696
130;100;20;202888
140;100;20;202497
150;100;20;201963
160;100;20;201579
170;100;20;201146
180;100;20;200579
190;100;20;200481
200;100;20;200225
210;100;20;199670
220;100;20;199513
230;100;20;199015
240;100;20;198379
248;100;20;198370
250;100;20;198038
260;100;20;197954
268;100;20;197946
270;100;20;197630
280;100;20;197522
286;100;20;197425
288;100;20;197400
289;100;20;197371
290;100;20;197217
297;100;20;197211
298;100;20;197177
299;100;20;197162
300;100;20;196932
310;100;20;196724
320;100;20;196342
330;100;20;196025
340;100;20;195530
350;100;20;195181
360;100;20;195057
369;100;20;195053
370;100;20;194969
372;100;20;194965
378;100;20;194932
379;100;20;194931
380;100;20;194872
381;100;20;194850
385;100;20;194841
387;100;20;194814
392;100;20;194806
395;100;20;194687
400;100;20;194565
405;100;20;194543
407;100;20;194540
413;100;20;194522
419;100;20;194509
420;181;20;194470
421;164;20;194429
427;100;20;194419
432;100;20;194417
433;100;20;194414
435;100;20;194413
441;100;20;194398
444;100;20;194388
447;100;20;194377
449;100;20;194368
450;181;20;194337
451;164;20;194328
452;149;20;194311
453;135;20;194271
454;122;20;194260
456;99;20;194259
457;100;20;194251
460;100;20;194250
461;100;20;194243
462;100;20;194234
465;100;20;194233
475;100;20;194192
476;100;20;194186
480;181;20;194140
483;135;20;194134
484;122;20;194124
488;100;20;194118
491;100;20;194104
497;100;20;194077
498;100;20;194063
500;100;20;194052
506;100;20;194033
507;100;20;194029
508;100;20;193989
510;100;20;193946
511;100;20;193896
515;100;20;193873
519;100;20;193869
520;100;20;193860
522;100;20;193848
525;100;20;193844
526;100;20;193819
527;100;20;193811
529;100;20;193808
530;181;20;193780
531;164;20;193777
533;135;20;193748
534;122;20;193737
535;110;20;193717
536;99;20;193703
537;100;20;193680
540;100;20;193676
542;100;20;193664
543;100;20;193656
544;100;20;193654
545;100;20;193607
546;100;20;193590
547;100;20;193569
549;100;20;193563
550;100;20;193553
551;100;20;193543
552;100;20;193435
553;100;20;193428
556;100;20;193322
557;100;20;193262
559;100;20;193154
561;100;20;193152
564;100;20;193149
570;181;20;193108
574;122;20;193106
575;110;20;193082
577;100;20;193080
579;100;20;193074
580;100;20;193073
586;100;20;193029
589;100;20;193010
590;100;20;192977
591;100;20;192959
594;100;20;192948
596;100;20;192897
598;100;20;192896
601;100;20;192876
603;100;20;192875
605;100;20;192856
606;100;20;192805
608;100;20;192787
615;100;20;192752
617;100;20;192750
623;135;20;192679
624;122;20;192678
631;100;20;192673
633;100;20;192670
634;100;20;192664
635;100;20;192661
637;100;20;192658
638;100;20;192654
639;100;20;192650
644;100;20;192648
645;100;20;192639
649;100;20;192635
650;100;20;192633
655;100;20;192630
656;100;20;192629
662;100;20;192606
666;100;20;192603
670;181;20;192570
679;100;20;192565
684;100;20;192548
685;100;20;192535
702;149;20;192533
705;110;20;192466
710;100;20;192464
713;100;20;192454
715;100;20;192452
716;100;20;192416
720;100;20;192411
724;100;20;192402
726;100;20;192368
728;100;20;192305
736;99;20;192301
742;100;20;192246
744;100;20;192226
746;100;20;192171
749;100;20;192163
756;100;20;192153
759;100;20;192105
778;100;20;192083
781;100;20;192076
799;100;20;192052
812;100;20;192033
813;100;20;192029
820;100;20;192022
821;100;20;192009
831;164;20;191956
834;122;20;191930
842;100;20;191919
846;100;20;191865
847;100;20;191840
850;100;20;191837
851;100;20;191836
852;100;20;191821
856;100;20;191817
862;149;20;191810
864;122;20;191663
866;99;20;191656
884;100;20;191650
890;181;20;191645
892;149;20;191639
893;135;20;191506
900;100;20;191502
901;100;20;191451
903;100;20;191450
905;100;20;191445
906;100;20;191433
908;100;20;191428
916;100;20;191421
923;100;20;191420
927;100;20;191393
928;100;20;191386
939;100;20;191383
940;100;20;191364
942;100;20;191331
944;100;20;191328
946;100;20;191309
948;100;20;191306
952;100;20;191304
962;100;20;191299
966;100;20;191289
968;100;20;191270
969;100;20;191268
980;100;20;191259
982;100;20;191257
988;100;20;191022
995;100;20;190945
1005;240;20;190943
1007;240;20;190938
1009;240;20;190935
1011;240;20;190932
1012;240;20;190931
1013;240;20;190928
1015;240;20;190914
1016;240;20;190911
1017;240;20;190908
1020;240;20;190904
1022;240;20;190901
1032;240;20;190873
1042;240;20;190850
1049;240;20;190844
1051;240;20;190830
1055;240;20;190822
1062;359;20;190821
1063;326;20;190816
1064;296;20;190813
1065;269;20;190806
1068;240;20;190798
1073;240;20;190791
1075;240;20;190780
1076;240;20;190770
1077;240;20;190764
1083;240;20;190757
1084;240;20;190741
1085;240;20;190735
1086;240;20;190729
1087;240;20;190726
1088;240;20;190723
1094;240;20;190717
1107;240;20;190634
1117;240;20;190624
1118;240;20;190613
1121;240;20;190607
1130;240;20;190503
1141;240;20;190490
1147;240;20;190488
1156;240;20;190484
1159;240;20;190482
1161;240;20;190480
1163;240;20;190479
1165;240;20;190475
1167;240;20;190473
1168;240;20;190434
1169;240;20;190429
1173;240;20;190428
1176;240;20;190409
1178;240;20;190408
1180;240;20;190375
1184;240;20;190358
1185;240;20;190343
1190;240;20;190338
1199;240;20;190336
1200;240;20;190322
1210;240;20;190232
1230;240;20;190142
1240;240;20;190024
1250;240;20;190009
1260;240;20;190003
1280;240;20;189964
1282;240;20;189961
1286;240;20;189950
1300;240;20;189931
1302;240;20;189891
1306;240;20;189887
1310;240;20;189872
1311;240;20;189866
1312;240;20;189853
1313;240;20;189803
1315;240;20;189799
1317;240;20;189769
1322;240;20;189747
1324;240;20;189736
1327;240;20;189730
1328;240;20;189697
1331;240;20;189677
1337;240;20;189671
1339;240;20;189669
1340;240;20;189636
1341;240;20;189630
1343;240;20;189608
1344;240;20;189589
1345;240;20;189571
1346;240;20;189559
1348;240;20;189541
1349;240;20;189517
1350;240;20;189506
1357;240;20;189493
1363;240;20;189486
1369;240;20;189481
1375;240;20;189479
1376;240;20;189469
1378;240;20;189467
1382;240;20;189433
1384;240;20;189429
1390;240;20;189388
1395;240;20;189361
1399;240;20;189360
1402;240;20;189354
1403;240;20;189346
1404;240;20;189321
1405;240;20;189307
1410;240;20;189298
1413;240;20;189297
1415;240;20;189293
1417;240;20;189292
1418;240;20;189291
1419;240;20;189240
1420;240;20;189206
1423;240;20;189182
1425;240;20;189181
1427;240;20;189176
1432;240;20;189166
1439;240;20;189156
1445;240;20;189149
1457;240;20;189106
1460;240;20;189084
1461;240;20;189041
1468;240;20;189021
1470;240;20;189019
1471;240;20;189012
1475;240;20;189006
1476;240;20;189005
1479;240;20;189000
1484;240;20;188997
1488;240;20;188992
1490;240;20;188984
1491;240;20;188979
1497;240;20;188977
1498;240;20;188932
1501;240;20;188930
1505;240;20;188923
1513;240;20;188920
1527;240;20;188902
1533;240;20;188839
1536;240;20;188799
1550;240;20;188787
1551;240;20;188785
1554;240;20;188769
1556;240;20;188756
1560;240;20;188744
1582;312;20;188721
1583;405;20;188698
1584;526;20;188684
1585;683;20;188636
1589;960;20;188606
1590;960;20;188465
1597;489;20;188420
1598;444;20;188405
1599;403;20;188403
1600;366;20;188375
1607;240;20;188365
1609;240;20;188356
1610;240;20;188343
1619;240;20;188340
1620;240;20;188339
1623;240;20;188319
1624;240;20;188309
1639;240;20;188303
1641;240;20;188299
1644;240;20;188294
1652;240;20;188293
1659;240;20;188288
1663;240;20;188265
1668;240;20;188261
1676;240;20;188249
1685;240;20;188246
1688;240;20;188241
1689;240;20;188239
1709;240;20;188165
1713;240;20;188160
1716;240;20;188159
1717;240;20;188157
1731;240;20;188153
1737;240;20;188150
1750;240;20;188139
1763;240;20;188136
1777;221;20;188124
1780;240;20;188095
1785;240;20;188084
1792;240;20;188071
1796;240;20;188070
1799;240;20;188066
1803;240;20;188065
1804;240;20;188064
1805;240;20;188063
1806;240;20;188062
1807;240;20;188060
1808;240;20;188059
1830;312;20;188026
1831;405;20;187995
1832;526;20;187978
1833;683;20;187925
1835;1153;20;187910
1836;960;20;187859
1837;872;20;187846
1838;792;20;187795
1840;653;20;187695
1850;248;20;187694
1851;225;20;187687
1852;240;20;187680
1855;240;20;187675
1856;240;20;187672
1858;240;20;187667
1860;240;20;187654
1862;240;20;187647
1863;240;20;187627
1865;240;20;187619
1874;240;20;187608
1880;240;20;187522
1897;240;20;187511
1898;240;20;187505
1902;240;20;187495
1905;240;20;187493
1913;240;20;187479
1919;240;20;187465
1925;240;20;187449
1935;240;20;187425
1941;240;20;187411
1945;240;20;187406
1946;240;20;187353
1947;240;20;187342
1951;240;20;187333
1960;240;20;187327
1961;240;20;187299
1964;240;20;187294
1971;240;20;187261
1975;240;20;187258
1979;240;20;187243
1981;240;20;187240
1993;240;20;187232
