Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/18 18:28
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
167;20;1;6;267085
151;20;1;7;265022
137;20;1;8;259942
124;20;1;9;257592
101;20;2;980;189688
100;20;171;990;189582
181;20;7;710;191723
149;20;3;832;191139
99;20;3;836;191131
122;20;5;934;190580
110;20;4;805;191231
164;20;4;831;191170
235;20;1;961;190477
305;20;1;962;190445
396;20;2;1071;189188
514;20;1;964;190376
400;20;2;966;190328
363;20;1;967;190300
330;20;2;1761;184750
300;20;1;969;190240
272;20;1;970;189702
240;20;149;1777;184671
436;20;2;1490;185551
296;20;1;1074;189185
269;20;1;1075;189180
221;20;1;1077;189172
312;20;4;1852;183715
683;20;3;1802;184618
960;20;18;1930;182151
366;20;1;1420;185679
566;20;1;1631;185276
1241;20;1;1634;185252
872;20;2;1818;184425
332;20;1;1650;184922
405;20;1;1744;184835
526;20;2;1854;183699
887;20;1;1747;184822
1153;20;3;1907;182730
952;20;1;1750;184781
536;20;1;1756;184757
247;20;1;1764;184743
224;20;1;1765;184738
719;20;1;1820;183774
273;20;1;1830;183756
Generatia;Nr indivizi;Viata;Fitness
6;167;20;267085
7;151;20;265022
8;137;20;259942
9;124;20;257592
11;101;20;256836
13;100;20;255876
15;100;20;252957
18;100;20;252076
19;100;20;251313
20;100;20;236691
30;100;20;221271
40;100;20;212984
50;100;20;209693
60;100;20;208651
70;100;20;207474
80;100;20;206411
90;100;20;205838
100;100;20;205261
110;100;20;204751
120;100;20;203555
130;100;20;202852
140;100;20;202443
150;100;20;202223
157;100;20;202160
158;100;20;202058
160;100;20;201655
170;100;20;201289
180;100;20;200363
190;100;20;199988
198;100;20;199827
200;100;20;199435
209;100;20;199428
210;100;20;198981
220;100;20;198679
230;100;20;198338
240;100;20;198069
250;100;20;197959
260;100;20;197564
270;100;20;197034
280;100;20;196763
290;100;20;196438
300;100;20;196320
310;100;20;196100
320;100;20;195955
330;100;20;195741
340;100;20;195728
350;100;20;195431
360;100;20;195372
370;100;20;194909
380;100;20;194850
390;100;20;194531
400;100;20;194208
410;100;20;194093
414;100;20;194050
416;100;20;194007
417;100;20;194003
418;100;20;193999
419;100;20;193992
420;100;20;193376
425;100;20;193338
428;100;20;193322
431;100;20;193312
432;100;20;193308
433;100;20;193268
434;100;20;193244
435;100;20;193227
438;100;20;193212
439;100;20;193188
440;100;20;193164
441;100;20;193155
442;100;20;193138
445;100;20;193133
448;100;20;193129
449;100;20;193119
451;100;20;193113
452;100;20;193111
453;100;20;193109
454;100;20;193107
457;100;20;193103
460;181;20;193093
462;149;20;193083
466;99;20;193069
477;100;20;193062
482;100;20;193048
490;181;20;192986
494;122;20;192959
500;100;20;192789
504;100;20;192742
508;100;20;192740
510;100;20;192642
513;100;20;192629
516;100;20;192591
518;100;20;192578
524;100;20;192568
525;100;20;192559
528;100;20;192557
531;100;20;192546
532;100;20;192492
540;181;20;192479
544;122;20;192456
556;100;20;192398
557;100;20;192383
559;100;20;192375
560;100;20;192326
562;100;20;192318
564;100;20;192309
565;100;20;192303
567;100;20;192273
568;100;20;192257
570;100;20;192251
571;100;20;192239
572;100;20;192231
582;100;20;192212
585;100;20;192201
586;100;20;192191
590;181;20;192149
595;110;20;192122
597;100;20;192071
607;100;20;192067
619;100;20;192059
620;181;20;192038
621;164;20;192036
624;122;20;192023
625;110;20;191981
627;100;20;191979
630;100;20;191968
633;100;20;191961
635;100;20;191960
640;100;20;191944
641;100;20;191933
650;181;20;191906
660;100;20;191884
661;100;20;191883
665;100;20;191877
678;100;20;191841
679;100;20;191821
686;99;20;191789
691;100;20;191754
698;100;20;191752
699;100;20;191751
704;100;20;191725
710;181;20;191723
711;164;20;191710
712;149;20;191694
715;110;20;191678
718;100;20;191677
720;100;20;191663
723;100;20;191655
725;100;20;191654
733;100;20;191645
744;122;20;191633
751;100;20;191568
754;100;20;191555
755;100;20;191553
757;100;20;191525
759;100;20;191517
760;100;20;191504
763;100;20;191502
764;100;20;191493
766;100;20;191492
767;100;20;191490
780;100;20;191473
781;100;20;191290
784;100;20;191273
801;164;20;191235
805;110;20;191231
807;100;20;191206
809;100;20;191202
813;100;20;191191
815;100;20;191187
828;100;20;191176
831;164;20;191170
832;149;20;191139
836;99;20;191131
837;100;20;191119
839;100;20;191111
848;100;20;191104
852;100;20;191002
853;100;20;190897
856;100;20;190883
857;100;20;190878
863;100;20;190853
866;100;20;190847
871;100;20;190839
873;100;20;190832
874;100;20;190797
875;100;20;190759
877;100;20;190739
883;100;20;190703
890;100;20;190682
897;100;20;190677
911;100;20;190662
915;100;20;190640
925;100;20;190582
934;122;20;190580
939;100;20;190579
961;235;20;190477
962;305;20;190445
963;396;20;190401
964;514;20;190376
965;400;20;190347
966;400;20;190328
967;363;20;190300
968;330;20;190284
969;300;20;190240
970;272;20;189702
980;101;20;189688
985;100;20;189655
986;100;20;189640
987;100;20;189632
988;100;20;189628
989;100;20;189604
990;100;20;189582
1001;240;20;189533
1010;240;20;189530
1013;240;20;189527
1014;240;20;189515
1015;240;20;189509
1017;240;20;189507
1021;240;20;189489
1023;240;20;189473
1025;240;20;189467
1026;240;20;189449
1030;240;20;189415
1034;240;20;189404
1037;240;20;189394
1039;240;20;189383
1040;240;20;189337
1041;240;20;189330
1043;240;20;189309
