Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 09:28
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
137;20;1;8;261447
112;20;1;10;260703
101;20;1;11;258801
91;20;1;12;252400
100;20;328;455;199445
181;20;1;410;200671
135;20;1;413;200666
110;20;1;415;200628
99;20;1;416;200451
Generatia;Nr indivizi;Viata;Fitness
8;137;20;261447
10;112;20;260703
11;101;20;258801
12;91;20;252400
15;100;20;251843
17;100;20;250725
18;100;20;248234
20;100;20;247455
21;100;20;247319
22;100;20;247140
23;100;20;245859
24;100;20;245483
25;100;20;245319
26;100;20;244536
27;100;20;243875
28;100;20;243513
29;100;20;242589
31;100;20;242362
33;100;20;240921
35;100;20;240732
36;100;20;240372
37;100;20;239118
38;100;20;238789
39;100;20;238653
41;100;20;238433
42;100;20;237263
44;100;20;237113
45;100;20;236720
47;100;20;236643
48;100;20;235626
50;100;20;235428
51;100;20;235335
52;100;20;235187
53;100;20;234634
54;100;20;234503
55;100;20;233800
56;100;20;233387
58;100;20;233264
59;100;20;232512
60;100;20;232347
62;100;20;231780
65;100;20;231278
66;100;20;230991
67;100;20;230976
68;100;20;230760
69;100;20;230302
70;100;20;229655
72;100;20;229224
73;100;20;229197
74;100;20;228799
75;100;20;228706
76;100;20;228588
77;100;20;227883
78;100;20;227642
80;100;20;227099
82;100;20;226459
83;100;20;226397
84;100;20;225952
85;100;20;225674
86;100;20;225406
87;100;20;225264
88;100;20;225058
89;100;20;224803
91;100;20;224515
92;100;20;224272
94;100;20;224040
95;100;20;224014
96;100;20;223812
98;100;20;223316
101;100;20;222983
102;100;20;222836
104;100;20;222766
105;100;20;222730
106;100;20;222557
107;100;20;222201
109;100;20;222021
110;100;20;221762
111;100;20;221525
112;100;20;221430
114;100;20;221398
115;100;20;221122
116;100;20;220851
117;100;20;220737
118;100;20;220411
119;100;20;220217
120;100;20;220094
122;100;20;220021
123;100;20;219737
125;100;20;219541
127;100;20;219483
128;100;20;219183
130;100;20;218955
131;100;20;218763
132;100;20;218498
133;100;20;218274
135;100;20;218173
136;100;20;217925
137;100;20;217806
138;100;20;217724
139;100;20;217529
140;100;20;217494
141;100;20;217304
143;100;20;217148
144;100;20;216985
145;100;20;216871
146;100;20;216731
147;100;20;216669
148;100;20;216407
150;100;20;216297
151;100;20;215909
152;100;20;215766
153;100;20;215705
154;100;20;215509
155;100;20;215325
156;100;20;215152
157;100;20;214952
158;100;20;214821
160;100;20;214422
162;100;20;214264
163;100;20;214083
164;100;20;213906
165;100;20;213754
166;100;20;213638
167;100;20;213495
168;100;20;213411
169;100;20;213201
170;100;20;212945
171;100;20;212743
172;100;20;212618
173;100;20;212553
174;100;20;212457
175;100;20;212407
176;100;20;212251
177;100;20;212237
178;100;20;212213
179;100;20;212211
180;100;20;211987
181;100;20;211938
182;100;20;211758
183;100;20;211738
184;100;20;211590
185;100;20;211548
186;100;20;211508
187;100;20;211477
188;100;20;211281
189;100;20;211188
190;100;20;211007
191;100;20;210760
193;100;20;210519
196;100;20;210482
197;100;20;210477
199;100;20;210399
