Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 13:17
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;263287
91;20;1;12;262338
100;20;508;999;192502
181;20;11;980;192783
149;20;7;942;193022
122;20;7;804;194782
99;20;4;886;194092
135;20;5;773;195029
164;20;5;841;194177
110;20;3;885;194094
120;20;125;1499;189557
218;20;3;1390;189792
198;20;2;1291;190468
156;20;1;1243;191001
262;20;1;1245;190909
340;20;1;1246;190895
442;20;1;1247;190891
360;20;2;1249;190774
222;20;1;1254;190772
201;20;1;1255;190722
182;20;1;1256;190694
165;20;1;1257;190627
136;20;1;1259;190580
179;20;1;1292;190351
162;20;1;1293;190341
147;20;1;1294;190339
133;20;1;1295;190283
240;20;159;1998;187038
436;20;2;1680;188127
244;20;1;1626;188625
221;20;1;1627;188623
396;20;1;1681;188125
359;20;1;1682;188110
326;20;1;1683;188091
296;20;1;1684;188074
288;20;219;2997;183960
391;20;1;2283;185789
265;20;2;2327;185649
292;20;1;2326;185650
431;20;1;2662;184826
Generatia;Nr indivizi;Viata;Fitness
11;101;20;263287
12;91;20;262338
13;100;20;258960
14;100;20;255545
17;100;20;255179
20;100;20;254940
23;100;20;250699
30;100;20;250419
33;100;20;249245
36;100;20;249019
37;100;20;248814
38;100;20;248259
40;100;20;247151
41;100;20;246369
43;100;20;246029
44;100;20;245644
45;100;20;244670
46;100;20;244572
47;100;20;243375
48;100;20;243220
49;100;20;242818
50;100;20;241867
51;100;20;241696
52;100;20;240761
53;100;20;240294
55;100;20;238546
57;100;20;238107
59;100;20;237461
60;100;20;237243
61;100;20;236770
62;100;20;235581
63;100;20;235123
66;100;20;234384
67;100;20;233945
69;100;20;233829
70;100;20;232531
71;100;20;232325
72;100;20;231923
73;100;20;231601
74;100;20;231406
75;100;20;230691
78;100;20;230442
80;100;20;230206
81;100;20;229677
82;100;20;229668
83;100;20;229271
84;100;20;228090
86;100;20;227845
87;100;20;227806
88;100;20;227751
89;100;20;227366
90;100;20;227209
91;100;20;227046
92;100;20;226158
94;100;20;225741
95;100;20;225517
96;100;20;225345
97;100;20;224992
98;100;20;224591
99;100;20;224327
100;100;20;223912
101;100;20;223439
103;100;20;223130
104;100;20;222736
105;100;20;222730
106;100;20;222625
108;100;20;221778
109;100;20;221724
110;100;20;221550
112;100;20;221470
113;100;20;221123
114;100;20;220860
115;100;20;220239
116;100;20;219823
117;100;20;219622
118;100;20;219435
119;100;20;219254
120;100;20;219011
122;100;20;218991
123;100;20;218746
124;100;20;218507
125;100;20;218154
126;100;20;218128
127;100;20;217851
128;100;20;217702
129;100;20;217314
130;100;20;217286
132;100;20;216907
133;100;20;216783
134;100;20;216758
135;100;20;216583
136;100;20;216363
137;100;20;216204
138;100;20;215995
139;100;20;215620
140;100;20;215450
141;100;20;214940
142;100;20;214929
143;100;20;214842
144;100;20;214536
147;100;20;214509
148;100;20;214161
150;100;20;213920
151;100;20;213827
154;100;20;213658
156;100;20;213606
157;100;20;213458
159;100;20;212933
162;100;20;212837
164;100;20;212777
165;100;20;212678
166;100;20;212519
167;100;20;212448
170;100;20;212289
171;100;20;212214
172;100;20;212068
173;100;20;211845
174;100;20;211631
176;100;20;211337
178;100;20;211322
179;100;20;211131
180;100;20;210871
181;100;20;210852
182;100;20;210810
184;100;20;210541
185;100;20;210532
186;100;20;210273
188;100;20;210247
189;100;20;210050
190;100;20;210022
191;100;20;209856
192;100;20;209759
194;100;20;209624
195;100;20;209528
197;100;20;209303
198;100;20;209226
200;100;20;209186
201;100;20;209164
203;100;20;209079
204;100;20;209018
205;100;20;208916
206;100;20;208775
209;100;20;208757
210;100;20;208742
211;100;20;208581
212;100;20;208455
214;100;20;208403
215;100;20;208239
216;100;20;208217
217;100;20;207944
218;100;20;207900
219;100;20;207818
220;100;20;207689
221;100;20;207585
224;100;20;207536
225;100;20;207504
226;100;20;207486
227;100;20;207369
228;100;20;207335
230;100;20;207200
231;100;20;207087
233;100;20;207062
234;100;20;207046
236;100;20;207038
237;100;20;206931
238;100;20;206880
240;100;20;206819
242;100;20;206796
243;100;20;206718
244;100;20;206666
246;100;20;206578
247;100;20;206466
248;100;20;206463
249;100;20;206401
252;100;20;206378
253;100;20;206376
254;100;20;206235
255;100;20;206104
257;100;20;205986
258;100;20;205913
259;100;20;205845
260;100;20;205734
261;100;20;205677
262;100;20;205629
263;100;20;205503
264;100;20;205436
265;100;20;205400
266;100;20;205312
267;100;20;205288
268;100;20;205253
269;100;20;205094
270;100;20;205088
271;100;20;205072
272;100;20;204984
273;100;20;204946
274;100;20;204921
275;100;20;204893
276;100;20;204761
278;100;20;204724
280;100;20;204722
281;100;20;204501
283;100;20;204474
284;100;20;204425
286;100;20;204389
287;100;20;204302
288;100;20;204266
289;100;20;204233
290;100;20;204214
291;100;20;204187
292;100;20;204154
294;100;20;204059
296;100;20;203963
297;100;20;203879
298;100;20;203795
302;100;20;203719
304;100;20;203657
306;100;20;203391
307;100;20;203348
309;100;20;203310
310;100;20;203307
311;100;20;203159
313;100;20;203141
314;100;20;203105
315;100;20;203090
316;100;20;202817
320;100;20;202753
324;100;20;202722
326;100;20;202682
327;100;20;202647
329;100;20;202616
331;100;20;202584
332;100;20;202531
333;100;20;202519
335;100;20;202444
337;100;20;202411
338;100;20;202390
339;100;20;202345
340;100;20;202301
342;100;20;202272
343;100;20;202258
346;100;20;202195
347;100;20;202165
349;100;20;202150
350;100;20;202148
351;100;20;202128
352;100;20;202096
353;100;20;202076
354;100;20;202073
355;100;20;202049
357;100;20;202017
358;100;20;201935
359;100;20;201895
360;181;20;201875
362;149;20;201865
364;122;20;201814
366;99;20;201796
370;100;20;201735
372;100;20;201716
373;100;20;201677
