Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 13:31
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
112;20;1;10;269151
101;20;1;11;266810
91;20;1;12;261870
100;20;509;990;192160
181;20;5;790;195624
164;20;3;581;197921
122;20;3;734;196262
149;20;3;582;197872
110;20;2;665;197113
99;20;1;366;204030
135;20;2;663;197119
120;20;123;1499;189592
218;20;4;1450;189854
179;20;1;1102;191336
198;20;1;1161;190904
162;20;3;1453;189853
133;20;2;1405;190148
240;20;142;1999;187506
436;20;2;1860;187879
288;20;234;2997;183826
431;20;1;2592;185653
322;20;1;2595;185651
292;20;1;2596;185643
374;20;3;2971;184203
486;20;4;2972;184149
631;20;2;2973;184123
1066;20;2;2804;184765
864;20;8;2979;184043
785;20;3;2980;183999
648;20;2;2812;184717
589;20;3;2983;183943
535;20;1;2711;185246
400;20;1;2714;185209
363;20;3;2988;183919
300;20;3;2990;183873
272;20;1;2718;185180
523;20;1;2870;184498
713;20;1;2981;183982
330;20;1;2989;183895
Generatia;Nr indivizi;Viata;Fitness
10;112;20;269151
11;101;20;266810
12;91;20;261870
13;100;20;257962
16;100;20;257908
18;100;20;257736
19;100;20;256794
20;100;20;255787
21;100;20;254517
23;100;20;253359
24;100;20;251816
25;100;20;251602
31;100;20;251591
32;100;20;250907
33;100;20;250262
36;100;20;249452
37;100;20;249414
38;100;20;248594
40;100;20;246676
43;100;20;246439
45;100;20;246082
46;100;20;245010
48;100;20;244387
49;100;20;244227
50;100;20;243041
53;100;20;241551
54;100;20;240646
55;100;20;239872
59;100;20;238085
63;100;20;237113
65;100;20;237027
66;100;20;237001
67;100;20;236855
68;100;20;236587
69;100;20;236490
70;100;20;236420
71;100;20;236136
72;100;20;236063
73;100;20;235884
74;100;20;235534
75;100;20;235343
76;100;20;235016
77;100;20;234660
79;100;20;234270
80;100;20;233551
82;100;20;233509
83;100;20;233244
84;100;20;232967
85;100;20;232535
86;100;20;231946
88;100;20;231845
89;100;20;231174
91;100;20;230990
94;100;20;229957
96;100;20;229907
98;100;20;229767
99;100;20;229371
100;100;20;229223
101;100;20;229046
102;100;20;228525
104;100;20;228324
105;100;20;228218
106;100;20;227725
107;100;20;227578
108;100;20;227374
109;100;20;227176
110;100;20;227160
111;100;20;226107
114;100;20;226091
116;100;20;225975
117;100;20;225892
118;100;20;225424
119;100;20;224867
122;100;20;224297
123;100;20;224217
124;100;20;223754
125;100;20;223653
126;100;20;223548
128;100;20;223136
130;100;20;222567
132;100;20;222460
133;100;20;222356
134;100;20;222024
136;100;20;221852
137;100;20;221749
138;100;20;221530
139;100;20;221189
141;100;20;221045
142;100;20;220868
143;100;20;220743
144;100;20;220716
145;100;20;220603
146;100;20;220361
148;100;20;220261
149;100;20;220029
150;100;20;219834
151;100;20;219514
152;100;20;219500
153;100;20;219358
154;100;20;218944
155;100;20;218898
156;100;20;218565
157;100;20;218486
159;100;20;218437
160;100;20;218201
161;100;20;218112
162;100;20;217727
163;100;20;217711
164;100;20;217400
165;100;20;217182
168;100;20;216681
169;100;20;216592
172;100;20;216527
173;100;20;216442
174;100;20;216275
175;100;20;216115
176;100;20;216027
177;100;20;215511
178;100;20;215444
179;100;20;215362
180;100;20;215301
181;100;20;215192
182;100;20;215053
183;100;20;215039
184;100;20;214880
185;100;20;214770
186;100;20;214698
187;100;20;214541
188;100;20;214404
189;100;20;214328
190;100;20;214272
191;100;20;214146
192;100;20;214078
193;100;20;213677
194;100;20;213573
195;100;20;213516
196;100;20;213376
198;100;20;213280
199;100;20;213258
200;100;20;213123
201;100;20;213043
202;100;20;212918
203;100;20;212906
204;100;20;212791
205;100;20;212785
206;100;20;212656
207;100;20;212453
208;100;20;212099
210;100;20;212080
211;100;20;211981
212;100;20;211924
213;100;20;211761
214;100;20;211606
217;100;20;211482
218;100;20;211463
219;100;20;211303
220;100;20;211123
221;100;20;211106
222;100;20;211064
223;100;20;210956
224;100;20;210780
225;100;20;210307
229;100;20;210046
233;100;20;209979
234;100;20;209862
235;100;20;209842
236;100;20;209785
237;100;20;209765
238;100;20;209668
241;100;20;209585
242;100;20;209572
243;100;20;209455
244;100;20;209439
245;100;20;209383
246;100;20;209325
247;100;20;209302
249;100;20;209247
250;100;20;209193
251;100;20;209172
252;100;20;209109
253;100;20;209069
254;100;20;208964
255;100;20;208939
256;100;20;208753
257;100;20;208749
258;100;20;208712
259;100;20;208604
260;100;20;208575
261;100;20;208496
262;100;20;208455
263;100;20;208452
264;100;20;208390
265;100;20;208268
266;100;20;208224
267;100;20;208192
268;100;20;208077
269;100;20;208032
270;100;20;207976
271;100;20;207767
273;100;20;207721
275;100;20;207683
276;100;20;207653
277;100;20;207594
278;100;20;207509
279;100;20;207313
281;100;20;207292
282;100;20;207267
283;100;20;207244
284;100;20;207198
286;100;20;207169
287;100;20;207140
288;100;20;207096
289;100;20;207079
290;100;20;207007
291;100;20;206997
292;100;20;206947
293;100;20;206933
294;100;20;206893
295;100;20;206875
296;100;20;206858
297;100;20;206835
298;100;20;206772
299;100;20;206696
300;100;20;206661
301;100;20;206552
302;100;20;206503
303;100;20;206397
304;100;20;206356
305;100;20;206283
307;100;20;206230
308;100;20;206222
309;100;20;206190
310;100;20;206169
311;100;20;206108
312;100;20;206087
313;100;20;206016
315;100;20;205994
316;100;20;205925
317;100;20;205923
318;100;20;205835
319;100;20;205812
320;181;20;205671
321;164;20;205666
324;122;20;205652
327;100;20;205567
332;100;20;205508
333;100;20;205477
334;100;20;205360
336;100;20;205344
337;100;20;205277
338;100;20;205215
339;100;20;205185
340;100;20;205044
341;100;20;204910
342;100;20;204865
343;100;20;204778
344;100;20;204739
345;100;20;204670
347;100;20;204550
348;100;20;204543
349;100;20;204502
350;100;20;204445
351;100;20;204389
352;100;20;204346
354;100;20;204329
355;100;20;204320
356;100;20;204308
357;100;20;204281
359;100;20;204267
360;181;20;204173
361;164;20;204144
362;149;20;204107
364;122;20;204039
365;110;20;204037
366;99;20;204030
367;100;20;204020
369;100;20;204016
371;100;20;203961
373;100;20;203937
374;100;20;203935
375;100;20;203908
376;100;20;203818
377;100;20;203790
378;100;20;203773
379;100;20;203755
380;100;20;203744
381;100;20;203604
382;100;20;203593
383;100;20;203547
384;100;20;203496
386;100;20;203469
387;100;20;203451
388;100;20;203443
389;100;20;203436
390;100;20;203427
391;100;20;203394
393;100;20;203368
394;100;20;203219
396;100;20;203147
397;100;20;203111
398;100;20;203076
399;100;20;203033
402;100;20;203009
403;100;20;202998
404;100;20;202973
406;100;20;202928
408;100;20;202866
410;100;20;202819
411;100;20;202790
412;100;20;202723
