Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 14:02
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
112;20;1;10;268837
101;20;1;11;261849
91;20;1;12;260858
100;20;509;990;193179
164;20;7;861;194341
181;20;6;940;193909
135;20;5;863;194297
110;20;4;835;194565
149;20;4;862;194323
122;20;5;904;194019
99;20;1;596;197712
120;20;132;1499;189525
202;20;1;1023;193101
262;20;1;1024;193088
340;20;1;1025;193004
360;20;3;1030;192881
327;20;1;1031;192862
245;20;1;1034;192812
201;20;1;1036;192666
150;20;1;1039;192654
136;20;1;1040;192645
123;20;1;1041;192582
111;20;1;1042;192483
179;20;4;1342;190030
162;20;3;1433;189681
147;20;2;1284;190455
198;20;2;1281;190466
218;20;1;1340;190070
240;20;130;1993;186941
269;20;1;1875;187661
244;20;1;1876;187626
288;20;169;2994;184101
374;20;1;2175;186418
486;20;2;2186;186274
631;20;1;2177;186393
820;20;1;2178;186323
1066;20;1;2179;186302
864;20;1;2180;186290
648;20;1;2183;186285
589;20;1;2184;186276
441;20;1;2187;186254
400;20;1;2188;186228
363;20;1;2189;186226
330;20;1;2190;186175
300;20;1;2191;186164
272;20;1;2192;186133
292;20;1;2296;185416
265;20;1;2297;185394
431;20;1;2632;184540
355;20;1;2634;184539
Generatia;Nr indivizi;Viata;Fitness
10;112;20;268837
11;101;20;261849
12;91;20;260858
13;100;20;259226
14;100;20;258400
16;100;20;254718
20;100;20;254132
22;100;20;253023
23;100;20;252447
27;100;20;251288
29;100;20;250141
31;100;20;248113
36;100;20;247474
37;100;20;245790
39;100;20;245373
40;100;20;243021
42;100;20;242077
44;100;20;241394
45;100;20;240181
47;100;20;239831
50;100;20;239173
52;100;20;237642
53;100;20;235976
55;100;20;235616
57;100;20;235046
58;100;20;234300
59;100;20;233579
61;100;20;232161
65;100;20;231746
68;100;20;231302
69;100;20;230649
71;100;20;230125
72;100;20;229981
73;100;20;229651
75;100;20;228727
76;100;20;228456
79;100;20;228386
80;100;20;227637
81;100;20;227451
82;100;20;227385
83;100;20;226618
87;100;20;226603
88;100;20;226234
89;100;20;225773
91;100;20;225554
92;100;20;225401
93;100;20;225378
94;100;20;225367
95;100;20;225058
97;100;20;225020
98;100;20;224790
99;100;20;224251
102;100;20;224041
103;100;20;222818
104;100;20;222513
105;100;20;222393
106;100;20;222308
107;100;20;222051
108;100;20;221361
110;100;20;220935
111;100;20;220921
113;100;20;220486
114;100;20;220205
117;100;20;220122
118;100;20;219739
120;100;20;219585
121;100;20;219278
122;100;20;219061
123;100;20;218973
124;100;20;218926
126;100;20;218538
127;100;20;218412
129;100;20;218230
130;100;20;218152
131;100;20;218072
132;100;20;217915
133;100;20;217366
135;100;20;217289
137;100;20;217185
138;100;20;217132
139;100;20;216943
140;100;20;216899
141;100;20;216835
142;100;20;216336
145;100;20;216232
146;100;20;216069
147;100;20;215977
148;100;20;215919
151;100;20;215820
152;100;20;215819
153;100;20;215747
154;100;20;215530
156;100;20;215524
157;100;20;215378
158;100;20;215269
159;100;20;215207
161;100;20;215189
162;100;20;215036
163;100;20;214957
164;100;20;214757
165;100;20;214754
166;100;20;214714
167;100;20;214606
168;100;20;214542
169;100;20;214346
170;100;20;214284
171;100;20;214121
172;100;20;214051
173;100;20;213861
174;100;20;213832
175;100;20;213635
176;100;20;213568
177;100;20;213420
178;100;20;213371
179;100;20;213262
180;100;20;213086
181;100;20;212654
182;100;20;212652
183;100;20;212375
185;100;20;212314
186;100;20;212254
187;100;20;211928
188;100;20;211926
189;100;20;211728
191;100;20;211542
192;100;20;211408
194;100;20;211310
195;100;20;211264
196;100;20;211240
197;100;20;211027
198;100;20;211013
199;100;20;210973
200;100;20;210901
201;100;20;210835
202;100;20;210695
203;100;20;210609
204;100;20;210606
205;100;20;210527
206;100;20;210404
207;100;20;210257
208;100;20;210217
209;100;20;210133
211;100;20;210121
212;100;20;209894
213;100;20;209871
214;100;20;209749
215;100;20;209737
216;100;20;209660
217;100;20;209622
219;100;20;209537
220;100;20;209510
221;100;20;209355
223;100;20;209341
224;100;20;209283
225;100;20;209272
226;100;20;209241
227;100;20;209051
228;100;20;208979
229;100;20;208953
230;100;20;208948
231;100;20;208881
232;100;20;208699
235;100;20;208664
237;100;20;208504
239;100;20;208490
240;100;20;208356
241;100;20;208252
242;100;20;207990
244;100;20;207801
246;100;20;207794
247;100;20;207770
248;100;20;207765
249;100;20;207608
250;100;20;207592
251;100;20;207518
252;100;20;207495
253;100;20;207494
254;100;20;207436
255;100;20;207372
256;100;20;207258
257;100;20;207228
258;100;20;207223
259;100;20;207145
260;100;20;207103
261;100;20;207098
262;100;20;207054
263;100;20;207043
264;100;20;206987
266;100;20;206893
268;100;20;206888
270;100;20;206840
271;100;20;206717
273;100;20;206703
274;100;20;206612
276;100;20;206588
277;100;20;206447
278;100;20;206385
279;100;20;206322
280;100;20;206278
