Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 14:15
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;269329
91;20;1;12;262917
100;20;542;997;191111
181;20;4;800;193648
164;20;4;661;195390
149;20;1;422;201427
110;20;2;605;196036
99;20;1;636;195566
120;20;122;1499;188278
218;20;5;1460;188324
198;20;4;1461;188323
179;20;2;1272;189331
147;20;3;1494;188312
133;20;2;1115;190031
156;20;1;1320;189003
202;20;1;1321;188969
262;20;1;1322;188963
340;20;1;1323;188936
442;20;1;1324;188917
360;20;1;1325;188884
297;20;1;1327;188857
270;20;1;1328;188851
222;20;1;1330;188840
201;20;1;1331;188809
182;20;1;1332;188788
165;20;1;1333;188726
150;20;1;1334;188714
136;20;1;1335;188712
123;20;1;1336;188690
111;20;1;1337;188666
240;20;114;1999;186518
396;20;2;1931;187014
269;20;1;1595;187946
221;20;1;1597;187937
312;20;2;1972;186957
405;20;2;1973;186950
526;20;1;1720;187688
887;20;2;1976;186927
720;20;4;1978;186833
654;20;1;1728;187612
594;20;1;1729;187596
540;20;2;1981;186785
445;20;2;1983;186747
367;20;1;1734;187530
249;20;2;1989;186605
226;20;1;1739;187487
359;20;1;1932;187013
244;20;1;1936;187010
683;20;1;1975;186935
490;20;1;1982;186775
404;20;1;1984;186742
288;20;149;2762;183340
355;20;1;2354;185303
523;20;1;2470;185065
374;20;5;2784;183325
631;20;4;2786;183311
864;20;12;2721;183471
785;20;1;2501;184853
648;20;3;2619;183808
589;20;3;2725;183468
486;20;4;2785;183313
441;20;1;2507;184675
363;20;3;2730;183414
300;20;2;2732;183396
272;20;3;2733;183388
820;20;3;2716;183554
1066;20;3;2788;183303
400;20;2;2729;183415
713;20;2;2723;183470
535;20;2;2726;183452
330;20;2;2731;183405
Generatia;Nr indivizi;Viata;Fitness
11;101;20;269329
12;91;20;262917
13;100;20;262613
14;100;20;261114
15;100;20;257374
16;100;20;255873
19;100;20;255112
22;100;20;254715
23;100;20;254661
25;100;20;254366
27;100;20;252792
28;100;20;252504
29;100;20;250078
33;100;20;248448
35;100;20;247949
38;100;20;247922
39;100;20;247066
40;100;20;246783
41;100;20;246435
42;100;20;245927
43;100;20;244637
46;100;20;244109
49;100;20;243421
50;100;20;243263
51;100;20;242418
52;100;20;242037
54;100;20;241906
55;100;20;241310
56;100;20;240575
58;100;20;239488
61;100;20;239096
62;100;20;238841
63;100;20;238358
64;100;20;237666
66;100;20;237570
67;100;20;236361
70;100;20;235912
73;100;20;235308
75;100;20;234724
77;100;20;234588
78;100;20;234466
79;100;20;233849
80;100;20;233620
81;100;20;233374
83;100;20;233104
84;100;20;232919
86;100;20;231649
87;100;20;231614
88;100;20;231348
89;100;20;231186
90;100;20;230491
91;100;20;230285
92;100;20;230026
93;100;20;229485
95;100;20;228839
96;100;20;228561
97;100;20;228294
98;100;20;227882
99;100;20;227624
100;100;20;227302
103;100;20;226564
105;100;20;226071
106;100;20;226035
108;100;20;225652
110;100;20;225443
111;100;20;224546
114;100;20;224403
115;100;20;224093
116;100;20;223789
117;100;20;223676
118;100;20;223383
119;100;20;223245
120;100;20;223042
121;100;20;223039
122;100;20;222811
124;100;20;222327
125;100;20;222214
126;100;20;221854
127;100;20;221576
128;100;20;221398
129;100;20;220952
131;100;20;220852
132;100;20;220691
133;100;20;220565
134;100;20;220469
135;100;20;220347
136;100;20;220258
137;100;20;220234
138;100;20;220015
139;100;20;219659
140;100;20;219305
143;100;20;219070
144;100;20;219012
146;100;20;218863
147;100;20;218688
148;100;20;218646
149;100;20;218603
150;100;20;218389
151;100;20;218355
152;100;20;218244
153;100;20;218186
154;100;20;218059
155;100;20;217825
156;100;20;217661
157;100;20;217540
158;100;20;217482
159;100;20;217454
160;100;20;217239
161;100;20;217216
162;100;20;217076
163;100;20;216948
164;100;20;216822
165;100;20;216567
167;100;20;216518
169;100;20;216139
171;100;20;216029
172;100;20;215760
173;100;20;215754
175;100;20;215367
177;100;20;215066
179;100;20;215020
180;100;20;214954
181;100;20;214869
182;100;20;214636
183;100;20;214568
184;100;20;214417
185;100;20;214402
186;100;20;214396
187;100;20;214289
188;100;20;214139
189;100;20;214053
190;100;20;213904
191;100;20;213882
192;100;20;213712
193;100;20;213676
194;100;20;213549
195;100;20;213345
197;100;20;213309
198;100;20;213093
199;100;20;212926
200;100;20;212891
201;100;20;212830
202;100;20;212759
203;100;20;212642
204;100;20;212544
205;100;20;212436
207;100;20;212385
208;100;20;212367
209;100;20;212191
210;100;20;212162
211;100;20;211719
213;100;20;211490
214;100;20;211384
215;100;20;211196
