Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 14:28
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;262713
91;20;1;12;260127
100;20;502;993;193701
164;20;4;801;195653
99;20;2;706;196679
181;20;5;890;195117
149;20;3;702;196699
122;20;3;864;195265
110;20;2;895;195108
135;20;2;833;195360
120;20;118;1490;190506
156;20;1;1022;193574
202;20;1;1023;193544
262;20;1;1024;193512
340;20;1;1025;193481
442;20;1;1026;193402
360;20;1;1028;193351
297;20;1;1030;193325
270;20;1;1031;193290
245;20;1;1032;193223
182;20;1;1035;193144
136;20;1;1038;193112
123;20;1;1039;193058
111;20;1;1040;193042
198;20;2;1421;190770
179;20;2;1122;192106
133;20;2;1315;191061
147;20;2;1314;191075
218;20;1;1350;191020
162;20;2;1463;190600
240;20;167;1999;187037
312;20;1;1900;188357
405;20;1;1901;188062
887;20;1;1904;188030
720;20;3;1909;187849
654;20;1;1910;187842
540;20;1;1912;187781
490;20;1;1913;187767
445;20;1;1914;187741
404;20;1;1915;187712
367;20;1;1916;187647
333;20;1;1917;187623
302;20;1;1918;187546
274;20;1;1919;187490
226;20;1;1921;187470
288;20;203;2988;183837
523;20;1;2180;186178
391;20;1;2293;185951
374;20;3;2897;184106
486;20;3;2898;184103
631;20;2;2730;184494
1066;20;3;2901;184085
864;20;7;2905;184018
785;20;1;2608;184967
713;20;2;2737;184443
648;20;1;2610;184817
363;20;2;2744;184395
300;20;2;2746;184355
589;20;2;2909;183985
535;20;1;2740;184416
441;20;2;2912;183977
330;20;2;2915;183952
272;20;1;2747;184340
820;20;1;2900;184091
Generatia;Nr indivizi;Viata;Fitness
11;101;20;262713
12;91;20;260127
13;100;20;258510
14;100;20;256588
17;100;20;255677
18;100;20;255002
19;100;20;254076
20;100;20;253370
21;100;20;253184
24;100;20;252993
25;100;20;252004
26;100;20;251777
27;100;20;251547
28;100;20;251532
29;100;20;250815
30;100;20;250339
31;100;20;248683
32;100;20;247515
35;100;20;246988
37;100;20;245744
38;100;20;245281
40;100;20;244975
43;100;20;244595
45;100;20;244377
46;100;20;243682
49;100;20;243364
50;100;20;243260
52;100;20;241838
53;100;20;240874
56;100;20;240850
60;100;20;240762
61;100;20;239909
62;100;20;239114
63;100;20;237964
66;100;20;237129
69;100;20;235768
72;100;20;235067
75;100;20;233895
80;100;20;233092
82;100;20;232969
83;100;20;231710
87;100;20;231503
88;100;20;231186
91;100;20;229857
100;100;20;229510
102;100;20;229023
104;100;20;228610
107;100;20;227874
108;100;20;227615
111;100;20;227440
113;100;20;226778
115;100;20;226736
116;100;20;226235
119;100;20;226063
120;100;20;226041
121;100;20;225457
122;100;20;224906
124;100;20;224829
125;100;20;224163
126;100;20;223924
127;100;20;222851
130;100;20;222483
134;100;20;221928
136;100;20;221577
139;100;20;221169
140;100;20;220820
142;100;20;220631
143;100;20;219986
146;100;20;219842
147;100;20;219536
148;100;20;219458
149;100;20;219270
150;100;20;219211
151;100;20;219197
152;100;20;218941
153;100;20;218838
154;100;20;218563
156;100;20;218438
157;100;20;218183
159;100;20;218004
161;100;20;217938
162;100;20;217415
166;100;20;217316
167;100;20;217267
168;100;20;217118
169;100;20;216998
171;100;20;216432
172;100;20;216429
174;100;20;216285
175;100;20;216119
176;100;20;215768
177;100;20;215746
178;100;20;215662
179;100;20;215343
180;100;20;215305
181;100;20;215103
182;100;20;214960
183;100;20;214795
