Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 14:50
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
137;20;1;8;272785
124;20;1;9;267326
112;20;1;10;265911
101;20;1;11;259710
100;20;216;990;190725
135;20;3;783;191435
181;20;8;740;191474
149;20;3;832;191204
110;20;2;745;191458
164;20;5;951;190783
122;20;1;634;191863
99;20;2;956;190780
120;20;119;1494;188496
218;20;5;1470;188518
147;20;4;1414;188610
179;20;2;1212;189569
198;20;4;1441;188545
162;20;3;1213;189556
133;20;1;1155;189964
240;20;115;1999;186013
396;20;2;1581;187975
221;20;1;1517;188436
436;20;1;1940;186899
312;20;1;1962;186815
405;20;1;1963;186662
683;20;1;1965;186604
720;20;3;1969;186549
594;20;1;1971;186520
540;20;1;1972;186514
490;20;1;1973;186510
445;20;1;1974;186495
404;20;1;1975;186486
302;20;1;1978;186455
274;20;1;1979;186430
288;20;120;2914;183704
374;20;7;2936;183688
631;20;4;2856;183891
820;20;3;2939;183656
1066;20;5;2858;183884
864;20;17;2943;183614
785;20;4;2863;183845
713;20;1;2345;185127
648;20;2;2565;184803
589;20;2;2566;184802
486;20;7;2937;183686
441;20;2;2869;183833
400;20;4;2784;183949
363;20;4;2871;183831
330;20;5;2872;183825
300;20;3;2690;184226
272;20;4;2874;183812
535;20;1;2684;184263
431;20;1;2802;183937
Generatia;Nr indivizi;Viata;Fitness
8;137;20;272785
9;124;20;267326
10;112;20;265911
11;101;20;259710
14;100;20;257621
17;100;20;257211
19;100;20;254942
20;100;20;234604
30;100;20;213651
40;100;20;208124
50;100;20;204900
60;100;20;203764
70;100;20;203033
80;100;20;201524
85;100;20;201513
86;100;20;201445
90;100;20;200483
100;100;20;200108
110;100;20;199690
120;100;20;199453
130;100;20;199186
140;100;20;198490
150;100;20;198123
160;100;20;198045
168;100;20;198044
170;100;20;197590
180;100;20;197269
187;100;20;197239
190;100;20;197104
198;100;20;197097
200;100;20;197030
202;100;20;196990
206;100;20;196988
207;100;20;196982
208;100;20;196975
210;100;20;196927
212;100;20;196919
214;100;20;196860
215;100;20;196856
216;100;20;196831
217;100;20;196784
218;100;20;196750
219;100;20;196714
220;100;20;196705
221;100;20;196682
223;100;20;196678
224;100;20;196672
226;100;20;196645
228;100;20;196643
230;100;20;196627
231;100;20;196485
233;100;20;196454
234;100;20;196451
236;100;20;196448
237;100;20;196413
238;100;20;196386
239;100;20;196381
242;100;20;196374
243;100;20;196342
244;100;20;196338
245;100;20;196331
249;100;20;196294
253;135;20;196273
260;100;20;196268
263;100;20;196221
265;100;20;196216
266;100;20;196212
272;100;20;196200
275;100;20;196180
277;100;20;196169
278;100;20;196156
280;181;20;196114
290;100;20;195956
300;100;20;195889
304;100;20;195850
305;100;20;195722
306;100;20;195716
309;100;20;195645
310;100;20;195320
320;100;20;194757
330;100;20;194541
340;100;20;194358
345;100;20;194327
346;100;20;194322
348;100;20;194311
350;100;20;194251
357;100;20;194205
358;100;20;194165
359;100;20;194148
360;181;20;194051
370;100;20;193834
380;100;20;193591
390;100;20;193409
398;100;20;193398
400;100;20;193194
407;100;20;193135
409;100;20;193082
410;100;20;193064
414;100;20;193055
415;100;20;193041
417;100;20;193031
419;100;20;193029
420;100;20;192896
430;100;20;192799
440;100;20;192777
441;100;20;192693
446;100;20;192670
454;100;20;192669
457;100;20;192650
458;100;20;192648
462;100;20;192640
468;100;20;192636
470;181;20;192604
480;100;20;192559
484;100;20;192507
486;100;20;192481
487;100;20;192445
488;100;20;192416
489;100;20;192400
490;100;20;192340
491;100;20;192332
493;100;20;192331
494;100;20;192329
495;100;20;192310
497;100;20;192307
498;100;20;192299
504;100;20;192291
505;100;20;192287
506;100;20;192280
508;100;20;192268
510;181;20;192264
513;135;20;192255
522;100;20;192253
523;100;20;192235
524;100;20;192232
529;100;20;192231
535;100;20;192216
536;100;20;192205
537;100;20;192191
549;100;20;192187
560;100;20;192173
562;100;20;192146
563;100;20;192132
566;100;20;192129
569;100;20;192110
571;100;20;192093
574;100;20;192080
575;100;20;192070
578;100;20;192057
581;100;20;192055
582;100;20;192051
583;100;20;192042
590;181;20;192038
592;149;20;192030
595;110;20;192017
598;100;20;192015
599;100;20;191975
601;100;20;191963
605;100;20;191931
606;100;20;191928
608;100;20;191926
611;100;20;191922
612;100;20;191903
613;100;20;191900
615;100;20;191887
630;181;20;191879
631;164;20;191874
634;122;20;191863
643;100;20;191861
653;100;20;191859
658;100;20;191841
659;100;20;191816
662;149;20;191798
672;100;20;191794
673;100;20;191792
674;100;20;191788
678;100;20;191787
679;100;20;191723
680;100;20;191715
681;100;20;191702
682;100;20;191700
683;100;20;191618
686;100;20;191615
691;100;20;191605
693;100;20;191585
694;100;20;191575
706;100;20;191574
708;100;20;191546
709;100;20;191545
710;181;20;191539
721;100;20;191536
723;100;20;191522
726;100;20;191510
728;100;20;191508
734;100;20;191490
739;100;20;191483
740;181;20;191474
741;164;20;191462
745;110;20;191458
750;100;20;191451
752;100;20;191446
760;100;20;191443
765;100;20;191436
783;135;20;191435
786;99;20;191357
798;100;20;191352
804;100;20;191301
806;100;20;191297
811;100;20;191288
816;100;20;191281
817;100;20;191249
819;100;20;191239
820;100;20;191235
823;100;20;191233
824;100;20;191229
831;164;20;191211
832;149;20;191204
843;100;20;191178
844;100;20;191176
850;100;20;191169
860;100;20;191163
861;100;20;191084
866;100;20;191076
867;100;20;191023
869;100;20;191015
874;100;20;190986
879;100;20;190954
883;100;20;190929
901;100;20;190927
904;100;20;190925
907;100;20;190903
911;100;20;190895
912;100;20;190881
921;164;20;190875
929;100;20;190871
934;100;20;190847
936;100;20;190842
941;100;20;190816
942;100;20;190789
951;164;20;190783
956;99;20;190780
970;100;20;190738
980;100;20;190734
990;100;20;190725
1000;120;20;190661
1019;120;20;190659
1020;120;20;190582
1022;120;20;190579
1024;120;20;190566
1025;120;20;190561
1026;120;20;190559
1027;120;20;190548
1028;120;20;190539
1029;120;20;190535
1031;120;20;190529
1032;120;20;190522
1033;120;20;190519
1035;120;20;190516
1040;120;20;190513
1041;120;20;190509
1042;120;20;190505
1043;120;20;190480
1046;120;20;190476
1047;120;20;190427
1049;120;20;190416
1050;218;20;190412
1054;147;20;190409
1061;120;20;190405
1062;120;20;190401
1067;120;20;190399
1074;120;20;190390
1082;179;20;190385
1089;120;20;190371
1096;120;20;190363
1097;120;20;190358
1098;120;20;190296
1104;120;20;190288
1107;120;20;190285
1109;120;20;190279
1112;120;20;190252
1119;120;20;190250
1127;120;20;190237
1128;120;20;190207
1131;120;20;190190
1132;120;20;190176
1133;120;20;190145
1140;120;20;190105
1148;120;20;190102
1151;198;20;189995
1153;162;20;189993
1154;147;20;189990
1155;133;20;189964
1158;120;20;189961
1165;120;20;189953
1166;120;20;189944
1167;120;20;189939
1168;120;20;189931
1170;120;20;189867
1171;120;20;189855
