Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/19 15:14
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;265194
91;20;1;12;263025
100;20;510;999;192633
181;20;8;910;193945
164;20;4;701;196883
122;20;1;434;202644
149;20;2;672;197333
135;20;2;633;197865
110;20;2;705;196845
99;20;1;676;197322
120;20;114;1485;189448
218;20;6;1340;190572
147;20;2;1463;189589
133;20;5;1464;189578
179;20;5;1461;189633
198;20;1;1101;191856
162;20;4;1462;189593
240;20;158;1996;187737
156;20;1;1451;189836
202;20;1;1452;189831
436;20;2;1640;189042
396;20;1;1641;189021
326;20;1;1643;189015
244;20;1;1646;189013
288;20;165;2990;182881
523;20;4;2836;184622
431;20;7;2838;184602
374;20;7;2963;183006
486;20;3;2964;182990
576;20;29;2972;182918
475;20;6;2974;182917
391;20;3;2892;183068
292;20;3;2842;183293
631;20;3;2879;183144
355;20;2;2840;183319
322;20;4;2978;182900
265;20;1;2767;184871
Generatia;Nr indivizi;Viata;Fitness
11;101;20;265194
12;91;20;263025
13;100;20;259762
14;100;20;258155
16;100;20;253806
21;100;20;253367
22;100;20;252889
24;100;20;252771
26;100;20;252401
29;100;20;250772
30;100;20;250724
31;100;20;249781
32;100;20;248879
35;100;20;248700
38;100;20;246466
43;100;20;245789
44;100;20;245370
46;100;20;245226
47;100;20;243485
48;100;20;243222
49;100;20;242044
52;100;20;241298
53;100;20;241235
54;100;20;238931
57;100;20;238728
58;100;20;237952
59;100;20;237749
60;100;20;236451
62;100;20;236187
64;100;20;236008
65;100;20;235454
66;100;20;235263
67;100;20;234571
68;100;20;234434
69;100;20;234194
70;100;20;234075
71;100;20;232800
73;100;20;232357
75;100;20;232356
76;100;20;232297
77;100;20;231953
78;100;20;231574
79;100;20;231403
80;100;20;231370
81;100;20;230911
83;100;20;230010
85;100;20;229657
86;100;20;229435
89;100;20;228852
91;100;20;228397
92;100;20;228091
94;100;20;227958
95;100;20;227193
96;100;20;227071
97;100;20;226487
98;100;20;226443
99;100;20;226393
100;100;20;226029
101;100;20;225830
102;100;20;225344
103;100;20;225331
104;100;20;224543
107;100;20;224507
110;100;20;224089
112;100;20;223904
113;100;20;223440
114;100;20;223356
115;100;20;223054
116;100;20;222740
119;100;20;222146
120;100;20;221950
121;100;20;221796
122;100;20;221258
124;100;20;221139
125;100;20;220987
126;100;20;220819
128;100;20;220593
130;100;20;220423
131;100;20;220269
132;100;20;220246
133;100;20;220190
134;100;20;220009
135;100;20;219926
136;100;20;219501
137;100;20;219437
138;100;20;219277
139;100;20;219090
140;100;20;219050
141;100;20;218902
142;100;20;218854
143;100;20;218720
144;100;20;218434
145;100;20;218232
146;100;20;218108
147;100;20;217809
148;100;20;217776
149;100;20;217641
150;100;20;217604
151;100;20;217445
152;100;20;217320
153;100;20;217085
154;100;20;217014
155;100;20;216868
156;100;20;216862
157;100;20;216585
158;100;20;216472
159;100;20;216246
160;100;20;216159
162;100;20;215695
163;100;20;215622
164;100;20;215527
165;100;20;215272
166;100;20;215263
168;100;20;215061
169;100;20;214902
170;100;20;214827
171;100;20;214654
172;100;20;214457
173;100;20;214398
174;100;20;214311
175;100;20;214110
176;100;20;214007
177;100;20;213903
178;100;20;213840
179;100;20;213784
180;100;20;213738
181;100;20;213538
182;100;20;213470
183;100;20;213387
184;100;20;213315
185;100;20;213279
186;100;20;213177
187;100;20;213108
188;100;20;213105
190;100;20;213022
