Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/21 20:22
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;1035;2997;186097
Generatia;Nr indivizi;Viata;Fitness
11;100;20;265441
12;100;20;262947
13;100;20;261664
14;100;20;259893
15;100;20;257921
16;100;20;256071
18;100;20;255887
19;100;20;254549
20;100;20;253589
22;100;20;252346
24;100;20;251198
28;100;20;250925
29;100;20;250488
30;100;20;249602
31;100;20;249036
32;100;20;248942
33;100;20;247904
34;100;20;247618
35;100;20;243106
42;100;20;242258
43;100;20;241010
47;100;20;240225
48;100;20;239598
49;100;20;238276
52;100;20;237889
54;100;20;237372
55;100;20;235599
57;100;20;235492
58;100;20;235253
60;100;20;234068
63;100;20;233805
66;100;20;233193
70;100;20;233006
71;100;20;232796
72;100;20;230673
75;100;20;229641
81;100;20;229480
83;100;20;229393
84;100;20;228865
85;100;20;228741
88;100;20;228252
90;100;20;227911
91;100;20;227502
94;100;20;226325
96;100;20;226145
97;100;20;225692
101;100;20;225065
102;100;20;224431
105;100;20;224187
106;100;20;223773
108;100;20;223409
109;100;20;223405
110;100;20;223285
111;100;20;223050
112;100;20;222785
113;100;20;222503
114;100;20;222372
117;100;20;222064
118;100;20;221526
121;100;20;221468
122;100;20;220590
123;100;20;220525
126;100;20;220202
130;100;20;219995
131;100;20;219521
132;100;20;219297
133;100;20;218694
135;100;20;218619
136;100;20;218610
138;100;20;218429
140;100;20;218314
141;100;20;218146
142;100;20;217521
145;100;20;217324
146;100;20;217304
147;100;20;217038
148;100;20;216991
149;100;20;216711
151;100;20;216450
153;100;20;216370
155;100;20;216168
156;100;20;215887
158;100;20;215872
159;100;20;215534
161;100;20;215261
162;100;20;215045
165;100;20;214933
166;100;20;214825
167;100;20;214748
168;100;20;214638
169;100;20;214550
170;100;20;214435
171;100;20;214433
172;100;20;214349
173;100;20;214264
174;100;20;214069
