Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/21 21:07
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;271312
91;20;1;12;262230
100;20;579;999;193645
181;20;3;950;194041
135;20;2;863;194708
122;20;4;924;194179
164;20;4;981;193772
149;20;2;862;194742
99;20;1;756;196063
110;20;1;835;195248
120;20;153;1498;190650
218;20;3;1500;190643
198;20;5;1431;191101
179;20;6;1462;190959
162;20;2;1073;192996
147;20;1;1144;192564
133;20;2;1315;191455
240;20;156;1998;188223
396;20;1;1591;189972
326;20;1;1593;189965
288;20;246;2997;185310
523;20;1;2580;186387
431;20;1;2582;186375
391;20;1;2703;186011
292;20;1;2706;185963
475;20;1;2911;185541
Generatia;Nr indivizi;Viata;Fitness
11;101;20;271312
12;91;20;262230
13;100;20;258161
14;100;20;258062
15;100;20;256535
17;100;20;255944
18;100;20;255759
19;100;20;255266
21;100;20;253804
22;100;20;251632
23;100;20;250739
27;100;20;250520
28;100;20;249672
29;100;20;249480
30;100;20;248635
31;100;20;247641
32;100;20;246137
33;100;20;245695
35;100;20;245471
36;100;20;244543
38;100;20;242932
39;100;20;242126
42;100;20;241497
44;100;20;241372
45;100;20;240646
47;100;20;239690
49;100;20;238164
51;100;20;237324
54;100;20;236810
56;100;20;236443
58;100;20;236377
59;100;20;234950
60;100;20;234586
61;100;20;234080
63;100;20;233112
64;100;20;232987
65;100;20;232252
66;100;20;232218
67;100;20;231804
68;100;20;231597
69;100;20;231318
70;100;20;231146
71;100;20;230929
72;100;20;230239
73;100;20;229984
77;100;20;229333
78;100;20;229149
80;100;20;228876
82;100;20;228775
83;100;20;228428
84;100;20;228244
86;100;20;228086
87;100;20;227226
88;100;20;227087
90;100;20;226887
91;100;20;226245
93;100;20;226098
94;100;20;225901
95;100;20;225870
96;100;20;225500
97;100;20;225237
98;100;20;225178
99;100;20;224731
103;100;20;224529
105;100;20;223780
108;100;20;223505
110;100;20;222981
111;100;20;222802
112;100;20;222447
113;100;20;222272
114;100;20;222096
115;100;20;221763
116;100;20;221433
117;100;20;221423
118;100;20;221225
119;100;20;220854
120;100;20;220451
121;100;20;220358
122;100;20;220137
123;100;20;219706
124;100;20;219702
125;100;20;219378
127;100;20;219065
128;100;20;219017
129;100;20;218996
130;100;20;218065
133;100;20;217796
135;100;20;217789
136;100;20;217565
137;100;20;217165
139;100;20;217079
140;100;20;217068
141;100;20;216779
144;100;20;216693
145;100;20;216607
146;100;20;216556
150;100;20;216520
152;100;20;216319
155;100;20;216265
156;100;20;216064
157;100;20;215819
158;100;20;215727
161;100;20;215503
163;100;20;215338
164;100;20;215116
165;100;20;215073
166;100;20;214935
168;100;20;214820
169;100;20;214704
170;100;20;214530
171;100;20;214509
172;100;20;214412
173;100;20;214401
174;100;20;214280
175;100;20;214090
176;100;20;214083
178;100;20;213846
182;100;20;213797
183;100;20;213690
185;100;20;213633
186;100;20;213607
187;100;20;213571
188;100;20;213361
189;100;20;213300
191;100;20;213293
192;100;20;213090
193;100;20;212999
195;100;20;212897
196;100;20;212856
197;100;20;212823
198;100;20;212765
199;100;20;212490
200;100;20;212409
201;100;20;212383
202;100;20;212248
204;100;20;212116
206;100;20;212110
208;100;20;212027
209;100;20;211993
210;100;20;211945
211;100;20;211768
212;100;20;211709
214;100;20;211667
215;100;20;211646
216;100;20;211589
217;100;20;211530
218;100;20;211441
219;100;20;211422
220;100;20;211338
221;100;20;211267
222;100;20;211128
223;100;20;210943
224;100;20;210916
225;100;20;210784
226;100;20;210720
227;100;20;210643
228;100;20;210634
229;100;20;210595
230;100;20;210518
231;100;20;210481
232;100;20;210425
233;100;20;210197
237;100;20;210150
238;100;20;210099
239;100;20;210083
240;100;20;209966
241;100;20;209897
243;100;20;209889
245;100;20;209791
246;100;20;209787
247;100;20;209733
248;100;20;209657
249;100;20;209618
250;100;20;209474
251;100;20;209433
252;100;20;209286
254;100;20;209184
256;100;20;209165
257;100;20;209089
260;100;20;208974
261;100;20;208965
264;100;20;208909
265;100;20;208870
266;100;20;208850
267;100;20;208833
268;100;20;208802
269;100;20;208771
271;100;20;208733
272;100;20;208718
273;100;20;208637
274;100;20;208596
276;100;20;208489
277;100;20;208401
279;100;20;208358
280;100;20;208243
281;100;20;208209
283;100;20;208120
284;100;20;208081
286;100;20;208073
287;100;20;207992
288;100;20;207873
290;100;20;207805
291;100;20;207764
292;100;20;207683
293;100;20;207650
294;100;20;207476
295;100;20;207456
296;100;20;207305
297;100;20;207297
298;100;20;207167
300;100;20;207145
301;100;20;207137
302;100;20;207121
303;100;20;207106
304;100;20;207039
305;100;20;207002
307;100;20;206955
308;100;20;206873
309;100;20;206772
311;100;20;206735
312;100;20;206623
314;100;20;206460
316;100;20;206431
317;100;20;206201
318;100;20;206149
319;100;20;206038
320;100;20;205985
321;100;20;205906
322;100;20;205828
323;100;20;205773
324;100;20;205718
325;100;20;205631
326;100;20;205584
327;100;20;205508
330;100;20;205420
332;100;20;205370
333;100;20;205342
334;100;20;205284
335;100;20;205268
336;100;20;205238
337;100;20;205165
338;100;20;205130
339;100;20;205089
340;100;20;204939
343;100;20;204935
344;100;20;204922
345;100;20;204876
346;100;20;204846
348;100;20;204683
349;100;20;204642
351;100;20;204546
352;100;20;204504
353;100;20;204451
354;100;20;204409
355;100;20;204315
356;100;20;204267
357;100;20;204243
360;100;20;204236
361;100;20;204179
362;100;20;204150
363;100;20;204116
364;100;20;203999
365;100;20;203995
366;100;20;203984
367;100;20;203891
368;100;20;203883
369;100;20;203879
370;100;20;203828
371;100;20;203817
372;100;20;203793
373;100;20;203779
377;100;20;203725
378;100;20;203693
379;100;20;203677
380;100;20;203654
383;100;20;203619
386;100;20;203606
387;100;20;203551
388;100;20;203506
389;100;20;203504
390;100;20;203493
392;100;20;203477
393;100;20;203409
394;100;20;203407
396;100;20;203379
397;100;20;203367
398;100;20;203366
399;100;20;203353
401;100;20;203268
402;100;20;203267
406;100;20;203255
407;100;20;203196
410;100;20;203183
412;100;20;203151
414;100;20;203114
415;100;20;203105
416;100;20;203075
417;100;20;203074
418;100;20;203022
419;100;20;202969
420;100;20;202932
421;100;20;202899
422;100;20;202860
424;100;20;202856
426;100;20;202830
427;100;20;202823
428;100;20;202822
429;100;20;202589
430;100;20;202584
432;100;20;202580
434;100;20;202542
438;100;20;202512
439;100;20;202466
441;100;20;202429
443;100;20;202406
445;100;20;202405
446;100;20;202396
450;100;20;202185
452;100;20;202152
454;100;20;202145
455;100;20;202112
458;100;20;201964
462;100;20;201941
465;100;20;201869
468;100;20;201809
470;100;20;201786
474;100;20;201760
476;100;20;201714
477;100;20;201701
478;100;20;201676
486;100;20;201675
487;100;20;201645
490;100;20;201597
493;100;20;201534
496;100;20;201516
497;100;20;201513
500;100;20;201265
502;100;20;201264
504;100;20;201225
507;100;20;201222
509;100;20;201206
511;100;20;201159
512;100;20;201144
513;100;20;201138
515;100;20;201104
516;100;20;201035
517;100;20;201009
520;100;20;200993
521;100;20;200939
522;100;20;200795
523;100;20;200711
524;100;20;200681
525;100;20;200630
528;100;20;200591
529;100;20;200579
530;100;20;200573
531;100;20;200523
533;100;20;200482
535;100;20;200479
536;100;20;200440
537;100;20;200439
538;100;20;200435
539;100;20;200431
540;181;20;200391
543;135;20;200277
544;122;20;200235
552;100;20;200230
553;100;20;200210
554;100;20;200190
556;100;20;200175
557;100;20;200173
558;100;20;200167
559;100;20;200154
560;100;20;200138
562;100;20;200129
563;100;20;200119
564;100;20;200094
565;100;20;200079
566;100;20;200067
569;100;20;199915
570;100;20;199876
571;100;20;199870
572;100;20;199857
573;100;20;199837
574;100;20;199830
575;100;20;199719
576;100;20;199680
577;100;20;199665
578;100;20;199651
579;100;20;199608
581;100;20;199586
582;100;20;199578
583;100;20;199447
585;100;20;199389
588;100;20;199381
591;100;20;199374
592;100;20;199235
593;100;20;199227
594;100;20;199216
595;100;20;199183
597;100;20;199079
599;100;20;199063
600;100;20;199029
601;100;20;199020
603;100;20;199003
604;100;20;198906
609;100;20;198728
614;100;20;198715
618;100;20;198687
620;100;20;198685
621;100;20;198628
622;100;20;198536
623;100;20;198533
624;100;20;198505
625;100;20;198408
630;100;20;198352
631;100;20;198337
632;100;20;198285
633;100;20;198229
