Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/23 13:03
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
112;20;1;10;273868
101;20;1;11;268181
91;20;1;12;260817
100;20;564;998;193253
164;20;6;1001;193217
110;20;6;1005;193205
135;20;2;973;193498
99;20;3;946;193840
181;20;4;1000;193238
149;20;1;782;195179
120;20;154;1499;190445
218;20;7;1480;190448
179;20;2;1442;190493
147;20;2;1274;191214
198;20;3;1481;190447
162;20;2;1373;190670
133;20;1;1305;191079
240;20;136;1992;188094
436;20;1;1690;189071
244;20;1;1696;189069
288;20;223;2991;184141
523;20;5;2934;184350
475;20;7;2935;184348
355;20;5;2938;184296
431;20;1;2142;187203
374;20;4;2926;184457
486;20;2;2927;184417
631;20;2;2928;184413
576;20;22;2933;184385
391;20;4;2882;184647
322;20;4;2884;184584
292;20;4;2940;184282
265;20;1;2327;186519
Generatia;Nr indivizi;Viata;Fitness
10;112;20;273868
11;101;20;268181
12;91;20;260817
13;100;20;260797
14;100;20;259406
15;100;20;256555
18;100;20;256272
20;100;20;255846
21;100;20;255369
22;100;20;253833
23;100;20;253680
25;100;20;253091
26;100;20;251090
27;100;20;251026
30;100;20;250117
31;100;20;248987
34;100;20;248799
35;100;20;248756
36;100;20;248224
37;100;20;248194
38;100;20;245252
41;100;20;244989
44;100;20;244078
51;100;20;242780
52;100;20;242670
55;100;20;241885
56;100;20;240909
59;100;20;240707
60;100;20;240215
62;100;20;239302
63;100;20;239011
64;100;20;238366
66;100;20;237501
67;100;20;236597
70;100;20;235973
73;100;20;235850
74;100;20;234594
76;100;20;234139
77;100;20;233934
79;100;20;233451
80;100;20;233290
81;100;20;232201
82;100;20;231848
83;100;20;231517
84;100;20;231421
85;100;20;230869
86;100;20;230682
87;100;20;230573
88;100;20;229659
89;100;20;229038
91;100;20;228406
92;100;20;228383
93;100;20;227969
94;100;20;227709
95;100;20;227658
96;100;20;227043
97;100;20;226200
100;100;20;225505
101;100;20;225458
103;100;20;225122
105;100;20;224949
106;100;20;224750
107;100;20;224478
108;100;20;224245
109;100;20;223639
110;100;20;223282
112;100;20;222761
114;100;20;222750
115;100;20;222738
116;100;20;222336
117;100;20;222132
118;100;20;221605
119;100;20;221505
120;100;20;221157
121;100;20;220935
123;100;20;220827
124;100;20;220633
125;100;20;220524
126;100;20;220262
127;100;20;220007
128;100;20;219833
129;100;20;219795
130;100;20;219467
131;100;20;219415
132;100;20;219228
133;100;20;219104
135;100;20;218731
136;100;20;218694
137;100;20;218544
139;100;20;218240
140;100;20;218133
142;100;20;217996
143;100;20;217880
144;100;20;217858
145;100;20;217650
146;100;20;217497
147;100;20;217462
148;100;20;217414
149;100;20;217330
150;100;20;217105
151;100;20;216909
153;100;20;216798
154;100;20;216438
157;100;20;216326
158;100;20;216213
160;100;20;216059
161;100;20;216007
164;100;20;215776
165;100;20;215719
166;100;20;215566
167;100;20;215549
169;100;20;215457
170;100;20;215362
171;100;20;215346
172;100;20;215172
173;100;20;215119
174;100;20;215099
175;100;20;214964
177;100;20;214890
178;100;20;214815
179;100;20;214710
180;100;20;214687
181;100;20;214663
182;100;20;214580
183;100;20;214491
184;100;20;214407
185;100;20;214180
186;100;20;214117
187;100;20;214105
188;100;20;214023
190;100;20;213769
192;100;20;213641
193;100;20;213564
194;100;20;213329
195;100;20;213311
196;100;20;213245
197;100;20;213063
199;100;20;213020
200;100;20;212860
201;100;20;212726
203;100;20;212598
205;100;20;212376
207;100;20;212175
208;100;20;211892
209;100;20;211800
211;100;20;211665
212;100;20;211549
213;100;20;211438
214;100;20;211412
215;100;20;211384
216;100;20;211354
217;100;20;211280
218;100;20;211218
219;100;20;211136
220;100;20;211055
221;100;20;210961
222;100;20;210917
223;100;20;210749
224;100;20;210700
225;100;20;210513
226;100;20;210452
227;100;20;210383
228;100;20;210169
231;100;20;210122
232;100;20;209992
233;100;20;209936
234;100;20;209767
235;100;20;209612
236;100;20;209558
237;100;20;209478
238;100;20;209349
239;100;20;209269
242;100;20;209245
243;100;20;209086
244;100;20;208961
245;100;20;208893
246;100;20;208767
247;100;20;208660
249;100;20;208589
250;100;20;208382
251;100;20;208279
252;100;20;208275
253;100;20;208243
254;100;20;208183
255;100;20;208084
257;100;20;208052
258;100;20;208039
259;100;20;207947
261;100;20;207914
262;100;20;207817
265;100;20;207737
266;100;20;207732
267;100;20;207710
268;100;20;207622
270;100;20;207602
271;100;20;207526
272;100;20;207474
273;100;20;207445
274;100;20;207419
276;100;20;207329
277;100;20;207302
278;100;20;207299
279;100;20;207265
280;100;20;207157
281;100;20;207135
282;100;20;206993
284;100;20;206954
286;100;20;206873
290;100;20;206849
291;100;20;206737
292;100;20;206735
293;100;20;206643
294;100;20;206541
297;100;20;206482
298;100;20;206421
299;100;20;206373
301;100;20;206346
302;100;20;206288
304;100;20;206257
306;100;20;206239
307;100;20;206121
308;100;20;206004
311;100;20;205833
312;100;20;205767
313;100;20;205733
314;100;20;205693
315;100;20;205679
316;100;20;205565
317;100;20;205523
318;100;20;205479
319;100;20;205379
320;100;20;205358
321;100;20;205213
322;100;20;205147
323;100;20;205126
324;100;20;205073
325;100;20;205064
326;100;20;205044
327;100;20;204943
329;100;20;204883
330;100;20;204877
332;100;20;204872
333;100;20;204867
334;100;20;204857
335;100;20;204802
336;100;20;204716
337;100;20;204653
338;100;20;204616
340;100;20;204571
341;100;20;204527
343;100;20;204382
344;100;20;204257
346;100;20;204243
347;100;20;204021
348;100;20;203968
349;100;20;203894
350;100;20;203795
351;100;20;203749
352;100;20;203705
353;100;20;203584
354;100;20;203213
355;100;20;203179
357;100;20;203157
358;100;20;203133
359;100;20;203079
361;100;20;203034
362;100;20;203028
363;100;20;203000
364;100;20;202973
366;100;20;202968
367;100;20;202952
368;100;20;202936
369;100;20;202934
371;100;20;202897
372;100;20;202811
373;100;20;202711
375;100;20;202706
376;100;20;202608
377;100;20;202599
378;100;20;202588
379;100;20;202525
381;100;20;202502
382;100;20;202457
383;100;20;202297
386;100;20;202286
388;100;20;202258
389;100;20;202194
391;100;20;202187
393;100;20;202182
394;100;20;202092
398;100;20;202058
400;100;20;202043
402;100;20;202009
403;100;20;202008
404;100;20;202006
405;100;20;202004
406;100;20;201976
407;100;20;201952
408;100;20;201906
410;100;20;201695
412;100;20;201613
413;100;20;201608
415;100;20;201602
416;100;20;201544
420;100;20;201485
422;100;20;201451
423;100;20;201402
424;100;20;201396
425;100;20;201387
426;100;20;201332
428;100;20;201310
431;164;20;201216
435;110;20;201193
438;100;20;201170
440;100;20;201112
443;100;20;201094
444;100;20;201083
447;100;20;201073
449;100;20;201052
450;100;20;201019
451;100;20;200879
452;100;20;200816
453;100;20;200782
454;100;20;200757
457;100;20;200663
458;100;20;200613
459;100;20;200510
462;100;20;200427
463;100;20;200389
464;100;20;200352
465;100;20;200268
466;100;20;200251
468;100;20;200212
469;100;20;200195
470;100;20;200185
472;100;20;200160
473;100;20;200062
474;100;20;199825
475;100;20;199817
476;100;20;199749
477;100;20;199686
478;100;20;199620
479;100;20;199612
480;100;20;199529
482;100;20;199483
485;100;20;199468
486;100;20;199340
487;100;20;199307
488;100;20;199299
489;100;20;199243
491;100;20;199210
492;100;20;199189
494;100;20;199182
495;100;20;199175
496;100;20;199106
498;100;20;198994
499;100;20;198988
500;100;20;198974
501;100;20;198906
507;100;20;198793
509;100;20;198791
513;135;20;198773
515;110;20;198770
516;99;20;198761
518;100;20;198726
519;100;20;198703
520;100;20;198665
521;100;20;198625
526;100;20;198591
527;100;20;198579
528;100;20;198516
529;100;20;198512
530;100;20;198483
533;100;20;198453
536;100;20;198413
538;100;20;198368
539;100;20;198332
541;100;20;198321
543;100;20;198311
545;100;20;198291
546;100;20;198260
548;100;20;198259
549;100;20;198222
551;100;20;198204
555;100;20;198177
556;100;20;198167
557;100;20;198146
560;100;20;198134
562;100;20;198121
563;100;20;198001
568;100;20;197997
569;100;20;197910
570;100;20;197876
574;100;20;197853
575;100;20;197823
577;100;20;197816
578;100;20;197805
579;100;20;197801
580;100;20;197747
581;100;20;197725
584;100;20;197714
585;100;20;197704
587;100;20;197697
589;100;20;197693
590;100;20;197684
591;100;20;197678
593;100;20;197674
597;100;20;197657
599;100;20;197651
600;181;20;197629
601;164;20;197592
607;100;20;197579
612;100;20;197538
613;100;20;197533
614;100;20;197487
616;100;20;197461
618;100;20;197441
619;100;20;197434
620;100;20;197420
621;100;20;197373
623;100;20;197346
624;100;20;197342
626;100;20;197339
627;100;20;197324
628;100;20;197318
629;100;20;197298
630;100;20;197235
632;100;20;197205
634;100;20;197197
635;100;20;197174
636;100;20;197142
637;100;20;197110
638;100;20;197100
639;100;20;197018
640;100;20;197014
641;100;20;197000
644;100;20;196983
646;100;20;196977
648;100;20;196964
649;100;20;196955
650;100;20;196931
653;100;20;196911
657;100;20;196908
658;100;20;196889
659;100;20;196886
661;100;20;196816
662;100;20;196792
663;100;20;196788
665;100;20;196785
667;100;20;196783
668;100;20;196709
671;100;20;196669
674;100;20;196667
678;100;20;196659
679;100;20;196546
691;100;20;196520
694;100;20;196452
695;100;20;196426
697;100;20;196422
698;100;20;196420
700;100;20;196379
702;100;20;196363
703;100;20;196360
705;100;20;196345
706;100;20;196016
707;100;20;196015
713;100;20;195994
719;100;20;195985
720;100;20;195952
721;100;20;195929
723;100;20;195889
725;100;20;195856
727;100;20;195771
729;100;20;195731
736;100;20;195728
737;100;20;195713
742;100;20;195700
747;100;20;195680
748;100;20;195655
750;181;20;195532
755;110;20;195524
762;100;20;195499
764;100;20;195486
766;100;20;195481
767;100;20;195476
768;100;20;195456
769;100;20;195416
771;100;20;195400
772;100;20;195392
773;100;20;195372
775;100;20;195354
776;100;20;195302
777;100;20;195287
778;100;20;195265
779;100;20;195262
780;181;20;195180
782;149;20;195179
785;110;20;195125
790;100;20;195054
793;100;20;195053
794;100;20;195041
796;100;20;195026
