Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/23 13:11
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
101;20;1;11;265014
91;20;1;12;261356
100;20;545;994;196142
181;20;7;940;197222
164;20;8;971;196695
149;20;5;972;196694
110;20;4;945;197112
99;20;3;946;197071
135;20;2;843;198322
122;20;1;814;198734
120;20;175;1500;192179
198;20;6;1361;192572
218;20;5;1230;193583
179;20;2;1332;192749
162;20;2;1333;192718
133;20;2;1435;192376
147;20;1;1434;192381
240;20;161;1999;189911
436;20;1;1540;191955
269;20;1;1545;191950
396;20;1;1711;191221
359;20;1;1712;191183
288;20;236;2998;186108
475;20;4;2984;186254
391;20;2;2903;186602
292;20;2;2989;186188
374;20;1;2974;186395
576;20;5;2982;186304
355;20;1;2987;186243
322;20;1;2988;186223
265;20;1;2990;186152
Generatia;Nr indivizi;Viata;Fitness
11;101;20;265014
12;91;20;261356
13;100;20;260454
14;100;20;257478
15;100;20;257438
19;100;20;256897
20;100;20;255864
21;100;20;255485
23;100;20;254891
26;100;20;254685
27;100;20;253382
28;100;20;251708
30;100;20;251395
32;100;20;250763
33;100;20;250319
34;100;20;250144
36;100;20;248895
38;100;20;246919
39;100;20;245695
41;100;20;245029
42;100;20;244579
44;100;20;244393
45;100;20;243850
48;100;20;243177
49;100;20;242853
51;100;20;241643
54;100;20;241014
56;100;20;240858
57;100;20;240541
58;100;20;240016
59;100;20;239534
60;100;20;239506
61;100;20;238210
63;100;20;238142
64;100;20;237387
66;100;20;236942
67;100;20;236750
68;100;20;236532
69;100;20;236102
70;100;20;235003
72;100;20;234832
73;100;20;233755
75;100;20;233209
76;100;20;233017
77;100;20;232726
78;100;20;232263
79;100;20;231934
80;100;20;231907
81;100;20;231667
82;100;20;231617
83;100;20;231246
84;100;20;230383
89;100;20;230011
91;100;20;229459
93;100;20;229437
94;100;20;229174
95;100;20;228992
96;100;20;228989
97;100;20;228704
98;100;20;227904
100;100;20;227723
101;100;20;227483
102;100;20;227448
103;100;20;227295
104;100;20;227225
106;100;20;226933
107;100;20;226854
109;100;20;226424
110;100;20;226135
111;100;20;225757
112;100;20;225650
113;100;20;225644
114;100;20;225462
115;100;20;225300
116;100;20;224834
117;100;20;224792
118;100;20;224676
119;100;20;224207
120;100;20;224201
121;100;20;223765
122;100;20;223649
124;100;20;223465
125;100;20;223160
126;100;20;222535
129;100;20;222130
130;100;20;222019
131;100;20;221561
132;100;20;221393
133;100;20;221320
134;100;20;221083
135;100;20;220975
136;100;20;220866
137;100;20;220645
138;100;20;220535
139;100;20;220145
140;100;20;219944
141;100;20;219898
142;100;20;219760
143;100;20;219638
144;100;20;219437
145;100;20;219295
146;100;20;219095
147;100;20;219073
148;100;20;219015
149;100;20;218781
150;100;20;218540
151;100;20;218522
153;100;20;218505
154;100;20;218257
155;100;20;218065
157;100;20;217860
158;100;20;217694
161;100;20;217528
162;100;20;217361
163;100;20;217248
164;100;20;217082
165;100;20;216909
167;100;20;216891
168;100;20;216656
169;100;20;216631
170;100;20;216376
171;100;20;216361
172;100;20;216327
173;100;20;216252
174;100;20;215938
175;100;20;215842
176;100;20;215781
177;100;20;215540
179;100;20;215521
180;100;20;215477
181;100;20;215427
182;100;20;215292
184;100;20;215262
186;100;20;215084
188;100;20;215074
189;100;20;214966
190;100;20;214920
191;100;20;214919
192;100;20;214807
193;100;20;214566
195;100;20;214536
196;100;20;214511
198;100;20;214391
200;100;20;214379
201;100;20;214339
202;100;20;214113
203;100;20;214102
205;100;20;214048
207;100;20;213967
208;100;20;213872
209;100;20;213818
210;100;20;213740
211;100;20;213477
213;100;20;213346
214;100;20;213262
217;100;20;213234
219;100;20;213181
220;100;20;213103
221;100;20;213027
222;100;20;212970
223;100;20;212918
224;100;20;212857
226;100;20;212828
228;100;20;212822
229;100;20;212705
230;100;20;212699
231;100;20;212619
232;100;20;212556
234;100;20;212530
235;100;20;212376
237;100;20;212260
238;100;20;212229
239;100;20;212204
240;100;20;212199
241;100;20;212114
242;100;20;212112
243;100;20;212024
244;100;20;212003
246;100;20;211968
247;100;20;211934
248;100;20;211889
249;100;20;211850
250;100;20;211794
251;100;20;211744
252;100;20;211586
253;100;20;211517
254;100;20;211472
255;100;20;211322
256;100;20;211254
257;100;20;211107
258;100;20;211048
259;100;20;211003
260;100;20;210886
261;100;20;210779
262;100;20;210739
263;100;20;210735
264;100;20;210679
265;100;20;210592
266;100;20;210537
267;100;20;210464
268;100;20;210423
269;100;20;210188
272;100;20;210115
274;100;20;210058
275;100;20;210018
276;100;20;209993
277;100;20;209953
278;100;20;209918
279;100;20;209859
280;100;20;209794
281;100;20;209695
282;100;20;209620
285;100;20;209508
288;100;20;209499
289;100;20;209433
290;100;20;209419
291;100;20;209377
293;100;20;209345
295;100;20;209335
296;100;20;209087
298;100;20;209074
299;100;20;209068
300;181;20;208923
301;164;20;208909
302;149;20;208688
305;110;20;208649
306;99;20;208518
312;100;20;208488
313;100;20;208429
314;100;20;208366
315;100;20;208284
316;100;20;208246
317;100;20;208222
318;100;20;208182
322;100;20;208152
325;100;20;208119
327;100;20;208110
329;100;20;208077
330;181;20;207933
331;164;20;207932
332;149;20;207891
333;135;20;207861
337;100;20;207853
339;100;20;207562
341;100;20;207554
342;100;20;207533
343;100;20;207279
344;100;20;207229
347;100;20;207226
348;100;20;207177
349;100;20;207168
350;100;20;207138
351;100;20;207092
353;100;20;207079
354;100;20;207048
355;100;20;206929
356;100;20;206909
357;100;20;206899
358;100;20;206553
359;100;20;206533
361;100;20;206440
362;100;20;206423
363;100;20;206329
367;100;20;206320
368;100;20;206266
369;100;20;206258
370;100;20;206211
