Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/23 13:21
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
112;20;1;10;266608
101;20;1;11;263239
91;20;1;12;261456
100;20;555;998;197797
164;20;2;971;198010
135;20;4;883;199035
122;20;3;924;198362
110;20;2;885;199015
99;20;2;976;197945
181;20;3;920;198394
149;20;3;972;198007
120;20;154;1500;194481
147;20;1;1034;197620
179;20;3;1452;194703
218;20;6;1490;194514
162;20;2;1423;194805
133;20;2;1455;194696
198;20;3;1491;194491
240;20;179;1999;191156
288;20;250;2991;186531
431;20;2;2335;189314
374;20;1;2327;189556
486;20;1;2328;189527
631;20;1;2329;189472
576;20;3;2332;189365
475;20;1;2334;189344
391;20;1;2336;189277
292;20;1;2339;189212
Generatia;Nr indivizi;Viata;Fitness
10;112;20;266608
11;101;20;263239
12;91;20;261456
13;100;20;261082
14;100;20;259138
15;100;20;258523
16;100;20;257144
17;100;20;256708
18;100;20;255997
19;100;20;255489
22;100;20;254735
23;100;20;253964
25;100;20;252390
26;100;20;251614
31;100;20;250607
32;100;20;249857
34;100;20;249821
35;100;20;249495
36;100;20;248837
38;100;20;248621
40;100;20;248218
42;100;20;247637
43;100;20;246583
44;100;20;246448
45;100;20;244565
46;100;20;244243
47;100;20;244002
48;100;20;243890
49;100;20;242847
50;100;20;242845
51;100;20;242459
52;100;20;242275
53;100;20;241188
54;100;20;241087
57;100;20;239727
60;100;20;239501
61;100;20;239033
63;100;20;237374
65;100;20;237085
67;100;20;236106
69;100;20;235908
70;100;20;235218
73;100;20;235151
74;100;20;235040
75;100;20;234250
77;100;20;233144
80;100;20;233048
81;100;20;232808
82;100;20;231959
83;100;20;231689
85;100;20;230445
86;100;20;230176
88;100;20;230004
91;100;20;229995
92;100;20;229508
94;100;20;228707
96;100;20;228625
97;100;20;228337
98;100;20;228288
99;100;20;227998
100;100;20;227508
102;100;20;227187
104;100;20;226792
105;100;20;226092
106;100;20;226033
107;100;20;226016
108;100;20;225718
109;100;20;225575
112;100;20;225390
113;100;20;224811
114;100;20;224469
116;100;20;224276
117;100;20;223383
118;100;20;223307
120;100;20;223067
121;100;20;223012
122;100;20;222289
124;100;20;222025
125;100;20;221931
126;100;20;221160
128;100;20;221089
130;100;20;220875
133;100;20;220733
134;100;20;220698
135;100;20;220631
136;100;20;220556
137;100;20;220416
138;100;20;220322
139;100;20;220251
140;100;20;220128
141;100;20;220091
142;100;20;219909
143;100;20;219746
145;100;20;219646
146;100;20;219515
147;100;20;219427
148;100;20;219312
149;100;20;219176
150;100;20;219134
151;100;20;218967
152;100;20;218842
153;100;20;218759
154;100;20;218364
155;100;20;218026
156;100;20;217913
