Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/23 13:53
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
137;20;1;8;274513
124;20;1;9;261924
91;20;1;12;259145
100;20;550;998;194619
181;20;6;900;195983
149;20;3;682;198449
110;20;4;905;195950
99;20;2;846;196596
164;20;5;811;196821
135;20;4;903;195961
122;20;2;684;198266
120;20;127;1500;191851
218;20;5;1470;192139
198;20;5;1431;192226
179;20;3;1472;192116
162;20;2;1473;192048
133;20;1;1235;193181
147;20;1;1344;192497
240;20;199;1998;188858
436;20;1;1610;190975
326;20;1;1613;190968
288;20;250;2990;186011
523;20;1;2130;188329
431;20;3;2963;186116
391;20;1;2553;187093
322;20;3;2966;186106
374;20;2;2954;186181
576;20;8;2960;186129
292;20;1;2901;186324
265;20;2;2968;186098
486;20;1;2955;186167
631;20;1;2956;186157
Generatia;Nr indivizi;Viata;Fitness
8;137;20;274513
9;124;20;261924
12;91;20;259145
16;100;20;257321
17;100;20;256075
18;100;20;255972
19;100;20;254610
20;100;20;253915
22;100;20;252438
25;100;20;252073
27;100;20;251638
28;100;20;250089
30;100;20;249226
31;100;20;248904
32;100;20;247624
37;100;20;247159
39;100;20;246413
40;100;20;245399
42;100;20;244365
43;100;20;241865
47;100;20;241728
49;100;20;241532
50;100;20;240449
51;100;20;239989
52;100;20;239816
53;100;20;238825
55;100;20;238159
56;100;20;237946
57;100;20;237831
58;100;20;237820
59;100;20;236543
62;100;20;236043
64;100;20;235394
65;100;20;235107
66;100;20;234281
67;100;20;234201
68;100;20;233885
69;100;20;233870
70;100;20;233670
71;100;20;232796
72;100;20;232406
73;100;20;232365
74;100;20;231527
77;100;20;231234
78;100;20;230468
79;100;20;230429
80;100;20;229501
81;100;20;229356
82;100;20;228990
83;100;20;228980
84;100;20;228890
85;100;20;228381
87;100;20;227859
88;100;20;227567
89;100;20;227297
92;100;20;226960
93;100;20;226894
94;100;20;226535
95;100;20;226393
96;100;20;226115
97;100;20;225970
98;100;20;225766
99;100;20;225588
100;100;20;225495
101;100;20;225091
103;100;20;225015
104;100;20;224587
105;100;20;224072
109;100;20;223694
110;100;20;223631
111;100;20;223375
112;100;20;223374
113;100;20;223206
114;100;20;222646
115;100;20;222483
116;100;20;222232
117;100;20;221944
118;100;20;221871
120;100;20;221694
121;100;20;221337
122;100;20;221092
124;100;20;221053
125;100;20;220751
126;100;20;220746
127;100;20;220671
128;100;20;220144
129;100;20;220120
130;100;20;220068
131;100;20;219810
132;100;20;219442
134;100;20;219377
135;100;20;219151
136;100;20;218967
138;100;20;218644
140;100;20;218481
141;100;20;218385
142;100;20;218200
143;100;20;218111
144;100;20;217844
145;100;20;217651
147;100;20;217614
148;100;20;217440
149;100;20;217287
151;100;20;217067
152;100;20;216814
154;100;20;216697
155;100;20;216458
156;100;20;216431
158;100;20;216161
159;100;20;216050
160;100;20;216009
161;100;20;215973
162;100;20;215830
163;100;20;215805
164;100;20;215719
165;100;20;215531
166;100;20;215378
167;100;20;215198
168;100;20;215121
169;100;20;214983
170;100;20;214956
171;100;20;214879
172;100;20;214780
173;100;20;214695
174;100;20;214578
175;100;20;214562
176;100;20;214515
177;100;20;214424
178;100;20;214278
179;100;20;214211
180;100;20;214170
181;100;20;214145
182;100;20;213973
183;100;20;213939
184;100;20;213869
185;100;20;213773
186;100;20;213688
187;100;20;213264
188;100;20;213189
190;100;20;213122
191;100;20;213047
192;100;20;212979
193;100;20;212734
195;100;20;212592
196;100;20;212559
197;100;20;212524
198;100;20;212519
199;100;20;212382
202;100;20;212346
204;100;20;212327
205;100;20;212239
206;100;20;212206
207;100;20;212175
208;100;20;212162
209;100;20;212121
210;100;20;212072
211;100;20;211999
212;100;20;211934
214;100;20;211913
215;100;20;211878
216;100;20;211874
217;100;20;211715
218;100;20;211638
219;100;20;211597
220;100;20;211586
224;100;20;211465
225;100;20;211385
226;100;20;211357
229;100;20;211107
231;100;20;211085
234;100;20;210878
238;100;20;210876
239;100;20;210815
241;100;20;210650
243;100;20;210593
245;100;20;210559
246;100;20;210428
248;100;20;210390
250;100;20;210313
251;100;20;210263
252;100;20;210251
253;100;20;210186
254;100;20;210139
255;100;20;209961
257;100;20;209829
262;100;20;209783
264;100;20;209738
266;100;20;209736
267;100;20;209682
268;100;20;209656
269;100;20;209639
271;100;20;209631
273;100;20;209609
274;100;20;209578
275;100;20;209513
276;100;20;209498
277;100;20;209491
278;100;20;209414
279;100;20;209380
280;100;20;209365
281;100;20;209332
282;100;20;209330
283;100;20;209310
284;100;20;209217
285;100;20;209162
286;100;20;209056
287;100;20;209029
288;100;20;208988
