Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/01/23 15:47
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
91;20;1;12;265573
100;20;441;990;193300
181;20;6;940;193770
164;20;3;911;194035
110;20;1;355;205092
149;20;4;942;193762
122;20;4;944;193726
130;20;1;532;201349
169;20;1;533;201314
219;20;1;534;201185
200;20;3;537;201013
99;20;1;856;194512
135;20;1;913;194006
120;20;161;1499;187697
162;20;3;1243;189148
133;20;3;1415;187980
218;20;5;1500;187695
198;20;4;1241;189211
179;20;6;1442;187848
147;20;3;1444;187840
240;20;131;1999;185786
288;20;179;2999;183151
355;20;4;2909;183353
374;20;5;2982;183211
486;20;5;2983;183200
576;20;18;2990;183172
391;20;5;2994;183153
322;20;2;2850;183536
292;20;3;2911;183351
475;20;1;2341;184676
631;20;2;2984;183199
523;20;1;2659;184030
431;20;2;2907;183365
265;20;1;2852;183528
345;20;85;3891;181645
448;20;10;3953;181546
582;20;6;3954;181538
691;20;44;3958;181514
628;20;3;3559;182282
518;20;6;3867;181695
388;20;4;3870;181683
352;20;4;3931;181549
470;20;3;3610;182159
756;20;5;3955;181518
570;20;2;3787;181829
427;20;2;3929;181551
Generatia;Nr indivizi;Viata;Fitness
12;91;20;265573
14;100;20;263323
15;100;20;259451
17;100;20;258486
18;100;20;257967
20;100;20;257922
21;100;20;256135
23;100;20;255300
24;100;20;255013
26;100;20;254321
29;100;20;253486
30;100;20;252548
31;100;20;250886
32;100;20;250007
33;100;20;249837
35;100;20;249402
36;100;20;249078
37;100;20;248683
38;100;20;247722
39;100;20;246763
40;100;20;245995
41;100;20;245904
42;100;20;245321
43;100;20;244513
44;100;20;243641
45;100;20;242944
46;100;20;242784
47;100;20;242020
48;100;20;240776
51;100;20;240492
52;100;20;240089
53;100;20;239853
54;100;20;239465
56;100;20;238796
57;100;20;238547
58;100;20;238203
59;100;20;237706
60;100;20;237236
62;100;20;236977
63;100;20;236692
64;100;20;236236
65;100;20;235989
66;100;20;235504
67;100;20;235054
68;100;20;235006
69;100;20;234608
70;100;20;234160
71;100;20;234004
72;100;20;233495
73;100;20;232893
74;100;20;232847
75;100;20;232596
79;100;20;231885
80;100;20;231770
81;100;20;231758
83;100;20;231554
84;100;20;231467
85;100;20;230842
86;100;20;230422
87;100;20;230238
88;100;20;230128
90;100;20;229905
91;100;20;229294
92;100;20;228734
93;100;20;228729
94;100;20;228545
95;100;20;228343
96;100;20;228145
98;100;20;228071
99;100;20;227616
100;100;20;227470
101;100;20;226635
102;100;20;226233
103;100;20;226184
