Setari{prioritate=5 memorie=1 nrDescarcari=13 ajungeAcasa=false}
Fisier generat in 2019/04/14 10:10
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
100;20;513;997;191725
120;20;241;1998;187861
144;20;150;2979;185690
172;20;84;3999;184846
206;20;64;4997;184083
247;20;13;5197;184016
Generatia;Nr indivizi;Viata;Fitness
9;100;20;268720
10;100;20;268347
11;100;20;262106
12;100;20;258077
16;100;20;256834
19;100;20;253933
26;100;20;253714
30;100;20;253159
32;100;20;251470
38;100;20;251001
41;100;20;249989
48;100;20;249445
51;100;20;246638
57;100;20;246467
58;100;20;245268
65;100;20;242480
72;100;20;242349
75;100;20;241628
76;100;20;241344
79;100;20;241174
80;100;20;240352
81;100;20;240205
82;100;20;238883
84;100;20;237738
87;100;20;236901
90;100;20;236853
91;100;20;236779
92;100;20;236419
93;100;20;235655
94;100;20;235161
95;100;20;234771
96;100;20;234209
98;100;20;233882
100;100;20;233679
101;100;20;232740
105;100;20;232257
106;100;20;231470
110;100;20;230489
111;100;20;229584
112;100;20;229345
113;100;20;229035
114;100;20;228338
116;100;20;227134
118;100;20;226624
121;100;20;226083
122;100;20;225651
123;100;20;225564
124;100;20;224673
129;100;20;224551
130;100;20;223961
133;100;20;223601
134;100;20;223364
135;100;20;222327
138;100;20;221577
139;100;20;221395
140;100;20;220741
141;100;20;220688
142;100;20;219763
145;100;20;219615
147;100;20;218787
148;100;20;218567
150;100;20;218560
152;100;20;218487
153;100;20;218375
154;100;20;217542
155;100;20;217167
161;100;20;217036
162;100;20;216821
163;100;20;216248
166;100;20;216096
168;100;20;215782
169;100;20;215717
171;100;20;215601
172;100;20;215465
173;100;20;214861
176;100;20;214242
183;100;20;213593
185;100;20;213381
186;100;20;212828
189;100;20;212812
190;100;20;212522
191;100;20;212462
193;100;20;211940
196;100;20;211451
197;100;20;211321
198;100;20;211296
200;100;20;211056
202;100;20;210755
203;100;20;210450
204;100;20;210041
206;100;20;209748
209;100;20;209574
211;100;20;209067
215;100;20;208469
218;100;20;208448
219;100;20;208168
221;100;20;207941
222;100;20;207854
224;100;20;207494
226;100;20;207279
228;100;20;207068
229;100;20;206985
230;100;20;206767
234;100;20;206531
236;100;20;206325
239;100;20;206319
240;100;20;206265
241;100;20;205953
242;100;20;205773
248;100;20;205763
249;100;20;205715
250;100;20;205613
252;100;20;205595
253;100;20;205333
255;100;20;205243
256;100;20;205071
261;100;20;205004
262;100;20;204802
263;100;20;204801
264;100;20;204507
265;100;20;204355
268;100;20;204229
270;100;20;204116
272;100;20;203952
273;100;20;203864
274;100;20;203850
276;100;20;203699
277;100;20;203580
278;100;20;203517
279;100;20;203493
281;100;20;203447
283;100;20;203405
284;100;20;203404
285;100;20;203353
287;100;20;203303
288;100;20;203267
289;100;20;203159
291;100;20;203153
292;100;20;203094
293;100;20;203071
295;100;20;203057
296;100;20;202993
297;100;20;202963
298;100;20;202905
299;100;20;202837
300;100;20;202761
303;100;20;202743
304;100;20;202710
306;100;20;202702
307;100;20;202641
308;100;20;202617
309;100;20;202610
310;100;20;202546
311;100;20;202520
312;100;20;202468
313;100;20;202416
315;100;20;202362
316;100;20;202333
318;100;20;202310
319;100;20;202160
320;100;20;202083
323;100;20;202013
324;100;20;201942
326;100;20;201729
329;100;20;201725
331;100;20;201643
332;100;20;201629
333;100;20;201624
334;100;20;201618
335;100;20;201468
336;100;20;201443
337;100;20;201427
338;100;20;201361
339;100;20;201339
340;100;20;201262
342;100;20;201112
344;100;20;201073
346;100;20;201009
347;100;20;200965
348;100;20;200911
349;100;20;200805
351;100;20;200767
352;100;20;200717
353;100;20;200652
356;100;20;200527
357;100;20;200480
361;100;20;200457
362;100;20;200416
363;100;20;200327
364;100;20;200295
365;100;20;200158
366;100;20;199906
367;100;20;199842
369;100;20;199800
371;100;20;199740
372;100;20;199704
374;100;20;199622
375;100;20;199599
378;100;20;199592
379;100;20;199534
380;100;20;199481
381;100;20;199467
382;100;20;199431
384;100;20;199365
387;100;20;199285
389;100;20;199231
390;100;20;199209
391;100;20;199205
392;100;20;199159
393;100;20;199147
394;100;20;199140
395;100;20;199090
396;100;20;199058
398;100;20;199032
